hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
digitalisierung,789,122,235,77,16,93,246
ich,358,64,80,44,7,54,109
bildung,127,23,27,16,6,8,47
brauchen,118,18,40,12,1,13,34
digital,109,26,25,7,1,15,35
mein,85,18,18,20,0,8,21
jahr,84,8,37,8,1,8,22
cwa,79,7,10,17,0,35,10
deutschland,74,4,31,6,6,4,23
und,69,7,16,10,3,16,17
thema,68,20,10,14,1,4,19
digitale,67,11,18,8,0,13,17
schule,66,7,28,7,1,5,18
klimaschutz,65,5,40,5,1,8,6
corona,60,11,17,7,2,4,19
land,58,6,17,3,0,11,21
pandemie,56,6,15,10,0,6,19
cdu,54,8,26,4,0,3,13
wichtig,52,11,11,6,1,9,14
zukunft,51,11,14,2,0,6,18
stehen,50,12,11,9,0,5,13
bundestag,50,10,11,12,4,5,8
mensch,49,4,14,8,1,10,12
sprechen,48,10,12,6,2,3,15
mal,46,12,9,8,2,5,10
verwaltung,45,7,9,2,0,5,22
in,44,6,6,10,2,12,8
wie,44,2,20,8,1,2,11
mit,44,8,17,3,0,6,10
heute,43,14,10,7,0,7,5
fdp,42,2,5,1,0,1,33
bundesregierung,42,1,16,8,0,2,15
infrastruktur,40,1,11,4,0,6,18
digitalebildung,40,2,23,8,0,4,3
jetzt,38,3,15,3,0,4,13
nutzen,38,9,8,4,1,6,10
zeigen,37,8,10,2,0,3,14
ein,36,3,10,2,2,8,11
was,35,2,10,7,0,6,10
gut,35,7,18,1,0,3,6
chance,35,9,6,1,0,4,15
innen,34,2,15,6,0,8,3
für,34,5,12,3,1,7,6
wenn,33,4,8,3,1,6,11
frage,32,5,6,10,0,3,8
uhr,31,5,12,4,0,1,9
triell,31,4,15,0,0,3,9
stark,30,5,4,1,3,7,10
einfach,30,5,8,6,0,2,9
bei,30,2,12,0,2,2,12
sich,30,5,7,4,1,8,5
reden,30,12,7,4,0,3,4
aber,29,1,9,5,1,5,8
bleiben,29,5,9,3,2,3,7
vielzutun,29,0,0,0,0,0,29
sein,28,4,6,3,2,6,7
wirtschaft,28,5,7,1,0,7,8
stellen,28,9,8,4,0,2,5
sehen,28,4,5,4,1,2,12
tb,28,0,0,0,0,0,28
btw21,27,2,10,7,0,6,2
breitband,27,6,11,3,0,2,5
groko,27,0,16,0,0,0,11
viel,26,6,5,5,0,3,7
danken,26,10,6,2,0,3,5
hier,25,10,8,3,1,1,2
eine,25,4,6,4,2,3,6
geben,25,3,4,2,2,2,12
spd,25,4,7,0,0,9,5
fordern,25,1,12,3,0,1,8
bund,25,4,7,1,0,2,11
letzt,25,3,11,2,1,3,5
so,25,2,11,1,1,1,9
automatisieren,25,8,1,11,1,2,2
setzen,25,6,8,1,0,2,8
it,24,1,9,5,1,3,5
online,24,3,2,7,0,4,8
weg,24,3,8,3,1,4,5
zeit,24,5,11,1,1,2,4
im,24,8,4,5,0,1,6
politik,23,3,7,2,0,3,8
internet,23,2,13,4,2,0,2
ki,23,2,12,2,0,3,4
innovation,23,8,7,0,0,2,6
unternehmen,23,2,7,1,0,3,10
eu,23,3,6,0,1,5,8
frau,23,0,14,4,1,2,2
mehr,23,7,6,1,0,3,6
investieren,23,3,7,1,0,5,7
klaren,22,8,5,3,0,4,2
digitalpakt,22,0,10,2,0,2,8
gesundheitsämter,22,1,4,4,1,6,6
schaffen,22,2,5,3,2,3,7
berlin,22,7,3,4,1,1,6
staat,22,1,3,1,0,3,14
neu,22,3,8,4,1,2,4
da,22,1,9,2,0,1,9
datenschutz,22,3,4,1,0,14,0
2021,21,4,7,1,1,3,5
pflege,21,10,8,1,0,1,1
freuen,21,4,11,0,0,3,3
debatte,21,5,9,1,1,2,3
investition,21,1,7,0,0,2,11
scholz,20,7,11,0,0,1,1
leisten,20,2,6,0,0,3,9
dringen,20,4,7,0,1,1,7
nachhaltigkeit,20,5,3,5,1,2,4
bringen,20,2,5,2,0,3,8
helfen,20,3,7,0,1,3,6
kind,20,3,3,5,1,4,4
schnell,19,3,8,3,0,3,2
gemeinsam,19,6,5,1,2,3,2
tagen,19,5,4,3,0,4,3
arbeit,19,4,1,7,0,1,6
20,19,4,7,2,2,1,3
wer,19,1,4,5,3,0,6
gestern,19,2,2,8,1,2,4
leben,19,5,1,2,0,2,9
union,19,2,8,2,0,1,6
klima,18,1,5,1,1,2,8
scheuer,18,0,13,5,0,0,0
schulen,18,4,7,3,0,1,3
kein,18,0,10,2,0,2,4
diskussion,18,4,9,1,0,1,3
spannend,18,1,6,3,0,3,5
app,18,1,6,5,0,4,2
woche,18,2,8,4,0,3,1
nach,18,1,8,2,0,3,4
modern,18,4,4,0,0,3,7
aktuell,18,3,6,2,0,1,6
all,17,3,3,2,1,0,8
laschet,17,0,13,0,0,4,0
etc,17,3,3,4,0,2,5
problem,17,4,3,3,2,3,2
regierung,17,1,6,2,1,2,5
antwort,17,1,6,7,0,1,2
ausbau,17,3,10,2,0,1,1
diskutieren,17,2,4,3,1,2,5
datum,17,1,4,4,0,5,3
sache,17,3,1,4,0,5,4
genau,17,5,2,0,0,4,6
auch,17,1,3,5,1,3,4
15,16,0,11,1,0,3,1
16,16,1,8,5,0,0,2
lösung,16,2,2,1,1,4,6
deutlich,16,2,6,0,2,2,4
künstlicheintelligenz,16,0,16,0,0,0,0
nächst,16,1,5,1,2,0,7
warum,16,2,4,3,1,2,4
beispiel,16,3,4,0,0,6,3
projekt,16,3,4,1,0,4,4
liegen,15,3,4,2,0,2,4
bahnen,15,0,10,3,0,1,1
programm,15,3,4,1,1,2,4
am,15,5,3,2,1,1,3
auf,15,3,5,3,0,2,2
million,15,2,5,2,0,4,2
grün,15,0,9,2,0,0,4
europa,15,0,3,1,0,3,8
halten,15,4,2,2,0,3,4
mobilität,15,4,2,0,1,7,1
lucaapp,15,0,3,7,0,3,2
geld,15,0,4,4,0,1,6
zum,15,2,3,2,0,4,4
impfen,15,1,5,0,0,2,7
idee,15,3,2,1,0,2,7
10,15,3,4,2,1,0,5
bekommen,15,1,3,2,1,2,6
meine,15,1,2,7,0,2,3
finden,15,1,2,4,2,2,4
ja,15,2,2,2,0,3,6
30,15,0,1,8,1,2,3
gespräch,15,5,2,3,0,3,2
funktionieren,14,1,2,1,0,5,5
denken,14,3,4,0,0,1,6
live,14,4,4,3,0,1,2
schnellen,14,2,3,1,1,3,4
csu,14,0,9,0,0,0,5
herausforderung,14,3,3,1,0,2,5
soziale,14,0,2,5,0,4,3
klimawandel,14,3,0,4,1,2,4
verfahren,14,3,3,0,0,2,6
recht,14,1,5,1,1,1,5
merkel,14,0,6,1,1,0,6
modernisierung,14,3,6,0,0,1,4
gesundheitswesen,14,4,4,1,0,1,4
diese,14,0,4,1,0,6,3
fehlen,14,0,4,2,1,1,6
anfragen,14,0,5,5,0,0,4
kompetenz,14,4,5,0,0,0,5
monat,14,1,4,2,1,3,3
ort,14,3,6,2,0,0,3
gute,13,5,2,1,0,2,3
schüler,13,0,5,3,2,0,3
gerne,13,2,1,2,3,3,2
beschleunigen,13,0,4,0,1,2,6
fragen,13,1,5,3,0,2,2
000,13,3,0,3,2,5,0
europäisch,13,3,6,0,0,2,2
raum,13,7,3,1,0,1,1
klar,13,3,4,0,1,3,2
jung,13,0,2,1,0,0,10
gelten,13,1,5,0,0,4,3
gesundheit,13,5,4,1,0,2,1
von,13,3,3,3,1,1,2
falsch,13,3,2,4,0,2,2
schreiten,13,3,1,3,0,3,3
nur,13,1,3,3,1,2,3
milliarde,13,1,6,3,0,2,1
dank,13,5,5,0,0,1,2
ländlich,13,5,3,3,1,1,0
unterstützung,12,1,6,2,0,2,1
passieren,12,1,1,1,0,4,5
gerade,12,3,5,0,0,2,2
luca,12,3,2,4,0,3,0
nrw,12,2,3,1,1,5,0
lassen,12,2,2,3,0,2,3
sichern,12,3,3,3,0,1,2
vor,12,0,4,2,0,2,4
voran,12,3,4,1,0,1,3
blicken,12,3,5,1,0,0,3
führen,12,0,3,1,1,3,4
wissen,12,2,4,3,0,0,3
apps,12,2,3,1,0,4,2
kommune,12,3,3,0,0,5,1
afd,12,1,0,1,9,1,0
zielen,12,2,4,1,1,0,4
nehmen,12,2,3,4,0,3,0
dass,12,1,4,3,0,1,3
freiheit,12,0,3,0,1,1,7
coronawarnapp,12,0,1,11,0,0,0
nennen,12,4,5,0,0,0,3
können,12,1,1,0,0,4,6
bieten,11,2,1,2,0,2,4
verschlafen,11,3,1,2,0,0,5
familie,11,1,1,5,0,2,2
alle,11,1,3,3,1,1,2
5g,11,5,1,0,1,1,3
fahren,11,1,4,1,0,3,2
antrag,11,2,3,3,0,0,3
gelingen,11,0,3,1,0,2,5
partei,11,1,5,1,1,0,3
hoch,11,2,1,3,1,0,4
gasen,11,4,2,4,0,0,1
berichten,11,0,2,4,1,0,4
echt,11,0,5,3,0,1,2
alt,11,1,5,2,0,0,3
überall,11,0,6,0,0,2,3
eigentlich,11,0,3,1,1,4,2
euro,11,2,5,1,0,3,0
abend,11,5,0,2,0,2,2
gesellschaft,11,1,8,0,0,1,1
demokratie,11,1,4,3,1,2,0
groß,11,4,3,2,0,1,1
schutz,11,0,2,0,0,2,7
netz,11,3,4,0,0,0,4
aus,11,1,4,0,0,2,4
the,11,0,6,4,0,1,0
lernen,11,2,3,0,1,3,2
sicherheit,11,3,1,1,1,4,1
ergebnis,11,0,4,1,1,2,3
interview,11,2,4,2,0,1,2
21,11,3,3,0,0,1,4
stärken,11,2,4,0,0,1,4
legislatur,11,1,2,3,2,1,2
richtig,11,5,1,0,0,3,2
jed,11,2,1,2,0,2,4
vernetzung,11,3,5,0,0,1,2
