,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.26666666666666666,0.2,0.1,0.4666666666666667,1.3333333333333333,0.43333333333333335,0.004022707071301031,0.001763692338363391,0.0004085365853658537,0.0033296496202583617,0.008676384780586487,0.003089538590533959
2021-01-31,0.26666666666666666,0.2,0.1,0.6333333333333333,1.4333333333333333,0.5,0.004022707071301031,0.001763692338363391,0.0004085365853658537,0.0049169512075599485,0.010191536295738001,0.003912583858023671
2021-02-01,0.26666666666666666,0.2,0.1,0.6,1.9333333333333333,0.5333333333333333,0.004022707071301031,0.001763692338363391,0.0004085365853658537,0.004478354716331878,0.013737635586518143,0.004148990477409014
2021-02-02,0.3333333333333333,0.2,0.1,0.6,2.066666666666667,0.6,0.005039000912781285,0.001763692338363391,0.0004085365853658537,0.004478354716331878,0.014614828568974284,0.004661810990229527
2021-02-03,0.3333333333333333,0.2,0.1,0.6,2.4,0.6,0.005039000912781285,0.001763692338363391,0.0004085365853658537,0.004478354716331878,0.016552813065098315,0.004661810990229527
2021-02-04,0.3,0.2,0.1,0.6666666666666666,2.433333333333333,0.6,0.004784547986572633,0.001763692338363391,0.0004085365853658537,0.005038578805967733,0.016787988818100893,0.004661810990229527
2021-02-05,0.3,0.23333333333333334,0.06666666666666667,0.6666666666666666,2.533333333333333,0.5333333333333333,0.004784547986572633,0.0020781577471684224,0.0003252032520325203,0.005038578805967733,0.01754556457567665,0.00426498559340413
2021-02-06,0.3,0.26666666666666666,0.06666666666666667,0.6666666666666666,2.3666666666666667,0.5,0.004784547986572633,0.0023986705676812426,0.0003252032520325203,0.005419187780326707,0.016346523808290558,0.004018072013157217
2021-02-07,0.3,0.23333333333333334,0.06666666666666667,0.7,2.3666666666666667,0.5666666666666667,0.004784547986572633,0.0021655703345810095,0.0003252032520325203,0.005704088065226991,0.016456342929737588,0.004618672613757817
2021-02-08,0.3,0.23333333333333334,0.06666666666666667,0.7,2.3333333333333335,0.5666666666666667,0.004784547986572633,0.0021655703345810095,0.0003252032520325203,0.005704088065226991,0.016145597401600754,0.004618672613757817
2021-02-09,0.3,0.2,0.06666666666666667,0.7,2.3666666666666667,0.5666666666666667,0.004784547986572633,0.0018731726737622962,0.0003252032520325203,0.005704088065226991,0.016445897701901056,0.004618672613757817
2021-02-10,0.3,0.2,0.1,0.7666666666666667,2.2666666666666666,0.5666666666666667,0.004784547986572633,0.0018731726737622962,0.0005034563714621103,0.006000384361523287,0.015652246908250265,0.004618672613757817
2021-02-11,0.3333333333333333,0.2,0.1,0.7666666666666667,2.2666666666666666,0.5333333333333333,0.005478992431017077,0.0018731726737622962,0.0005034563714621103,0.006000384361523287,0.015550096370615855,0.004382265994372474
2021-02-12,0.3333333333333333,0.2,0.1,0.7666666666666667,2.2666666666666666,0.6,0.005478992431017077,0.0018731726737622962,0.0005034563714621103,0.006000384361523287,0.015606457079150477,0.004766014626141195
2021-02-13,0.3333333333333333,0.23333333333333334,0.1,0.8,2.3,0.6333333333333333,0.005478992431017077,0.0021335893404289628,0.0005034563714621103,0.006630591004388158,0.01623043080657248,0.005144802504929074
2021-02-14,0.4,0.23333333333333334,0.1,0.8,2.3,0.6,0.00710500869117968,0.0021335893404289628,0.0005034563714621103,0.006630591004388158,0.016375546682682506,0.004774432134558704
2021-02-15,0.36666666666666664,0.23333333333333334,0.1,0.8,2.3666666666666667,0.6333333333333333,0.006844592024513013,0.0021335893404289628,0.0005034563714621103,0.006630591004388158,0.016981607288743112,0.00516202903378351
2021-02-16,0.36666666666666664,0.23333333333333334,0.1,0.8,2.3666666666666667,0.6333333333333333,0.006844592024513013,0.0021335893404289628,0.0005034563714621103,0.006563506925676172,0.016945312941587683,0.00516202903378351
2021-02-17,0.4,0.23333333333333334,0.1,0.9,2.3666666666666667,0.6333333333333333,0.007334788102944386,0.0021335893404289628,0.0005034563714621103,0.007396840259009506,0.016945312941587683,0.00516202903378351
2021-02-18,0.36666666666666664,0.23333333333333334,0.1,0.9666666666666667,2.3333333333333335,0.6666666666666666,0.006858597626753909,0.0021335893404289628,0.0005034563714621103,0.008077112367853042,0.01674081396408257,0.00552045197285161
2021-02-19,0.4,0.36666666666666664,0.26666666666666666,1.0666666666666667,2.6333333333333333,0.9333333333333333,0.007553042071198354,0.0032930096302840354,0.001869576590041345,0.009012113948773591,0.018802244596941776,0.007761348331395027
2021-02-20,0.36666666666666664,0.36666666666666664,0.26666666666666666,1.0666666666666667,2.7,0.9333333333333333,0.006957803975960259,0.003157207161148233,0.001869576590041345,0.009012113948773591,0.019635577930275108,0.007789738267162797
2021-02-21,0.4,0.36666666666666664,0.26666666666666666,1.0333333333333334,2.7,0.9666666666666667,0.007910184928341212,0.003157207161148233,0.001869576590041345,0.008743296744472516,0.019635577930275108,0.008152057107742507
2021-02-22,0.4,0.43333333333333335,0.26666666666666666,1.0666666666666667,2.8666666666666667,1.0666666666666667,0.007910184928341212,0.0038238738278148997,0.001869576590041345,0.009038281995209979,0.021178787806818318,0.009172465271007813
2021-02-23,0.4,0.43333333333333335,0.3,1.0333333333333334,2.8666666666666667,1.0666666666666667,0.007910184928341212,0.0038238738278148997,0.0020668152488184655,0.00878765542879394,0.021158726821422717,0.009172465271007813
2021-02-24,0.4,0.43333333333333335,0.3,1.0333333333333334,2.8666666666666667,1.0666666666666667,0.007910184928341212,0.0038238738278148997,0.0020668152488184655,0.00878765542879394,0.0211414937615206,0.009085885184427727
2021-02-25,0.3333333333333333,0.43333333333333335,0.3,1.0666666666666667,2.8333333333333335,1.0666666666666667,0.006395033413189697,0.0038238738278148997,0.0020668152488184655,0.009046053361610478,0.02102175156887229,0.009085885184427727
