hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#rassismus,201,5,54,99,9,25,9
#noafd,84,4,16,58,0,5,1
#hanau,74,11,19,27,0,11,6
#saytheirnames,43,3,8,15,0,12,5
#hatespeech,39,1,26,3,2,5,2
#diskriminierung,35,5,13,8,3,5,1
#weremember,35,10,8,6,0,8,3
#niewieder,34,3,7,16,0,6,2
#bundestag,30,1,11,12,3,2,1
#blacklivesmatter,29,0,7,17,2,3,0
#afd,29,0,3,1,14,8,3
#dieletzteinstanz,25,0,6,15,1,3,0
#rechtsextremismus,24,0,16,5,0,3,0
#antisemitismus,24,0,6,13,2,2,1
#cdu,23,0,6,10,4,2,1
#corona,18,0,2,9,5,1,1
#nonazis,18,1,4,13,0,0,0
#linke,18,0,0,18,0,0,0
#tagderbefreiung,17,1,4,7,0,5,0
#sophiescholl,16,2,2,4,0,6,2
#holocaustgedenktag,16,2,3,8,0,2,1
#antifa,15,0,0,15,0,0,0
#uefa,15,1,7,3,0,1,3
#antiziganismus,14,0,7,2,0,5,0
#migrationshintergrund,14,1,1,3,7,1,1
#nazis,13,1,1,7,2,1,1
#taggegenrassismus,13,0,3,6,0,4,0
#solidarität,13,0,2,8,0,2,1
#8mai,12,1,2,7,0,2,0
#keinvergessen,12,1,2,7,0,1,1
#georgefloyd,11,0,3,5,0,3,0
#worldagainstracism,11,0,0,11,0,0,0
#verfassungsschutz,11,0,1,6,1,1,2
#spd,11,1,2,0,3,5,0
#btw21,10,1,2,5,0,2,0
#roma,10,0,5,1,0,4,0
#amthor,9,0,0,7,0,1,1
#demokratie,9,1,2,1,1,4,0
#unteilbar,9,0,0,9,0,0,0
#polizeiproblem,9,0,0,9,0,0,0
#maaßen,9,0,4,4,1,0,0
#polizei,9,0,1,8,0,0,0
#saynotoracism,9,0,3,1,0,3,2
#triell,9,1,7,1,0,0,0
#utøya,8,0,2,4,0,2,0
#hanauwarkeineinzelfall,8,0,1,7,0,0,0
#auschwitz,8,1,2,5,0,0,0
#grundgesetz,8,0,1,3,0,2,2
#berlin,8,0,1,4,3,0,0
#keinplatzfürhass,7,0,1,5,0,1,0
#aufstehengegenrassismus,7,0,0,7,0,0,0
#lübcke,7,0,4,0,0,1,2
#linkebpt,7,0,0,7,0,0,0
#bundeswehr,7,1,2,3,0,0,1
#münchen,7,0,2,4,0,1,0
#deutschland,7,0,0,2,2,2,1
#capitol,7,0,0,4,1,2,0
#frauen,7,0,4,2,0,1,0
#nazi,7,0,2,2,0,3,0
#laschet,7,1,5,0,0,0,1
#niewiederkrieg,6,0,0,5,0,1,0
#merkel,6,0,0,1,4,1,0
#halle,6,0,3,3,0,0,0
#sinti,6,0,4,1,0,1,0
#hass,6,1,1,1,0,0,3
#blutspende,6,0,6,0,0,0,0
#faschismus,6,0,0,4,1,0,1
#menschenrechte,6,1,3,0,0,2,0
#regenbogen,6,0,4,1,1,0,0
#trump,6,0,0,4,1,0,1
#nazisraus,6,0,0,6,0,0,0
#homophobie,6,0,0,4,0,2,0
#kiel,6,0,0,6,0,0,0
#thüringen,5,0,1,2,1,1,0
#groko,5,0,3,0,1,0,1
#demokratiefördergesetz,5,0,3,1,0,1,0
#cdurausausderregierung,5,0,0,5,0,0,0
#gewalt,5,0,0,2,0,1,2
#kreuzberg,5,0,5,0,0,0,0
#polizeigewalt,5,0,2,3,0,0,0
#dielinke,5,0,0,5,0,0,0
#usa,5,0,3,1,0,0,1
#palandt,5,1,1,2,0,0,1
#lgbtiq,5,1,3,1,0,0,0
#romaday,5,0,2,2,0,1,0
#fcknzs,5,0,0,5,0,0,0
#erdogan,5,0,0,5,0,0,0
#eu,5,0,0,2,0,2,1
#idahobit2021,5,2,1,0,0,2,0
#idahobit,5,2,0,1,0,2,0
#oslo,5,0,1,4,0,0,0
#regenbogenfarben,5,1,2,1,1,0,0
#kassel,5,0,1,4,0,0,0
#wagenknecht,5,0,0,5,0,0,0
#queer,5,0,0,5,0,0,0
#hanauistueberall,4,0,0,4,0,0,0
#artikel3,4,0,2,2,0,0,0
#csu,4,0,2,1,1,0,0
#seehofer,4,0,2,2,0,0,0
#csd,4,1,1,0,0,1,1
#luebcke,4,2,1,1,0,0,0
#fckafd,4,0,0,4,0,0,0
#atlanta,4,0,1,2,0,1,0
#wirsindviele,4,0,0,4,0,0,0
#union,4,0,1,3,0,0,0
#niewiederfaschismus,4,0,0,4,0,0,0
#bundesregierung,4,0,2,1,1,0,0
#sachsenanhalt,4,0,0,3,1,0,0
#oez,4,0,1,3,0,0,0
#iwgr2021,4,0,3,0,0,1,0
#ungarn,4,0,1,3,0,0,0
#giffey,4,0,2,1,0,1,0
#nsu,4,0,1,3,0,0,0
#gegenrassismus,4,1,1,0,0,2,0
#blm,4,0,0,1,3,0,0
#meinestimmegegenhass,4,0,2,1,0,1,0
#friedrichshain,4,0,3,1,0,0,0
#vielfalt,4,0,2,0,0,1,1
#badenwuerttemberg,4,0,1,2,0,1,0
#impfpflicht,4,0,0,0,4,0,0
#grundgesetzfüralle,4,0,4,0,0,0,0
#rotekartegegenrechts,4,0,0,0,0,4,0
#rechtsextreme,4,0,3,1,0,0,0
#dbdk21,4,0,4,0,0,0,0
#abstammungsrecht,4,0,3,0,0,0,1
#weisserose,4,0,1,3,0,0,0
#pride,4,1,1,0,0,0,2
#trier,3,0,0,3,0,0,0
#npd,3,0,0,0,0,3,0
#rassismustoetet,3,0,0,3,0,0,0
#gerhun,3,0,1,0,0,0,2
#19februar,3,1,1,1,0,0,0
#gemeinsamgegenrassismus,3,0,0,0,0,3,0
#20juli,3,1,1,0,0,0,1
#türkei,3,0,0,3,0,0,0
#christchurch,3,0,1,1,0,1,0
#zusammenhalt,3,0,0,0,1,2,0
#e0105,3,0,0,3,0,0,0
#tareqalaows,3,0,1,2,0,0,0
#racialprofiling,3,0,2,1,0,0,0
#zusammengegenrassismus,3,0,0,2,0,1,0
#covid19,3,0,0,2,1,0,0
#nrw,3,0,0,1,0,2,0
#europa,3,0,1,0,0,2,0
#agg,3,0,3,0,0,0,0
#ouryjalloh,3,0,1,2,0,0,0
#trumpslastday,3,0,1,2,0,0,0
#sowjetunion,3,0,0,2,0,1,0
#servicetweet,3,1,0,2,0,0,0
#solingen,3,0,1,1,0,1,0
#scholz,3,1,1,0,0,1,0
#orban,3,0,2,1,0,0,0
#maassen,3,0,2,1,0,0,0
#sachsen,3,0,0,3,0,0,0
#england,3,0,1,1,1,0,0
#frankfurt,3,0,0,1,0,2,0
#landtagswahl2021,3,0,2,0,0,1,0
#leipzig,3,0,1,2,0,0,0
#lgbti,3,0,1,0,0,2,0
#bka,3,0,0,2,0,1,0
#porajmos,3,0,0,2,0,1,0
#hansscholl,3,0,1,1,0,0,1
#baerbock,3,0,3,0,0,0,0
#niemalsvergessen,3,0,1,0,0,1,1
#bernhard,3,0,0,0,3,0,0
#meinungsfreiheit,3,0,1,2,0,0,0
#maunz,3,0,1,2,0,0,0
#ausgrenzung,3,1,0,0,0,2,0
#wegmit219a,3,0,0,3,0,0,0
#hessensozial,3,0,0,3,0,0,0
#neveragain,3,0,2,1,0,0,0
#lsbti,3,0,1,0,0,0,2
#cannabis,3,0,1,1,0,0,1
#fff,3,1,0,0,0,2,0
#holocaustmemorialday,3,0,1,1,0,1,0
#antifeminismus,3,0,2,1,0,0,0
#bundestagswahl,3,0,1,2,0,0,0
#weißerose,3,1,1,1,0,0,0
