,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.0,0.1,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0008747287883978533,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-01-31,0.0,0.1,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0008747287883978533,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-01,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0012966697166678955,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-02,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0012966697166678955,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-03,0.0,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0016512796457459097,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-04,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0016512796457459097,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-05,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0016512796457459097,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-06,0.03333333333333333,0.16666666666666666,0.1,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0016512796457459097,0.0007481792058154714,0.00021645021645021648,0.0,0.0
2021-02-07,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0016512796457459097,0.00108831526023724,0.00021645021645021648,0.0,0.0
2021-02-08,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0016512796457459097,0.00108831526023724,0.00021645021645021648,0.0,0.0
2021-02-09,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0016512796457459097,0.00108831526023724,0.00021645021645021648,0.0,0.0
2021-02-10,0.03333333333333333,0.2,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0018649548594211233,0.00108831526023724,0.00021645021645021648,0.0,0.0
2021-02-11,0.03333333333333333,0.2,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0018649548594211233,0.00108831526023724,0.00021645021645021648,0.0,0.0
2021-02-12,0.03333333333333333,0.3,0.2,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0025360957990184386,0.0016303206802914408,0.00021645021645021648,0.0,0.0
2021-02-13,0.06666666666666667,0.43333333333333335,0.3333333333333333,0.06666666666666667,0.0,0.0,0.0011035730438715514,0.0035777624656851055,0.0026969873469581073,0.0006383911447202587,0.0,0.0
2021-02-14,0.1,0.43333333333333335,0.36666666666666664,0.06666666666666667,0.0,0.0,0.0019165811739528522,0.0035777624656851055,0.0030114527557631387,0.0006383911447202587,0.0,0.0
2021-02-15,0.16666666666666666,0.6,0.5,0.13333333333333333,0.0,0.0,0.0033054700628417414,0.005993221402883174,0.004045044487029289,0.001233629239958354,0.0,0.0
2021-02-16,0.2,0.6,0.5,0.16666666666666666,0.06666666666666667,0.0,0.004099120856492535,0.005993221402883174,0.004045044487029289,0.0015541420604711744,0.0006230529595015575,0.0
2021-02-17,0.2,0.6,0.5333333333333333,0.16666666666666666,0.06666666666666667,0.0,0.004099120856492535,0.005993221402883174,0.0042333684041667655,0.0015541420604711744,0.0006230529595015575,0.0
2021-02-18,0.23333333333333334,0.6,0.6,0.16666666666666666,0.06666666666666667,0.0,0.004912128986573836,0.005993221402883174,0.004663475931048486,0.0015541420604711744,0.0006230529595015575,0.0
2021-02-19,0.23333333333333334,0.6,0.6,0.2,0.06666666666666667,0.0,0.004912128986573836,0.005993221402883174,0.004663475931048486,0.0018085949866798257,0.0006230529595015575,0.0
2021-02-20,0.23333333333333334,0.6,0.6,0.2,0.06666666666666667,0.0,0.004912128986573836,0.005993221402883174,0.004663475931048486,0.0018085949866798257,0.0006230529595015575,0.0
2021-02-21,0.23333333333333334,0.6333333333333333,0.6333333333333333,0.2,0.06666666666666667,0.0,0.004912128986573836,0.006288206653620637,0.005192576460149015,0.0018085949866798257,0.0006230529595015575,0.0
2021-02-22,0.23333333333333334,0.6333333333333333,0.6333333333333333,0.2,0.06666666666666667,0.0,0.004912128986573836,0.006288206653620637,0.005192576460149015,0.0018085949866798257,0.0006230529595015575,0.0
2021-02-23,0.23333333333333334,0.6333333333333333,0.6333333333333333,0.2,0.06666666666666667,0.0,0.004912128986573836,0.006288206653620637,0.005192576460149015,0.0018085949866798257,0.0006230529595015575,0.0
2021-02-24,0.23333333333333334,0.6333333333333333,0.6333333333333333,0.2,0.06666666666666667,0.0,0.004912128986573836,0.006288206653620637,0.005192576460149015,0.0018085949866798257,0.0006230529595015575,0.0
2021-02-25,0.23333333333333334,0.6,0.6,0.2,0.06666666666666667,0.0,0.004912128986573836,0.006048398500143419,0.005041746897554746,0.0018085949866798257,0.0006230529595015575,0.0
2021-02-26,0.26666666666666666,0.6,0.6,0.2,0.1,0.0,0.005458577074005529,0.006048398500143419,0.005041746897554746,0.0018085949866798257,0.0007569217680691612,0.0
2021-02-27,0.26666666666666666,0.6,0.6,0.16666666666666666,0.1,0.0,0.005458577074005529,0.006048398500143419,0.005041746897554746,0.0015921447702296092,0.0007569217680691612,0.0
2021-02-28,0.26666666666666666,0.5333333333333333,0.5666666666666667,0.16666666666666666,0.1,0.0,0.005458577074005529,0.005413477865222784,0.004888841698777987,0.0015921447702296092,0.0007569217680691612,0.0
