,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-26,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.00027670171555063645,0.0001740341106856944,0.0,0.0,0.0
2021-01-27,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0002664535038635758,0.00016758840288252054,0.0,0.0,0.0
2021-01-28,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.00025693730729701953,0.0001616031027795734,0.00023191094619666049,0.0,0.0
2021-01-29,0.0,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0009048918500667448,0.00031420837383209685,0.00022391401701746532,0.0,0.0
2021-01-30,0.0,0.1,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0008747287883978533,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-01-31,0.0,0.1,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0008747287883978533,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-01,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0012966697166678955,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-02,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0012966697166678955,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-03,0.0,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0016512796457459097,0.00030373476137102694,0.00021645021645021648,0.0,0.0
2021-02-04,0.03333333333333333,0.16666666666666666,0.1,0.03333333333333333,0.0,0.0,0.0004975124378109452,0.0016512796457459097,0.0005215996851183036,0.00021645021645021648,0.0,0.0
2021-02-05,0.06666666666666667,0.16666666666666666,0.1,0.03333333333333333,0.0,0.0,0.0011511072090527755,0.0016512796457459097,0.0005215996851183036,0.00021645021645021648,0.0,0.0
2021-02-06,0.06666666666666667,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0011511072090527755,0.0016512796457459097,0.0009660441295627482,0.00021645021645021648,0.0,0.0
2021-02-07,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0011511072090527755,0.0016512796457459097,0.0013061801839845167,0.00021645021645021648,0.0,0.0
2021-02-08,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0011511072090527755,0.0016512796457459097,0.0013061801839845167,0.00021645021645021648,0.0,0.0
2021-02-09,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0011511072090527755,0.0016512796457459097,0.0013061801839845167,0.00021645021645021648,0.0,0.0
2021-02-10,0.06666666666666667,0.2,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0011511072090527755,0.0018649548594211233,0.0013061801839845167,0.00021645021645021648,0.0,0.0
2021-02-11,0.06666666666666667,0.2,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0011511072090527755,0.0018649548594211233,0.0013061801839845167,0.00021645021645021648,0.0,0.0
2021-02-12,0.06666666666666667,0.3,0.23333333333333334,0.03333333333333333,0.0,0.03333333333333333,0.0011511072090527755,0.0025360957990184386,0.0018481856040387175,0.00021645021645021648,0.0,0.00019960079840319363
2021-02-13,0.1,0.5,0.4,0.1,0.0,0.03333333333333333,0.0017571678151133813,0.004098595799018439,0.003181518937372051,0.0010603320729903009,0.0,0.00019960079840319363
2021-02-14,0.16666666666666666,0.5,0.43333333333333335,0.1,0.0,0.03333333333333333,0.003383184075275983,0.004098595799018439,0.0034959843461770824,0.0010603320729903009,0.0,0.00019960079840319363
2021-02-15,0.26666666666666666,0.6666666666666666,0.5666666666666667,0.16666666666666666,0.0,0.03333333333333333,0.005466517408609316,0.006514054736216507,0.004529576077443232,0.001655570168228396,0.0,0.00019960079840319363
2021-02-16,0.3,0.7,0.6,0.2,0.06666666666666667,0.03333333333333333,0.00626016820226011,0.0068763735767962166,0.004759461134914497,0.0019760829887412166,0.0006230529595015575,0.00019960079840319363
2021-02-17,0.3,0.7,0.6333333333333333,0.2,0.06666666666666667,0.03333333333333333,0.00626016820226011,0.0068763735767962166,0.004947785052051973,0.0019760829887412166,0.0006230529595015575,0.00019960079840319363
