hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#einfamilienhaus,20,9,3,0,2,0,6
#einfamilienhäuser,15,6,4,1,2,0,2
#grüne,9,6,0,0,1,0,2
#grünen,9,6,0,0,1,0,2
#verbotspartei,9,6,0,0,2,0,1
#hofreiter,6,3,1,0,1,0,1
#verbot,5,3,0,0,1,0,1
#einfamilienhäusern,5,4,0,0,1,0,0
#linke,4,4,0,0,0,0,0
#baukindergeld,3,3,0,0,0,0,0
#gruenen,3,1,0,0,1,0,1
#eigenheim,3,1,1,0,0,0,1
#habeck,3,1,0,0,0,0,2
#cdu,3,0,2,1,0,0,0
#csu,2,0,0,1,0,0,1
#hamburg,2,1,0,0,0,0,1
#familien,2,1,0,0,0,0,1
#einfamilienhaeuser,2,1,0,0,1,0,0
#reihenhaus,1,0,0,0,0,0,1
#mars,1,1,0,0,0,0,0
#ltwbw21,1,0,1,0,0,0,0
#marzahn,1,0,0,0,1,0,0
#mittelschicht,1,1,0,0,0,0,0
#mussmanwissen,1,0,1,0,0,0,0
#r2g,1,1,0,0,0,0,0
#ltbw21,1,1,0,0,0,0,0
#linken,1,1,0,0,0,0,0
#mars2021,1,1,0,0,0,0,0
#afd,1,0,0,0,1,0,0
#silberhorn,1,1,0,0,0,0,0
#kreuzzug,1,0,0,0,1,0,0
#wohnträume,1,0,0,0,0,0,1
#wohnen,1,0,0,0,1,0,0
#wohneigentum,1,0,0,0,0,0,1
#wahlkampf,1,0,0,0,0,0,1
#vermögenssteuer,1,1,0,0,0,0,0
#verfassungsschutz,1,0,0,0,1,0,0
#verbrenner,1,0,0,0,1,0,0
#verbotsparteien,1,1,0,0,0,0,0
#verbieterpolitik,1,0,0,0,0,0,1
#unwählbar,1,1,0,0,0,0,0
#union,1,1,0,0,0,0,0
#tweetsaufzimiakblumeniveau,1,0,1,0,0,0,0
#tvduell,1,1,0,0,0,0,0
#thread,1,0,0,0,0,0,1
#steuersatz,1,1,0,0,0,0,0
#spd,1,1,0,0,0,0,0
#heuchler,1,0,0,0,1,0,0
#kretschmann,1,1,0,0,0,0,0
#konservatismus,1,1,0,0,0,0,0
#aschermittwoch,1,0,0,0,0,0,1
#augenaufbeiderwahl,1,1,0,0,0,0,0
#ausgründen,1,0,1,0,0,0,0
#automobilindustrie,1,0,0,0,1,0,0
#berufspendler,1,1,0,0,0,0,0
#bonn,1,0,1,0,0,0,0
#bürgerbeteiligung,1,1,0,0,0,0,0
#christdemokraten,1,1,0,0,0,0,0
#ddr,1,0,0,0,1,0,0
#demokratie,1,1,0,0,0,0,0
#doppelmoral,1,0,0,0,0,0,1
#dörfer,1,0,1,0,0,0,0
#effizienz,1,0,0,0,0,0,1
#eigenheime,1,1,0,0,0,0,0
#eigentum,1,1,0,0,0,0,0
#eigentumsbildung,1,1,0,0,0,0,0
#eigentumswohnung,1,0,0,0,0,0,1
#eigentümernation,1,0,0,0,0,0,1
#eisenmann,1,1,0,0,0,0,0
#energiewende,1,0,0,0,1,0,0
#enteignungsphantasien,1,0,0,0,1,0,0
#fakenews,1,0,1,0,0,0,0
#flaechenfrass,1,0,1,0,0,0,0
#grunderwerbssteuer,1,1,0,0,0,0,0
#arbeitsplatz,1,0,0,0,1,0,0
#immobilienspekulation,1,0,0,1,0,0,0
#kirchen,1,0,1,0,0,0,0
#klimakrise,1,0,1,0,0,0,0
#klimawandel,1,0,0,0,1,0,0
#wohnungsnot,1,0,0,1,0,0,0
