,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0017211703958691911,0.0033906979719787603,0.003018433179723502,0.003625204648425991,0.0023754581240667846,0.003479508564254327
2021-01-08,0.125,0.625,0.375,0.5,0.375,0.625,0.0015060240963855422,0.004715112473733163,0.0026411290322580646,0.004133592528911204,0.0020785258585584365,0.005163214061519147
2021-01-09,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.0022420304524330384,0.004191211087762812,0.0038491717523975594,0.0036743044701432926,0.0028485795419418334,0.005759114253514095
2021-01-10,0.2,0.5,0.4,0.4,0.7,0.7,0.0020178274071897344,0.003772089978986531,0.0034642545771578033,0.003306874023128963,0.006617775641801704,0.006449025612972813
2021-01-11,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.7272727272727273,0.9090909090909091,0.0018343885519906677,0.003429172708169573,0.0031493223428707305,0.003915340021026331,0.006737660395865907,0.00791333155519743
2021-01-12,0.16666666666666666,0.5,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.9166666666666666,0.0016815228393247787,0.0036845338569476502,0.0028868788142981695,0.003589061685940803,0.006176188696210415,0.007844903807394334
2021-01-13,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.0015521749286074881,0.003401108175643985,0.0030225929663289007,0.003787813825958652,0.005701097258040383,0.007241449668364001
2021-01-14,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.6428571428571429,0.7857142857142857,0.0026519590438764443,0.0031581718773837004,0.002806693468733979,0.003517255695533034,0.005645740909207801,0.0067242032634808584
2021-01-15,0.2,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.6,0.7333333333333333,0.0024751617742846815,0.0031743844551726324,0.0026195805708183807,0.003727216426941943,0.0052693581819272806,0.006275923045915468
2021-01-16,0.25,0.875,0.3125,0.625,0.6875,0.875,0.002808745413391889,0.004194648379370582,0.002455856785142232,0.004959109150258071,0.005521418644394035,0.0072041003907570185
2021-01-17,0.23529411764705882,0.8235294117647058,0.29411764705882354,0.5882352941176471,0.6470588235294118,0.8823529411764706,0.002643525094957072,0.003947904357054666,0.0023113946213103357,0.004667396847301714,0.005196629312370856,0.0073199951869834
2021-01-18,0.2222222222222222,0.8333333333333334,0.2777777777777778,0.6666666666666666,0.6111111111111112,0.8888888888888888,0.002496662589681679,0.0041225873695272,0.0021829838090153173,0.0053263706679979915,0.004907927683905809,0.007452703113488637
2021-01-19,0.21052631578947367,0.7894736842105263,0.3157894736842105,0.7894736842105263,0.631578947368421,0.8947368421052632,0.0023652592954879065,0.003905609086920505,0.0023870691906779876,0.006215626012957162,0.004972508822918839,0.007592087691779241
2021-01-20,0.25,0.8,0.3,0.85,0.6,0.85,0.0030282463307135113,0.004104029419976054,0.0022677157311440884,0.0064965606886406655,0.004723883381772897,0.007212483307190279
2021-01-21,0.23809523809523808,0.7619047619047619,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.002884044124489058,0.003908599447596243,0.0021597292677562746,0.006601279330796493,0.004498936554069426,0.007340507440134071
2021-01-22,0.22727272727272727,0.7727272727272727,0.2727272727272727,0.8636363636363636,0.6363636363636364,0.9090909090909091,0.0027529512097395556,0.004100484986378823,0.002061559755585535,0.0066677900943526635,0.004859092176541143,0.007889460544135037
2021-01-23,0.21739130434782608,0.7391304347826086,0.2608695652173913,0.8695652173913043,0.6086956521739131,0.9130434782608695,0.002633257678881314,0.003922203030449309,0.00197192672273399,0.006555348466470427,0.004647827299300224,0.008076663214008276
2021-01-24,0.25,0.7083333333333334,0.25,0.8333333333333334,0.5833333333333334,0.875,0.0031849142703035873,0.0037587779041805876,0.0018897631092867403,0.0062822089470341595,0.004454167828496047,0.0077401355800912645
2021-01-25,0.24,0.68,0.28,0.84,0.6,0.84,0.003057517699491444,0.0036084267880133643,0.002036394807137493,0.006294078483889635,0.004521399888362341,0.0074305301568876134
2021-01-26,0.23076923076923078,0.6538461538461539,0.3076923076923077,0.8846153846153846,0.7307692307692307,0.8461538461538461,0.002939920864895619,0.0034696411423205424,0.0021321060406255914,0.006617609401930079,0.005037392959230778,0.007533240923969248
2021-01-27,0.2222222222222222,0.6296296296296297,0.2962962962962963,0.9259259259259259,0.7037037037037037,0.8888888888888888,0.002831034906936522,0.003341135914827189,0.002053139150232051,0.006762376305172435,0.004850822849629638,0.007656808490392287
2021-01-28,0.2857142857142857,0.6071428571428571,0.32142857142857145,0.9285714285714286,0.7142857142857143,0.8571428571428571,0.003863713365475637,0.0032218096321547894,0.0021583841805809063,0.006752773811898651,0.004844468362009353,0.007383351044306848
2021-01-29,0.27586206896551724,0.5862068965517241,0.3793103448275862,0.896551724137931,0.6896551724137931,0.896551724137931,0.0037304818701144084,0.003110712748287383,0.0024003127235472715,0.006519919542522836,0.0046774177288366175,0.0076076799354993325
2021-01-30,0.26666666666666666,0.5666666666666667,0.36666666666666664,0.8666666666666667,0.6666666666666666,0.8666666666666667,0.003606132474443928,0.00300702232334447,0.002320302299429029,0.006302588891105408,0.004521503804542064,0.0073540906043160215
2021-01-31,0.26666666666666666,0.5666666666666667,0.36666666666666664,0.8666666666666667,0.6666666666666666,0.8666666666666667,0.003606132474443928,0.00300702232334447,0.002320302299429029,0.006302588891105408,0.004521503804542064,0.0073540906043160215
2021-02-01,0.23333333333333334,0.5,0.36666666666666664,0.9333333333333333,0.7666666666666667,0.8666666666666667,0.0032045260487411167,0.0024323096796663095,0.002320302299429029,0.006819384756738483,0.005230723662698092,0.0073540906043160215
2021-02-02,0.23333333333333334,0.5333333333333333,0.3333333333333333,0.9666666666666667,0.7666666666666667,0.8666666666666667,0.0032045260487411167,0.0029031446865837906,0.0017826678908268788,0.006872836506255362,0.005230723662698092,0.0073540906043160215
2021-02-03,0.23333333333333334,0.5333333333333333,0.36666666666666664,1.0,0.8,0.8666666666666667,0.0032045260487411167,0.0029031446865837906,0.0019936383549619,0.007133253172922028,0.005424522112310495,0.0073540906043160215
2021-02-04,0.23333333333333334,0.5333333333333333,0.36666666666666664,0.9666666666666667,0.8333333333333334,0.8,0.0032045260487411167,0.0029031446865837906,0.0019936383549619,0.00692093894786895,0.005639575875751355,0.006789118852903592
