hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#wirecard,24,5,5,7,2,3,2
#cdu,20,3,1,6,2,6,2
#btw21,12,1,5,5,0,0,1
#wegenmorgen,11,8,2,1,0,0,0
#bundestag,11,0,4,2,3,1,1
#spd,10,3,0,1,0,5,1
#cdupt21,9,6,1,1,0,1,0
#fdp,9,0,0,0,1,2,6
#klimaschutz,7,0,3,2,0,1,1
#csu,7,0,0,4,0,3,0
#laschet,7,0,2,2,0,2,1
#scholz,6,6,0,0,0,0,0
#marsalek,6,0,2,3,0,1,0
#corona,6,0,0,3,0,3,0
#bonn,5,0,5,0,0,0,0
#cumex,5,2,3,0,0,0,0
#baerbock,5,1,0,1,0,1,2
#spahn,5,0,0,4,0,1,0
#merkel,5,0,1,2,2,0,0
#clubhouse,4,0,1,1,0,1,1
#berlin,4,0,0,0,1,2,1
#allesistdrin,4,0,4,0,0,0,0
#kiel,4,0,0,4,0,0,0
#bundestagswahl,4,0,2,0,0,2,0
#btw2021,3,1,1,1,0,0,0
#eu,3,0,0,1,0,1,1
#bundesliga,3,0,1,0,1,1,0
#machtdaslandgerecht,3,0,0,3,0,0,0
#ua1bt,3,0,0,2,0,0,1
#scholzpacktdasan,3,0,0,0,0,3,0
#merz,3,1,1,0,0,0,1
#grüne,3,0,0,1,0,2,0
#demokratie,3,0,1,2,0,0,0
#dielinke,3,0,0,3,0,0,0
#covid19,3,0,3,0,0,0,0
#coronawarnapp,3,0,1,2,0,0,0
#grünen,3,1,0,0,0,1,1
#ichbinhanna,3,0,1,2,0,0,0
#gruenen,3,0,0,0,0,3,0
#mietendeckel,3,0,0,2,0,1,0
#gruene,3,0,0,0,0,1,2
#cdukorruption,3,0,0,3,0,0,0
#söder,3,0,1,0,0,0,2
#cducsu,3,0,0,1,0,2,0
#biden,3,0,2,1,0,0,0
#triell,3,1,1,0,0,1,0
#lucaapp,3,0,1,2,0,0,0
#essen,3,2,1,0,0,0,0
#annewill,3,0,1,1,0,0,1
#bahn,3,0,1,1,0,1,0
#ey,3,0,1,0,0,2,0
#klimaschutzgesetz,3,0,1,1,0,0,1
#lockdown,3,0,1,0,1,0,1
#linkebpt,3,0,0,3,0,0,0
#linke,3,0,0,3,0,0,0
#ausgangssperren,2,0,0,0,2,0,0
#transparenz,2,0,1,1,0,0,0
#gkv,2,0,2,0,0,0,0
#emix,2,0,0,2,0,0,0
#digitalausschuss,2,0,0,1,0,1,0
#rlp,2,0,0,1,0,1,0
#altona,2,2,0,0,0,0,0
#afghanistan,2,0,0,2,0,0,0
#ausrespekt,2,0,0,0,0,2,0
#giffey,2,1,1,0,0,0,0
#greennewdeal,2,0,0,2,0,0,0
#aufbruchsklima,2,0,0,2,0,0,0
#finanzausschuss,2,0,1,1,0,0,0
#aserbaidschanconnection,2,0,0,0,0,2,0
#hochwasser,2,0,2,0,0,0,0
#aserbaidschan,2,0,0,1,0,1,0
#olafscholz,2,0,2,0,0,0,0
#literaturschneeball,2,1,1,0,0,0,0
#cduparteitag,2,1,0,1,0,0,0
#frauentag,2,0,1,0,0,1,0
#cdurausausderregierung,2,0,0,2,0,0,0
#aral,2,2,0,0,0,0,0
#digitalisierung,2,0,1,0,1,0,0
#china,2,1,0,0,0,0,1
#bundesverfassungsgericht,2,0,0,2,0,0,0
#kukies,2,1,0,0,0,0,1
#guterplan,2,2,0,0,0,0,0
#köln,2,0,2,0,0,0,0
#klimagerechtigkeit,2,0,0,2,0,0,0
#wahlkampf,2,1,0,0,0,0,1
#vielzutun,2,0,0,0,0,0,2
#bildungabersicher,2,0,0,2,0,0,0
#spdbpt21,2,0,0,0,0,2,0
#klimakrise,2,0,1,1,0,0,0
#vermögensteuer,2,0,0,1,0,0,1
#notbremse,2,0,1,0,0,0,1
#lieferkettengesetz,2,0,1,0,0,1,0
#rtltriell,2,0,0,0,0,2,0
#warburg,2,1,1,0,0,0,0
#bmf,2,0,1,0,1,0,0
#kanzlerkandidatin,2,0,1,0,0,0,1
#parlament,2,0,0,1,0,0,1
#hartaberfair,2,0,2,0,0,0,0
#nordstream2,2,0,2,0,0,0,0
#gemeinwohlökonomie,2,0,0,2,0,0,0
#hatespeech,2,0,2,0,0,0,0
#klimawandel,2,0,1,1,0,0,0
#werteunion,2,0,1,1,0,0,0
#darmstadt,2,0,1,0,0,1,0
#bafin,2,1,0,1,0,0,0
#badenwürttemberg,2,0,0,0,0,2,0
#habeck,2,0,0,1,0,1,0
#badenwuerttemberg,2,0,0,0,0,2,0
#wisszeitvg,2,0,0,2,0,0,0
#parteispenden,1,0,0,0,0,1,0
#nurderrwe,1,1,0,0,0,0,0
#prenzlauerbergost,1,0,0,1,0,0,0
#orban,1,0,0,0,0,0,1
#nurdiebesten,1,0,0,0,1,0,0
#obertshausen,1,1,0,0,0,0,0
#parteien,1,0,0,0,0,1,0
#payyourworkers,1,0,1,0,0,0,0
#parlamentarierinnen,1,0,0,1,0,0,0
#plattformökonomie,1,0,0,0,0,1,0
#parität,1,0,0,1,0,0,0
#paritaetsgesetz,1,0,0,1,0,0,0
#panorama,1,0,0,1,0,0,0
#ots,1,0,0,0,0,1,0
#podcast,1,1,0,0,0,0,0
#podiumsdiskussion,1,1,0,0,0,0,0
#politikwechsel,1,0,0,1,0,0,0
#osze,1,0,0,0,0,1,0
#osterlockdown,1,0,0,0,0,0,1
#osiander,1,0,0,0,0,1,0
#opensource,1,0,0,1,0,0,0
#opengov,1,0,0,1,0,0,0
#praktikum,1,1,0,0,0,0,0
#26september,1,0,0,0,0,1,0
#moenchengladbach,1,0,1,0,0,0,0
#nuesslein,1,0,0,1,0,0,0
#ltwst,1,0,0,0,0,0,1
#maxotte,1,0,1,0,0,0,0
#mathildenhöhe,1,0,1,0,0,0,0
#maskendeals,1,0,0,1,0,0,0
#maskenaffäre,1,0,0,0,0,1,0
#maskenaffaere,1,0,1,0,0,0,0
#masken,1,0,1,0,0,0,0
#markuslanz,1,0,0,0,0,0,1
#magdeburg,1,1,0,0,0,0,0
#maaßen,1,0,1,0,0,0,0
#ltwst21,1,0,0,0,0,0,1
#ltwmv21,1,0,1,0,0,0,0
#merkeljünger,1,0,0,0,1,0,0
#ltwbw21,1,0,1,0,0,0,0
#ltwbw,1,0,0,1,0,0,0
#lro,1,0,1,0,0,0,0
#lockerungen,1,0,0,1,0,0,0
#lockdownverlaengerung,1,0,0,0,0,0,1
#lobbyregister,1,0,0,1,0,0,0
#linksrutsch,1,0,0,1,0,0,0
#linksextremistenbande,1,0,0,0,1,0,0
#linkeräumen,1,0,0,0,1,0,0
#lindneroderlinke,1,0,0,1,0,0,0
#may,1,1,0,0,0,0,0
#militär,1,0,0,1,0,0,0
#nordhessen,1,0,0,0,0,1,0
#mut,1,0,0,0,0,1,0
#norbertusgymnasium,1,1,0,0,0,0,0
#nocovid,1,0,0,0,0,0,1
#niemehrcducsu,1,0,0,1,0,0,0
#neonazi,1,0,0,1,0,0,0
#nato2030,1,1,0,0,0,0,0
#naloxon,1,0,0,1,0,0,0
#nachhaltigkeit,1,1,0,0,0,0,0
#münster,1,0,1,0,0,0,0
#münchen,1,0,1,0,0,0,0
#mysocialeurope,1,0,0,0,0,1,0
#mpkretschmann,1,0,0,0,0,1,0
#mindestlohn,1,0,0,1,0,0,0
#mpk,1,1,0,0,0,0,0
#momentum,1,0,0,0,0,1,0
#moldau,1,0,0,0,0,1,0
#prämiensparer,1,0,1,0,0,0,0
#modernisierung,1,1,0,0,0,0,0
#mobilität,1,0,1,0,0,0,0
#mittelstand,1,0,1,0,0,0,0
#mitbestimmung,1,0,0,0,0,1,0
#missionen,1,0,0,0,0,1,0
#ministerpräsidenten,1,1,0,0,0,0,0
#pressefreiheit,1,0,0,0,0,0,1
#seehofer,1,0,0,0,1,0,0
#pua,1,0,0,0,1,0,0
#ukraine,1,0,0,0,0,1,0
#verbotspartei,1,0,1,0,0,0,0
#verantwortung,1,0,0,0,0,0,1
#usa,1,0,1,0,0,0,0
#untersuchungsausschuss,1,1,0,0,0,0,0
#unserestimmeimbundestag,1,1,0,0,0,0,0
#uno,1,0,0,0,0,1,0
#union,1,0,1,0,0,0,0
#unesco,1,0,1,0,0,0,0
#un,1,0,0,0,0,1,0
#umgangsrecht,1,0,0,0,0,0,1
#umgang,1,0,0,0,0,0,1
#umfaller,1,0,0,0,1,0,0
#twitterpause,1,1,0,0,0,0,0
#qualität,1,0,1,0,0,0,0
#tuerkei,1,0,1,0,0,0,0
#trumpbanned,1,0,0,0,1,0,0
#trassenpreissenkung,1,0,0,0,0,0,1
#transparenzoffensive,1,0,0,0,0,1,0
#tiktok,1,1,0,0,0,0,0
#tempusfugit,1,1,0,0,0,0,0
#technologieoffenheit,1,0,0,0,0,0,1
#teamneu,1,0,1,0,0,0,0
#teammerz,1,1,0,0,0,0,0
#teamlaschetspahn,1,1,0,0,0,0,0
#teamkrötenwanderung,1,0,1,0,0,0,0
#teamcdu,1,1,0,0,0,0,0
#versorgungssicherheit,1,0,0,0,0,0,1
#verteidigungsausschuss,1,0,1,0,0,0,0
#volkspartei,1,1,0,0,0,0,0
#volt,1,0,0,0,0,1,0
#zukunftsprogramm,1,0,0,0,0,1,0
#zukunft,1,0,0,0,0,1,0
#zinsstreit,1,0,1,0,0,0,0
#zensur,1,0,0,0,1,0,0
#zeichenundwunder,1,0,1,0,0,0,0
#woraufesjetztankommt,1,1,0,0,0,0,0
#woistjanmarsalek,1,0,1,0,0,0,0
#wk194,1,0,0,0,1,0,0
#wissler,1,0,0,1,0,0,0
#wirtschaftsprüfern,1,0,1,0,0,0,0
#wirtschaftspolitik,1,0,1,0,0,0,0
#wirsindbereit,1,0,1,0,0,0,0
#wirholendasdirektmandat,1,0,0,0,1,0,0
#windkraft,1,0,0,1,0,0,0
#wien,1,0,0,0,0,0,1
#wetter,1,1,0,0,0,0,0
#welterbe,1,0,1,0,0,0,0
#weimar,1,0,0,0,1,0,0
#wechselmodell,1,0,0,0,0,0,1
#washington,1,0,0,0,0,1,0
#wambach,1,0,0,0,0,0,1
#wamangituka,1,0,0,0,1,0,0
#wahlprogramm,1,0,0,0,0,0,1
#wahlbeobachter,1,0,0,1,0,0,0
#vonwegenmorgen,1,0,0,0,0,1,0
#tatort,1,0,0,0,0,0,1
#tabaksteuerreform,1,1,0,0,0,0,0
#systemchange,1,0,0,1,0,0,0
#sicherheit,1,0,1,0,0,0,0
#shetransformsit,1,0,1,0,0,0,0
#seenotrettung,1,0,0,1,0,0,0
#ldk21nrw,1,0,1,0,0,0,0
#schwarmintelligenz,1,1,0,0,0,0,0
#schutzschirmfuerausbildung,1,0,0,0,0,1,0
#schulen,1,0,1,0,0,0,0
#schnelltests,1,0,1,0,0,0,0
#scheuer,1,0,0,1,0,0,0
#schalomaleikum,1,0,1,0,0,0,0
#schadstoffe,1,0,1,0,0,0,0
#safesport,1,0,1,0,0,0,0
#sachsen,1,0,0,0,0,1,0
#russland,1,0,0,0,0,0,1
#ruhrgebiet,1,1,0,0,0,0,0
#rotrotgrün,1,0,0,1,0,0,0
#roettgang,1,1,0,0,0,0,0
#rietzschel,1,1,0,0,0,0,0
#respekt,1,0,1,0,0,0,0
#reproduktivegerechtigkeit,1,0,0,1,0,0,0
#reichenunion,1,0,0,1,0,0,0
#refugeeswelcome,1,0,0,1,0,0,0
#rechtsterror,1,0,0,1,0,0,0
#ramelüringen,1,0,0,0,1,0,0
#ramelow,1,0,0,0,1,0,0
#r2g,1,0,0,0,0,0,1
#shutdown,1,0,1,0,0,0,0
#soeder,1,0,0,0,0,1,0
#syrien,1,0,0,1,0,0,0
#soedervslaschet,1,0,1,0,0,0,0
#suifra,1,0,0,0,1,0,0
#stufenplan,1,0,0,0,0,0,1
#strukturwandel,1,0,0,0,0,1,0
#strenz,1,0,0,0,0,1,0
#stilbruch,1,1,0,0,0,0,0
#steuerzahler,1,1,0,0,0,0,0
#steuertransparenz,1,0,1,0,0,0,0
#steuerreform,1,0,0,0,0,0,1
#sternfahrt2021,1,0,0,0,0,1,0
#staatstrojaner,1,0,0,1,0,0,0
#staatsleistungen,1,0,0,0,0,0,1
#staatsfunk,1,0,0,0,1,0,0
#spreadshirt,1,0,0,0,1,0,0
#sportausschuss,1,0,1,0,0,0,0
#sport,1,0,1,0,0,0,0
#spdfraktion,1,0,0,0,0,1,0
#spdbt,1,0,0,0,0,1,0
#sparkassen,1,0,1,0,0,0,0
#spacs,1,0,1,0,0,0,0
#sozialpartner,1,0,0,0,0,1,0
#sozialepolitikfürdich,1,0,0,0,0,1,0
#sozi,1,0,0,0,1,0,0
#sonicht,1,1,0,0,0,0,0
#sommertour,1,0,0,1,0,0,0
#solidarität,1,0,0,0,0,1,0
#lernrückstände,1,0,1,0,0,0,0
#kanzlerin,1,0,0,0,0,0,1
#lasttweet,1,1,0,0,0,0,0
#bureg,1,0,1,0,0,0,0
#cybersicherheit,1,0,0,0,0,1,0
#covidー19,1,0,0,0,1,0,0
#covidioten,1,0,0,0,1,0,0
#cospudenersee,1,0,0,1,0,0,0
#coronavirus,1,0,1,0,0,0,0
#coronagipfel,1,0,0,1,0,0,0
#commerzbank,1,0,0,0,1,0,0
#comic,1,0,0,1,0,0,0
#co2preis,1,0,1,0,0,0,0
#ceta,1,0,0,1,0,0,0
#cduvorsitz,1,1,0,0,0,0,0
#cdunwaehlbar,1,0,0,1,0,0,0
#cdukorrupt,1,0,0,1,0,0,0
#cdugoesmerz,1,0,1,0,0,0,0
#cducsuabwaehlen,1,0,0,1,0,0,0
#cduaustritt,1,0,0,0,1,0,0
#cbcr,1,0,1,0,0,0,0
#bürokratieabbau,1,0,0,0,0,0,1
#bürgerräte,1,0,1,0,0,0,0
#bürgerrechte,1,0,0,1,0,0,0
#bürgerrat,1,0,0,1,0,0,0
#bw,1,0,0,1,0,0,0
#bvv,1,1,0,0,0,0,0
#bvt,1,0,0,1,0,0,0
#bverfg,1,0,0,0,0,0,1
#dageförde,1,0,0,1,0,0,0
#danke,1,0,0,1,0,0,0
#daswichtigejetzt,1,0,0,0,0,1,0
#direktmandat,1,0,1,0,0,0,0
#emotet,1,0,0,0,0,1,0
#em2020,1,0,0,0,0,1,0
#einheitsmedien,1,0,0,0,1,0,0
#egoismus,1,0,0,0,0,1,0
#ecuador,1,0,0,1,0,0,0
#dsfa,1,0,0,1,0,0,0
#drughecking,1,0,0,1,0,0,0
#drogenkonsumräume,1,0,0,1,0,0,0
#drehtag,1,1,0,0,0,0,0
#dl21,1,0,0,0,0,1,0
#diskussion,1,0,0,1,0,0,0
#digitaltransformation,1,0,0,0,1,0,0
#db,1,0,0,0,0,0,1
