hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#corona,17,4,1,7,0,1,4
#bundestag,17,0,7,2,1,3,4
#lobbyland,9,0,0,0,0,9,0
#bonn,9,0,9,0,0,0,0
#klimaschutz,8,2,4,2,0,0,0
#spd,7,0,2,0,0,3,2
#berlin,6,0,3,1,0,1,1
#initiative,6,0,0,3,0,3,0
#afghanistan,6,0,3,1,0,1,1
#demokratiefördergesetz,5,0,1,2,0,2,0
#grundgesetz,5,0,1,4,0,0,0
#eu,5,0,2,0,0,0,3
#pandemie,5,1,1,2,0,0,1
#dwenteignen,5,0,0,5,0,0,0
#noafd,5,0,0,3,0,2,0
#covid19,5,0,1,4,0,0,0
#cdu,5,0,2,2,0,0,1
#bundeswehr,5,3,1,0,0,0,1
#transparenz,4,1,2,0,0,1,0
#bildung,4,0,2,1,0,1,0
#atomwaffen,4,0,1,2,0,1,0
#belarus,4,0,1,0,0,0,3
#dresden,4,0,0,4,0,0,0
#wohnen,4,0,1,2,0,1,0
#grüne,4,0,2,2,0,0,0
#lieferkettengesetz,4,0,2,1,0,1,0
#vielzutun,4,0,0,0,0,0,4
#demokratie,4,0,0,0,0,4,0
#peoplesvaccine,3,0,0,3,0,0,0
#pflege,3,0,0,1,0,2,0
#btw21,3,0,1,2,0,0,0
#friedrichshain,3,0,3,0,0,0,0
#bpt21,3,0,0,0,0,0,3
#saytheirnames,3,0,1,1,1,0,0
#grundgesetzfüralle,3,0,3,0,0,0,0
#bundesregierung,3,1,1,1,0,0,0
#hartziv,3,0,0,3,0,0,0
#r2g,3,0,1,2,0,0,0
#solidarität,3,0,1,2,0,0,0
#groko,3,0,2,1,0,0,0
#hanau,3,1,1,1,0,0,0
#duisburg,3,0,1,0,0,2,0
#bremen,3,0,0,3,0,0,0
#initiativen,3,2,1,0,0,0,0
#mutigemitmenschen,3,3,0,0,0,0,0
#lobbyismus,3,0,1,0,0,2,0
#afd,3,0,0,0,3,0,0
#linke,3,0,0,2,0,0,1
#menschenrechte,3,0,0,1,0,1,1
#merkel,3,0,1,0,0,0,2
#laschet,3,0,3,0,0,0,0
#mietendeckel,3,0,0,3,0,0,0
#dessau,3,0,0,3,0,0,0
#nrw,3,0,2,1,0,0,0
#kuba,3,0,0,3,0,0,0
#kreuzberg,3,0,3,0,0,0,0
#deutschland,3,1,0,2,0,0,0
#mindestlohn,3,0,0,2,0,1,0
#artikel3,3,0,2,1,0,0,0
#cducsu,3,0,2,0,0,1,0
#kinder,3,1,1,0,0,1,0
#wirgegenextremismus,3,2,0,0,0,0,1
#familienfreundlicher,2,2,0,0,0,0,0
#flutkatastrophe,2,0,1,0,0,1,0
#deinjahrfürdeutschland,2,2,0,0,0,0,0
#ltwlsa21,2,0,0,1,0,1,0
#fdp,2,0,0,1,0,0,1
#stayonboard,2,2,0,0,0,0,0
#familiennachzug,2,0,0,2,0,0,0
#solidaritaet,2,0,0,2,0,0,0
#spendenstattvernichten,2,0,2,0,0,0,0
#diskriminierung,2,1,0,0,1,0,0
#südafrika,2,0,0,2,0,0,0
#enteignung,2,2,0,0,0,0,0
#eritrea,2,0,0,2,0,0,0
#deutschewohnen,2,0,0,2,0,0,0
#digitalisierung,2,0,2,0,0,0,0
#digitalebildung,2,0,2,0,0,0,0
#165füralle,2,0,2,0,0,0,0
#h2,2,2,0,0,0,0,0
#freebelarus,2,0,0,1,0,0,1
#kultur,2,1,0,0,0,1,0
#keinvergessen,2,0,0,2,0,0,0
#neustaat,2,2,0,0,0,0,0
#kinderrechte,2,0,1,1,0,0,0
#nachhaltigkeit,2,0,1,0,0,1,0
#klimagerechtigkeit,2,0,0,2,0,0,0
#korruption,2,0,0,0,0,2,0
#miltwitter,2,2,0,0,0,0,0
#jugendliche,2,0,1,0,0,1,0
#migration,2,0,1,0,0,1,0
#metzelder,2,0,0,2,0,0,0
#merz,2,0,0,2,0,0,0
#linkebpt,2,0,0,2,0,0,0
#machtdaslandgerecht,2,0,0,2,0,0,0
#maaßen,2,0,0,0,1,1,0
#karliczek,2,0,2,0,0,0,0
#jedermensch,2,0,2,0,0,0,0
#frieden,2,0,0,2,0,0,0
#greatreset,2,0,0,0,2,0,0
#schnelltests,2,0,1,0,0,0,1
#schnelltest,2,0,0,0,0,0,2
#gebtdiepatentefrei,2,0,0,2,0,0,0
#gesetze,2,2,0,0,0,0,0
#resolution,2,0,1,0,1,0,0
#gewalt,2,1,0,1,0,0,0
#gruene,2,0,0,0,0,0,2
#idahobit2021,2,0,2,0,0,0,0
#team,2,0,0,2,0,0,0
#rassismus,2,0,1,1,0,0,0
#heimat,2,2,0,0,0,0,0
#profitlobby,2,0,0,0,0,2,0
#henryreeve,2,0,0,2,0,0,0
#pressefreiheit,2,0,1,1,0,0,0
#tatort,2,0,0,1,1,0,0
#frauen,2,1,0,1,0,0,0
#bureg,2,1,0,0,0,0,1
#volksinitiative,2,0,0,2,0,0,0
#uiguren,2,1,1,0,0,0,0
#biden,2,0,0,2,0,0,0
#un,2,0,1,1,0,0,0
#unteilbar,2,0,0,2,0,0,0
#wohnungslosigkeit,2,0,0,2,0,0,0
#bundestagsfraktion,2,0,0,0,2,0,0
#bildungspolitik,2,0,1,0,0,1,0
#xinjiang,2,1,1,0,0,0,0
#unterstützung,2,0,0,1,0,1,0
#usa,2,0,1,1,0,0,0
#braun,2,0,2,0,0,0,0
#brandenburg,2,1,0,1,0,0,0
#bmbf,2,0,1,0,0,1,0
#atomwaffenverbotsvertrag,2,0,0,2,0,0,0
#cannabis,2,0,1,1,0,0,0
#wirdankeneuch,2,2,0,0,0,0,0
#clubkultur,2,0,0,2,0,0,0
#zwangsräumungen,2,0,0,2,0,0,0
#thüringen,2,0,0,0,0,0,2
#clubs,2,0,0,2,0,0,0
#parisagreement,1,0,0,0,0,1,0
#nomoreemptypromises,1,0,1,0,0,0,0
#wasserstoffmonitor,1,1,0,0,0,0,0
#nomaaßen,1,0,0,0,0,1,0
#nocovid,1,0,0,1,0,0,0
#weltgesundheitstag,1,0,0,1,0,0,0
#weltkindertag,1,0,1,0,0,0,0
#niewieder,1,0,0,0,0,1,0
#nichtgeimpften,1,0,0,0,1,0,0
#nichtegalwerregiert,1,0,0,1,0,0,0
#neustartkultur,1,0,0,0,0,1,0
#weltwirtschaftsforum,1,0,0,0,1,0,0
#nonazis,1,0,1,0,0,0,0
#weremember,1,0,0,0,0,1,0
#netzdg,1,0,0,0,0,1,0
#wald,1,1,0,0,0,0,0
#pflegestärken,1,0,1,0,0,0,0
#werhatdergibt,1,0,0,1,0,0,0
#nawalny,1,0,1,0,0,0,0
#nauen,1,1,0,0,0,0,0
#pflegetariftreuegesetz,1,0,0,0,0,1,0
#pinkwashing,1,0,1,0,0,0,0
#nahostkonflikt,1,0,0,1,0,0,0
#nahdran,1,0,0,1,0,0,0
#weltfrauentag,1,0,0,0,0,0,1
#welt,1,0,0,1,0,0,0
#noprofitonpandemic,1,0,0,1,0,0,0
#patentschutzes,1,0,0,1,0,0,0
#wef,1,0,0,0,1,0,0
#ouryjalloh,1,0,0,1,0,0,0
#oury,1,0,0,1,0,0,0
#wehrdienst,1,1,0,0,0,0,0
#weimar,1,0,0,0,0,0,1
#pariserklimaabkommen,1,0,0,1,0,0,0
#patente,1,0,0,1,0,0,0
#ortskräfte,1,0,0,0,0,0,1
#ontheroth,1,0,0,0,0,1,0
#onlinespielen,1,0,1,0,0,0,0
