hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
initiative,601,85,170,162,11,98,75
ich,184,27,49,58,4,23,23
mein,59,11,12,17,2,10,7
unterstützen,52,17,10,18,0,7,0
danken,51,9,24,8,0,9,1
wichtig,49,13,18,6,0,8,4
bundestag,45,5,16,7,1,4,12
innen,40,0,16,16,0,8,0
brauchen,34,3,8,15,0,5,3
jahr,33,5,12,4,2,8,2
mensch,33,5,14,10,0,4,0
in,32,6,10,10,0,3,3
corona,27,4,5,7,0,3,8
gemeinsam,24,6,8,4,0,4,2
eine,23,1,7,4,1,7,3
spd,23,0,8,4,0,6,5
und,23,3,8,3,0,3,6
pandemie,22,4,6,2,0,2,8
deutschland,21,5,2,12,0,1,1
heute,21,4,10,5,0,2,0
unterstützung,20,4,6,6,0,4,0
bundesregierung,20,1,6,11,0,0,2
freuen,19,3,5,5,0,4,2
uhr,19,2,11,5,0,0,1
the,19,2,4,4,0,9,0
privat,19,2,1,1,0,2,13
sein,18,3,4,2,0,5,4
cdu,18,2,8,4,0,3,1
gute,18,4,6,3,0,2,3
zeigen,18,2,8,0,0,3,5
sehr,17,3,7,3,0,2,2
stark,17,3,6,2,0,3,3
sozial,17,0,4,11,0,2,0
auf,16,1,4,6,1,3,1
im,16,3,6,2,1,3,1
stehen,16,2,3,8,0,1,2
dank,16,1,4,3,2,2,4
antrag,16,0,5,4,1,0,6
weg,15,4,2,0,0,2,7
land,15,2,5,2,0,2,4
grün,14,0,8,4,0,1,1
grundgesetz,14,0,6,6,0,2,0
zeit,14,2,1,8,0,1,2
frau,14,5,4,3,0,2,0
vorschlag,14,5,3,1,0,0,5
für,14,1,2,3,0,2,6
ein,14,2,3,3,0,4,2
finden,13,2,3,4,1,0,3
starten,13,1,1,2,1,5,3
mal,13,1,2,4,0,4,2
eu,13,0,4,4,0,0,5
berlin,13,1,4,3,0,3,2
neu,13,1,4,5,0,2,1
auch,13,4,1,3,0,2,3
bringen,13,4,3,1,0,1,4
engagieren,13,3,4,3,0,3,0
haben,13,0,2,2,1,1,7
to,13,3,1,2,0,7,0
politik,13,1,5,1,0,1,5
fordern,13,1,4,7,0,0,1
sprechen,12,2,5,0,0,4,1
aber,12,2,2,5,1,1,1
als,12,2,2,6,0,1,1
mit,12,1,2,5,0,2,2
of,12,2,3,3,0,4,0
woche,12,1,5,2,1,2,1
toll,12,1,3,3,0,1,4
hier,12,1,5,3,0,2,1
ergreifen,12,0,2,4,1,4,1
thema,12,3,2,4,0,0,3
setzen,12,1,7,1,0,2,1
morgen,12,3,3,3,0,3,0
lobbyland,12,0,0,0,0,12,0
rassismus,12,1,2,7,0,2,0
impfstoff,11,0,1,8,0,1,1
stellen,11,1,4,2,0,1,3
regierung,11,3,1,4,0,0,3
and,11,3,1,2,0,5,0
einbringen,11,0,4,2,0,0,5
mehr,11,2,2,4,0,2,1
engagement,11,1,7,3,0,0,0
tun,11,1,3,2,0,2,3
stadt,11,1,6,2,0,2,0
klimaschutz,11,4,4,2,0,1,0
demokratie,11,0,0,2,0,7,2
2020,11,1,2,4,0,2,2
einsetzen,10,2,5,2,0,1,0
buchen,10,0,0,0,0,10,0
kollege,10,4,1,1,3,0,1
sich,10,0,3,6,0,0,1
klaren,10,4,1,1,1,3,0
bund,10,1,5,2,0,0,2
kultur,10,4,1,4,0,1,0
all,10,1,3,4,0,2,0
wer,10,2,1,5,0,2,0
abgeordnete,10,0,4,5,0,1,0
so,10,2,4,3,0,0,1
leben,10,2,2,1,0,2,3
erfolgen,10,1,0,5,0,1,3
kein,10,0,1,1,0,2,6
debatte,10,1,3,4,0,1,1
kampf,10,2,2,1,0,3,2
sichern,10,2,0,2,0,3,3
global,10,1,3,5,0,1,0
frage,9,2,4,2,0,0,1
dringen,9,1,1,4,0,1,2
nrw,9,1,4,1,0,1,2
ablehnen,9,0,7,0,0,0,2
zukunft,9,1,1,3,0,4,0
kind,9,1,6,1,0,1,0
blockieren,9,0,3,5,0,1,0
parlament,9,0,4,3,0,0,2
19,9,0,4,4,0,1,0
was,9,0,1,5,1,0,2
viel,9,0,2,2,0,4,1
gerne,9,4,2,1,0,1,1
fdp,9,0,1,4,0,0,4
csu,9,0,5,1,0,1,2
spenden,9,0,2,2,0,0,5
geben,9,1,3,1,1,2,1
deshalb,9,2,1,1,0,3,2
gesetz,9,2,4,2,0,0,1
grüne,9,0,5,1,0,2,1
wto,9,0,0,9,0,0,0
bonn,9,0,9,0,0,0,0
malen,8,1,0,6,0,0,1
letzte,8,1,5,0,0,1,1
liegen,8,1,3,1,0,2,1
wissen,8,1,4,2,1,0,0
unterschreiben,8,0,1,7,0,0,0
wohnen,8,0,1,5,0,1,1
vereinen,8,3,3,2,0,0,0
öffentlich,8,2,2,1,0,1,2
unternehmen,8,3,0,1,0,3,1
afd,8,0,3,1,3,0,1
gut,8,3,4,0,0,1,0
teilen,8,0,1,3,0,2,2
kommune,8,0,6,0,0,2,0
da,8,0,2,2,1,3,0
beginnen,8,3,0,3,0,2,0
staat,8,1,2,2,0,1,2
voll,8,2,2,2,0,1,1
linke,8,0,0,5,1,1,1
schützen,7,2,3,1,0,0,1
monat,7,1,1,4,0,1,0
artikel,7,0,1,3,1,2,0
vor,7,1,3,2,0,0,1
tagen,7,0,1,2,0,4,0
sehen,7,0,0,7,0,0,0
politisch,7,0,2,1,0,1,3
am,7,1,1,2,0,1,2
umsetzen,7,2,0,1,0,2,2
heimat,7,5,0,0,0,1,1
parlamentarische,7,0,3,2,1,0,1
partei,7,2,1,3,0,1,0
helfen,7,1,2,3,0,0,1
enden,7,0,2,3,0,1,1
kraft,7,1,1,4,1,0,0
weiterhin,7,1,3,1,0,2,0
verbinden,7,0,3,4,0,0,0
familie,7,1,3,1,0,1,1
letzt,7,3,2,0,0,2,0
live,7,1,3,1,0,2,0
einfach,7,0,4,2,0,0,1
genau,7,0,0,2,0,2,3
südafrika,7,0,0,7,0,0,0
transparenz,7,1,4,1,0,1,0
einsatz,7,2,1,3,0,1,0
jetzt,7,1,1,2,0,1,2
wahlkreis,7,0,3,0,0,4,0
15,7,0,3,2,0,1,1
begrüßen,7,1,1,2,1,1,1
gespräch,7,1,1,4,0,1,0
sache,7,2,4,0,0,0,1
afghanistan,7,0,3,1,0,1,2
bekämpfung,7,0,1,3,0,0,3
solidarität,7,0,3,4,0,0,0
besuchen,7,0,1,2,0,4,0
deutsch,7,1,0,2,0,3,1
bleiben,7,0,3,1,0,0,3
union,7,1,2,3,0,0,1
bildung,7,1,4,1,0,1,0
aktuell,7,3,1,2,0,1,0
konkrete,6,1,1,3,0,0,1
beschluss,6,1,2,3,0,0,0
berliner,6,0,2,4,0,0,0
wenn,6,0,2,3,0,0,1
2021,6,1,4,1,0,0,0
treffen,6,0,1,4,0,1,0
europäisch,6,0,4,1,0,0,1
lockdown,6,0,1,3,0,1,1
entscheidung,6,0,3,2,0,0,1
zum,6,1,3,1,0,1,0
beschließen,6,0,0,3,0,2,1
diskutieren,6,0,1,2,0,3,0
gewalt,6,1,1,2,0,2,0
hören,6,0,0,4,0,1,1
dazu,6,1,2,0,0,2,1
denn,6,1,1,3,0,0,1
europa,6,0,2,1,0,2,1
unterschrift,6,1,0,4,0,1,0
super,6,0,4,1,0,1,0
zustimmen,6,2,0,2,0,0,2
ca,6,1,3,2,0,0,0
problem,6,0,1,4,0,0,1
wort,6,2,1,1,0,0,2
notwendig,6,0,3,2,0,1,0
wie,6,0,1,2,0,2,1
arbeit,6,2,1,0,0,3,0
kämpfen,6,1,0,4,0,1,0
antwort,6,1,0,5,0,0,0
danke,6,2,1,2,0,1,0
stärkung,6,0,2,1,0,0,3
bekommen,6,1,0,2,0,1,2
alle,6,4,0,0,0,1,1
nächst,6,1,1,2,0,2,0
zeichen,6,0,2,3,0,1,0
podcast,6,0,0,0,0,6,0
bayer,6,1,2,0,2,0,1
gestern,6,0,0,5,0,1,0
scheitern,6,0,2,2,0,1,1
jung,6,2,1,0,0,1,2
solidarisch,6,0,1,5,0,0,0
stärken,6,3,2,0,0,1,0
diese,6,1,1,3,0,0,1
aktiv,6,0,3,1,0,1,1
angehörige,6,2,2,0,0,1,1
hilfe,6,2,1,0,0,3,0
bewerben,6,0,2,1,0,2,1
bundeswehr,6,4,1,0,0,0,1
stimmen,6,0,0,3,0,2,1
beispiel,6,0,3,0,0,1,2
verschieden,6,0,2,3,0,1,0
sammeln,6,1,0,4,0,0,1
geld,6,0,2,2,0,1,1
überall,5,1,2,1,0,1,0
atomwaffen,5,0,1,3,0,1,0
hass,5,0,2,1,0,2,0
betroffene,5,2,0,2,0,1,0
soziale,5,1,0,3,0,1,0
minister,5,0,1,0,0,3,1
kritisieren,5,0,1,2,0,0,2
lage,5,0,3,1,0,1,0
stelle,5,2,1,1,1,0,0
