,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.06666666666666667,0.5666666666666667,0.5,0.36666666666666664,1.1333333333333333,0.8333333333333334,0.0009510956879377932,0.0044701208042312035,0.0029170905529336947,0.002354314600691412,0.007378841319480384,0.005256536660201261
2021-01-31,0.06666666666666667,0.5666666666666667,0.5333333333333333,0.36666666666666664,1.1333333333333333,0.8333333333333334,0.0009510956879377932,0.0044701208042312035,0.003279409393513405,0.002354314600691412,0.007378841319480384,0.005256536660201261
2021-02-01,0.06666666666666667,0.5666666666666667,0.5666666666666667,0.36666666666666664,1.1,0.8333333333333334,0.0009510956879377932,0.0044701208042312035,0.0035319346460386575,0.002354314600691412,0.006956900391210341,0.005256536660201261
2021-02-02,0.06666666666666667,0.5666666666666667,0.5666666666666667,0.4,1.1333333333333333,0.8666666666666667,0.0009510956879377932,0.0044701208042312035,0.0035319346460386575,0.002636800476397627,0.007174765314957618,0.005525353864502336
2021-02-03,0.06666666666666667,0.6,0.5666666666666667,0.4,1.1666666666666667,0.8666666666666667,0.0009510956879377932,0.004824730733309217,0.0035319346460386575,0.002636800476397627,0.007368563764570022,0.005525353864502336
2021-02-04,0.06666666666666667,0.6,0.5333333333333333,0.4,1.1333333333333333,0.8666666666666667,0.0009510956879377932,0.004824730733309217,0.003413731336345986,0.002636800476397627,0.007173631990690879,0.005525353864502336
2021-02-05,0.06666666666666667,0.6,0.5,0.4,1.1333333333333333,0.8666666666666667,0.0009510956879377932,0.004824730733309217,0.003330812596710828,0.002636800476397627,0.007173631990690879,0.005525353864502336
2021-02-06,0.06666666666666667,0.6,0.5333333333333333,0.4,1.1,0.8666666666666667,0.0009510956879377932,0.004824730733309217,0.0037694090879388984,0.002636800476397627,0.006935536752595641,0.005525353864502336
2021-02-07,0.06666666666666667,0.5666666666666667,0.5,0.43333333333333335,1.1333333333333333,0.8666666666666667,0.0009510956879377932,0.004589988949271659,0.003514956161730247,0.00293178572713509,0.0073231336518204465,0.005525353864502336
2021-02-08,0.06666666666666667,0.5666666666666667,0.4666666666666667,0.43333333333333335,1.1333333333333333,0.8666666666666667,0.0009510956879377932,0.004589988949271659,0.0030645057112797963,0.00293178572713509,0.0073231336518204465,0.005525353864502336
2021-02-09,0.06666666666666667,0.5666666666666667,0.4666666666666667,0.4,1.1,0.9,0.0009510956879377932,0.004589988949271659,0.0030645057112797963,0.002498885294234657,0.006872683201369996,0.005812710186341416
2021-02-10,0.06666666666666667,0.5666666666666667,0.4666666666666667,0.4,1.0666666666666667,0.9333333333333333,0.0009510956879377932,0.004589988949271659,0.0030645057112797963,0.002498885294234657,0.0065994591576541495,0.005979376853008083
2021-02-11,0.06666666666666667,0.5666666666666667,0.4666666666666667,0.4,1.0666666666666667,0.9333333333333333,0.0009510956879377932,0.004589988949271659,0.0030645057112797963,0.002498885294234657,0.0065994591576541495,0.005979376853008083
2021-02-12,0.1,0.5666666666666667,0.4666666666666667,0.4,1.0666666666666667,0.9,0.0014205792560129107,0.004589988949271659,0.0030645057112797963,0.002498885294234657,0.0065994591576541495,0.005760078607394048
2021-02-13,0.16666666666666666,0.5666666666666667,0.43333333333333335,0.4666666666666667,1.0666666666666667,0.9,0.002753912589346244,0.004589988949271659,0.0029295529447480825,0.0033427671507747416,0.006761240041624899,0.005760078607394048
2021-02-14,0.16666666666666666,0.5666666666666667,0.43333333333333335,0.4666666666666667,1.0666666666666667,0.9,0.002753912589346244,0.004589988949271659,0.0029295529447480825,0.0035051388247743227,0.006915225548871275,0.005760078607394048
2021-02-15,0.16666666666666666,0.6,0.43333333333333335,0.4666666666666667,1.0333333333333334,0.9,0.002753912589346244,0.005102809462092172,0.0029295529447480825,0.0035051388247743227,0.006754194953058071,0.005760078607394048
2021-02-16,0.16666666666666666,0.6,0.43333333333333335,0.5,1.0,0.9,0.002753912589346244,0.005102809462092172,0.0029295529447480825,0.003831936210395238,0.006427397567437156,0.005760078607394048
2021-02-17,0.16666666666666666,0.6,0.4666666666666667,0.5,0.9,0.9333333333333333,0.002753912589346244,0.005102809462092172,0.0031107123650379377,0.003831936210395238,0.00576073090077049,0.00603556070105796
2021-02-18,0.16666666666666666,0.5666666666666667,0.43333333333333335,0.5,0.9333333333333333,0.9333333333333333,0.002753912589346244,0.004923597992558122,0.002918034137677629,0.003831936210395238,0.00601135746718653,0.00603556070105796
2021-02-19,0.16666666666666666,0.7333333333333333,0.6,1.0666666666666667,1.1333333333333333,1.0333333333333334,0.002753912589346244,0.006398524246245437,0.004284154356256864,0.00836526954372857,0.0073807941307408404,0.006883018328176604
2021-02-20,0.16666666666666666,0.7,0.6,1.1,1.1333333333333333,1.0333333333333334,0.002753912589346244,0.0059599277550173675,0.004284154356256864,0.008673911519037212,0.007546834230991467,0.006883018328176604
2021-02-21,0.16666666666666666,0.7,0.6,1.1,1.1333333333333333,1.0,0.002753912589346244,0.0059599277550173675,0.004284154356256864,0.008673911519037212,0.007546834230991467,0.006610300972444086
2021-02-22,0.16666666666666666,0.7,0.6333333333333333,1.1666666666666667,1.1,1.1,0.002753912589346244,0.0059599277550173675,0.004466303718734095,0.009269149614275307,0.00721013389429113,0.007641228807495632
2021-02-23,0.16666666666666666,0.7333333333333333,0.6666666666666666,1.1666666666666667,1.0,1.0666666666666667,0.002753912589346244,0.006271454234768146,0.004660102168346499,0.009269149614275307,0.006403682281387904,0.007184607802929423
2021-02-24,0.16666666666666666,0.7333333333333333,0.6333333333333333,1.1666666666666667,1.0,1.1,0.002753912589346244,0.006271454234768146,0.004472836250743502,0.009269149614275307,0.006403682281387904,0.007408321449461861
