,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,1.7,3.2,3.966666666666667,3.533333333333333,3.8333333333333335,3.8,0.02346091117792796,0.02625693065446776,0.02988940047121947,0.03177693387930537,0.027046854231120195,0.0359869383549551
2021-01-31,1.7333333333333334,3.066666666666667,4.0,3.6666666666666665,3.8,3.9,0.02430967661002673,0.024610840119488334,0.02873803171115506,0.030737432839804332,0.026756705783077008,0.037028605021621766
2021-02-01,1.8,2.9,4.066666666666666,3.7,3.8333333333333335,3.8333333333333335,0.025789964997816266,0.023293650612975766,0.028057172485992037,0.03013175197096557,0.0266170492786496,0.03513764573935814
2021-02-02,1.5666666666666667,2.9,4.033333333333333,3.5,3.7666666666666666,3.8,0.023135801883295094,0.023542339345115394,0.026212882299521366,0.026656319681973958,0.025552430991472187,0.03407209320664664
2021-02-03,1.4,2.7666666666666666,4.166666666666667,3.5,3.7333333333333334,3.6,0.021480989175850805,0.022150028781472243,0.027069363781002848,0.026085743839277326,0.025358632541859785,0.03099342398624514
2021-02-04,1.3,2.7666666666666666,4.133333333333334,3.433333333333333,3.8,3.433333333333333,0.021129219733172274,0.022448020318512587,0.027225481359842225,0.025926643680177167,0.025788740068741507,0.029262654755475907
2021-02-05,1.2666666666666666,2.533333333333333,4.1,3.2333333333333334,4.066666666666666,3.566666666666667,0.020659736165097156,0.021200248482505457,0.028140398300562353,0.02561409642000678,0.027901977708294935,0.031278316995857244
2021-02-06,1.2333333333333334,2.533333333333333,4.1,3.3333333333333335,4.033333333333333,3.3333333333333335,0.02009476441368473,0.02135107804509973,0.02837939399338723,0.029122593152032923,0.02799090484541484,0.031294246904260276
2021-02-07,1.2333333333333334,2.4,3.966666666666667,3.3,3.9,3.2666666666666666,0.02009476441368473,0.020589876531812885,0.02736158228855262,0.028918912859857055,0.026989612855750758,0.03072525686158602
2021-02-08,1.2666666666666666,2.466666666666667,4.033333333333333,3.7333333333333334,3.966666666666667,3.2,0.020679559735322154,0.021660647821757674,0.027742534669505003,0.033388419960943105,0.02757426830766285,0.029992656128985287
2021-02-09,1.3333333333333333,2.7333333333333334,4.2,3.8333333333333335,4.066666666666666,3.2333333333333334,0.021772455910185545,0.02472578192137453,0.02895907968167045,0.0338687615371751,0.0283250190584136,0.030134468339763017
2021-02-10,1.3666666666666667,2.933333333333333,4.2,3.933333333333333,3.933333333333333,3.3666666666666667,0.022413481551211187,0.026041571395058742,0.028772989044583683,0.033959886857658224,0.02723212288355021,0.03054355924885393
2021-02-11,1.3,3.033333333333333,4.233333333333333,3.966666666666667,4.033333333333333,3.4,0.021500239542078765,0.02680488231495028,0.02882498176560274,0.034058585107764924,0.02742921576356992,0.030752300279512767
2021-02-12,1.3,2.933333333333333,4.133333333333334,3.966666666666667,3.466666666666667,3.3333333333333335,0.021500239542078765,0.026247577796954875,0.028696973573078422,0.03403833544128884,0.02430352728593167,0.03023491399944133
2021-02-13,1.2666666666666666,2.9,4.033333333333333,3.8666666666666667,3.466666666666667,3.3666666666666667,0.02094468398652321,0.025997448597988467,0.028428165216978666,0.03358308338710274,0.02511243170578542,0.030618055761893435
2021-02-14,1.2666666666666666,2.933333333333333,3.966666666666667,3.7333333333333334,3.4,3.433333333333333,0.021313247672160068,0.02667665444960811,0.027992435369484113,0.03268218248620184,0.024695765039118755,0.0313346419132622
2021-02-15,1.2666666666666666,2.9,3.966666666666667,3.7333333333333334,3.4,3.5,0.021815217426893834,0.02742374394321571,0.0279204605606672,0.03278943259345195,0.02513859917760507,0.03226269082689906
2021-02-16,1.3,2.9,4.233333333333333,3.7666666666666666,3.4,3.5,0.022648550760227166,0.02742374394321571,0.029608913719708595,0.03311622997907286,0.025102288356980522,0.032293826015889655
2021-02-17,1.2666666666666666,2.9,4.266666666666667,3.8333333333333335,3.4,3.3666666666666667,0.02226095386100236,0.027540258634198487,0.029810511638697818,0.03369061792634217,0.025170664425356593,0.030832690597534986
2021-02-18,1.3,2.8666666666666667,4.366666666666666,3.7333333333333334,3.3666666666666667,3.3,0.0231381468434585,0.027835957558929668,0.030447650071502765,0.033228525194512595,0.025099498857115002,0.030234952921145627
2021-02-19,1.3,2.8333333333333335,4.333333333333333,3.6,3.2,3.2,0.02326286339674648,0.02776049621571776,0.031053028835030035,0.032508998567293654,0.024027959130113092,0.02970343344448788
2021-02-20,1.2666666666666666,2.8333333333333335,4.266666666666667,3.533333333333333,3.1666666666666665,3.066666666666667,0.022656802790685875,0.027275951520646748,0.031218573167241033,0.031940447560146155,0.02394337266394768,0.02839518971688931
2021-02-21,1.2,2.7333333333333334,4.3,3.4,2.933333333333333,3.066666666666667,0.02191606204994513,0.026469008396728562,0.0322449100144734,0.030819999380874447,0.022494097301628838,0.028497004196362787
2021-02-22,1.1333333333333333,2.7333333333333334,4.266666666666667,3.5,2.933333333333333,3.066666666666667,0.020394463081537653,0.026794177899980256,0.031100848288352367,0.03171285652373159,0.02244374958772972,0.028361244152240773
2021-02-23,1.1333333333333333,2.7333333333333334,4.166666666666667,3.5,2.966666666666667,3.1333333333333333,0.020828407150968706,0.026683763451460996,0.029492844936162967,0.031883796694671764,0.02265238383584399,0.028481593874374503
2021-02-24,1.2,2.8,4.0,3.5,2.7333333333333334,3.033333333333333,0.02209738104289342,0.02754956431726186,0.02855651534814799,0.031802946613821687,0.021185463075444968,0.027470739619672377
2021-02-25,1.1666666666666667,2.7333333333333334,3.966666666666667,3.6333333333333333,2.966666666666667,3.066666666666667,0.021076972879628116,0.02737545328799781,0.029223530455542397,0.03286836899158002,0.02248659028961566,0.027278329853218024
