hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#eu,780,190,120,167,54,114,135
#europa,343,98,101,29,13,61,41
#usa,110,59,21,19,2,2,7
#frontex,85,0,6,51,0,24,4
#deutschland,82,22,11,15,14,7,13
#corona,82,24,8,14,8,15,13
#bundestag,72,15,24,6,9,8,10
#brexit,72,16,8,4,6,15,23
#impfstoff,71,15,19,15,6,2,14
#russland,62,14,6,17,5,10,10
#belarus,58,13,8,7,0,16,14
#china,58,17,18,5,1,8,9
#klimaschutz,58,9,33,5,1,8,2
#covid19,55,16,6,4,3,10,16
#afd,51,1,1,1,43,0,5
#bundesregierung,50,0,23,12,4,1,10
#menschenrechte,43,2,10,21,0,9,1
#türkei,42,3,9,20,1,8,1
#afghanistan,36,4,6,8,3,10,5
#erdogan,35,1,9,20,0,2,3
#nato,34,10,6,11,0,3,4
#merkel,34,6,5,5,10,1,7
#nordstream2,32,5,18,1,1,0,7
#astrazeneca,30,6,7,6,4,2,5
#btw21,30,4,13,3,2,2,6
#pushbacks,29,0,0,21,0,7,1
#nawalny,28,2,6,4,0,3,13
#biden,27,6,9,3,2,2,5
#ungarn,27,1,8,7,0,5,6
#demokratie,27,4,13,3,0,4,3
#polen,23,1,7,4,1,5,5
#sputnikv,22,1,1,10,4,5,1
#laschet,21,2,16,0,1,1,1
#cdu,21,5,5,5,3,1,2
#libyen,21,1,1,17,0,2,0
#cofoe,21,9,1,0,0,2,9
#mittelmeer,21,0,0,20,1,0,0
#lukaschenko,20,1,5,3,0,2,9
#fdp,20,0,7,0,5,0,8
#orban,19,0,9,2,0,1,7
#griechenland,19,1,7,8,1,2,0
#spd,19,9,3,1,0,4,2
#pandemie,19,9,3,3,1,1,2
#leavenoonebehind,18,0,8,9,0,1,0
#frontexfiles,18,0,6,12,0,0,0
#moria,18,0,2,11,1,4,0
#hongkong,18,0,5,0,0,5,8
#putin,17,4,4,3,1,0,5
#impfstrategie,16,2,2,1,2,4,5
#vielzutun,16,0,0,0,0,0,16
#biontech,16,4,1,6,1,1,3
#allesistdrin,15,0,15,0,0,0,0
#sanktionen,15,3,4,4,1,1,2
#europatag,15,6,3,0,0,3,3
#ukraine,15,6,2,2,0,2,3
#seenotrettung,15,0,1,9,0,4,1
#impfen,14,5,2,0,1,0,6
#triell,13,2,2,0,0,3,6
#istanbulkonvention,13,1,2,5,0,2,3
#impfpass,13,5,3,0,1,0,4
#freiheit,13,3,1,0,2,0,7
#klima,13,1,9,2,0,1,0
#impfung,13,3,1,2,5,1,1
#migration,13,2,1,0,2,5,3
#dielinke,12,0,0,12,0,0,0
