hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
eu,2593,413,455,526,212,473,514
europa,1366,291,321,178,54,323,199
ich,1049,229,203,165,63,251,138
deutschland,393,83,66,65,49,57,73
the,260,76,29,14,3,101,37
mensch,247,20,32,127,7,38,23
brauchen,240,58,62,24,2,57,37
impfstoff,235,36,44,45,18,52,40
mein,213,44,36,31,15,47,40
usa,206,65,45,42,5,22,27
jahr,194,27,38,46,7,50,26
gemeinsam,192,51,44,9,4,51,33
land,170,29,29,20,17,52,23
bundesregierung,167,2,56,50,20,4,35
in,151,17,27,40,6,39,22
wichtig,147,47,17,17,2,42,22
stark,145,40,29,12,2,38,24
mit,143,36,23,19,6,32,27
und,143,16,37,25,11,28,26
corona,143,29,21,17,23,24,29
europäisch,141,27,41,14,6,39,14
to,138,43,10,5,1,56,23
bundestag,137,33,36,19,14,19,16
zukunft,137,36,31,6,1,39,24
of,137,34,15,7,2,52,27
stehen,136,36,26,21,7,26,20
bleiben,134,24,28,23,4,32,23
heute,128,30,21,29,3,23,22
kommission,127,11,37,21,6,22,30
ein,126,25,27,19,3,32,20
and,119,44,13,7,0,49,6
zeigen,116,21,31,19,2,21,22
china,114,30,26,8,3,20,27
frontex,111,0,13,61,0,31,6
gut,109,25,27,10,4,24,19
klimaschutz,106,17,55,7,1,20,6
europäische,106,21,15,14,5,30,21
für,102,23,25,18,2,23,11
russland,101,18,9,29,8,22,15
klaren,101,17,26,12,1,20,25
menschenrechte,100,4,22,37,0,28,9
deutsch,97,23,11,14,14,22,13
demokratie,97,16,40,6,2,26,7
was,96,10,24,15,7,21,19
brexit,94,21,8,6,9,19,31
eine,92,18,15,21,2,17,19
weg,89,21,13,15,7,20,13
sprechen,89,17,15,14,2,25,16
wenn,87,11,23,15,5,12,21
setzen,85,15,14,11,8,19,18
reden,83,27,19,7,4,10,16
for,82,25,6,1,0,39,11
pandemie,82,25,16,9,3,18,11
tagen,82,20,20,10,1,19,12
frage,82,14,13,18,2,21,14
türkei,82,13,15,33,4,12,5
so,81,10,23,21,9,10,8
danken,81,11,17,10,7,27,9
zeit,79,12,21,14,4,13,15
aber,79,11,15,21,3,15,14
fordern,78,5,17,24,4,6,22
recht,78,5,17,27,3,12,14
geben,77,8,16,14,9,15,15
auch,76,15,10,20,4,13,14
on,74,14,6,7,2,32,13
is,74,15,9,6,2,27,15
handeln,73,11,18,12,5,12,15
leben,72,5,6,21,5,24,11
groß,72,17,13,11,6,15,10
welt,72,28,9,9,4,13,9
belarus,71,16,10,8,1,22,14
sanktion,71,10,14,13,2,16,16
im,70,21,6,16,4,15,8
merkel,70,15,7,8,24,2,14
innen,69,1,25,22,0,17,4
enden,69,9,16,15,7,12,10
staat,69,9,10,16,9,14,11
mal,69,5,20,12,7,16,9
global,69,17,29,9,0,7,7
regierung,68,8,7,18,13,12,10
afd,67,4,1,1,50,5,6
thema,66,18,17,6,1,12,12
politisch,66,8,15,21,1,10,11
jetzt,66,11,10,10,3,18,14
million,65,13,10,15,6,10,11
impfen,65,14,5,9,4,16,17
sehen,65,6,15,11,4,12,17
finden,65,13,15,15,1,10,11
wie,63,12,15,10,3,12,11
stellen,62,11,10,10,3,17,11
sein,61,9,10,9,4,16,13
warum,60,7,13,12,6,9,13
parlament,60,3,8,25,2,11,11
politik,60,9,11,20,3,8,9
we,60,26,6,4,2,17,5
wer,59,9,14,13,4,10,9
gelten,58,7,16,7,4,19,5
diese,57,8,10,24,1,9,5
