,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.8333333333333334,0.6666666666666666,1.5,2.6666666666666665,2.8333333333333335,1.3666666666666667,0.011248936875998755,0.005093698688398198,0.007652185657804507,0.019601756198272834,0.018914779455561945,0.011535778244438718
2021-01-31,0.8333333333333334,0.6666666666666666,1.5333333333333334,2.7,2.8666666666666667,1.3666666666666667,0.011248936875998755,0.005093698688398198,0.008022556028174876,0.01991921651573315,0.019419829960612447,0.011535778244438718
2021-02-01,0.8333333333333334,0.6666666666666666,1.5333333333333334,2.7,2.8,1.4,0.011488356091321586,0.005093698688398198,0.008022556028174876,0.01973901795732162,0.018575948104072364,0.01177218486382406
2021-02-02,0.8,0.6666666666666666,1.5333333333333334,2.7666666666666666,2.7,1.2666666666666666,0.011096199228576487,0.005093698688398198,0.008022556028174876,0.02028998214464944,0.017420675902951002,0.010176743268382464
2021-02-03,0.8666666666666667,0.6,1.6,2.7333333333333334,2.6333333333333333,1.4333333333333333,0.012099499558609488,0.004399254243953753,0.008462789193219631,0.019711914379081673,0.017037559892734578,0.011489079226387712
2021-02-04,0.8333333333333334,0.5333333333333333,1.4666666666666666,2.566666666666667,1.8,1.6333333333333333,0.011845046632400836,0.003843698688398198,0.00807678938266739,0.01878593889334598,0.012204509524879456,0.01251140906227687
2021-02-05,0.8666666666666667,0.5333333333333333,1.3666666666666667,2.3333333333333335,1.7333333333333334,1.6,0.012498641403642667,0.003978952627669179,0.008438858348184633,0.017833557940965028,0.012175921760442635,0.01248088403175184
2021-02-06,0.8,0.5,1.4666666666666666,2.3333333333333335,1.8,1.6333333333333333,0.011456974736976,0.003737406733949372,0.010015832913111004,0.018214166915324004,0.01297913461184826,0.013292171509705984
2021-02-07,0.8333333333333334,0.5,1.4666666666666666,2.1333333333333333,1.7666666666666666,1.6333333333333333,0.012245352804121009,0.0039061269026695405,0.010015832913111004,0.016675705376862464,0.012920995076964537,0.013327800358894155
2021-02-08,0.8666666666666667,0.5333333333333333,1.6,2.1333333333333333,1.7666666666666666,1.6333333333333333,0.01282006544779917,0.004293723801894346,0.010795560008627574,0.016675705376862464,0.012910549849128004,0.013327800358894155
2021-02-09,0.7666666666666667,0.5666666666666667,1.7,1.9666666666666666,1.9333333333333333,1.6333333333333333,0.011839673290936424,0.004672511680682225,0.011141898713744904,0.014538953240110326,0.014412051350629505,0.013190759715524396
2021-02-10,0.7333333333333333,0.6666666666666666,1.8666666666666667,2.033333333333333,2.0,1.7,0.011591411126090346,0.005251730441719168,0.012033164310892854,0.014464879166036252,0.014808876747454902,0.013519166940483347
2021-02-11,0.7,0.6666666666666666,1.9333333333333333,2.1,2.1,1.7333333333333334,0.011140960675639895,0.0053019217962583486,0.012355225502519263,0.014681445193196179,0.015308876747454903,0.013726625810556198
2021-02-12,0.7,0.7333333333333333,1.9333333333333333,2.3666666666666667,2.3333333333333335,1.8333333333333333,0.011021913056592277,0.005782697707439862,0.01305100920454233,0.016060046016241447,0.017112419420562793,0.014248163380577446
2021-02-13,0.7,0.7333333333333333,1.9333333333333333,2.2,2.3666666666666667,1.8,0.011021913056592277,0.005782697707439862,0.013177619848800034,0.014991669947865379,0.017583136443003956,0.014252419424159331
2021-02-14,0.7333333333333333,0.6666666666666666,1.9666666666666666,2.1,2.2333333333333334,1.7333333333333334,0.01183492118667358,0.005555940337825349,0.013492085257605065,0.014325003281198711,0.016760091175514243,0.013511678683418592
2021-02-15,0.8666666666666667,0.7,2.033333333333333,2.1666666666666665,2.2333333333333334,1.7333333333333334,0.014612698964451356,0.006429273402026767,0.014008881123238141,0.014957443757389189,0.017056074262195006,0.013511678683418592
2021-02-16,0.8333333333333334,0.7333333333333333,2.0,2.1666666666666665,2.1333333333333333,1.7333333333333334,0.014017460869213261,0.0067915922426064765,0.013767335229518335,0.014823275599965217,0.01604890612863181,0.013555785952296503
2021-02-17,0.8333333333333334,0.7333333333333333,1.9333333333333333,2.1666666666666665,2.1666666666666665,1.7333333333333334,0.014115500084899535,0.0067915922426064765,0.013418295089902279,0.014830162652306815,0.01633558975882689,0.013503164066854347
2021-02-18,0.8,0.7333333333333333,1.8666666666666667,2.1333333333333333,1.9666666666666666,1.7333333333333334,0.01363930960870906,0.0067915922426064765,0.013014254685861874,0.014769694020409613,0.015152853135196575,0.01352488666922211
2021-02-19,0.7666666666666667,0.7333333333333333,1.7,2.2333333333333334,1.9,1.6333333333333333,0.013292087386486835,0.006818980123469195,0.012163914549807453,0.015590267066467099,0.014719952702296143,0.012866991932380004
2021-02-20,0.7333333333333333,0.7333333333333333,1.7,2.3333333333333335,1.8,1.6,0.01269684929124874,0.006818980123469195,0.012293113516215723,0.016553766798082774,0.013973684045579724,0.012536958929079673
2021-02-21,0.6666666666666666,0.7666666666666667,1.7,2.5,1.8333333333333333,1.6333333333333333,0.011964248558648008,0.007113965374206658,0.012578905042883162,0.018694588147998566,0.01452923960113528,0.012899277769659384
2021-02-22,0.7,0.8666666666666667,1.8,2.5,1.8666666666666667,1.6666666666666667,0.012570309164708615,0.008113965374206658,0.013163700364520588,0.01885351897696732,0.014837881576443921,0.013239413824081152
2021-02-23,0.6666666666666666,0.9333333333333333,1.9333333333333333,2.433333333333333,1.8666666666666667,1.6333333333333333,0.012438034032433484,0.008731249324823942,0.01395265499962907,0.018705713566004017,0.014797759605652716,0.012630023214690544
2021-02-24,0.6666666666666666,0.9333333333333333,1.9,2.3666666666666667,1.8666666666666667,1.6333333333333333,0.012438034032433484,0.008731249324823942,0.013789256306818614,0.01825485816663603,0.014797759605652716,0.012630023214690544
