,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,1.1333333333333333,1.2333333333333334,2.1666666666666665,3.7,3.466666666666667,2.3333333333333335,0.015537495288733863,0.009682181393102658,0.01221947870978791,0.027235914136153276,0.023313725881839435,0.019503190526676786
2021-01-31,1.1333333333333333,1.2333333333333334,2.2,3.7333333333333334,3.5,2.2666666666666666,0.015537495288733863,0.009682181393102658,0.012589849080158281,0.027553374453613593,0.02381877638688994,0.018508165651054898
2021-02-01,1.1333333333333333,1.2333333333333334,2.2333333333333334,3.7333333333333334,3.533333333333333,2.3,0.015776914504056695,0.009682181393102658,0.012844302006366933,0.027373175895202058,0.023684114388505883,0.018511495321750466
2021-02-02,1.1,1.2333333333333334,2.2666666666666666,3.8,3.466666666666667,2.2,0.015384757641311595,0.009682181393102658,0.01306075222281715,0.027702109738382847,0.02274814043299856,0.017058503868759015
2021-02-03,1.1333333333333333,1.1333333333333333,2.3,3.8,3.433333333333333,2.533333333333333,0.016058024968044267,0.008640514726435991,0.01332659939727631,0.02727857493984805,0.022559943094646633,0.019683175784769514
2021-02-04,1.1,1.1,2.033333333333333,3.5,2.6666666666666665,2.8,0.015803572041835617,0.00843218139310266,0.01255459977617183,0.025503342553900042,0.018177122243234946,0.02101825784019055
2021-02-05,1.1333333333333333,1.0333333333333334,1.9333333333333333,3.1333333333333333,2.6666666666666665,2.8,0.016457166813077444,0.00820901239330554,0.013120691730194818,0.02400674391444426,0.018844170080094102,0.021521920843853553
2021-02-06,1.0333333333333334,0.9666666666666667,2.066666666666667,3.1,2.7666666666666666,2.8333333333333335,0.014894666813077445,0.007725920605865927,0.015142110739565635,0.02412693622213657,0.020048989357202538,0.022333208321807695
2021-02-07,1.0666666666666667,0.9666666666666667,2.066666666666667,2.8666666666666667,2.7,2.7666666666666666,0.015683044880222454,0.007894640774586095,0.015142110739565635,0.022332064427264774,0.01971307204454104,0.021821679844177523
2021-02-08,1.1333333333333333,1.0,2.3,2.9,2.7,2.7666666666666666,0.016832470167578776,0.0082822376738109,0.01625111448014832,0.022672200481686545,0.019702626816704503,0.021821679844177523
2021-02-09,1.0333333333333334,1.0333333333333334,2.466666666666667,2.7666666666666666,2.8666666666666667,2.8,0.016046113958428452,0.00866102555259878,0.017106359037682952,0.020549599021336736,0.02105397816805586,0.021969539485708053
2021-02-10,1.0333333333333334,1.3,2.7666666666666666,2.7666666666666666,2.966666666666667,2.966666666666667,0.016426782611192438,0.010308620382011791,0.018710637112549264,0.01962367309541081,0.02164921626329395,0.022790557548105425
2021-02-11,1.0,1.2,2.9,2.8333333333333335,3.2333333333333334,3.0,0.01597633216074199,0.009734556764469911,0.01935475949580208,0.01980074767055922,0.022982549596627284,0.022988367168407447
2021-02-12,1.0,1.3333333333333333,3.1333333333333333,3.1,3.533333333333333,3.033333333333333,0.01585728454169437,0.0106627599687163,0.02194756216801485,0.02115877236191725,0.02526918405717479,0.02304889128147164
2021-02-13,0.9666666666666667,1.3333333333333333,3.066666666666667,2.933333333333333,3.566666666666667,2.9,0.015292312790281938,0.0106627599687163,0.021794060767454625,0.020298662008136008,0.025893157784596794,0.022491349572244537
2021-02-14,1.0333333333333334,1.2666666666666666,3.1,2.9,3.4,2.8666666666666667,0.01691832905044454,0.010436002599101789,0.022108526176259656,0.020407189139918954,0.024864351200234655,0.02210521876058181
2021-02-15,1.1666666666666667,1.3,3.1666666666666665,3.066666666666667,3.433333333333333,2.9,0.01969610682822232,0.011309335663303206,0.022625322041892732,0.021932486758966575,0.025463364589945716,0.022492815659806615
2021-02-16,1.1333333333333333,1.4,3.2,3.066666666666667,3.3333333333333335,3.0,0.019100868732984222,0.012396292185042337,0.022843546263115456,0.0217983186015426,0.024444098340664043,0.023498461390222988
2021-02-17,1.1333333333333333,1.4,3.2,3.1,3.3666666666666667,3.0,0.019198907948670497,0.012396292185042337,0.02287115395777435,0.022082983431661977,0.024763012674845555,0.023393217619338675
2021-02-18,1.0666666666666667,1.4333333333333333,3.1333333333333333,3.033333333333333,3.1333333333333333,3.0,0.018246526996289543,0.012802796250082987,0.022480147115154607,0.02177560121951786,0.02337577707371013,0.0234366628240742
2021-02-19,1.0,1.4,2.966666666666667,3.066666666666667,3.033333333333333,2.933333333333333,0.01737847144073399,0.012567716939344657,0.021629806979100184,0.022201696948021106,0.02272642642435948,0.023058880132050024
2021-02-20,0.9,1.4333333333333333,2.933333333333333,3.2,2.9,2.933333333333333,0.015592757155019704,0.012876358914653298,0.021629806979100184,0.023492625557790296,0.02173140154873759,0.023115660003585562
2021-02-21,0.8333333333333334,1.4666666666666666,2.933333333333333,3.3,2.9,2.933333333333333,0.014860156422418972,0.013195326706101124,0.021915598505767627,0.02536139094190741,0.022079917766819026,0.023154354248696017
2021-02-22,0.8666666666666667,1.5666666666666667,2.966666666666667,3.2666666666666666,2.966666666666667,2.966666666666667,0.015466217028479579,0.014298774981963192,0.021584214490173084,0.02538426734910746,0.022672510359411622,0.023494490303117788
2021-02-23,0.8333333333333334,1.5666666666666667,3.1,3.1666666666666665,2.966666666666667,3.0,0.015333941896204446,0.01407217707604039,0.022373169125281568,0.024985835371728115,0.022632388388620417,0.023574410383037866
2021-02-24,0.8,1.5666666666666667,3.033333333333333,3.1,2.933333333333333,2.966666666666667,0.014975518957136346,0.01407217707604039,0.02202458524728592,0.024534979972360132,0.022410656351213188,0.023271380080007564
2021-02-25,0.8333333333333334,1.5666666666666667,3.1,3.066666666666667,3.033333333333333,2.8666666666666667,0.015642185623803016,0.01407217707604039,0.022619823342524017,0.024289881933144446,0.022978025398258207,0.022261279069906555
