,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.36666666666666664,0.4,0.5,0.43333333333333335,0.5666666666666667,0.3333333333333333,,,,,,
2021-01-31,0.36666666666666664,0.4,0.5,0.43333333333333335,0.5666666666666667,0.36666666666666664,,,,,,
2021-02-01,0.36666666666666664,0.4,0.5,0.43333333333333335,0.5666666666666667,0.36666666666666664,,,,,,
2021-02-02,0.36666666666666664,0.4,0.5,0.43333333333333335,0.6,0.36666666666666664,,,,,,
2021-02-03,0.3333333333333333,0.43333333333333335,0.5,0.4666666666666667,0.7,0.5333333333333333,,,,,,
2021-02-04,0.3,0.5333333333333333,0.5,0.5,0.5333333333333333,0.7333333333333333,,,,,,
2021-02-05,0.3333333333333333,0.4666666666666667,0.5,0.3333333333333333,0.4666666666666667,0.7,,,,,,
2021-02-06,0.3333333333333333,0.4666666666666667,0.5333333333333333,0.36666666666666664,0.4666666666666667,0.6666666666666666,,,,,,
2021-02-07,0.3333333333333333,0.4666666666666667,0.5666666666666667,0.3,0.4666666666666667,0.6333333333333333,,,,,,
2021-02-08,0.3333333333333333,0.43333333333333335,0.6,0.3,0.4666666666666667,0.6,,,,,,
2021-02-09,0.26666666666666666,0.4,0.6,0.3,0.4666666666666667,0.6,,,,,,
2021-02-10,0.26666666666666666,0.4666666666666667,0.6666666666666666,0.3,0.4,0.7,,,,,,
2021-02-11,0.23333333333333334,0.4666666666666667,0.7666666666666667,0.4,0.4,0.6666666666666666,,,,,,
2021-02-12,0.26666666666666666,0.6,0.9333333333333333,0.4,0.43333333333333335,0.6333333333333333,,,,,,
2021-02-13,0.4,0.8,1.1666666666666667,0.4,0.43333333333333335,0.6333333333333333,,,,,,
2021-02-14,0.43333333333333335,0.8333333333333334,1.2666666666666666,0.43333333333333335,0.43333333333333335,0.6666666666666666,,,,,,
2021-02-15,0.4666666666666667,1.0,1.4666666666666666,0.5333333333333333,0.4666666666666667,0.6666666666666666,,,,,,
2021-02-16,0.5,1.0333333333333334,1.4666666666666666,0.6,0.5,0.6666666666666666,,,,,,
2021-02-17,0.5333333333333333,1.0666666666666667,1.5666666666666667,0.6333333333333333,0.5,0.6333333333333333,,,,,,
2021-02-18,0.5333333333333333,1.0666666666666667,1.6333333333333333,0.6333333333333333,0.5,0.6333333333333333,,,,,,
2021-02-19,0.5,1.0666666666666667,1.6,0.6333333333333333,0.5,0.6666666666666666,,,,,,
2021-02-20,0.5,1.0666666666666667,1.5666666666666667,0.6666666666666666,0.4666666666666667,0.6666666666666666,,,,,,
2021-02-21,0.5,1.0333333333333334,1.5666666666666667,0.6666666666666666,0.4666666666666667,0.6666666666666666,,,,,,
2021-02-22,0.5,1.0,1.6333333333333333,0.6666666666666666,0.43333333333333335,0.6666666666666666,,,,,,
2021-02-23,0.4666666666666667,1.0,1.6333333333333333,0.7,0.43333333333333335,0.6333333333333333,,,,,,
2021-02-24,0.4666666666666667,1.0,1.6,0.6333333333333333,0.43333333333333335,0.6333333333333333,,,,,,
2021-02-25,0.4666666666666667,0.9666666666666667,1.5666666666666667,0.6,0.4666666666666667,0.6,,,,,,
2021-02-26,0.43333333333333335,0.9666666666666667,1.5666666666666667,0.6,0.5333333333333333,0.6666666666666666,,,,,,
2021-02-27,0.4666666666666667,0.9333333333333333,1.5666666666666667,0.5666666666666667,0.5333333333333333,0.6666666666666666,,,,,,
2021-02-28,0.4666666666666667,0.9,1.5,0.5666666666666667,0.5,0.6666666666666666,,,,,,
2021-03-01,0.4666666666666667,0.9,1.4333333333333333,0.6333333333333333,0.5,0.6666666666666666,,,,,,
2021-03-02,0.4666666666666667,0.9,1.4333333333333333,0.6333333333333333,0.5,0.6333333333333333,,,,,,
2021-03-03,0.4666666666666667,0.8666666666666667,1.4666666666666666,0.7,0.6,0.6333333333333333,,,,,,
2021-03-04,0.5,0.8666666666666667,1.4666666666666666,0.7666666666666667,0.5666666666666667,0.6333333333333333,,,,,,
2021-03-05,0.5333333333333333,0.8333333333333334,1.4666666666666666,0.7333333333333333,0.5,0.4666666666666667,,,,,,
2021-03-06,0.5,0.7333333333333333,1.4333333333333333,0.7,0.4666666666666667,0.26666666666666666,,,,,,
2021-03-07,0.4666666666666667,0.7333333333333333,1.4,0.7,0.4666666666666667,0.26666666666666666,,,,,,
2021-03-08,0.4666666666666667,0.7333333333333333,1.3666666666666667,0.6666666666666666,0.5,0.26666666666666666,,,,,,
2021-03-09,0.4666666666666667,0.7333333333333333,1.3333333333333333,0.6666666666666666,0.5,0.26666666666666666,,,,,,
2021-03-10,0.4666666666666667,0.7333333333333333,1.3,0.6666666666666666,0.5333333333333333,0.26666666666666666,,,,,,
2021-03-11,0.4666666666666667,0.7333333333333333,1.3,0.6666666666666666,0.6333333333333333,0.26666666666666666,,,,,,
2021-03-12,0.4666666666666667,0.6666666666666666,1.2333333333333334,0.7,0.6666666666666666,0.23333333333333334,,,,,,
2021-03-13,0.4666666666666667,0.6666666666666666,1.1333333333333333,0.6333333333333333,0.6666666666666666,0.23333333333333334,,,,,,
2021-03-14,0.4666666666666667,0.5333333333333333,0.9,0.6333333333333333,0.6,0.23333333333333334,,,,,,
2021-03-15,0.3333333333333333,0.36666666666666664,0.7,0.6333333333333333,0.6,0.23333333333333334,,,,,,
2021-03-16,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.6,0.6333333333333333,0.2,,,,,,
2021-03-17,0.3,0.16666666666666666,0.36666666666666664,0.5333333333333333,0.6333333333333333,0.2,,,,,,
2021-03-18,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.5,0.5666666666666667,0.23333333333333334,,,,,,
