,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0,1.4285714285714286,0.5714285714285714,,,,,,
2021-01-08,0.5,0.5,0.625,1.25,1.25,0.75,,,,,,
2021-01-09,0.4444444444444444,0.5555555555555556,0.5555555555555556,1.1111111111111112,1.1111111111111112,0.7777777777777778,,,,,,
2021-01-10,0.6,0.6,0.5,1.0,1.0,0.7,,,,,,
2021-01-11,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.9090909090909091,1.0909090909090908,0.6363636363636364,,,,,,
2021-01-12,0.5833333333333334,0.5833333333333334,0.5,0.8333333333333334,1.0,0.6666666666666666,,,,,,1.0
2021-01-13,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.8461538461538461,1.0,0.6923076923076923,,,,,,1.0
2021-01-14,0.5714285714285714,0.5,0.7142857142857143,1.0,0.9285714285714286,0.7142857142857143,,,,,,1.0
2021-01-15,0.5333333333333333,0.5333333333333333,0.7333333333333333,0.9333333333333333,0.8666666666666667,0.6666666666666666,,1.0,1.0,,,1.0
2021-01-16,0.5,0.5,0.6875,0.875,0.875,0.625,,1.0,1.0,,,1.0
2021-01-17,0.47058823529411764,0.47058823529411764,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.5882352941176471,,1.0,1.0,,,1.0
2021-01-18,0.5,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.6111111111111112,,1.0,1.0,,1.0,1.0
2021-01-19,0.5263157894736842,0.42105263157894735,0.631578947368421,0.7368421052631579,0.8947368421052632,0.631578947368421,1.0,1.0,1.0,,1.0,1.0
2021-01-20,0.55,0.4,0.7,0.8,0.85,0.6,1.0,1.0,1.0,,1.0,1.0
2021-01-21,0.5238095238095238,0.38095238095238093,0.7142857142857143,0.7619047619047619,0.8571428571428571,0.5714285714285714,1.0,1.0,1.0,,1.0,1.0
2021-01-22,0.5,0.45454545454545453,0.7272727272727273,0.7727272727272727,0.9090909090909091,0.5454545454545454,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-23,0.4782608695652174,0.5217391304347826,0.782608695652174,0.7391304347826086,0.9130434782608695,0.5217391304347826,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-24,0.5,0.5,0.75,0.75,0.875,0.5416666666666666,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-25,0.48,0.48,0.84,0.8,0.88,0.52,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-26,0.46153846153846156,0.5384615384615384,0.8461538461538461,0.8076923076923077,0.8461538461538461,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-27,0.5185185185185185,0.5185185185185185,0.8148148148148148,0.7777777777777778,0.8518518518518519,0.5185185185185185,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-28,0.5,0.5714285714285714,0.7857142857142857,0.7857142857142857,0.8214285714285714,0.5,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-29,0.4827586206896552,0.6551724137931034,0.896551724137931,0.7586206896551724,0.8620689655172413,0.4827586206896552,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-30,0.4666666666666667,0.6333333333333333,0.9333333333333333,0.7333333333333333,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-31,0.45161290322580644,0.6129032258064516,0.9354838709677419,0.7096774193548387,0.8064516129032258,0.5161290322580645,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-01,0.4375,0.625,0.90625,0.6875,0.78125,0.5,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-02,0.42424242424242425,0.6060606060606061,0.8787878787878788,0.6666666666666666,0.8181818181818182,0.48484848484848486,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-03,0.4411764705882353,0.6764705882352942,0.8823529411764706,0.6764705882352942,0.8823529411764706,0.6176470588235294,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-04,0.45714285714285713,0.7428571428571429,0.9714285714285714,0.6857142857142857,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-05,0.5,0.7222222222222222,1.0,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-06,0.4864864864864865,0.7027027027027027,1.0,0.6756756756756757,0.8648648648648649,0.8648648648648649,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-07,0.47368421052631576,0.6842105263157895,1.0,0.6578947368421053,0.8421052631578947,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-08,0.46153846153846156,0.6666666666666666,1.0,0.6410256410256411,0.8205128205128205,0.8205128205128205,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-09,0.45,0.65,1.0,0.625,0.825,0.8,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-10,0.43902439024390244,0.6585365853658537,1.048780487804878,0.6829268292682927,0.8292682926829268,0.8536585365853658,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-11,0.42857142857142855,0.6428571428571429,1.0952380952380953,0.7380952380952381,0.8095238095238095,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-12,0.4418604651162791,0.7674418604651163,1.3255813953488371,0.7441860465116279,0.8372093023255814,0.8372093023255814,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-13,0.5227272727272727,0.9090909090909091,1.4772727272727273,0.7727272727272727,0.8181818181818182,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-14,0.5333333333333333,0.9333333333333333,1.5777777777777777,0.7777777777777778,0.8,0.8222222222222222,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-15,0.5652173913043478,1.0434782608695652,1.673913043478261,0.8478260869565217,0.8260869565217391,0.8043478260869565,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-16,0.574468085106383,1.0425531914893618,1.6808510638297873,0.8936170212765957,0.851063829787234,0.7872340425531915,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-17,0.5833333333333334,1.0416666666666667,1.7083333333333333,0.8958333333333334,0.8541666666666666,0.7708333333333334,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-18,0.5918367346938775,1.0204081632653061,1.7346938775510203,0.8979591836734694,0.8367346938775511,0.7551020408163265,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-19,0.6,1.0,1.72,0.92,0.82,0.76,1.0,1.0,1.0,1.0,1.0,1.0
