hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#familien,60,13,7,13,6,5,16
#corona,33,7,4,6,4,2,10
#afghanistan,27,1,10,15,0,1,0
#giffey,26,2,4,5,5,1,9
#cdu,21,4,7,4,2,2,2
#spd,19,3,4,4,1,5,2
#einfamilienhaus,17,8,3,0,1,0,5
#triell,16,1,11,1,0,2,1
#bundestag,15,1,1,2,5,1,5
#kinder,15,0,7,0,3,1,4
#laschet,15,0,10,2,0,2,1
#kinderbonus,15,3,1,1,0,9,1
#familiennachzug,14,0,2,10,0,2,0
#einfamilienhäuser,14,6,3,1,2,0,2
#afd,13,0,0,1,11,1,0
#lockdown,13,0,2,2,3,0,6
#mali,12,3,1,4,0,2,2
#fdp,12,0,2,2,0,0,8
#loveisnottourism,11,0,0,7,0,0,4
#schulen,11,2,1,1,0,2,5
#kindergrundsicherung,11,0,5,4,0,2,0
#grüne,11,7,0,1,2,0,1
#grünen,11,5,0,1,3,0,2
#familienrecht,10,0,0,0,0,0,10
#csu,10,0,6,2,0,0,2
#familie,10,6,2,0,1,0,1
#abstammungsrecht,9,0,7,1,0,0,1
#eigenheim,9,2,1,0,0,0,6
#groko,8,0,1,4,0,1,2
#bundeswehr,8,1,0,5,1,1,0
#verbotspartei,8,6,0,0,1,0,1
#hartziv,8,0,0,3,0,0,5
#berlin,8,2,1,2,1,0,2
#merkel,8,0,0,3,5,0,0
#thueringen,8,8,0,0,0,0,0
#nodoption,7,0,5,0,0,0,2
#btw21,7,1,4,1,0,0,1
#bildung,7,2,1,1,0,2,1
#armut,7,0,0,4,1,0,2
#hofreiter,7,4,1,0,1,0,1
#heimat,7,7,0,0,0,0,0
#fdpbt,7,0,0,0,0,0,7
#klimaschutz,7,1,5,1,0,0,0
#union,7,1,4,2,0,0,0
#ortskräfte,6,0,2,2,1,1,0
#bundesregierung,6,0,0,3,1,0,2
#seehofer,6,0,2,2,0,0,2
#kinderarmut,6,0,3,2,0,1,0
#wechselmodell,6,1,0,0,0,0,5
#kita,6,0,2,0,0,2,2
#koalitionsausschuss,6,4,1,0,0,1,0
#allesistdrin,6,0,6,0,0,0,0
#familienpolitik,5,1,2,2,0,0,0
#schule,5,0,1,1,0,2,1
#coronakrise,5,0,2,3,0,0,0
#familienbericht,5,0,2,2,0,0,1
#mauerbau,5,2,2,0,0,1,0
#pandemie,5,0,1,3,0,0,1
#familienministerin,5,0,0,1,1,1,2
#einfamilienhäusern,5,4,0,0,1,0,0
#kretschmann,5,1,1,0,0,0,3
#minusma,5,1,0,1,0,1,2
#verbot,5,3,0,0,1,0,1
#noafd,5,0,1,2,0,2,0
#kitas,5,0,0,2,0,1,2
#einfamilienhaeuser,5,2,0,0,2,0,1
#karlsruhe,5,0,0,0,0,0,5
#mittelstand,5,2,1,0,1,0,1
#präsenzunterricht,5,0,1,0,0,0,4
#spahn,5,0,0,4,1,0,0
#linke,5,4,0,0,1,0,0
#baukindergeld,5,5,0,0,0,0,0
#familienunternehmen,5,0,2,0,0,0,3
#aufholpaket,5,0,0,1,0,3,1
#scholz,5,0,2,1,1,0,1
#baerbock,5,0,3,2,0,0,0
#karliczek,5,0,1,4,0,0,0
#lambrecht,4,0,0,0,0,2,2
#deutschland,4,0,0,0,2,0,2
#taliban,4,0,1,2,0,1,0
#gastronomie,4,3,0,0,0,1,0
#eltern,4,0,0,1,1,0,2
#alleinerziehende,4,0,1,3,0,0,0
#sicherheit,4,2,0,0,1,1,0
#freiheit,4,1,0,0,3,0,0
#lastenrad,4,0,4,0,0,0,0
#scholzpacktdasan,4,0,0,0,0,4,0
#mpk,4,0,1,2,0,0,1
#eu,4,0,0,1,0,1,2
#paulahatzweimamas,4,0,3,0,0,0,1
#vielzutun,4,0,0,0,0,0,4
#familienausschuss,4,0,0,4,0,0,0
#impfung,4,1,1,0,0,0,2
#kinderrechte,4,0,1,0,2,1,0
#rücktritt,4,0,0,1,1,1,1
#bonn,3,0,3,0,0,0,0
#neuruppin,3,3,0,0,0,0,0
#zukunft,3,0,0,0,3,0,0
#cducsu,3,0,2,1,0,0,0
#lastenräder,3,0,3,0,0,0,0
#gruenen,3,1,0,1,1,0,0
#gruene,3,0,0,1,1,0,1
#grenzkontrollen,3,0,0,0,0,0,3
#lesbos,3,0,0,2,0,1,0
#wegenmorgen,3,2,0,1,0,0,0
#lockdownverlaengerung,3,1,0,1,0,0,1
#sonntag,3,3,0,0,0,0,0
#dbdk21,3,0,3,0,0,0,0
#sorgearbeit,3,0,1,1,0,1,0
#familienzusammenführung,3,0,0,2,0,1,0
#bayern,3,0,0,3,0,0,0
#wirhandeln,3,3,0,0,0,0,0
#istanbulkonvention,3,0,1,2,0,0,0
#mietendeckel,3,0,0,2,0,0,1
#rodeln,3,0,0,0,3,0,0
#ganztag,3,2,0,0,0,1,0
#bretten,3,0,0,0,0,0,3
#homeoffice,3,0,2,1,0,0,0
#btw2021,3,0,1,1,0,0,1
#kindertag,3,0,0,1,0,0,2
#kindern,3,0,1,0,0,0,2
#bereitfürmehr,3,3,0,0,0,0,0
#coronazuschlag,3,0,0,1,0,2,0
#habeck,3,1,0,0,0,0,2
#marzahn,3,0,0,0,3,0,0
