,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,1.7142857142857142,0.8571428571428571,4.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.01761091959982878,0.0065440146346121926,0.013443388450144424,0.001699161807580175,0.0016515276630883566,0.002268854811227693
2021-01-08,1.8571428571428572,1.0,4.428571428571429,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.018989561823541425,0.0075430156336131916,0.01679160273585871,0.001699161807580175,0.0016515276630883566,0.003479508564254327
2021-01-09,2.0,1.0,4.285714285714286,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.020151002009371855,0.007120777772951686,0.015186466299261599,0.001699161807580175,0.0016515276630883566,0.003479508564254327
2021-01-10,1.7142857142857142,0.8571428571428571,4.428571428571429,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.016789657471556727,0.006518623035458603,0.01717059328338858,0.001699161807580175,0.0016515276630883566,0.003479508564254327
2021-01-11,1.7142857142857142,1.1428571428571428,4.285714285714286,0.2857142857142857,0.0,0.42857142857142855,0.0177202016537945,0.008879898124006419,0.016950785644776104,0.001699161807580175,0.0,0.003479508564254327
2021-01-12,0.8571428571428571,1.0,4.142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.011177126408429177,0.007689421933530229,0.01690081063228235,0.001699161807580175,0.0,0.002268854811227693
2021-01-13,0.8571428571428571,1.1428571428571428,1.2857142857142858,0.14285714285714285,0.0,0.2857142857142857,0.011177126408429177,0.008576733379847887,0.010065262459524873,0.0011160714285714285,0.0,0.002268854811227693
2021-01-14,1.0,1.0,1.2857142857142858,0.0,0.0,0.14285714285714285,0.013787598563392857,0.007541536692477286,0.010065262459524873,0.0,0.0,0.0012106537530266347
2021-01-15,0.7142857142857143,1.1428571428571428,1.0,0.0,0.5714285714285714,0.0,0.009763453694177564,0.0075143529918241985,0.007650754989870346,0.0,0.003527336860670194,2.4781763942525814e-19
2021-01-16,1.1428571428571428,1.2857142857142858,1.1428571428571428,0.0,0.5714285714285714,0.0,0.013066299222632848,0.006667328945436841,0.008892991014715067,0.0,0.003527336860670194,2.4781763942525814e-19
2021-01-17,1.1428571428571428,1.2857142857142858,1.1428571428571428,0.0,0.7142857142857143,0.0,0.013066299222632848,0.0064493928007272406,0.007944060717958683,0.0,0.004914299412681289,2.4781763942525814e-19
2021-01-18,1.0,1.0,0.8571428571428571,0.0,0.7142857142857143,0.14285714285714285,0.01098757299529981,0.004088117712179424,0.005608756186714567,0.0,0.004914299412681289,0.0013869625520110957
2021-01-19,1.0,1.0,0.7142857142857143,0.0,0.7142857142857143,0.14285714285714285,0.01098757299529981,0.004088117712179424,0.004623534511837719,0.0,0.004914299412681289,0.0013869625520110957
2021-01-20,1.0,1.2857142857142858,1.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.01098757299529981,0.0065753844435895515,0.006145671605877994,0.0016906170752324597,0.004914299412681289,0.0023268121760712463
2021-01-21,0.7142857142857143,1.4285714285714286,1.1428571428571428,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.006144957983193272,0.008480146348351456,0.007253091317948869,0.0029328531000771805,0.004914299412681289,0.0023268121760712463
2021-01-22,0.8571428571428571,1.4285714285714286,1.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.007714816695909128,0.009831209421664407,0.006319384501889112,0.0029328531000771805,0.001386962552011095,0.0023268121760712463
2021-01-23,0.2857142857142857,1.1428571428571428,1.1428571428571428,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.003250530981623414,0.009622638816397999,0.008251751651647566,0.004099033858094673,0.001386962552011095,0.004068972454816891
2021-01-24,0.42857142857142855,1.1428571428571428,1.0,1.0,0.0,0.7142857142857143,0.005518104677768539,0.010395760393041865,0.007216554964276966,0.006247261570232159,0.0,0.0077795475939634595
2021-01-25,0.2857142857142857,1.1428571428571428,1.0,1.1428571428571428,0.0,0.7142857142857143,0.0038374324088609755,0.010395760393041865,0.00726226260160764,0.007187111194292309,0.0,0.007691286340653664
2021-01-26,0.7142857142857143,1.4285714285714286,1.5714285714285714,1.1428571428571428,0.0,0.7142857142857143,0.013577692149120715,0.012451258851418021,0.009847912246080814,0.007187111194292309,0.0,0.007691286340653664
2021-01-27,0.8571428571428571,1.0,1.5714285714285714,1.0,0.0,1.0,0.01599899965517398,0.009076680673690236,0.009751915659292789,0.006248373818307971,0.0,0.009080629263177363
2021-01-28,0.8571428571428571,0.8571428571428571,1.7142857142857142,0.8571428571428571,0.0,1.0,0.01599899965517398,0.007171918768928331,0.010073067375793342,0.00500613779346325,0.0,0.009080629263177363
2021-01-29,0.7142857142857143,0.5714285714285714,2.142857142857143,0.8571428571428571,0.0,1.0,0.014429140942458127,0.004849038397267471,0.01203899136006595,0.00500613779346325,0.0,0.009080629263177363
2021-01-30,0.7142857142857143,0.42857142857142855,1.8571428571428572,0.5714285714285714,0.0,0.8571428571428571,0.014429140942458127,0.0038638167223906234,0.008864388185462774,0.0038399570354457576,0.0,0.007338468984431719
2021-01-31,0.8571428571428571,0.42857142857142855,2.0,0.42857142857142855,0.0,0.5714285714285714,0.017992471036400465,0.004287641315519015,0.010451689772764363,0.003052273540995346,0.0,0.0036278938452851514
2021-02-01,1.0,0.42857142857142855,2.2857142857142856,0.2857142857142857,0.0,0.42857142857142855,0.02073972378365321,0.004287641315519015,0.01292957660179623,0.0021124239169351957,0.0,0.0023291925465838527
2021-02-02,0.7142857142857143,0.2857142857142857,2.4285714285714284,0.2857142857142857,0.0,0.42857142857142855,0.013011536478001117,0.0037048969072164956,0.014982145881256265,0.0021124239169351957,0.0,0.0023291925465838527
2021-02-03,1.0,0.2857142857142857,2.0,0.42857142857142855,0.0,0.14285714285714285,0.016304514686233566,0.0037048969072164956,0.012891553546761492,0.0035926870748299324,0.0,0.00112485939257593
2021-02-04,1.2857142857142858,0.7142857142857143,1.8571428571428572,0.7142857142857143,0.0,0.2857142857142857,0.02056890701032738,0.00816918262150221,0.012396688934249821,0.005993647458983594,0.0,0.0019751995286303517
2021-02-05,1.4285714285714286,0.7142857142857143,1.7142857142857142,0.7142857142857143,0.0,0.2857142857142857,0.023370027458506654,0.00816918262150221,0.012893819137169332,0.005993647458983594,0.0,0.0019751995286303517
2021-02-06,1.5714285714285714,0.7142857142857143,1.8571428571428572,0.7142857142857143,0.0,0.2857142857142857,0.02571194783321391,0.00816918262150221,0.014798581041931238,0.005993647458983594,0.0,0.0019751995286303517
