hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
freiheit,1378,207,175,104,299,149,444
ich,503,70,56,19,97,78,183
demokratie,192,39,32,7,62,31,21
mein,145,23,20,10,24,21,47
mensch,140,15,22,13,22,19,49
afd,131,2,0,1,128,0,0
jahr,114,20,19,9,15,25,26
leben,105,21,14,6,20,20,24
brauchen,85,12,9,10,5,8,41
grundrechte,81,3,0,1,52,4,21
stehen,80,16,5,1,27,13,18
und,76,10,16,7,9,12,22
deutschland,73,10,4,2,34,8,15
land,69,6,9,3,10,8,33
für,69,12,10,5,22,6,14
corona,68,11,3,1,24,7,22
bürgern,65,4,1,2,47,2,9
bundestag,65,3,2,1,46,5,8
impfen,64,26,9,1,12,3,13
heute,63,15,8,6,9,10,15
schützen,57,5,26,2,9,5,10
recht,56,9,6,4,20,4,13
verantwortung,50,7,5,1,2,1,34
fdp,50,1,3,2,2,2,40
politik,50,4,15,1,11,2,17
sicherheit,49,19,11,0,7,7,5
belarus,48,9,18,2,0,12,7
tagen,48,8,8,6,6,8,12
setzen,47,6,4,3,14,0,20
pandemie,47,15,0,3,2,8,19
geimpfte,47,21,2,1,8,7,8
lassen,46,8,5,4,13,6,10
gesellschaft,45,7,4,9,6,2,17
wenn,44,5,5,2,9,5,18
bleiben,43,7,3,4,10,6,13
ein,43,7,5,3,10,5,13
klimaschutz,42,5,22,1,0,4,10
staat,42,3,2,5,3,2,27
mit,41,9,5,4,7,4,12
sich,40,8,8,5,6,5,8
in,40,6,4,1,2,5,22
frei,38,5,2,1,14,4,12
nehmen,38,3,3,0,15,5,12
lockdown,38,7,1,1,20,6,3
zukunft,38,2,13,1,11,3,8
gemeinsam,37,11,6,0,3,11,6
verteidigen,36,5,1,7,10,3,10
politisch,36,0,11,8,4,6,7
aber,36,6,5,2,7,7,9
danken,36,10,9,3,0,5,9
wer,36,4,8,1,12,1,10
wichtig,36,8,1,5,4,3,15
friede,35,11,1,7,3,10,3
gelten,34,3,4,5,5,2,15
menschenrechte,34,5,6,5,6,7,5
jed,33,5,6,2,5,1,14
eine,33,3,5,4,5,5,11
kämpfen,33,3,5,4,6,6,9
klaren,32,6,2,3,6,5,10
nein,32,3,1,2,23,0,3
partei,32,3,3,4,9,1,12
stark,32,6,5,0,4,2,15
berlin,32,7,1,0,22,1,1
zeigen,31,4,2,1,4,4,16
fordern,31,2,3,5,10,5,6
einschränkung,31,3,4,2,13,2,7
weg,31,9,0,0,11,3,8
