hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
danken,3746,686,841,544,161,599,915
ich,1833,311,347,411,103,303,358
gemeinsam,1255,322,245,266,64,219,139
unterstützen,588,106,94,173,45,116,54
mein,573,133,111,114,33,118,64
solidarität,498,43,136,184,11,100,24
unterstützung,483,98,113,92,27,94,59
vertrauen,442,80,94,69,26,69,104
schützen,436,46,93,105,43,85,64
schutz,415,58,124,71,21,85,56
tb,380,0,0,0,0,0,380
hilfe,372,77,63,75,32,64,61
sich,339,44,81,50,10,54,100
mensch,267,28,62,66,9,65,37
gerecht,264,6,64,121,8,50,15
brauchen,256,32,74,61,6,42,41
und,210,30,51,48,9,47,25
corona,179,46,26,54,7,27,19
wichtig,178,39,47,32,1,44,15
innen,168,0,66,64,1,34,3
heute,155,43,32,40,13,14,13
freuen,148,33,32,31,4,20,28
jahr,148,29,42,28,12,26,11
lieb,144,18,64,13,4,22,23
cdu,138,53,33,28,6,14,4
viel,136,16,37,19,8,37,19
dank,131,21,36,23,7,25,19
land,128,30,18,38,3,22,17
ein,125,30,28,30,4,18,15
in,125,28,16,35,7,27,12
sozial,122,4,30,73,2,10,3
mit,122,35,25,21,8,26,7
gut,120,39,23,9,5,26,18
aber,118,15,18,40,6,26,13
für,117,17,39,41,2,15,3
bundestag,115,20,25,23,16,19,12
stark,114,32,31,20,1,18,12
stehen,114,26,27,24,4,24,9
kind,113,16,49,12,4,28,4
arbeit,110,20,23,26,1,28,12
spd,109,15,25,16,5,39,9
einsatz,109,35,26,8,2,24,14
zeit,107,17,26,19,8,24,13
pandemie,106,36,16,25,1,20,8
hinweis,106,15,25,35,3,9,19
deutschland,105,31,10,20,10,23,11
meinung,104,4,5,1,3,1,90
politik,103,12,30,26,7,16,12
mal,102,20,18,29,7,17,11
eine,100,16,32,20,3,15,14
klimaschutz,99,5,42,40,1,10,1
bundesregierung,99,7,32,32,10,3,15
wer,97,13,21,31,13,13,6
so,96,16,26,16,6,16,16
toll,94,20,19,22,2,20,11
klaren,93,17,20,26,2,19,9
wenn,91,9,18,22,7,16,19
feedback,91,1,6,0,0,1,83
volle,88,13,40,13,3,18,1
eu,88,14,16,16,8,21,13
linke,86,4,2,64,4,4,8
sein,85,11,21,20,6,21,6
jetzt,85,14,22,21,3,17,8
was,85,6,19,28,7,18,7
frau,85,19,27,9,8,17,5
zeigen,81,12,10,19,3,20,17
auch,79,15,15,16,1,18,14
impfen,79,18,19,10,4,18,10
wahlkampf,79,14,13,25,3,14,10
reden,77,12,14,24,2,16,9
demokratie,75,7,16,16,3,15,18
berlin,74,16,11,20,6,16,5
afd,73,2,2,16,45,3,5
leben,73,18,11,11,6,15,12
bleiben,73,19,8,19,7,12,8
grün,72,9,38,9,4,7,5
klar,72,27,14,13,5,11,2
gute,72,18,17,12,2,15,8
tagen,71,16,17,13,1,20,4
einfach,70,7,11,22,3,18,9
all,69,12,13,17,4,14,9
thema,68,20,9,14,2,11,12
gesellschaft,68,4,12,37,0,7,8
kämpfen,68,13,12,27,0,12,4
voll,67,16,15,11,4,13,8
partei,65,7,7,32,7,5,7
meine,65,9,16,13,3,16,8
gerne,64,21,11,10,6,5,11
frage,64,12,13,12,3,18,6
weg,63,10,14,23,1,12,3
gespräch,63,20,11,10,4,12,6
finden,63,8,10,25,1,11,8
recht,62,8,21,15,2,11,5
bei,62,11,13,14,1,13,10
grüne,61,4,23,16,3,6,9
bund,61,21,9,6,1,12,12
