hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#afd,39,0,0,0,37,1,1
#istanbulkonvention,30,3,13,7,0,7,0
#polizeigewalt,29,0,7,16,6,0,0
#antifa,25,3,0,4,17,0,1
#demokratie,25,2,4,3,5,2,9
#gewalt,22,3,7,4,3,3,2
#berlin,20,2,1,0,16,0,1
#corona,20,2,4,4,6,4,0
#bundestag,20,0,2,5,10,3,0
#belarus,16,2,4,0,0,6,4
#digitalegewalt,15,0,1,14,0,0,0
#frauen,14,1,8,5,0,0,0
#myanmar,14,1,6,2,0,4,1
#deutschland,13,1,1,2,7,1,1
#eu,13,0,5,7,1,0,0
#afghanistan,13,1,3,6,2,1,0
#fachtag,13,0,13,0,0,0,0
#rassismus,13,0,0,13,0,0,0
#israel,13,4,5,2,1,1,0
#gewaltfreieerziehung,12,0,12,0,0,0,0
#spd,12,0,1,1,7,1,2
#kolumbien,12,0,6,6,0,0,0
#bundesregierung,11,0,1,5,3,1,1
#türkei,11,0,2,3,0,6,0
#polizei,11,0,1,6,3,0,1
#usa,11,0,1,2,3,0,5
#capitol,11,0,1,2,3,2,3
#noafd,10,0,0,8,0,0,2
#rigaer94,10,3,0,0,4,1,2
#solidarität,10,0,0,9,0,0,1
#merkel,10,2,0,1,6,1,0
#hanau,10,0,0,3,0,6,1
#trump,9,0,1,4,0,0,4
#erdogan,9,0,6,3,0,0,0
#brandner,9,0,0,0,9,0,0
#blacklivesmatter,9,0,3,6,0,0,0
#georgefloyd,8,0,3,5,0,0,0
#cdu,8,1,1,3,1,1,1
#antisemitismus,8,2,3,2,0,1,0
#washingtondc,7,2,0,0,2,1,2
#kubicki,7,0,0,1,0,0,6
#gewaltgegenfrauen,7,0,0,7,0,0,0
#menschenrechte,7,0,2,2,0,1,2
#standwithbelarus,7,0,5,0,0,1,1
#linksextremismus,7,1,0,0,5,0,1
#linke,7,0,0,2,5,0,0
#gewaltenteilung,7,1,0,0,4,0,2
#1mai,6,4,0,0,2,0,0
#20jahre,6,0,6,0,0,0,0
#saytheirnames,6,0,1,3,0,2,0
#wk194,6,0,0,0,6,0,0
#hamas,6,5,0,1,0,0,0
#lukaschenko,6,2,1,0,1,1,1
#polizeiproblem,6,0,0,6,0,0,0
#wirholendasdirektmandat,6,0,0,0,6,0,0
#gera,6,0,0,0,6,0,0
#r2g,6,4,0,0,0,0,2
#merz,6,0,0,5,0,1,0
#schorndorf,6,0,0,0,6,0,0
#kassel,5,0,0,2,1,2,0
#verfassungsschutz,5,0,0,0,4,0,1
#b0105,5,2,1,0,0,0,2
#greiz,5,0,0,0,5,0,0
#idahobit,5,0,0,2,0,2,1
#ks2003,5,0,0,3,1,1,0
#deutschlandabernormal,5,0,0,0,5,0,0
#profandresen,5,0,5,0,0,0,0
#tatort,5,0,0,2,0,0,3
#pushbacks,5,0,0,5,0,0,0
#dielinke,5,0,0,4,0,0,1
#covid19,5,0,0,0,5,0,0
#triell,5,1,3,1,0,0,0
#russland,5,2,2,0,0,1,0
#redhandday,5,1,2,2,0,0,0
#mietendeckel,5,1,0,0,0,0,4
#istanbulconvention,5,0,1,2,0,2,0
#weltfrauentag,5,0,2,0,0,1,2
#meinungsfreiheit,5,0,2,0,3,0,0
#lockdown,5,0,2,0,2,0,1
#nawalny,5,1,2,0,0,0,2
#frontex,5,0,0,5,0,0,0
#festungeuropa,4,0,0,3,1,0,0
#libyen,4,0,0,4,0,0,0
#rechtaufgewaltfreieerziehung,4,0,4,0,0,0,0
#un,4,0,1,1,2,0,0
#grüne,4,0,2,1,1,0,0
#btw21,4,1,0,1,0,1,1
#lübcke,4,1,0,0,0,2,1
#sport,4,0,2,0,0,1,1
#pressefreiheit,4,0,1,1,0,1,1
#seehofer,4,0,1,0,2,0,1
#freiheit,4,1,0,0,2,0,1
#b0108,4,0,0,0,4,0,0
#hatespeech,4,0,3,1,0,0,0
#soscolombiaddhh,4,0,1,3,0,0,0
#ltwbw21,4,0,0,0,4,0,0
#proffegert,4,0,4,0,0,0,0
#schmalkalden,4,1,0,0,0,0,3
#cybergrooming,3,0,0,3,0,0,0
#terror,3,1,0,0,2,0,0
#worldagainstracism,3,0,0,3,0,0,0
#kinder,3,0,3,0,0,0,0
#thüringen,3,0,0,0,2,0,1
#köln,3,0,1,1,1,0,0
#tigray,3,0,0,3,0,0,0
#wuerzburg,3,0,1,0,2,0,0
#laschet,3,0,0,1,0,1,1
#chile,3,0,0,1,0,2,0
#grundrechte,3,0,0,0,3,0,0
#ceuta,3,0,0,3,0,0,0
#altenburg,3,0,0,0,3,0,0
#gefangenimnetz,3,0,0,3,0,0,0
#kroatien,3,0,0,3,0,0,0
#afdimbundestag,3,0,0,0,3,0,0
#capitolhill,3,0,0,1,1,0,1
#abschiebung,3,0,1,2,0,0,0
#hdp,3,0,0,2,0,1,0
#sed,3,1,0,0,2,0,0
#kindersoldaten,3,0,1,2,0,0,0
#erfurt,3,1,0,1,0,1,0
#gruene,3,0,0,0,2,0,1
#mosambik,3,0,3,0,0,0,0
#sachsen,3,0,0,0,0,0,3
#kreuzberg,3,0,3,0,0,0,0
#querdenker,3,0,0,0,1,0,2
#querdenken,3,0,1,0,2,0,0
#stuttgart,3,0,1,0,2,0,0
#queer,3,1,0,2,0,0,0
#altenburgerland,3,0,0,0,3,0,0
#le1809,3,0,2,0,0,0,1
#iran,3,1,0,1,0,1,0
#bureg,3,0,0,1,1,1,0
#kapitol,3,0,0,2,0,0,1
#linksextreme,3,0,0,0,1,0,2
#femizide,3,1,1,1,0,0,0
#hass,3,0,0,0,2,0,1
#westandbyyou,3,0,3,0,0,0,0
#lgbtiq,3,0,3,0,0,0,0
#frauentag,3,0,1,1,0,1,0
#nazisraus,3,0,0,3,0,0,0
#btw2021,3,0,1,0,2,0,0
#ballstädt,3,0,0,3,0,0,0
#aufstehengegenrassismus,3,0,1,2,0,0,0
#hunger,3,0,1,2,0,0,0
#bundesverfassungsgericht,3,0,0,0,2,0,1
#keinvergessen,3,0,2,1,0,0,0
#scholz,3,2,0,1,0,0,0
#bverfg,3,0,1,0,2,0,0
#linksextremisten,3,0,0,0,2,0,1
#fdp,2,0,0,0,0,1,1
#sahel,2,0,2,0,0,0,0
#gazastreifen,2,1,0,1,0,0,0
#stegner,2,0,0,0,2,0,0
#paronacional,2,0,1,1,0,0,0
#populismus,2,0,1,0,0,0,1
#indymedia,2,0,0,0,2,0,0
#justizproblem,2,0,0,2,0,0,0
#shameoneu,2,0,0,2,0,0,0
#kinderschutz,2,1,1,0,0,0,0
#frieden,2,0,1,1,0,0,0
#frauenrechte,2,0,0,0,0,2,0
#fachtaggewaltfreieerziehung,2,0,2,0,0,0,0
#potsdam,2,0,0,2,0,0,0
#freepress,2,0,2,0,0,0,0
#freethemall,2,0,2,0,0,0,0
#palestine,2,0,2,0,0,0,0
#frauenhass,2,0,0,1,0,1,0
#israelunderattack,2,2,0,0,0,0,0
#kiel,2,0,0,2,0,0,0
#europa,2,0,0,0,0,2,0
#staat,2,0,0,0,2,0,0
#fanpolitik,2,0,2,0,0,0,0
#frauenkampftag,2,0,0,2,0,0,0
#pushback,2,0,0,2,0,0,0
#prävention,2,0,0,1,0,1,0
#soscolombia,2,0,0,2,0,0,0
#sozialismus,2,0,0,0,1,0,1
#soscolombiaddh,2,0,1,1,0,0,0
#selbstbestimmung,2,0,0,1,1,0,0
#extremismus,2,0,0,0,0,0,2
#putin,2,0,1,0,0,0,1
#presse,2,0,2,0,0,0,0
#internationalwomensday,2,0,0,1,0,0,1
#flüchtlingspolitik,2,0,0,2,0,0,0
#rechtsextremismus,2,0,0,0,0,1,1
#sudan,2,0,0,2,0,0,0
#ardzdf,2,0,0,0,2,0,0
#washington,2,0,0,0,0,0,2
#lukashenko,2,0,0,0,0,2,0
#luebcke,2,1,0,0,0,1,0
#ltwbw,2,0,0,0,2,0,0
#lsbtiq,2,1,0,1,0,0,0
#lsbti,2,0,2,0,0,0,0
#auslandsgespräch,2,0,0,0,0,2,0
#neonazis,2,0,0,2,0,0,0
#vergewaltigung,2,0,0,0,2,0,0
#vergewaltiger,2,0,0,0,2,0,0
#reichstag,2,0,0,0,1,0,1
#baerbock,2,0,0,0,2,0,0
#bengt,2,1,0,0,0,0,1
#berlin0108,2,0,0,0,2,0,0
#biden,2,0,1,1,0,0,0
#kongo,2,0,0,2,0,0,0
#hoyerswerda,2,0,2,0,0,0,0
#maas,2,0,0,2,0,0,0
#machtdaslandgerecht,2,0,0,2,0,0,0
#blm,2,0,1,0,1,0,0
#antifaverbot,2,0,0,0,2,0,0
#mittelmeer,2,0,0,2,0,0,0
#mpk,2,0,1,0,0,0,1
#8mai,2,0,0,2,0,0,0
#zeitzuhandeln,2,0,0,2,0,0,0
#rechtsextremisten,2,0,0,0,1,1,0
#abrüstung,2,0,0,2,0,0,0
#rechtsstaat,2,1,0,0,1,0,0
#münchen,2,0,0,2,0,0,0
#afdwaehlen,2,0,0,0,2,0,0
#nahost,2,0,0,0,0,2,0
#nahostkonflikt,2,0,0,2,0,0,0
#hatunsürücü,2,1,1,0,0,0,0
#medien,2,0,1,0,1,0,0
#altparteien,2,0,0,0,2,0,0
#amazonas,2,0,2,0,0,0,0
#amnestyreport,2,0,0,2,0,0,0
#marokko,2,0,0,2,0,0,0
#niewiederkrieg,2,0,0,1,1,0,0
#niewieder,2,0,0,0,0,2,0
#rackete,2,0,0,0,2,0,0
#nulltoleranz,2,0,0,0,2,0,0
#grundgesetz,2,0,1,1,0,0,0
#oberlinhaus,2,0,1,1,0,0,0
#dd1303,2,2,0,0,0,0,0
#kuba,2,1,0,0,0,1,0
#dgs,2,0,2,0,0,0,0
#tbilisipride21,2,0,0,2,0,0,0
#digitalergewalt,2,0,0,2,0,0,0
#taliban,2,0,1,1,0,0,0
#diktatur,2,1,0,0,1,0,0
#diskriminierung,2,0,0,1,0,1,0
#rechtsextreme,2,0,1,1,0,0,0
#groko,2,0,2,0,0,0,0
#dresden,2,1,0,0,1,0,0
#duque,2,0,1,1,0,0,0
#krieg,2,1,0,1,0,0,0
#csdberlin2021,2,0,0,0,0,2,0
#islamismus,2,0,1,0,0,0,1
#lesbos,2,0,0,2,0,0,0
#twitter,2,1,0,0,1,0,0
#respekt,2,0,1,0,0,1,0
#brinkhaus,2,0,0,1,0,0,1
#bosnien,2,0,0,2,0,0,0
#idahobit2021,2,0,0,1,0,1,0
#uganda,2,0,1,1,0,0,0
#grünen,2,0,0,0,2,0,0
#r1mb,2,2,0,0,0,0,0
#bürgerrechte,2,0,1,0,1,0,0
#trumpbanned,2,0,0,0,2,0,0
#tripolis,2,0,0,2,0,0,0
#union,2,0,1,1,0,0,0
#racketevorgericht,1,0,0,0,1,0,0
#putschversuch,1,0,1,0,0,0,0
#qanon,1,0,1,0,0,0,0
#qosay,1,0,0,1,0,0,0
#qualitätsmedien,1,0,0,0,1,0,0
#quatrell,1,0,0,1,0,0,0
#rassismustoetet,1,0,0,1,0,0,0
#putsch,1,0,0,0,0,0,1
#radioverstehbahnhof,1,0,0,1,0,0,0
#rechtegewalt,1,0,0,1,0,0,0
#rechte_gewalt,1,0,0,1,0,0,0
#querdenkern,1,0,0,0,1,0,0
#protestbewegung,1,0,0,1,0,0,0
#rau,1,0,0,0,0,1,0
#recht,1,0,0,0,0,1,0
#17juni,1,0,0,0,0,0,1
#pridemonth,1,0,1,0,0,0,0
#nogez,1,0,0,0,1,0,0
#niemalscdu,1,0,0,1,0,0,0
#niemehrcdu,1,0,0,1,0,0,0
#niewiederfaschismus,1,0,0,1,0,0,0
#nikalrani,1,0,1,0,0,0,0
#nixon,1,0,0,1,0,0,0
#noantifa,1,0,0,0,1,0,0
#noiaa,1,0,0,1,0,0,0
#preussen,1,1,0,0,0,0,0
#nordhessen,1,0,0,0,0,1,0
#notoracism,1,0,0,0,0,1,0
#nozensur,1,0,0,0,1,0,0
#npd,1,0,0,1,0,0,0
#nrw,1,0,0,0,0,1,0
#nsu20,1,0,0,1,0,0,0
#newsletter,1,0,0,1,0,0,0
#neustart,1,1,0,0,0,0,0
#neubauer,1,0,0,0,1,0,0
#netzdgschütztlinke,1,0,0,0,1,0,0
#neonazi,1,0,0,1,0,0,0
#neokolonialismus,1,0,0,1,0,0,0
#neofaschistischer,1,0,0,1,0,0,0
#neinzurechtergewalt,1,0,1,0,0,0,0
#neinzurassismus,1,0,1,0,0,0,0
#neinheißtnein,1,0,1,0,0,0,0
#nawalnyj,1,0,1,0,0,0,0
#navalny,1,1,0,0,0,0,0
#nato,1,0,0,1,0,0,0
#nargesmohammadi,1,0,0,0,0,1,0
#mühlhausen,1,0,0,1,0,0,0
#männer,1,1,0,0,0,0,0
#myanmarmilitärdiktatur,1,0,0,1,0,0,0
#nurnochafd,1,0,0,0,1,0,0
#oerr,1,0,0,0,1,0,0
#olympics,1,1,0,0,0,0,0
#parlamentsarmee,1,0,0,0,0,1,0
#prayforallvictims,1,0,0,0,0,1,0
#potse,1,1,0,0,0,0,0
#polizisten,1,0,0,0,1,0,0
#politboxen,1,0,0,1,0,0,0
#pmk2020,1,1,0,0,0,0,0
#plakate,1,0,1,0,0,0,0
#pks,1,0,1,0,0,0,0
#pistorius,1,0,0,0,1,0,0
#pflichtlektüre,1,0,0,0,0,0,1
#peopleofcolour,1,0,1,0,0,0,0
#pazifismuss,1,0,0,1,0,0,0
#patriarchat,1,0,1,0,0,0,0
#paronacionalcolombia,1,0,0,1,0,0,0
#parler,1,0,0,1,0,0,0
#pandemokratur,1,0,0,0,1,0,0
#opfer,1,1,0,0,0,0,0
#pandemierat,1,0,1,0,0,0,0
#palästinenser,1,0,0,1,0,0,0
#palästina,1,0,0,0,1,0,0
#ouryjalloh,1,0,0,1,0,0,0
#osze,1,0,0,1,0,0,0
#ostern,1,0,0,0,1,0,0
#ostermarsch2021,1,0,0,1,0,0,0
#oslo,1,0,0,1,0,0,0
#ortskräfte,1,0,0,0,1,0,0
#ortskraefte,1,0,1,0,0,0,0
#ordnungswidrgkeiten,1,0,0,0,1,0,0
#orbán,1,0,0,0,0,1,0
#orban,1,0,0,0,0,0,1
#oranienplatz,1,0,1,0,0,0,0
