hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#frauenquote,32,2,11,3,6,8,2
#gender,28,2,3,2,17,4,0
#queer,28,3,4,16,0,1,4
#toleranz,24,8,2,0,2,8,4
#uefa,15,3,1,1,0,5,5
#regenbogenfarben,13,0,4,1,1,3,4
#bundestag,12,1,2,3,4,2,0
#gerhun,11,3,1,0,0,2,5
#lgbt,10,0,2,3,2,1,2
#lgbtiq,8,3,2,3,0,0,0
#afd,8,0,0,0,8,0,0
#ungarn,7,1,1,1,1,0,3
#pride,7,0,1,2,1,2,1
#spd,6,2,0,0,1,3,0
#antisemitismus,6,1,2,0,0,1,2
#vielfalt,6,1,3,0,0,2,0
#respekt,6,3,0,0,0,2,1
#weltoffenheit,6,2,0,0,0,1,3
#regenbogen,5,1,1,2,0,1,0
#gleichberechtigung,5,0,3,0,0,2,0
#freiheit,5,1,0,0,0,0,4
#gendern,5,1,1,0,2,0,1
#bundeswehr,5,0,0,3,1,0,1
#cdu,5,1,1,1,1,1,0
#csd,5,1,0,2,1,0,1
#3k21,5,0,0,0,0,0,5
#frauen,4,1,1,1,0,1,0
#gleichstellung,4,0,2,1,0,1,0
#diskriminierung,4,0,2,2,0,0,0
#dielinke,4,0,0,3,0,0,1
#deutschland,4,0,0,0,2,1,1
#demokratie,4,3,0,0,0,0,1
#ehefüralle,4,2,0,1,0,1,0
#corona,4,0,0,1,3,0,0
#noafd,4,0,1,3,0,0,0
#linkebpt,3,0,0,3,0,0,0
#solidarität,3,0,1,0,0,1,1
#equalpayday,3,1,1,0,0,1,0
#bundesregierung,3,0,0,0,2,0,1
#muenchenmachestrotzdem,3,0,1,0,0,1,1
#grüne,3,0,1,0,1,0,1
#münchen,3,1,0,0,0,1,1
#internationalwomensday,3,0,0,1,0,2,0
#laschet,3,1,1,0,0,1,0
#lgbtq,3,1,0,2,0,0,0
#btw21,3,0,1,1,1,0,0
#orban,3,0,0,1,0,0,2
#afdwaehlen,3,0,0,0,3,0,0
#berlin,3,0,0,0,2,1,0
#gendergaga,3,0,0,0,3,0,0
#politik,3,0,0,0,0,3,0
#deutschlandabernormal,2,0,0,0,2,0,0
#lgbti,2,0,0,0,1,0,1
#diversity,2,0,0,0,0,2,0
#merkel,2,0,0,1,1,0,0
#lgbtqia,2,0,1,0,0,0,1
#loveislove,2,0,0,0,0,1,1
#csu,2,0,0,0,1,0,1
#steuerinnenzahler,2,0,0,0,2,0,0
#lockdown,2,0,0,0,2,0,0
#lgbtqi,2,0,0,1,0,0,1
#grundgesetz,2,0,0,2,0,0,0
#mut,2,0,0,0,0,0,2
#regenbogenfahne,2,1,0,1,0,0,0
#giffey,2,0,1,1,0,0,0
#quote,2,0,0,0,1,1,0
#grüninnen,2,0,0,0,2,0,0
#tagdesgrundgesetzes,2,1,0,0,0,1,0
