,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,
2021-02-02,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,
2021-02-04,,,,,,,,,,,,
2021-02-05,,,,,,,,,,,,
2021-02-06,,,,,,,,,,,,
2021-02-07,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,
2021-02-14,,,,,,,,,,,,
2021-02-15,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,
2021-02-17,,,,,,,,,,,,
2021-02-18,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,
2021-02-20,,,,,,,,,,,,
2021-02-21,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,
2021-02-24,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,
2021-02-27,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,
2021-03-01,0.65,2.066666666666667,1.5166666666666666,4.2,1.9,1.5166666666666666,0.010339759843369644,0.017250650627388446,0.010292998880796357,0.03587405086951047,0.012694023317188179,0.013069881115208942
2021-03-02,0.6166666666666667,2.1333333333333333,1.55,4.283333333333333,1.9,1.5166666666666666,0.009722475892752358,0.017723463866159132,0.010483475071272548,0.03537195641837143,0.012588103756381398,0.0129686175216722
2021-03-03,0.55,2.15,1.55,4.366666666666666,1.9166666666666667,1.6166666666666667,0.008919263041346735,0.017850690329263456,0.010258420067157737,0.03580150968297624,0.012533627814938084,0.013476975525320418
2021-03-04,0.5,2.1,1.5333333333333334,4.416666666666667,1.8833333333333333,1.6,0.008331027747229087,0.01758445656302969,0.009819404987944147,0.03596427609781563,0.011933588643241415,0.013291790340135232
2021-03-05,0.5166666666666667,2.15,1.5,4.533333333333333,1.9,1.6,0.008467639769087012,0.017860699656952344,0.00962672676058384,0.03615294839704069,0.012029927756921568,0.013291790340135232
2021-03-06,0.5166666666666667,2.1333333333333333,1.5,4.466666666666667,1.9,1.55,0.008467639769087012,0.017721810768063454,0.009853696608992967,0.03572831994693453,0.012094274167716624,0.012909200246338952
2021-03-07,0.5333333333333333,2.066666666666667,1.4166666666666667,4.416666666666667,1.8166666666666667,1.55,0.00874541754686479,0.017363387828995356,0.01022458862777231,0.03559171245841067,0.011701192406710333,0.012909200246338952
2021-03-08,0.55,2.0,1.3333333333333333,4.316666666666666,1.8,1.5333333333333334,0.009142242943690187,0.01688029604155574,0.009722580595643794,0.03482906364888686,0.011581288329971724,0.012827303167742202
2021-03-09,0.5333333333333333,1.8833333333333333,1.35,4.283333333333333,1.8,1.5666666666666667,0.00890750115965263,0.016064445225704927,0.010355021071834272,0.03469824208949388,0.011519960768644163,0.013140055387274084
2021-03-10,0.5166666666666667,1.9333333333333333,1.35,4.416666666666667,1.7833333333333334,1.5833333333333333,0.008771999804639078,0.016643343451661977,0.010233315515346108,0.035645211786463585,0.011369810618494012,0.013207925793215945
2021-03-11,0.5666666666666667,1.95,1.35,4.516666666666667,1.8833333333333333,1.65,0.009374409443193295,0.01683714190127438,0.010233315515346108,0.03651178348636862,0.01195120596733122,0.013680739031986631
2021-03-12,0.5833333333333334,1.9333333333333333,1.3666666666666667,4.583333333333333,1.95,1.65,0.00966680710401201,0.016699400854442426,0.010460633660829721,0.03679074329724332,0.0124378239721974,0.013715682159035021
2021-03-13,0.5666666666666667,1.9333333333333333,1.3666666666666667,4.5,1.9,1.6333333333333333,0.009441581878786786,0.016746938986092703,0.010460633660829721,0.03645060724282155,0.012032464695870382,0.013678532547417325
2021-03-14,0.5666666666666667,1.8,1.3,4.7,1.7833333333333334,1.6833333333333333,0.009441581878786786,0.015918781636196224,0.010150556141449878,0.037451355465791994,0.011384316547722234,0.01396852928902697
2021-03-15,0.5833333333333334,1.8,1.2333333333333334,4.65,1.7166666666666666,1.7333333333333334,0.009744612181817087,0.016020866312748985,0.009968483312318224,0.03715333477303446,0.011145628822365472,0.014297476657448021
2021-03-16,0.5666666666666667,1.9333333333333333,1.2333333333333334,4.716666666666667,1.6833333333333333,1.8166666666666667,0.009522389959594866,0.017625700686360976,0.009968483312318224,0.037778570177930876,0.010955190156749502,0.015055052415023779
2021-03-17,0.55,1.9666666666666666,1.25,4.7,1.7166666666666666,1.8,0.009392181626261533,0.01813483098657763,0.01015358877938667,0.037620055685177255,0.011168865370424715,0.014928164964192666
2021-03-18,0.55,2.05,1.2333333333333334,4.7,1.7666666666666666,1.8166666666666667,0.009392181626261533,0.01917684873739214,0.010032815832526767,0.037179870261937024,0.01132300883888282,0.014988934979091121
2021-03-19,0.55,2.066666666666667,1.25,4.816666666666666,1.95,1.8166666666666667,0.009392181626261533,0.019313576446365006,0.010165090964801898,0.03765065682498953,0.01215769718576629,0.01498435538575901
2021-03-20,0.55,2.066666666666667,1.2666666666666666,4.733333333333333,1.8666666666666667,1.8166666666666667,0.009392181626261533,0.019313576446365006,0.010498424298135233,0.03704997210665775,0.011646449742003509,0.01498435538575901
2021-03-21,0.55,2.0166666666666666,1.2,4.666666666666667,1.8333333333333333,1.7333333333333334,0.009392181626261533,0.01891987565896343,0.010245075535949945,0.036649468052307545,0.011429999525553292,0.01443610977172392
2021-03-22,0.5333333333333333,1.9833333333333334,1.2,4.55,1.8,1.7666666666666666,0.009094562578642485,0.01846965920874698,0.010245075535949945,0.035623381095785805,0.011151562166892054,0.014630805500289583
