,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.3333333333333333,2.2333333333333334,1.3666666666666667,3.066666666666667,5.8,0.8333333333333334,0.004721484861452057,0.01575999077579465,0.00845537178083166,0.02146690272559667,0.038397710298115874,0.0065914090690064875
2021-01-31,0.3333333333333333,2.2666666666666666,1.4333333333333333,3.1333333333333333,5.966666666666667,0.8333333333333334,0.004721484861452057,0.01628082410912798,0.0091961125215724,0.022101823360517307,0.04098941683719083,0.0065914090690064875
2021-02-01,0.36666666666666664,2.0,1.4666666666666666,3.3,6.266666666666667,0.8666666666666667,0.005362510502477698,0.0141165581408463,0.009330486538783711,0.02339381302459999,0.04311707641165892,0.006827815688391831
2021-02-02,0.36666666666666664,2.066666666666667,1.6333333333333333,3.466666666666667,6.566666666666666,0.9333333333333333,0.005362510502477698,0.014803843364213996,0.010412737621034793,0.02477122349291955,0.04496641625611542,0.007340636201212344
2021-02-03,0.4,2.033333333333333,1.7666666666666666,3.533333333333333,6.633333333333334,0.9333333333333333,0.005806954946922143,0.014456621141991774,0.01125661947757488,0.025186173126619187,0.04536409515560908,0.007340636201212344
2021-02-04,0.43333333333333335,2.0,1.7666666666666666,3.566666666666667,6.6,0.9333333333333333,0.006304467384733088,0.014178843364213994,0.01125661947757488,0.025466285171437113,0.04522952935041509,0.007340636201212344
2021-02-05,0.4666666666666667,2.033333333333333,1.7666666666666666,3.6333333333333333,6.6,0.9666666666666667,0.006958062155974918,0.014628562712290008,0.011460642466080627,0.026506701337903695,0.04561069954290604,0.00770693656751271
2021-02-06,0.4666666666666667,2.033333333333333,1.7666666666666666,3.3333333333333335,6.533333333333333,0.9666666666666667,0.006958062155974918,0.014628562712290008,0.011460642466080627,0.024162951337903697,0.04577827632485397,0.00770693656751271
2021-02-07,0.4666666666666667,2.033333333333333,1.7,3.2,6.5,0.9333333333333333,0.006958062155974918,0.014628562712290008,0.010939809132747292,0.023137310312262672,0.04561031766852322,0.007424450691806495
2021-02-08,0.4666666666666667,2.066666666666667,1.7,3.1666666666666665,6.4,0.9666666666666667,0.006958062155974918,0.015016159611514814,0.010684290456175987,0.022719870609108683,0.044678081084112725,0.00774807528727575
2021-02-09,0.4666666666666667,2.1,1.7,3.3,6.533333333333333,0.9666666666666667,0.006958062155974918,0.015394947490302692,0.010684290456175987,0.023602872816614204,0.045578981985013624,0.00774807528727575
2021-02-10,0.4666666666666667,2.2666666666666666,1.7,3.1666666666666665,6.733333333333333,0.9666666666666667,0.006958062155974918,0.01646332355867876,0.010684290456175987,0.022084354298095684,0.046934802090833734,0.00774807528727575
2021-02-11,0.5333333333333333,2.3,1.7,3.2333333333333334,6.966666666666667,1.2,0.008346951044863807,0.016955826225094468,0.010340018147885686,0.02230092032525561,0.046875662305887494,0.009277481375952355
2021-02-12,0.5333333333333333,2.466666666666667,1.7333333333333334,3.2333333333333334,6.766666666666667,1.4,0.008346951044863807,0.01807439445775666,0.01084294875858714,0.022136311271757667,0.04598999402891487,0.010475086166371517
2021-02-13,0.43333333333333335,1.9333333333333333,1.7,3.0,6.533333333333333,1.3333333333333333,0.00665203579062652,0.014041881831494034,0.010956114024693585,0.020848850490625997,0.045606852266462765,0.010100554331165523
2021-02-14,0.4,1.6,1.6,2.933333333333333,6.633333333333334,1.2666666666666666,0.006207591346182075,0.01308970154935168,0.010302519253451754,0.020569780723184137,0.047675294978180335,0.009344053149132427
2021-02-15,0.4,1.6,1.6,2.933333333333333,6.533333333333333,1.3666666666666667,0.006207591346182075,0.01308970154935168,0.010271062113804524,0.020569780723184137,0.047506161785791326,0.010506843846806845
2021-02-16,0.4,1.6,1.6,2.933333333333333,6.566666666666666,1.3666666666666667,0.006207591346182075,0.01308970154935168,0.010259401277555983,0.020569780723184137,0.04778139391838667,0.010506843846806845
2021-02-17,0.4,1.6333333333333333,1.5666666666666667,2.9,6.533333333333333,1.4666666666666666,0.006207591346182075,0.013562514788122364,0.010098685055077404,0.020296594313634085,0.047655863808123734,0.011319851976888147
2021-02-18,0.4,1.6333333333333333,1.6333333333333333,2.933333333333333,6.5,1.5,0.006207591346182075,0.013562514788122364,0.010541826143379783,0.02072995284223071,0.04762839379622007,0.011678274915956247
2021-02-19,0.4,1.6333333333333333,1.6333333333333333,2.8333333333333335,6.5,1.5,0.006207591346182075,0.013562514788122364,0.010541826143379783,0.02019545113333088,0.047649008102548664,0.011678274915956247
2021-02-20,0.4,1.6666666666666667,1.6333333333333333,2.8333333333333335,6.366666666666666,1.5,0.006207591346182075,0.013871156763431005,0.010541826143379783,0.02019545113333088,0.04665398322692677,0.011678274915956247
2021-02-21,0.4,1.6333333333333333,1.6,2.7666666666666666,6.2,1.5,0.006207591346182075,0.013600154053403904,0.010298517140946694,0.01965781672472873,0.04666433519380047,0.011716969161066702
2021-02-22,0.4,1.6666666666666667,1.6333333333333333,2.7333333333333334,6.2,1.4333333333333333,0.006207591346182075,0.013933487386737239,0.010493448914825836,0.01968069313192878,0.04661495247775109,0.0109039610309854
2021-02-23,0.4,1.7666666666666666,1.6333333333333333,2.7666666666666666,6.3,1.4333333333333333,0.006207591346182075,0.014859413312663165,0.010493448914825836,0.020108043559279205,0.04732109916367631,0.0109039610309854
2021-02-24,0.36666666666666664,1.9,1.7,2.7333333333333334,6.066666666666666,1.5,0.0058491684071139746,0.016591015044264898,0.010896499023758298,0.019864227497385343,0.045889606321140516,0.011336861463885833
2021-02-25,0.4,2.1666666666666665,1.7666666666666666,2.966666666666667,6.4,1.6666666666666667,0.0065158350737806415,0.019053909593490383,0.011491737118996393,0.021673013027101104,0.04774119029336676,0.0123785281305525
