,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,1.1,2.3,1.6333333333333333,1.0,2.066666666666667,1.0666666666666667,0.012848070304312058,0.016130167847057047,0.010121197848690143,0.007433433814130067,0.015457632568304925,0.00955122441813514
2021-01-31,1.1,2.2,1.6,1.0,2.033333333333333,1.0666666666666667,0.012848070304312058,0.014953697258821752,0.009536402527052715,0.007433433814130067,0.01508549009089929,0.009465234614069052
2021-02-01,1.1,2.2333333333333334,1.6,1.0,2.2666666666666666,1.1,0.012848070304312058,0.015375638187091794,0.009296244709058035,0.007433433814130067,0.01655480211771199,0.009701641233454395
2021-02-02,1.1333333333333333,2.2333333333333334,1.7,1.0333333333333334,2.3666666666666667,1.1,0.013317553872387174,0.01563002297755906,0.009945595358408684,0.007708915907793978,0.017088352488484282,0.00958768111949428
2021-02-03,1.1333333333333333,2.2333333333333334,1.7333333333333334,1.1,2.433333333333333,1.1,0.013431965313531287,0.015637410684414852,0.01019315029609313,0.008229749241127312,0.017477069609961184,0.00958768111949428
2021-02-04,1.2,2.2,1.7,1.2333333333333334,2.3333333333333335,1.1333333333333333,0.014426990189153176,0.015359632906637073,0.0101694693261206,0.00935019742039902,0.016892274288323753,0.009786093817906977
2021-02-05,1.2333333333333334,2.0,1.6,1.2,2.3,1.1333333333333333,0.015080584960395006,0.01428436408943277,0.010327515303132093,0.009214142998630314,0.016830334132043975,0.009953981485794646
2021-02-06,1.2333333333333334,1.9,1.5,1.2,2.3666666666666667,1.0333333333333334,0.015106199714493368,0.01355972640827335,0.009968746896170914,0.009214142998630314,0.017633546983449596,0.00949542769390752
2021-02-07,1.2333333333333334,1.7666666666666666,1.4666666666666666,1.1666666666666667,2.3333333333333335,1.0,0.015106199714493368,0.012796045644592585,0.00978804961725935,0.008986222770710086,0.017575407448565877,0.009230756242795393
2021-02-08,0.9666666666666667,1.7666666666666666,1.5,1.1666666666666667,2.1333333333333333,0.9666666666666667,0.013545597901578688,0.01309504896685172,0.009727462714567184,0.008986222770710086,0.015731824735417947,0.008852626452299735
2021-02-09,0.8333333333333334,1.8,1.4666666666666666,1.1333333333333333,2.066666666666667,0.9,0.012238408359095029,0.013560227063608765,0.009264499751604222,0.008558872343359659,0.014830923834517045,0.008008744595759652
2021-02-10,0.8,1.7333333333333334,1.3666666666666667,1.2,2.0,0.8333333333333334,0.01179981186786696,0.01300926287628094,0.008483520257124939,0.008669983454470767,0.014268754522347734,0.007421068508991005
2021-02-11,0.7,1.6666666666666667,1.3333333333333333,1.2,2.1,0.9,0.010448460516515608,0.012601458120650099,0.008253635199653674,0.008630492002459252,0.014666603984713327,0.0078649339984492
2021-02-12,0.6666666666666666,1.6333333333333333,1.3,1.2666666666666666,2.1666666666666665,0.9333333333333333,0.009853222421277513,0.012411093092234295,0.008446488290975286,0.009000862372829623,0.01514969577215294,0.008049081831814726
2021-02-13,0.7,1.5333333333333334,1.3,1.3333333333333333,2.066666666666667,0.8333333333333334,0.01045928302733812,0.011653517334658537,0.008699709579490693,0.009844744229369708,0.0149635983446762,0.007487284079005739
2021-02-14,0.7,1.4,1.2,1.2666666666666666,2.1666666666666665,0.8333333333333334,0.01045928302733812,0.011200002595429514,0.008046114808248862,0.009400299784925265,0.0161613457997336,0.007471523637713382
2021-02-15,0.6333333333333333,1.2666666666666666,1.1666666666666667,1.2666666666666666,2.2,0.8333333333333334,0.009938449694004786,0.010828600552718278,0.007756259735785095,0.009437502165877647,0.016612367646104284,0.007471523637713382
2021-02-16,0.6333333333333333,1.2333333333333334,1.1666666666666667,1.1666666666666667,2.1666666666666665,0.9,0.010136862392417484,0.010828600552718278,0.007756259735785095,0.008274711468203227,0.01627664493491655,0.008112549278739023
2021-02-17,0.6333333333333333,1.2,1.2,1.1666666666666667,2.1666666666666665,0.9,0.010234901608103758,0.010710397243025607,0.00795838750025202,0.008274711468203227,0.016373337046875838,0.008059927393296867
2021-02-18,0.6333333333333333,0.9666666666666667,1.1666666666666667,1.1333333333333333,2.066666666666667,0.8666666666666667,0.010234901608103758,0.00948232706758701,0.007769400859652475,0.008027797887956314,0.0157598401143605,0.0077232270565965305
2021-02-19,0.6333333333333333,0.9333333333333333,1.0666666666666667,1.1,2.1,0.8666666666666667,0.010234901608103758,0.009274635637711396,0.007259196778019823,0.007887773496610724,0.01599690463713931,0.0077232270565965305
2021-02-20,0.6333333333333333,1.1333333333333333,1.1333333333333333,1.1666666666666667,2.066666666666667,0.8,0.010234901608103758,0.010990685020427446,0.008034390576469435,0.008523844350072883,0.015748148418233836,0.00706316104999587
2021-02-21,0.6,1.1333333333333333,1.1333333333333333,1.1666666666666667,2.0,0.8333333333333334,0.009868601241803391,0.01101466756113781,0.008320182103136875,0.008656633571474618,0.015334069743285597,0.007464174135686036
2021-02-22,0.5666666666666667,1.2,1.1666666666666667,1.1666666666666667,2.1,0.8666666666666667,0.009188329132959853,0.011784782503666547,0.008515113877016017,0.008815564400443374,0.016259995669211522,0.0078043101901078046
2021-02-23,0.5666666666666667,1.1666666666666667,1.2,1.1333333333333333,2.066666666666667,0.8666666666666667,0.009188329132959853,0.011362841575396503,0.008712352535793137,0.008741661694961721,0.015951056494119244,0.007627820013617628
2021-02-24,0.5333333333333333,1.1666666666666667,1.2333333333333334,1.0666666666666667,2.2333333333333334,0.9,0.008829906193891754,0.011357145517068868,0.008919324213353052,0.008303065203733652,0.016887386082134224,0.007671110056907671
2021-02-25,0.5,1.2,1.2666666666666666,0.9666666666666667,2.1666666666666665,0.9333333333333333,0.008072330436315995,0.011717937964192248,0.0092169432609721,0.007567771086086594,0.016647901696837598,0.0077510763868740016
