,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.16666666666666666,0.26666666666666666,0.4666666666666667,0.5666666666666667,0.9,0.4,0.002864600991058556,0.0017524136050613532,0.0028166141186374703,0.004874198024412231,0.006410059520948947,0.004263793512807122
2021-01-31,0.16666666666666666,0.3,0.4666666666666667,0.6333333333333333,0.8666666666666667,0.43333333333333335,0.002864600991058556,0.0022815141341618822,0.0028166141186374703,0.005515223665437872,0.005971463029720877,0.00468046017947379
2021-02-01,0.16666666666666666,0.3333333333333333,0.4666666666666667,0.6333333333333333,0.8666666666666667,0.4666666666666667,0.002864600991058556,0.0027034550624319242,0.0028166141186374703,0.005341177438760066,0.005971463029720877,0.004922006073193597
2021-02-02,0.16666666666666666,0.36666666666666664,0.5,0.7333333333333333,0.7666666666666667,0.5333333333333333,0.002864600991058556,0.0030470976741157735,0.0030275845827724916,0.006188635065878709,0.00494053519466933,0.0054596404817957465
2021-02-03,0.16666666666666666,0.4,0.5,0.7333333333333333,0.7666666666666667,0.5,0.002864600991058556,0.003401707603193788,0.00305073273092064,0.005846289560260732,0.00494053519466933,0.005009190031345296
2021-02-04,0.16666666666666666,0.4,0.4666666666666667,0.7333333333333333,0.7666666666666667,0.5,0.002864600991058556,0.003401707603193788,0.0029325294212279684,0.0059147396287108,0.004960657184231048,0.005009190031345296
2021-02-05,0.23333333333333334,0.4,0.43333333333333335,0.7666666666666667,0.8,0.6333333333333333,0.004171790533542216,0.003401707603193788,0.002849610681592811,0.006316346054413612,0.005306218056107709,0.006507317372169266
2021-02-06,0.26666666666666666,0.43333333333333335,0.4,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.00471823862097391,0.003722220423706608,0.0026500098831896174,0.008010463701472435,0.005707824481810521,0.007044951780771417
2021-02-07,0.26666666666666666,0.4,0.4,0.8666666666666667,0.8,0.6666666666666666,0.00471823862097391,0.003487478639669049,0.0026500098831896174,0.008305448952209898,0.005430046704032744,0.007044951780771417
2021-02-08,0.26666666666666666,0.43333333333333335,0.4666666666666667,0.8666666666666667,0.8,0.7,0.0049972235450578195,0.0038750755388938557,0.003030962264141998,0.008305448952209898,0.005430046704032744,0.007368576376240673
2021-02-09,0.26666666666666666,0.43333333333333335,0.5,0.9666666666666667,0.8333333333333334,0.6666666666666666,0.0049972235450578195,0.0038750755388938557,0.0032742712665750884,0.008990380459059215,0.005730347004333044,0.00693567594334024
2021-02-10,0.26666666666666666,0.4666666666666667,0.4,0.9333333333333333,0.7666666666666667,0.7,0.0049972235450578195,0.00409437378450789,0.0025700459144624124,0.008653680122358877,0.00518389891690135,0.007102342610006906
2021-02-11,0.26666666666666666,0.5,0.36666666666666664,0.9666666666666667,0.7666666666666667,0.7,0.0049972235450578195,0.004334181937985109,0.002359075450327391,0.008797726217109197,0.00518389891690135,0.007102342610006906
2021-02-12,0.26666666666666666,0.5333333333333333,0.3,1.0,0.7666666666666667,0.9666666666666667,0.0049972235450578195,0.004583763605077199,0.002051855788269019,0.008966870490027055,0.00541522740335211,0.008699148997232455
2021-02-13,0.3,0.5333333333333333,0.26666666666666666,0.9666666666666667,0.7666666666666667,1.0,0.0056638902117244865,0.004583763605077199,0.0019169030217373053,0.00874757224441302,0.00557700828732286,0.009082290759684562
2021-02-14,0.3,0.5,0.26666666666666666,0.9666666666666667,0.8,1.0,0.0056638902117244865,0.004468821076341566,0.0019169030217373053,0.008909943918412601,0.00593932712790257,0.0090742392298939
2021-02-15,0.3,0.5,0.26666666666666666,1.0,0.8,1.0,0.0056638902117244865,0.004468821076341566,0.0019169030217373053,0.009245994254462937,0.006086938507398007,0.0090742392298939
2021-02-16,0.3333333333333333,0.4666666666666667,0.2,0.9666666666666667,0.7666666666666667,1.0,0.006497223545057819,0.004225512073908476,0.0014267069433059327,0.008844387828760127,0.005760141121777093,0.0090742392298939
2021-02-17,0.36666666666666664,0.3333333333333333,0.2,1.0,0.7666666666666667,1.0,0.007052779100613375,0.003273131121527524,0.0014267069433059327,0.009126873704466342,0.005794329155965127,0.0090742392298939
2021-02-18,0.36666666666666664,0.3333333333333333,0.23333333333333334,0.9666666666666667,0.7666666666666667,1.0333333333333334,0.007052779100613375,0.003273131121527524,0.0016312059208110452,0.0088762471380503,0.005794329155965127,0.009448771065099892
2021-02-19,0.3333333333333333,0.3333333333333333,0.23333333333333334,1.0,0.8,1.0333333333333334,0.006497223545057819,0.003273131121527524,0.0016312059208110452,0.009142913804716967,0.00602108652557964,0.009448771065099892
2021-02-20,0.3333333333333333,0.3333333333333333,0.26666666666666666,1.0,0.8,1.0333333333333334,0.006497223545057819,0.003273131121527524,0.002009993799598924,0.009142913804716967,0.006187126625830266,0.009448771065099892
2021-02-21,0.3333333333333333,0.36666666666666664,0.26666666666666666,0.9666666666666667,0.8,1.0,0.006497223545057819,0.003568116372264987,0.002009993799598924,0.00886280175989904,0.006187126625830266,0.009125146469630637
2021-02-22,0.26666666666666666,0.36666666666666664,0.43333333333333335,0.9666666666666667,0.8,1.0666666666666667,0.005078783828745762,0.003568116372264987,0.0029207406119850805,0.00886280175989904,0.006187126625830266,0.009812431692998334
2021-02-23,0.26666666666666666,0.4,0.43333333333333335,0.9666666666666667,0.8333333333333334,0.9666666666666667,0.005078783828745762,0.003879642852015766,0.0029207406119850805,0.00886280175989904,0.006435882844735739,0.008442568679299704
2021-02-24,0.26666666666666666,0.4,0.4666666666666667,0.9333333333333333,0.8666666666666667,0.9666666666666667,0.005078783828745762,0.003879642852015766,0.003108006529588077,0.008637576534673815,0.006625276784129678,0.008272712021747296
