,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.5,0.13333333333333333,0.1,0.23333333333333334,1.4666666666666666,0.5333333333333333,0.007093962189437697,0.0011979351317669557,0.0005908187042083245,0.0018302855532321078,0.009528714023991974,0.005197286470729197
2021-01-31,0.5333333333333333,0.13333333333333333,0.1,0.23333333333333334,1.4333333333333333,0.5333333333333333,0.0077884066338821415,0.0011979351317669557,0.0005908187042083245,0.0018302855532321078,0.009090117532763904,0.005197286470729197
2021-02-01,0.5333333333333333,0.1,0.1,0.23333333333333334,1.5,0.5,0.0077884066338821415,0.0009080800593031876,0.0005908187042083245,0.0018302855532321078,0.009559601100839022,0.00472109599453872
2021-02-02,0.5,0.1,0.1,0.23333333333333334,1.4333333333333333,0.4,0.0073962497711370445,0.0009080800593031876,0.0005908187042083245,0.0018302855532321078,0.008872315877471325,0.0035162767174302862
2021-02-03,0.5,0.1,0.1,0.3,1.4,0.4,0.0073962497711370445,0.0009080800593031876,0.0005908187042083245,0.002351118886565441,0.00867851742785892,0.0033282934585808855
2021-02-04,0.5333333333333333,0.1,0.1,0.3,1.4333333333333333,0.4,0.007909070283957558,0.0009080800593031876,0.0005908187042083245,0.002351118886565441,0.008913693180861498,0.0033282934585808855
2021-02-05,0.5,0.13333333333333333,0.1,0.3,1.6666666666666667,0.4,0.007439586715882439,0.0012225454681082189,0.0005908187042083245,0.002351118886565441,0.010774405567889674,0.0033282934585808855
2021-02-06,0.5333333333333333,0.13333333333333333,0.1,0.4666666666666667,1.7,0.5,0.007986034803314133,0.0012225454681082189,0.0005908187042083245,0.005619092742774592,0.01133952318120006,0.004941196684387337
2021-02-07,0.5666666666666667,0.06666666666666667,0.1,0.4666666666666667,1.7,0.5,0.008627060444339774,0.0007530619000331015,0.0005908187042083245,0.005619092742774592,0.01133952318120006,0.004941196684387337
2021-02-08,0.6,0.06666666666666667,0.1,0.5,1.8666666666666667,0.5,0.0092118557659772,0.0007530619000331015,0.0005908187042083245,0.005969969935757048,0.012814449434887376,0.004941196684387337
2021-02-09,0.6333333333333333,0.06666666666666667,0.1,0.5666666666666667,1.9666666666666666,0.4666666666666667,0.009758303853408895,0.0007530619000331015,0.0005908187042083245,0.006426590940323258,0.013715350335788277,0.004508296251486904
2021-02-10,0.5333333333333333,0.1,0.13333333333333333,0.5666666666666667,1.9333333333333333,0.4666666666666667,0.008424970520075563,0.0009723601456471366,0.0007015000635213702,0.0062427958023996795,0.013365161772715854,0.004508296251486904
2021-02-11,0.5333333333333333,0.1,0.13333333333333333,0.5,1.9,0.4,0.008424970520075563,0.0009723601456471366,0.0007015000635213702,0.0057733122343245616,0.012991506521011822,0.004032105775296428
2021-02-12,0.5333333333333333,0.1,0.13333333333333333,0.5,1.5666666666666667,0.3333333333333333,0.008309658766513251,0.0009723601456471366,0.0007015000635213702,0.0057733122343245616,0.011234511588207239,0.0035935092840683578
2021-02-13,0.5333333333333333,0.1,0.13333333333333333,0.4666666666666667,1.5333333333333334,0.3333333333333333,0.008309658766513251,0.0009723601456471366,0.0007015000635213702,0.005554013988710527,0.011393056854498573,0.0035935092840683578
2021-02-14,0.5333333333333333,0.1,0.13333333333333333,0.5,1.5333333333333334,0.3333333333333333,0.008309658766513251,0.0009723601456471366,0.0007015000635213702,0.005941610887935333,0.011393056854498573,0.0035935092840683578
2021-02-15,0.5333333333333333,0.13333333333333333,0.13333333333333333,0.5,1.5333333333333334,0.3333333333333333,0.008309658766513251,0.0014851806584676496,0.0007015000635213702,0.005941610887935333,0.01154066823399401,0.0035935092840683578
2021-02-16,0.5333333333333333,0.13333333333333333,0.2,0.5,1.5333333333333334,0.3333333333333333,0.008309658766513251,0.0014851806584676496,0.0011372299110159235,0.005941610887935333,0.011522512823681736,0.0035935092840683578
2021-02-17,0.5333333333333333,0.13333333333333333,0.2,0.4666666666666667,1.4666666666666666,0.3333333333333333,0.008477617422844001,0.0014851806584676496,0.0011372299110159235,0.005663833110157555,0.011078068379237293,0.0035935092840683578
2021-02-18,0.5,0.13333333333333333,0.16666666666666666,0.4666666666666667,1.5,0.3333333333333333,0.008001426946653524,0.0014851806584676496,0.0009445516836556153,0.005663833110157555,0.011328694945653332,0.0035935092840683578
2021-02-19,0.5,0.13333333333333333,0.16666666666666666,0.4666666666666667,1.5666666666666667,0.26666666666666666,0.008001426946653524,0.0014851806584676496,0.0010543770345610049,0.005663833110157555,0.011782209684882358,0.0031549127928402875
2021-02-20,0.4666666666666667,0.1,0.16666666666666666,0.4666666666666667,1.5666666666666667,0.3,0.007622639067865646,0.0010465841672395793,0.0010543770345610049,0.005663833110157555,0.011782209684882358,0.003513335731908388
2021-02-21,0.43333333333333335,0.1,0.16666666666666666,0.43333333333333335,1.5333333333333334,0.3,0.007252268697495276,0.0010465841672395793,0.0010543770345610049,0.005383721065339628,0.011575170347408237,0.003513335731908388
2021-02-22,0.43333333333333335,0.1,0.16666666666666666,0.43333333333333335,1.5666666666666667,0.3,0.007252268697495276,0.0010465841672395793,0.0010543770345610049,0.005383721065339628,0.011886696827159015,0.003513335731908388
2021-02-23,0.43333333333333335,0.1,0.16666666666666666,0.43333333333333335,1.6333333333333333,0.3,0.0076862127669263276,0.0010465841672395793,0.0010543770345610049,0.005383721065339628,0.012384209264969961,0.0033151126601587153
2021-02-24,0.4,0.1,0.2,0.43333333333333335,1.5666666666666667,0.3,0.007315842396555958,0.0010465841672395793,0.0012416429521640011,0.005383721065339628,0.01197013059002172,0.0033151126601587153
