,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,0.2857142857142857,0.14285714285714285,0.0,0.0,1.1428571428571428,0.7142857142857143,0.003721488595438175,0.0012315270935960591,0.0,0.0,0.00901376057603683,0.008678739101274313
2021-01-08,0.25,0.375,0.0,0.0,1.0,0.625,0.003256302521008403,0.0028258379551483,0.0,0.0,0.007887040504032227,0.007593896713615024
2021-01-09,0.2222222222222222,0.3333333333333333,0.0,0.0,0.8888888888888888,0.5555555555555556,0.002894491129785247,0.0025118559601318225,0.0,0.0,0.007010702670250868,0.006750130412102244
2021-01-10,0.2,0.3,0.0,0.0,0.8,0.6,0.0026050420168067224,0.00226067036411864,0.0,0.0,0.006309632403225782,0.007340940155702145
2021-01-11,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.09090909090909091,1.0,0.5454545454545454,0.005956736761690323,0.002055154876471491,0.0006540222367560497,0.0009090909090909091,0.007900531621980149,0.006673581959729224
2021-01-12,0.4166666666666667,0.25,0.08333333333333333,0.25,1.0833333333333333,0.6666666666666666,0.005460342031549462,0.0018838919700988669,0.0005995203836930456,0.0019671201814058957,0.008586240008320511,0.007299483226678502
2021-01-13,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.23076923076923078,1.9230769230769231,0.7692307692307693,0.0064139420950566454,0.0017389772031681848,0.0005534034311012729,0.001815803244374673,0.0130539651358856,0.007730540348199511
2021-01-14,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.2857142857142857,2.0,0.7142857142857143,0.005955803373981171,0.0016147645457990287,0.0005138746145940391,0.002143978470509083,0.01317713370640468,0.007178358894756689
2021-01-15,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.2857142857142857,1.9285714285714286,0.7142857142857143,0.005955803373981171,0.0016147645457990287,0.0005138746145940391,0.002143978470509083,0.012237284082344532,0.007178358894756689
2021-01-16,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.2857142857142857,2.0,0.6428571428571429,0.005955803373981171,0.0009990009990009992,0.0005138746145940391,0.002143978470509083,0.012569509995965792,0.006172322677452866
2021-01-17,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.2857142857142857,1.9285714285714286,0.42857142857142855,0.0051154672395273895,0.0009990009990009992,0.0005138746145940391,0.002143978470509083,0.011790237221897702,0.0037913702965004857
2021-01-18,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.35714285714285715,1.9285714285714286,0.35714285714285715,0.005955803373981171,0.0009990009990009992,0.0005138746145940391,0.0027342972426460366,0.011916854342734476,0.002838989344119533
2021-01-19,0.5,0.14285714285714285,0.14285714285714285,0.35714285714285715,1.8571428571428572,0.35714285714285715,0.006976211537246478,0.0009990009990009992,0.0009467750474944721,0.0027342972426460366,0.011499143398707742,0.002838989344119533
2021-01-20,0.42857142857142855,0.14285714285714285,0.21428571428571427,0.35714285714285715,1.7857142857142858,0.5,0.005955803373981171,0.0009990009990009992,0.0013112065343749385,0.0027342972426460366,0.011162216174988067,0.003778838968179683
2021-01-21,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.35714285714285715,1.7142857142857142,0.5,0.008506823782144436,0.0019513819513819514,0.0013112065343749385,0.0027342972426460366,0.010648341560394027,0.003778838968179683
2021-01-22,0.6428571428571429,0.07142857142857142,0.21428571428571427,0.42857142857142855,1.7857142857142858,0.5,0.009291753138502364,0.0009523809523809525,0.0013112065343749385,0.0033103341090054837,0.011091997283552856,0.003778838968179683
2021-01-23,0.6428571428571429,0.07142857142857142,0.21428571428571427,0.42857142857142855,1.7857142857142858,0.5,0.009291753138502364,0.0009523809523809525,0.0013112065343749385,0.0033103341090054837,0.011091997283552856,0.003778838968179683
2021-01-24,0.7142857142857143,0.07142857142857142,0.21428571428571427,0.42857142857142855,1.7857142857142858,0.5,0.010425539986574927,0.0009523809523809525,0.0013112065343749385,0.0033103341090054837,0.011091997283552856,0.003802323620959092
2021-01-25,0.5714285714285714,0.07142857142857142,0.14285714285714285,0.35714285714285715,1.7142857142857142,0.5,0.008374040269540405,0.0009523809523809525,0.0007973319197808993,0.0025960483947197696,0.010267741200751638,0.003802323620959092
2021-01-26,0.5714285714285714,0.07142857142857142,0.14285714285714285,0.2857142857142857,1.7857142857142858,0.35714285714285715,0.008374040269540405,0.0009523809523809525,0.0007973319197808993,0.0021494411804054724,0.010076589953618906,0.0027891523950219085
2021-01-27,0.5714285714285714,0.07142857142857142,0.14285714285714285,0.2857142857142857,1.0,0.35714285714285715,0.008309183818485406,0.0009523809523809525,0.0007973319197808993,0.0021494411804054724,0.0056772667725698365,0.0026438909243747437
2021-01-28,0.5714285714285714,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.9285714285714286,0.35714285714285715,0.008309183818485406,0.0009523809523809525,0.0007973319197808993,0.0016915657225300145,0.005289228863239169,0.0026438909243747437
2021-01-29,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.21428571428571427,1.0714285714285714,0.35714285714285715,0.009094113174843333,0.0009523809523809525,0.0007973319197808993,0.0016915657225300145,0.0063096370265044764,0.0026438909243747437
2021-01-30,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.21428571428571427,1.0714285714285714,0.42857142857142855,0.009094113174843333,0.0009523809523809525,0.0007973319197808993,0.0016915657225300145,0.006753808628411163,0.003609141889625709
2021-01-31,0.7142857142857143,0.07142857142857142,0.14285714285714285,0.21428571428571427,1.0,0.42857142857142855,0.010551839122365198,0.0009523809523809525,0.0007973319197808993,0.0016915657225300145,0.006060327352405616,0.003609141889625709
2021-02-01,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,1.0,0.42857142857142855,0.009711502987911418,0.0009523809523809525,0.0007973319197808993,0.0011012469503930606,0.006121117625961847,0.003609141889625709
2021-02-02,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.14285714285714285,1.0,0.42857142857142855,0.008691094824646112,0.0009523809523809525,0.00036443148688046647,0.0011012469503930606,0.006121117625961847,0.003609141889625709
2021-02-03,0.5714285714285714,0.07142857142857142,0.0,0.2857142857142857,1.0714285714285714,0.35714285714285715,0.008691094824646112,0.0009523809523809525,0.0,0.002217318378964489,0.006536400017988425,0.003231721961853523
2021-02-04,0.5,0.0,0.0,0.2857142857142857,1.2142857142857142,0.35714285714285715,0.0072061724975062994,0.0,0.0,0.002217318378964489,0.0074580590041635406,0.003231721961853523
