hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#afghanistan,239,8,85,87,19,15,25
#frontex,85,0,6,51,0,24,4
#ortskräfte,82,3,27,16,15,8,13
#migration,54,3,4,3,18,19,7
#seenotrettung,39,2,6,22,0,8,1
#bundesregierung,36,0,6,19,7,1,3
#afd,34,0,0,0,30,2,2
#abschiebungen,34,1,10,20,3,0,0
#eu,33,3,0,24,1,3,2
#abschiebung,32,0,4,21,3,4,0
#asyl,27,1,1,10,7,6,2
#taliban,26,0,4,10,1,3,8
#lesbos,25,0,3,20,1,1,0
#pushbacks,24,0,0,15,0,8,1
#seehofer,23,0,4,12,4,0,3
#kabul,23,3,4,9,2,2,3
#spd,22,0,10,3,4,5,0
#leavenoonebehind,22,0,8,13,0,1,0
#bundestag,22,1,6,3,9,2,1
#ortskraefte,20,0,13,3,3,1,0
#cdu,19,2,4,4,6,3,0
#moria,19,0,2,15,0,2,0
#karatepe,18,0,1,16,0,1,0
#frontexfiles,18,0,6,12,0,0,0
#menschenrechte,16,0,2,10,0,4,0
#europa,16,2,5,2,1,4,2
#bundeswehr,16,1,4,7,1,0,3
#laschet,14,0,5,6,1,2,0
#leggeri,11,0,1,7,0,3,0
#deutschland,11,0,0,2,9,0,0
#libyen,11,0,0,7,0,4,0
#btw21,10,0,1,7,2,0,0
#triell,10,0,4,3,0,1,2
#syrien,9,0,1,3,4,1,0
#merkel,9,1,1,1,6,0,0
#corona,9,0,0,4,4,1,0
#nato,8,1,1,6,0,0,0
#mittelmeer,8,0,0,7,0,1,0
#berlin,8,0,1,0,6,1,0
#stopdeportation,8,0,0,8,0,0,0
#abolishfrontex,8,0,0,8,0,0,0
#noafd,8,1,1,4,0,1,1
#groko,7,0,0,2,1,1,3
#scholz,7,0,4,2,1,0,0
#seebrücke,7,0,1,6,0,0,0
#deutschlandabernormal,7,0,0,0,7,0,0
#maas,7,0,3,4,0,0,0
#evakuierung,7,0,2,2,0,1,2
#btw2021,6,0,1,3,2,0,0
#giffey,6,0,2,1,0,1,2
#türkei,6,0,0,3,0,3,0
#afghanen,6,0,0,1,5,0,0
#flüchtlinge,6,0,0,3,2,0,1
#griechenland,6,0,0,5,0,1,0
#lipa,5,0,1,4,0,0,0
#kabulairport,5,0,1,2,0,0,2
#brandner,5,0,0,0,5,0,0
#afdimbundestag,5,0,0,0,5,0,0
#wuerzburg,5,0,0,0,5,0,0
#wirhabenplatz,5,0,1,3,1,0,0
#bleiberecht,5,0,2,3,0,0,0
#oceanviking,4,0,0,3,1,0,0
#srilanka,4,0,0,4,0,0,0
#covid19,4,1,0,2,0,0,1
#grüne,4,0,0,0,4,0,0
#zdfmagazin,4,0,0,4,0,0,0
#solidarität,4,0,0,3,0,1,0
#moria2,4,0,0,4,0,0,0
#pandemie,4,0,1,2,1,0,0
#kinder,4,1,1,0,1,0,1
#integration,4,0,0,0,2,1,1
#bureg,4,0,1,2,0,0,1
#nurnochafd,4,0,0,0,4,0,0
#migrationspolitik,4,0,0,2,1,1,0
#afghanishtan,4,0,2,1,1,0,0
#genferflüchtlingskonvention,4,0,1,2,0,1,0
#guinea,4,0,0,4,0,0,0
#grenzenlos,3,0,0,0,0,3,0
#terror,3,1,0,0,2,0,0
#eugh,3,0,0,2,0,1,0
#bundestagswahl,3,0,1,0,2,0,0
#frauen,3,0,1,0,1,0,1
#refugeeswelcome,3,0,1,2,0,0,0
#evacuatenow,3,0,0,3,0,0,0
#giz,3,0,2,1,0,0,0
#festungeuropa,3,0,0,2,1,0,0
#sudan,3,0,1,2,0,0,0
#ceuta,3,1,0,1,0,0,1
#grenzöffnung,3,0,0,0,3,0,0
#klimagerechtigkeit,3,0,0,3,0,0,0
#pushback,3,0,0,2,0,0,1
#afganisthan,3,0,2,1,0,0,0
#antisemitismus,3,0,0,0,3,0,0
#rechtsstaat,3,0,0,0,0,1,2
#afghanistannotsafe,3,0,1,2,0,0,0
#migranten,3,0,0,0,3,0,0
#irini,3,0,2,1,0,0,0
#iran,3,0,2,0,1,0,0
#openarms,3,0,0,3,0,0,0
#asylbewerber,3,0,0,0,3,0,0
#lockdown,3,0,1,0,2,0,0
#ungarn,3,0,0,3,0,0,0
#union,3,0,2,0,0,1,0
#afganistan,3,0,2,0,1,0,0
#gutgeregelt,3,0,0,0,0,3,0
#grünen,3,0,0,0,2,1,0
#menschenrechtsverletzungen,3,0,0,3,0,0,0
#luftbrücke,3,0,2,0,0,1,0
#kriminellen,2,0,0,0,2,0,0
#kurz,2,0,0,1,1,0,0
#mali,2,0,0,2,0,0,0
#euro,2,0,0,0,2,0,0
#flüchtlingen,2,0,0,1,1,0,0
#lufthansa,2,0,0,2,0,0,0
#familiennachzug,2,0,0,1,0,1,0
#luftbrueckenachkabul,2,0,0,2,0,0,0
#lipacamp,2,1,0,1,0,0,0
#seaeye,2,0,0,1,1,0,0
#seaeye4,2,0,1,1,0,0,0
#luftbruecke,2,0,1,0,0,1,0
#folterlager,2,0,1,1,0,0,0
#seenot,2,0,0,2,0,0,0
#marokko,2,1,0,1,0,0,0
#grundgesetz,2,0,2,0,0,0,0
#schwarzgrün,2,0,0,1,0,1,0
#imk,2,0,0,1,0,1,0
#refugeesgr,2,0,0,2,0,0,0
#grün,2,0,0,0,0,2,0
#rechtsextremismus,2,0,1,0,0,1,0
#hartaberfair,2,0,0,1,0,1,0
#regensburg,2,0,0,2,0,0,0
#erdogan,2,0,0,2,0,0,0
#pressefreiheit,2,0,0,2,0,0,0
#polizei,2,0,1,1,0,0,0
#ichwaehlelinks,2,0,0,2,0,0,0
#pakistan,2,0,0,2,0,0,0
#klima,2,0,0,0,1,0,1
#gfk70,2,0,0,1,0,1,0
#gfk,2,0,0,0,0,2,0
#gesundermenschenverstand,2,0,0,0,0,2,0
#integrationsgipfel,2,0,0,0,1,1,0
#schischow,2,1,0,0,0,0,1
#islam,2,0,0,0,2,0,0
#oberpfalz,2,0,0,2,0,0,0
#frieden,2,0,0,2,0,0,0
#niemehrcdu,2,0,0,1,1,0,0
#nrw,2,0,0,1,1,0,0
#flüchtlingskonvention,2,0,1,0,0,1,0
#würzburg,2,0,0,0,2,0,0
#bosnien,2,0,0,2,0,0,0
#afdwirkt,2,0,0,0,2,0,0
#wien,2,0,0,2,0,0,0
#dielinke,2,0,0,2,0,0,0
#un,2,0,1,1,0,0,0
#thüringen,2,0,0,0,1,0,1
#denken,2,0,0,0,0,2,0
#bonn,2,0,2,0,0,0,0
#abschottungspolitik,2,0,0,2,0,0,0
#belarus,2,0,0,0,0,0,2
#cumex,2,0,2,0,0,0,0
#vielzutun,2,0,0,0,0,0,2
#weltflüchtlingstag,2,0,1,1,0,0,0
#cduvorsitz,2,1,0,0,1,0,0
#bmi,2,0,1,1,0,0,0
#assange,2,0,0,2,0,0,0
#akk,2,0,0,2,0,0,0
#drohnen,2,0,0,2,0,0,0
#unverhandelbar,2,0,0,2,0,0,0
#außenpolitik,2,0,0,1,0,0,1
#abschieben,2,0,0,0,2,0,0
#breg,2,0,0,2,0,0,0
#abschiebestopp,2,0,1,0,1,0,0
#usa,2,0,1,1,0,0,0
#sicherheit,2,0,0,0,0,2,0
#ägäis,2,0,0,1,0,1,0
#wahlarena,2,0,0,0,2,0,0
#abschottung,2,0,0,2,0,0,0
#w2302,1,0,0,1,0,0,0
#neustart,1,0,0,0,0,1,0
#niemehrcducsu,1,0,0,1,0,0,0
#nichtmeinkanzler,1,0,0,1,0,0,0
#vs,1,0,0,0,1,0,0
#niewiedersozialismus,1,0,0,0,1,0,0
#ngo,1,0,0,1,0,0,0
#neonazis,1,0,0,1,0,0,0
#waffen,1,0,0,1,0,0,0
#neofaschistischer,1,0,0,1,0,0,0
#sicherehäfen,1,0,0,1,0,0,0
#verpflichtung,1,0,0,0,0,0,1
#visa,1,0,1,0,0,0,0
#nonazis,1,0,0,1,0,0,0
#ovg,1,0,0,0,1,0,0
#unhcr70,1,0,0,0,0,1,0
#universitäten,1,0,1,0,0,0,0
#universitäts,1,0,0,1,0,0,0
#unterstützer,1,1,0,0,0,0,0
#olafscholz,1,0,1,0,0,0,0
#verantwortung,1,0,0,0,0,0,1
#verbrecher,1,1,0,0,0,0,0
#verfassungsschutzbericht,1,0,0,1,0,0,0
#nürnberg,1,0,0,1,0,0,0
#verpflichtet,1,0,0,0,0,1,0
#nurdieafd,1,0,0,0,1,0,0
#nullaufklärung,1,0,0,1,0,0,0
#waffenexporte,1,0,0,1,0,0,0
#vielfaltgestalten,1,0,1,0,0,0,0
#notonato,1,0,0,1,0,0,0
#notmyeu,1,0,0,1,0,0,0
#nazdar,1,0,0,0,0,1,0
#morddrohungen,1,0,0,1,0,0,0
#wahl2021,1,0,0,0,1,0,0
#menschlich,1,0,0,0,0,1,0
#wk194,1,0,0,0,1,0,0
#wohnen,1,0,0,1,0,0,0
#messerangriff,1,0,0,0,1,0,0
#messer,1,0,0,0,1,0,0
#wohnungsnot,1,0,0,0,1,0,0
#merz,1,0,0,1,0,0,0
#merkels,1,0,0,0,1,0,0
#zdf,1,0,0,0,0,1,0
#menschenwürde,1,0,0,0,0,1,0
#messermord,1,0,0,0,1,0,0
#menschenrechtsbeauftragte,1,0,1,0,0,0,0
#menschenrechtler,1,0,1,0,0,0,0
#menschenrechten,1,0,0,1,0,0,0
#medien,1,0,0,0,1,0,0
#mecklenburgvorpommern,1,0,0,0,1,0,0
#mauer,1,0,0,0,1,0,0
#äthiopien,1,0,0,1,0,0,0
#massenmigration,1,0,0,0,1,0,0
#messerattacke,1,0,0,0,1,0,0
#wissenschaft,1,0,0,1,0,0,0
#nadir,1,0,0,1,0,0,0
#missionlifeline,1,1,0,0,0,0,0
#nachhaltigkeit,1,1,0,0,0,0,0
#münchen,1,0,0,1,0,0,0
#mytilini,1,0,0,1,0,0,0
#multilateralismworks,1,0,0,0,0,1,0
#wahlbeteiligung,1,0,1,0,0,0,0
#montgomery,1,0,0,0,1,0,0
#wahlkampf,1,1,0,0,0,0,0
#wahlprogramm,1,0,1,0,0,0,0
#wahnsinn,1,0,0,0,0,1,0
#mexiko,1,0,0,1,0,0,0
#milevakop,1,1,0,0,0,0,0
#warburg,1,0,1,0,0,0,0
#migrationshintergrund,1,0,0,0,1,0,0
#migrationsgeschichte,1,0,0,1,0,0,0
#wirecard,1,0,1,0,0,0,0
#wirholendasdirektmandat,1,0,0,0,1,0,0
#wirmachenauf,1,0,0,1,0,0,0
#mietendeckel,1,0,0,0,1,0,0
#undemokratisch,1,0,0,0,0,1,0
#twitter,1,0,0,0,1,0,0
#paris,1,0,0,0,1,0,0
#sdg,1,1,0,0,0,0,0
#schwereschuld,1,0,0,0,1,0,0
#staatsversagen,1,0,0,0,1,0,0
#standingcorps,1,0,0,1,0,0,0
#schwarzen,1,0,0,0,0,1,0
#schutzberechtigte,1,0,0,0,0,1,0
#scholzpacktdasan,1,0,0,0,0,1,0
#schlepperei,1,0,0,0,1,0,0
#standwithisrael,1,0,0,0,0,1,0
#strobl,1,0,0,1,0,0,0
#savethemall,1,0,0,1,0,0,0
#studie,1,0,0,0,1,0,0
#sammelabschiebungen,1,0,0,1,0,0,0
#sahelzone,1,0,1,0,0,0,0
#sachsenanhalt,1,0,0,0,1,0,0
#rüstungslobby,1,0,0,1,0,0,0
#röttgen,1,0,0,1,0,0,0
