hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
ortskräfte,312,16,102,93,31,31,39
ich,308,25,65,86,43,67,22
afghanistan,287,9,96,99,23,28,32
abschiebung,173,2,35,86,31,17,2
mensch,144,8,29,82,3,17,5
migration,142,8,17,14,37,39,27
flüchtling,117,13,6,19,42,29,8
frontex,111,0,13,61,0,31,6
deutschland,101,5,11,36,30,18,1
bundesregierung,99,0,32,43,12,3,9
jahr,84,3,19,24,17,14,7
eu,84,7,6,47,2,10,12
seenotrettung,83,17,14,32,4,14,2
asyl,76,2,5,28,20,16,5
mein,73,9,12,31,9,9,3
spd,65,0,28,20,8,9,0
innen,59,0,23,23,1,11,1
brauchen,56,4,15,15,5,13,4
bundestag,50,2,12,18,10,5,3
retten,50,2,6,28,3,4,7
afghanisch,50,2,17,13,5,5,8
deutsch,49,3,12,7,9,6,12
fordern,49,2,11,16,8,4,8
afd,49,2,1,2,37,3,4
land,45,3,13,15,5,4,5
cdu,44,3,10,14,12,5,0
taliban,42,1,13,13,3,3,9
und,42,0,11,12,7,10,2
europa,42,2,10,15,3,8,4
evakuierung,40,2,3,25,1,3,6
in,40,0,7,19,7,5,2
bundeswehr,38,3,12,14,3,2,4
woche,37,3,13,15,1,2,3
was,36,0,6,14,4,10,2
verantwortung,35,1,13,10,0,6,5
seehofer,35,0,9,15,5,2,4
familie,35,1,14,9,1,7,3
lassen,35,2,6,15,6,4,2
pushbacks,35,0,1,20,0,12,2
lage,35,2,11,8,0,7,7
juni,35,0,11,20,0,2,2
kabul,33,4,9,12,3,2,3
abschieben,33,0,3,16,9,5,0
helfen,32,4,10,4,2,10,2
aufnahme,32,0,10,13,5,4,0
menschenrechte,31,1,4,17,0,7,2
stehen,31,2,6,9,6,7,1
antrag,31,0,12,9,1,3,6
schnellen,30,2,11,9,2,4,2
ablehnen,30,0,12,9,3,3,3
letzt,30,2,15,6,3,2,2
lesbos,30,0,5,23,1,1,0
thema,30,2,1,3,7,6,11
hilfe,30,1,10,4,3,11,1
regierung,30,2,4,12,6,2,4
aber,29,1,8,3,7,8,2
unterstützen,29,6,12,3,1,6,1
jetzt,29,2,8,9,0,5,5
eine,29,0,4,13,6,3,3
versagen,29,1,14,6,2,3,3
union,28,0,13,6,4,4,1
leben,28,3,2,15,1,6,1
diese,28,3,3,17,2,2,1
frage,28,1,5,12,3,4,3
zeigen,28,2,4,9,5,5,3
recht,27,1,2,15,3,5,1
mittelmeer,27,1,3,17,2,3,1
geflüchtet,27,0,5,16,0,6,0
evakuieren,27,1,12,10,1,1,2
ein,27,0,10,7,2,6,2
situation,26,1,12,8,0,3,2
sicher,26,0,8,11,4,2,1
bringen,26,2,5,6,4,6,3
so,26,1,1,9,7,7,1
bleiben,26,0,4,9,3,7,3
sofort,25,1,4,15,1,4,0
sicherheit,25,3,3,6,3,6,4
wer,25,3,4,6,7,4,1
wie,25,2,5,13,3,2,0
sprechen,25,1,5,6,0,7,6
stoppen,24,0,4,20,0,0,0
wichtig,24,5,1,12,0,3,3
wenn,24,1,8,6,3,2,4
klaren,23,1,0,9,7,5,1
illegal,23,0,3,10,5,1,4
einfach,23,1,5,5,2,3,7
grüne,23,0,6,2,9,3,3
einsatz,23,2,5,13,0,3,0
kriegen,22,1,1,17,2,1,0
zeit,22,1,8,4,2,2,5
leavenoonebehind,22,0,8,13,0,1,0
politisch,22,1,2,13,3,2,1
bild,22,2,5,2,8,2,3
aufnehmen,22,1,6,9,0,5,1
rettung,22,0,6,7,2,5,2
merkel,22,2,3,3,13,0,1
politik,21,3,0,9,4,3,2
verhindern,21,0,8,6,2,3,2
warum,21,1,2,10,5,1,2
enden,21,0,4,14,0,3,0
ortskraefte,20,0,13,3,3,1,0
im,20,1,3,8,2,5,1
reden,20,1,4,6,1,5,3
leggeri,20,0,2,10,0,7,1
sein,19,1,4,3,5,5,1
stimmen,19,0,3,9,3,3,1
kind,19,1,4,11,1,1,1
laschet,19,1,6,9,1,2,0
mal,19,0,2,10,0,5,2
lagern,19,1,2,16,0,0,0
stellen,19,0,5,4,6,4,0
danken,19,0,9,8,1,0,1
unterstützung,19,1,9,5,0,2,2
handeln,19,1,8,4,0,1,5
person,18,0,1,9,4,4,0
breg,18,0,10,2,1,0,5
mit,18,0,2,6,2,6,2
bureg,18,0,3,13,1,0,1
hier,18,3,5,5,1,3,1
zivile,18,0,5,9,0,4,0
geflüchtete,18,0,4,12,1,1,0
viel,18,3,7,3,0,2,3
gelten,18,1,9,3,1,1,3
forderung,18,2,4,6,5,1,0
arbeiten,18,0,5,8,1,3,1
2021,18,0,1,8,8,1,0
frontexfiles,18,0,6,12,0,0,0
integration,18,3,0,0,6,7,2
karatepe,18,0,1,16,0,1,0
frau,18,0,5,6,4,1,2
grün,18,1,3,4,7,3,0
humanitär,17,1,5,5,0,5,1
moria,17,0,2,13,0,2,0
unbürokratisch,17,0,5,8,0,2,2
neu,17,2,2,3,6,3,1
berlin,17,0,4,2,10,1,0
europäisch,17,0,9,4,0,4,0
2015,17,0,1,3,12,0,1
20,17,2,4,10,0,0,1
holen,17,3,4,2,5,2,1
stich,17,1,3,9,1,1,2
schaffen,17,0,0,8,2,3,4
scheitern,17,0,1,10,3,3,0
monat,17,0,6,3,2,3,3
sichern,17,2,6,3,3,2,1
europäische,16,2,5,2,0,5,2
schutz,16,0,7,5,1,3,0
gestern,16,2,3,9,1,1,0
via,16,1,1,3,9,0,2
da,16,1,3,6,1,3,2
jed,16,0,3,3,6,2,2
corona,16,0,2,5,6,2,1
