,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,15.5,16.9,15.566666666666666,6.5,10.966666666666667,8.9,0.2116583949306628,0.11023522409444916,0.09654963981748378,0.05139185587426303,0.07338719037770021,0.07446284614501987
2021-01-31,15.3,16.9,15.866666666666667,6.733333333333333,11.0,9.133333333333333,0.20849481468374922,0.11117584725729455,0.0990536655823791,0.05363544561785278,0.07427113099848294,0.07727534614501988
2021-02-01,15.2,16.833333333333332,16.233333333333334,7.2,11.166666666666666,9.5,0.2097219967668908,0.11204908152623604,0.10183144336015688,0.057165103094878676,0.0746960433417408,0.07922841722852575
2021-02-02,15.133333333333333,16.0,16.2,7.033333333333333,11.3,9.8,0.20984703228834573,0.10756138031444368,0.09933382528475197,0.053527027422904695,0.07456128153323734,0.08138219362443196
2021-02-03,15.3,15.6,16.2,7.366666666666666,11.433333333333334,9.866666666666667,0.2135928834026179,0.10338818135960978,0.09965789935882603,0.055560618246874735,0.07533647533168696,0.08115519497223646
2021-02-04,15.133333333333333,15.4,16.266666666666666,7.433333333333334,11.8,10.066666666666666,0.21577554922164735,0.10230349216478292,0.10117447012469429,0.05647266915892565,0.07788316463559188,0.08163952545656694
2021-02-05,15.233333333333333,15.366666666666667,15.466666666666667,7.3,11.833333333333334,9.766666666666667,0.21957744556703995,0.10375978651785862,0.10098052459809,0.05801188039718412,0.07981033103644247,0.08120143670387144
2021-02-06,15.433333333333334,15.266666666666667,15.433333333333334,7.3,11.633333333333333,9.733333333333333,0.22263385012386128,0.10408029933837144,0.10269288934228582,0.05955959281548477,0.07903580435830133,0.08211740643704547
2021-02-07,15.2,14.9,15.6,7.133333333333334,11.533333333333333,9.733333333333333,0.22054825965798916,0.10203143658254848,0.10467507763745121,0.05829771146510785,0.0789712048750972,0.08219643283186134
2021-02-08,15.033333333333333,14.666666666666666,15.966666666666667,7.166666666666667,11.833333333333334,9.6,0.22320398153148024,0.10138730072844108,0.10573041869279227,0.05851074404656147,0.08158355173523167,0.0804751767416732
2021-02-09,15.233333333333333,14.7,15.966666666666667,7.466666666666667,11.933333333333334,9.966666666666667,0.2288632359815154,0.10211253335022544,0.10397318700855328,0.05995176877525744,0.08143340158508151,0.08290837572659632
2021-02-10,15.166666666666666,14.933333333333334,15.666666666666666,8.133333333333333,11.9,10.333333333333334,0.23033332145160088,0.10308316645472582,0.10130223904095496,0.06245848733702187,0.08089080172361765,0.08431241613063672
2021-02-11,15.233333333333333,14.633333333333333,15.933333333333334,8.133333333333333,12.133333333333333,10.633333333333333,0.23553483028622466,0.10123209828965002,0.10203613629533935,0.062186400269160155,0.08135068511033029,0.08630850223631188
2021-02-12,15.4,14.466666666666667,15.033333333333333,8.2,11.966666666666667,10.7,0.2363831953302902,0.10040961325036928,0.09944183692684644,0.06240319081613939,0.08081918037360412,0.08641224212495563
2021-02-13,15.466666666666667,13.966666666666667,14.5,8.1,11.766666666666667,10.433333333333334,0.2392720842191791,0.09659152539507213,0.09905124192777905,0.06296115217523332,0.0812851093194399,0.08664082101732763
2021-02-14,15.233333333333333,13.0,14.233333333333333,7.833333333333333,11.166666666666666,10.433333333333334,0.23910948259316284,0.09513906980468549,0.09804864023985467,0.06180883706942985,0.07830503685567178,0.086608614898165
2021-02-15,14.166666666666666,10.5,14.166666666666666,7.366666666666666,9.866666666666667,9.2,0.23488404098685964,0.09237498152527687,0.0969240338520904,0.05824813350872629,0.07291051189592943,0.07868744446471157
2021-02-16,14.133333333333333,10.133333333333333,14.166666666666666,7.5,9.9,9.033333333333333,0.23707539901155097,0.09029363168924599,0.09651553712006426,0.05925608689088237,0.0730557551784276,0.0771773877986676
2021-02-17,14.166666666666666,10.1,14.166666666666666,7.366666666666666,9.866666666666667,9.0,0.24065421038106,0.09133719805196129,0.09663816811226048,0.05815910007355656,0.07300447312714554,0.07649138336934766
2021-02-18,14.2,8.6,13.9,7.066666666666666,9.7,9.133333333333333,0.2475464409575011,0.0844599579085921,0.09519130829453644,0.05609665228742457,0.07242431903821953,0.0781786682026999
2021-02-19,14.333333333333334,8.6,13.633333333333333,7.1,9.833333333333334,9.033333333333333,0.25176412803233106,0.08475265645195952,0.0947627215592959,0.05657160297775987,0.07336691830014654,0.0778367116163187
2021-02-20,14.4,8.7,13.466666666666667,7.133333333333334,9.666666666666666,9.233333333333333,0.25615806742627045,0.0850993565355017,0.09445127374784808,0.057010199468987936,0.07344210627007135,0.08013778688513588
2021-02-21,14.033333333333333,8.4,12.966666666666667,7.166666666666667,9.633333333333333,9.3,0.2584812997495028,0.08283455242033556,0.093334480093741,0.05801927779911517,0.0747057601574134,0.08119229399396828
2021-02-22,14.6,8.3,12.966666666666667,7.0,9.9,9.366666666666667,0.26764957827948344,0.0836670785953275,0.09006397805735206,0.057814741251986025,0.07704692885372227,0.08160805912909194
2021-02-23,14.466666666666667,8.666666666666666,13.166666666666666,7.133333333333334,10.066666666666666,9.533333333333333,0.26893533848520507,0.08687304097554754,0.0891735527483221,0.060207903645148414,0.0781502830504804,0.08250360264967528
2021-02-24,14.133333333333333,8.7,12.766666666666667,7.233333333333333,10.233333333333333,9.666666666666666,0.2675206451032986,0.08721819132069789,0.08692636173708614,0.060779629216873986,0.07888550797048793,0.08254917394804301
2021-02-25,14.2,8.833333333333334,11.7,7.2,10.433333333333334,9.8,0.26718050904887675,0.08894144407187538,0.08399074860584843,0.06068825175016844,0.08043462230221096,0.08204935087656388
2021-02-26,14.266666666666667,8.833333333333334,11.833333333333334,7.833333333333333,11.133333333333333,9.933333333333334,0.2679536282876516,0.08927784892780634,0.08645670018749642,0.0648159347441145,0.08286411393381068,0.08404110911832213
