,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,10.5,11.966666666666667,20.133333333333333,12.533333333333333,17.3,8.866666666666667,0.13737650424445522,0.08787110242610828,0.1232430263390962,0.09056337673090281,0.11340282744961906,0.07337491253921193
2021-01-31,10.633333333333333,11.966666666666667,20.233333333333334,12.733333333333333,17.466666666666665,9.166666666666666,0.14022356899628186,0.08799977889669651,0.12371086259640614,0.09188469805222413,0.1161274420163389,0.07699262643884955
2021-02-01,10.4,12.0,20.533333333333335,13.0,17.866666666666667,9.4,0.139088258523622,0.08922922746355232,0.1254005443872973,0.0932310872811103,0.11748004697788542,0.07841439582585717
2021-02-02,10.366666666666667,12.033333333333333,21.0,13.2,18.2,9.533333333333333,0.139160061892857,0.0912263712132734,0.12618255807253678,0.09332976743406453,0.11780786394297856,0.07898419639565774
2021-02-03,10.266666666666667,12.1,21.033333333333335,13.4,17.7,9.633333333333333,0.13954290017668539,0.09198730501941997,0.12672278879861665,0.09415108153662863,0.11493561408860746,0.07886171170624391
2021-02-04,9.866666666666667,11.766666666666667,20.1,13.4,17.3,10.1,0.13843394115499993,0.08948730501941997,0.1249917098936247,0.09482905973427712,0.11285801866636008,0.08105097724296707
2021-02-05,9.833333333333334,11.266666666666667,19.166666666666668,12.7,16.766666666666666,9.5,0.1390221764491176,0.08788116449057706,0.1244945834568431,0.09402073640494539,0.1115810985215154,0.07831898701097684
2021-02-06,9.833333333333334,11.133333333333333,19.0,12.233333333333333,15.966666666666667,9.133333333333333,0.13927832399010118,0.08762568325683497,0.12543969724533036,0.09151672999468898,0.10679649247141573,0.07644949847482163
2021-02-07,9.6,10.833333333333334,19.266666666666666,12.066666666666666,15.666666666666666,9.066666666666666,0.13710806976032,0.08578086141201312,0.12895797955825553,0.09037712885508782,0.10539468368588603,0.07595578442178555
2021-02-08,9.333333333333334,10.5,19.433333333333334,12.2,15.966666666666667,9.133333333333333,0.1364585977483585,0.08429691899783816,0.12942160107450862,0.09154441395094434,0.10794070797104076,0.07635776023510527
2021-02-09,9.233333333333333,10.5,19.8,12.533333333333333,16.166666666666668,9.066666666666666,0.13683645722548268,0.0846424798697148,0.1307610130055236,0.09251232021686386,0.10899175902209181,0.07482867516171639
2021-02-10,9.2,10.9,20.2,13.566666666666666,16.666666666666668,9.566666666666666,0.13830120399807458,0.08677393427389649,0.1316073947236785,0.09543824614278978,0.11203408706441985,0.07651392276347942
2021-02-11,9.2,11.166666666666666,20.066666666666666,13.866666666666667,17.333333333333332,9.7,0.14098513793200854,0.08898235387362044,0.12924191079897415,0.09664974197707855,0.1146523666343123,0.07734375824377082
2021-02-12,9.1,11.0,19.333333333333332,13.6,17.333333333333332,9.633333333333333,0.13800894745581807,0.0881805975130663,0.12745455339051637,0.094653857203416,0.11577958080500475,0.07671276217139944
2021-02-13,8.966666666666667,10.7,18.866666666666667,13.1,16.7,9.4,0.13591341586876107,0.08595521872518751,0.1263800435865948,0.09290658900045161,0.11419227921770317,0.07674255447647264
2021-02-14,8.833333333333334,10.566666666666666,17.933333333333334,12.8,16.166666666666668,9.333333333333334,0.1363470202048044,0.08695455651340014,0.12095602911707531,0.09173346238546452,0.11220614103273457,0.07593877197056247
2021-02-15,8.566666666666666,10.033333333333333,17.833333333333332,12.633333333333333,15.933333333333334,9.3,0.13816993687147108,0.08702991344960241,0.11983480678250617,0.09076620048070262,0.11363672595169158,0.07662116087764839
2021-02-16,8.5,10.033333333333333,17.8,12.766666666666667,16.2,9.333333333333334,0.13797152417305839,0.08763377818390192,0.1193833658363126,0.09171283136919398,0.11604425097966847,0.07702988823591704
2021-02-17,8.433333333333334,9.633333333333333,16.8,12.633333333333333,16.1,9.2,0.13806956338874465,0.08538791529974117,0.11432721375735459,0.09062926846744926,0.1157965834648254,0.07552490231227141
2021-02-18,8.266666666666667,9.233333333333333,16.166666666666668,12.666666666666666,15.9,9.1,0.13703588162335556,0.08513117589024181,0.11058006484891535,0.09180840678944471,0.1151449337379994,0.07460169171164145
2021-02-19,8.266666666666667,9.133333333333333,15.833333333333334,12.266666666666667,15.9,8.866666666666667,0.13825115940113333,0.0845354894814777,0.10960147669234126,0.08989925702357152,0.11523769811647805,0.073188231590751
2021-02-20,8.233333333333333,9.233333333333333,15.133333333333333,12.0,15.866666666666667,9.066666666666666,0.13939808158464087,0.0847824030617246,0.10520871183446014,0.08767435095808575,0.11633222547966214,0.07539554909669513
2021-02-21,8.033333333333333,8.766666666666667,14.6,11.766666666666667,15.366666666666667,8.7,0.14130284348940278,0.08106031274347629,0.10274472542886788,0.08632378741358517,0.11462070028987609,0.07191306703675424
2021-02-22,8.166666666666666,8.5,14.8,11.633333333333333,15.4,8.733333333333333,0.14343023990251347,0.07984192193887858,0.1011072985282831,0.08752780884516666,0.11470712004296252,0.07192136303808158
2021-02-23,7.966666666666667,8.433333333333334,14.966666666666667,11.766666666666667,16.0,8.633333333333333,0.14223976371203728,0.0780916484586473,0.10032100928045538,0.09135789688578103,0.11906436607088741,0.0697402108569294
2021-02-24,7.733333333333333,8.533333333333333,15.233333333333333,12.133333333333333,15.8,8.366666666666667,0.1409255462687876,0.07933908523239987,0.10204214217805886,0.0935249994247371,0.11752717712761865,0.06688306799978654
2021-02-25,7.9,8.566666666666666,14.833333333333334,12.266666666666667,15.933333333333334,8.666666666666666,0.14362251596575729,0.0801838148541079,0.10199366124722499,0.09473148977281433,0.11886845041305509,0.06798786597958452
2021-02-26,7.833333333333333,8.166666666666666,14.4,12.266666666666667,16.466666666666665,8.233333333333333,0.1423258594871058,0.07762102279803314,0.10104800442223569,0.09555240999790535,0.12040964055433086,0.06638737490280887
