,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,
2021-02-02,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,
2021-02-04,,,,,,,,,,,,
2021-02-05,,,,,,,,,,,,
2021-02-06,,,,,,,,,,,,
2021-02-07,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,
2021-02-14,,,,,,,,,,,,
2021-02-15,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,
2021-02-17,,,,,,,,,,,,
2021-02-18,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,
2021-02-20,,,,,,,,,,,,
2021-02-21,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,
2021-02-24,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,
2021-02-27,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,
2021-03-01,13.666666666666666,14.8,24.65,19.766666666666666,24.016666666666666,13.766666666666667,0.21623722713886775,0.12189441001064263,0.16541811321785352,0.15055478180435214,0.16440405215371973,0.11201754732413144
2021-03-02,13.85,15.016666666666667,24.9,20.15,24.616666666666667,14.05,0.22090449603377893,0.1232753027932876,0.16526940812177998,0.15196351537869082,0.16806200656355383,0.11442365836186313
2021-03-03,13.983333333333333,15.483333333333333,25.6,20.716666666666665,25.383333333333333,14.533333333333333,0.2228864498229616,0.12672248187550222,0.16739567405617814,0.15421753961453816,0.17059959496314972,0.11737362995362174
2021-03-04,13.933333333333334,15.45,25.983333333333334,21.266666666666666,25.883333333333333,14.916666666666666,0.22448087706754366,0.1273826550356754,0.16745134625825236,0.15644559685917916,0.1718228202182109,0.11932159057246845
2021-03-05,14.2,15.683333333333334,26.116666666666667,21.933333333333334,26.033333333333335,15.316666666666666,0.2260985798214256,0.12785648867594548,0.1690321515688581,0.15860290353909892,0.1726898722413323,0.1215093839996985
2021-03-06,13.933333333333334,15.716666666666667,25.383333333333333,22.1,25.833333333333332,15.366666666666667,0.2265785705685919,0.12865681870894877,0.167736965828395,0.1615435775757536,0.17300024904634376,0.12215937577195456
2021-03-07,13.966666666666667,15.3,24.55,21.833333333333332,25.383333333333333,15.066666666666666,0.22757063406065542,0.12736787467806926,0.16777745878614148,0.16227694409309226,0.17263953872447915,0.12153106889364769
2021-03-08,13.85,15.016666666666667,24.483333333333334,21.566666666666666,25.016666666666666,14.9,0.22711180469557604,0.12606068513558558,0.16910275999096075,0.1604540274264256,0.1706798943187916,0.12083677724226033
2021-03-09,13.766666666666667,14.966666666666667,24.35,21.766666666666666,24.966666666666665,15.083333333333334,0.2268987982619123,0.1270467604637662,0.16956778975286552,0.16299719854102526,0.1693739780128753,0.12255691444968567
2021-03-10,13.7,14.75,24.6,21.916666666666668,25.15,15.2,0.2287307765816955,0.12589830108001268,0.1707554681144569,0.1635653803592071,0.17042722103692123,0.12276308681490528
2021-03-11,13.733333333333333,14.8,24.816666666666666,22.1,25.633333333333333,15.35,0.22969345080801254,0.12695569262088036,0.17174914471788963,0.16461001473717482,0.17221069055294888,0.12308477936660053
2021-03-12,13.633333333333333,14.866666666666667,24.516666666666666,22.2,25.85,15.166666666666666,0.2294741525623985,0.12877462918452426,0.17023535574906468,0.1646407475976949,0.1736010277097094,0.12191599201360265
2021-03-13,13.55,14.766666666666667,24.15,22.0,26.0,15.166666666666666,0.2289778935915633,0.1284580454567256,0.16884029985235546,0.16386977254100554,0.17477016920143154,0.12256442159820245
2021-03-14,13.533333333333333,14.683333333333334,23.833333333333332,22.25,25.683333333333334,15.466666666666667,0.22742366078733048,0.12772293949445793,0.16935474664587205,0.16473903158019923,0.17396165450116424,0.12423271746004669
2021-03-15,13.45,14.733333333333333,23.85,22.15,25.233333333333334,15.45,0.22617558682739208,0.12927570115360257,0.17089536289237064,0.16417672838631708,0.17327013722592852,0.12453948860138318
2021-03-16,13.383333333333333,14.766666666666667,23.5,22.283333333333335,25.1,15.433333333333334,0.22647818730020533,0.13134632321686088,0.168993234519654,0.16587917659723989,0.17283015823985023,0.12405127311316771
2021-03-17,13.15,14.433333333333334,23.316666666666666,22.4,25.133333333333333,15.666666666666666,0.22600075674464976,0.13194417733839187,0.16757983230986778,0.1665075733363703,0.17404065317127537,0.12557550861627648
2021-03-18,13.2,14.55,23.066666666666666,22.883333333333333,25.833333333333332,16.05,0.22820023409656615,0.1339579960104512,0.16590079378035202,0.16816605956596795,0.17677842522299395,0.12761816524608907
2021-03-19,13.166666666666666,14.316666666666666,22.333333333333332,22.966666666666665,25.95,16.05,0.22809328222490838,0.1323710724721145,0.16260153341302883,0.16753902942740456,0.1766618940576823,0.12756321012610372
2021-03-20,13.0,14.0,21.866666666666667,23.05,25.7,16.2,0.2269028060344322,0.13186837341678387,0.16232880614030157,0.16850489725601747,0.17547744195074574,0.12904469160758522
2021-03-21,12.966666666666667,13.866666666666667,21.583333333333332,22.983333333333334,25.85,16.2,0.22655558381220997,0.13124086564835838,0.16192467541584682,0.16792359109778823,0.17721806244136626,0.12887726330629307
2021-03-22,12.933333333333334,13.95,21.483333333333334,23.066666666666666,26.033333333333335,16.35,0.2254246314312576,0.13228848469597743,0.160865243891299,0.1684047505180781,0.17760674403340607,0.12950527574782497
