,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,5.333333333333333,2.466666666666667,4.266666666666667,2.3,3.7,2.2333333333333334,0.0679382028105072,0.01709562737669474,0.027516293448009967,0.017924810197214796,0.024937599774529893,0.017843401353060003
2021-01-31,5.333333333333333,2.433333333333333,4.233333333333333,2.433333333333333,3.7,2.2666666666666666,0.06812716728518597,0.016832146984537878,0.02671707317510548,0.019194651467056064,0.025136961815997193,0.01825492398680486
2021-02-01,5.166666666666667,2.2333333333333334,4.333333333333333,2.6,3.7333333333333334,2.3666666666666667,0.06635855437199474,0.015377178266365317,0.027240274135736754,0.020306442572727217,0.02463123119984374,0.01896414384496089
2021-02-02,5.133333333333334,2.2,4.566666666666666,2.6,3.8333333333333335,2.3333333333333335,0.06627570433056972,0.015415112840382364,0.028755425650888268,0.020084412228580182,0.02504043720454622,0.01859377347459052
2021-02-03,4.866666666666666,2.1,4.6,2.6333333333333333,3.8666666666666667,2.2333333333333334,0.06409308606874355,0.01438083388057149,0.029021272825347427,0.02023894519561315,0.025237596320914903,0.017260440141257185
2021-02-04,4.733333333333333,1.8,4.5,2.7,3.8666666666666667,2.1333333333333333,0.06356139338711352,0.011950278325015936,0.028950229915429837,0.020866967105013852,0.025297962289600063,0.016328909336845023
2021-02-05,4.733333333333333,1.7333333333333334,4.433333333333334,2.6,4.033333333333333,2.066666666666667,0.06409360627226758,0.011591855385947836,0.029191609225774667,0.020458803839707728,0.026751173648471797,0.015932083940019628
2021-02-06,4.7,1.6666666666666667,4.466666666666667,2.6666666666666665,4.033333333333333,2.033333333333333,0.06364961720122933,0.011187730525301236,0.030123336133405187,0.02174085512175901,0.026912971920697394,0.015685170359772713
2021-02-07,4.6,1.5666666666666667,4.4,2.6333333333333333,4.1,2.066666666666667,0.06240061374653893,0.010488429826000538,0.029761941575582058,0.02156991495081884,0.02790780396204106,0.0160032850846671
2021-02-08,4.466666666666667,1.5,4.5,2.6333333333333333,4.2,2.066666666666667,0.061620312840081584,0.01001223934981006,0.03009121822064818,0.02149261130208662,0.028777369179432362,0.0160032850846671
2021-02-09,4.433333333333334,1.5666666666666667,4.466666666666667,2.933333333333333,4.3,2.1666666666666665,0.061875623297597916,0.010769815107385818,0.029419745220930903,0.023272766393499993,0.029678270080333264,0.016857985939367954
2021-02-10,4.333333333333333,1.6333333333333333,4.566666666666666,3.2333333333333334,4.5,2.2,0.06113083680305968,0.011197165534736245,0.02976983947707679,0.024235729356462954,0.031034090186153374,0.01676292069003773
2021-02-11,4.3,1.5,4.466666666666667,3.1666666666666665,4.533333333333333,2.2666666666666666,0.06165636232858521,0.010356460346204969,0.028804766458030758,0.023703231713210895,0.030587853627013592,0.017206786179495927
2021-02-12,4.2,1.4,4.3,3.1333333333333333,4.4,2.2,0.059513505185728066,0.00973534233378261,0.0282615005602555,0.023456318132963984,0.029959834303342092,0.016776678652614205
2021-02-13,4.133333333333334,1.2666666666666666,4.133333333333334,3.1,4.333333333333333,2.1,0.05842465053755138,0.008725241323681599,0.02756122044821068,0.023450908633883598,0.02993794048834483,0.016214880899805214
2021-02-14,4.066666666666666,1.1333333333333333,3.966666666666667,3.033333333333333,4.166666666666667,2.1333333333333333,0.05827288901993621,0.008271726584452573,0.026568496314532054,0.023502588220446905,0.02890913390398269,0.01656949082888323
2021-02-15,3.3666666666666667,0.8666666666666667,3.6333333333333333,2.7333333333333334,3.2666666666666666,1.1666666666666667,0.053672194575491765,0.007919163775791908,0.02357557417095268,0.021158838220446903,0.024723087392354782,0.009761979091794028
2021-02-16,3.3666666666666667,0.8666666666666667,3.7,2.7666666666666666,3.2,1.2,0.05426743267072986,0.008160709669511714,0.02403534428589521,0.02141226696224774,0.024051641969979318,0.01012659918118476
2021-02-17,3.4,0.8333333333333334,3.7,2.7333333333333334,3.2333333333333334,1.2,0.05495370718053379,0.00792430305012637,0.024062951980554106,0.02114137623681156,0.024435017712133685,0.010073977295742605
2021-02-18,3.2666666666666666,0.7333333333333333,3.7666666666666666,2.8,3.066666666666667,1.1666666666666667,0.054733033545226,0.007397987260652687,0.024506093068856486,0.021821648345655097,0.02341252282460812,0.00975899956141003
2021-02-19,3.066666666666667,0.7333333333333333,3.6333333333333333,2.8,3.1,1.2,0.05212886687855933,0.007397987260652687,0.02382582096001295,0.021936076880518164,0.023670201653715525,0.010039111606227958
2021-02-20,3.1,0.7333333333333333,3.5,2.7,2.933333333333333,1.1,0.05315964504348384,0.007397987260652687,0.02292142819515507,0.02106651166312686,0.022594331006949353,0.00904901259632697
2021-02-21,2.8666666666666667,0.7,3.3666666666666667,2.6666666666666665,2.933333333333333,1.1,0.05176770365154245,0.007126984550625587,0.02194819218542271,0.020930483680227523,0.02294284722503079,0.00904901259632697
2021-02-22,2.8333333333333335,0.7333333333333333,3.3,2.6333333333333333,2.8666666666666667,1.1333333333333333,0.05101322003991597,0.00746031788395892,0.020856574251699515,0.020953360087427573,0.022276180558364122,0.00938914865074874
2021-02-23,2.7333333333333334,0.8333333333333334,3.4,2.6333333333333333,2.966666666666667,1.2,0.04982274384943978,0.008386243809884847,0.021448290228030874,0.021306807809296346,0.023002388229684936,0.009725478987079076
2021-02-24,2.6333333333333333,0.8666666666666667,3.466666666666667,2.6666666666666665,2.8666666666666667,1.2666666666666666,0.048747475032235484,0.008813448184457643,0.021905806567900157,0.021489329330490636,0.022371658237267486,0.009985219246819336
2021-02-25,2.6333333333333333,0.7666666666666667,3.6333333333333333,2.566666666666667,2.9,1.2666666666666666,0.04838383866859912,0.008094023724025989,0.023540691291020176,0.020780635000045282,0.02261033898368727,0.009728485240085329
