hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#laschet,1497,106,594,331,95,292,79
#bundestag,1025,13,59,22,900,11,20
#afd,1023,1,3,3,1012,4,0
#berlin,881,0,2,2,872,2,3
#brandner,873,0,3,4,865,1,0
#scholz,857,263,281,155,32,59,67
#merkel,830,57,119,149,328,53,124
#baerbock,616,92,164,78,176,50,56
#wirholendasdirektmandat,598,0,0,0,598,0,0
#wk194,574,0,0,0,574,0,0
#gera,571,0,0,0,571,0,0
#greiz,543,0,0,0,543,0,0
#altenburgerland,532,0,0,0,532,0,0
#spahn,512,16,96,235,59,61,45
#deutschlandabernormal,490,0,0,0,490,0,0
#cdu,445,43,128,83,77,79,35
#triell,429,72,199,32,10,88,28
#thüringen,356,0,3,0,351,2,0
#scheuer,335,0,178,113,1,12,31
#söder,332,14,125,44,59,38,52
#corona,251,11,40,55,83,21,41
#spd,241,74,72,20,20,43,12
#brandnerunterwegs,232,0,0,0,232,0,0
#csu,214,11,85,28,26,41,23
#btw21,210,17,72,60,18,8,35
#altenburg,210,0,0,0,210,0,0
#klimaschutz,209,4,171,21,2,10,1
#wirecard,174,66,33,33,9,12,21
#bundesregierung,161,2,17,36,88,0,18
#cumex,117,46,19,41,4,7,0
#lockdown,99,1,1,10,61,7,19
#fdp,87,3,20,10,11,4,39
#afghanistan,87,6,39,22,15,2,3
#nrw,82,1,44,14,6,11,6
#merz,81,4,14,35,9,15,4
#cducsu,78,3,50,6,3,14,2
#union,74,6,24,16,2,19,7
#soeder,74,6,4,9,4,38,13
#grünen,69,16,4,4,33,2,10
#brandnerimgespräch,65,0,0,0,65,0,0
#wegenmorgen,64,25,4,14,5,16,0
#warburg,61,27,7,22,1,1,3
#groko,58,1,28,11,4,8,6
#impfstoff,57,5,8,19,9,2,14
#allesistdrin,54,0,54,0,0,0,0
#nurnochafd,52,0,0,0,52,0,0
#grüne,52,9,11,3,18,6,5
#erfurt,51,0,0,0,51,0,0
#klimakrise,49,0,35,8,1,5,0
#annewill,48,5,22,8,5,6,2
#deutschland,48,3,7,5,26,0,7
#habeck,47,8,15,6,10,6,2
#mpk,46,5,9,10,3,3,16
#kohleausstieg,44,0,41,3,0,0,0
#covid19,43,5,7,7,20,4,0
#gewinnerstadt,42,0,0,0,42,0,0
#altmaier,41,3,20,6,2,2,8
#maaßen,41,0,21,6,4,10,0
#scholzpacktdasan,41,2,0,0,0,39,0
#cdupt21,40,8,2,13,6,6,5
#cdurausausderregierung,39,0,0,39,0,0,0
#grundrechte,37,0,0,3,32,0,2
#maut,37,0,24,1,0,1,11
#demokratie,36,2,1,2,30,0,1
#wahlkampf,35,4,2,1,19,2,7
#osterruhe,35,5,4,11,6,0,9
#freiheit,34,0,2,0,27,0,5
#gruene,33,2,8,4,6,8,5
#kanzlerkandidatur,33,4,7,8,5,6,3
#kanzlerkandidat,33,5,3,2,12,6,5
#fiu,33,10,13,6,0,1,3
#korruption,33,0,3,12,15,3,0
#5f5a,32,0,0,0,32,0,0
#5fragen5antworten,31,0,0,0,31,0,0
#bafin,31,8,10,8,0,1,4
#lindner,30,0,5,20,1,2,2
#btw2021,29,1,8,7,5,2,6
#weimar,29,0,0,0,29,0,0
#linksrutsch,29,0,2,25,0,1,1
