hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
laschet,2308,213,772,490,138,562,133
ich,2066,233,447,527,330,282,247
scholz,1878,461,524,396,65,261,171
merkel,1590,150,213,285,547,139,256
bundestag,1177,33,97,60,920,25,42
afd,1103,7,11,8,1055,19,3
baerbock,993,142,230,162,233,80,146
berlin,952,9,13,13,879,27,11
cdu,917,86,240,194,136,203,58
spahn,913,31,138,390,132,109,113
brandner,913,1,5,4,900,2,1
söder,715,37,231,87,98,101,161
scheuer,665,4,324,188,4,22,123
wirholendasdirektmandat,595,0,0,0,595,0,0
olaf,593,177,136,86,15,126,53
gera,581,0,0,0,581,0,0
spd,577,133,170,94,33,109,38
wk194,574,0,0,0,574,0,0
greiz,547,0,0,0,547,0,0
altenburgerland,537,0,0,0,537,0,0
und,525,38,148,108,93,111,27
deutschlandabernormal,490,0,0,0,490,0,0
jahr,466,32,185,69,83,47,50
triell,444,76,200,35,11,93,29
mein,421,61,84,102,79,51,44
csu,415,19,161,70,38,72,55
mal,410,52,105,65,53,86,49
corona,406,26,69,83,106,41,81
union,403,43,109,106,12,90,43
armin,381,79,127,45,13,90,27
thüringen,375,0,5,2,361,7,0
klimaschutz,366,16,265,51,7,25,2
deutschland,337,32,63,56,118,31,37
bundesregierung,332,11,86,75,120,7,33
politik,324,10,96,103,49,22,44
wer,320,28,79,93,57,32,31
land,309,37,61,50,57,74,30
mensch,308,16,94,82,33,32,51
was,306,25,95,60,45,43,38
wenn,302,33,70,69,42,42,46
herr,299,15,88,67,40,64,25
frau,289,38,44,58,79,19,51
grün,277,25,82,49,74,19,28
stehen,275,44,85,71,28,30,17
frage,268,50,80,43,29,37,29
in,267,19,73,47,77,23,28
brauchen,263,11,87,67,30,27,41
aber,261,14,60,86,34,37,30
grüne,247,28,32,32,72,37,46
wirecard,241,86,37,63,14,16,25
regierung,240,10,56,52,84,16,22
so,235,25,78,38,48,28,18
brandnerunterwegs,232,0,0,0,232,0,0
angela,229,66,34,38,15,23,53
wie,228,21,57,43,52,28,27
klaren,224,40,70,39,23,31,21
reden,217,25,71,37,32,36,16
sein,217,31,54,42,35,29,26
mit,215,29,48,38,41,34,25
annalena,213,22,120,19,18,8,26
fdp,212,6,39,59,18,9,81
altenburg,212,0,0,0,212,0,0
btw21,209,17,71,60,18,8,35
wählen,208,22,27,53,44,43,19
zeigen,207,27,57,33,31,26,33
eigentlich,203,27,54,46,27,25,24
wahlkampf,201,25,53,24,34,39,26
nrw,194,12,91,37,11,29,14
kanzlerin,193,18,27,39,45,16,48
fordern,189,10,48,50,32,13,36
thema,183,36,29,13,76,13,16
einfach,181,25,63,24,18,35,16
jetzt,180,10,54,30,32,27,27
antwort,178,21,43,22,76,7,9
partei,178,16,33,47,34,30,18
sehen,177,19,41,41,34,24,18
zeit,177,14,47,40,32,23,21
euro,171,8,83,38,18,14,10
bleiben,168,20,51,32,27,25,13
verantwortung,166,12,60,38,19,16,21
da,166,21,41,41,16,26,21
woche,165,12,62,23,24,21,23
minister,165,10,47,49,13,17,29
kanzler,164,24,18,44,16,50,12
warum,160,7,63,31,31,13,15
ein,160,19,36,34,31,22,18
finden,159,19,34,50,24,15,17
gut,159,29,35,29,19,27,20
heute,158,12,16,12,107,2,9
enden,152,12,32,41,23,20,24
lassen,152,22,41,37,23,15,14
jens,152,10,26,42,19,19,36
stellen,151,27,33,29,24,19,19
letzt,148,15,68,21,16,15,13
sprechen,146,20,24,37,13,27,25
geben,144,8,36,40,18,21,21
halten,144,12,40,38,23,18,13
haben,143,21,32,30,18,18,24
wahl,142,13,30,27,23,23,26
merz,138,13,28,53,12,24,8
million,137,14,61,35,14,4,9
ganz,137,4,10,11,103,5,4
cumex,136,50,22,48,6,9,1
impfstoff,135,12,18,51,16,9,29
lockdown,134,3,7,16,67,8,33
für,133,13,40,30,22,17,11
problem,133,11,39,34,13,15,21
2021,130,3,24,13,75,6,9
kein,128,20,36,24,23,10,15
16,128,6,52,21,23,10,16
bei,127,18,35,25,14,19,16
nur,126,15,22,30,24,24,11
kanzlerkandidat,123,27,18,13,21,30,14
weg,122,9,27,34,29,9,14
pandemie,122,9,36,31,8,16,22
wichtig,122,16,26,18,30,15,17
eu,122,16,35,11,27,9,24
eine,121,8,20,25,31,18,19
innen,120,1,54,40,2,20,3
markus,120,20,40,11,3,15,31
bekommen,119,7,28,44,11,20,9
nächst,119,5,34,26,19,21,14
im,118,10,39,31,9,12,17
bringen,118,13,31,26,14,16,18
klar,117,21,34,15,16,22,9
nach,117,16,34,22,17,12,16
sagen,116,8,32,31,19,16,10
fragen,115,17,33,31,12,7,15
regieren,112,10,43,24,6,16,13
nehmen,111,10,22,29,21,14,15
entscheiden,111,9,18,28,12,31,13
nicht,110,17,25,23,22,13,10
meine,110,3,11,21,74,0,1
afghanistan,110,7,44,30,17,8,4
dass,109,10,33,32,10,11,13
bayer,109,2,24,23,18,23,19
co,109,6,17,43,28,8,7
genau,108,8,36,17,18,16,13
link,107,5,0,14,81,7,0
wissen,107,14,36,28,16,3,10
zukunft,107,12,51,16,6,18,4
impfen,107,13,25,17,17,8,27
sich,107,15,23,28,13,19,9
fehler,106,13,28,17,10,12,26
auch,105,12,20,23,28,13,9
pm,104,0,2,0,102,0,0
krise,104,10,14,39,8,22,11
können,103,7,16,32,15,19,14
via,103,18,12,5,27,5,36
stimmen,103,8,23,28,14,14,16
hoch,103,12,18,28,17,19,9
tun,103,7,41,22,12,12,9
hören,102,9,24,19,21,17,12
kind,101,1,46,18,24,6,6
milliarde,101,2,52,32,3,6,6
sozial,101,0,21,57,5,12,6
stark,100,24,15,18,12,22,9
maske,100,2,15,53,5,14,11
versagen,99,14,20,26,26,6,7
politisch,99,10,17,26,19,13,14
lässt,98,7,24,38,8,8,13
erklären,98,6,31,15,11,16,19
laufen,98,11,36,20,16,5,10
demokratie,97,4,8,17,50,10,8
treffen,97,18,12,43,9,5,10
habeck,96,15,26,13,17,12,13
tagen,96,9,26,19,18,13,11
bundeskanzlerin,96,30,12,23,7,5,19
skandal,95,28,23,24,8,4,8
groko,95,2,41,25,5,8,14
gestern,95,8,13,9,38,18,9
koalition,94,13,17,30,8,13,13
deutlich,94,18,26,17,13,15,5
liegen,93,17,27,19,4,9,17
kosten,92,9,32,14,18,7,12
andrea,92,4,37,14,10,2,25
gemeinsam,91,26,25,14,6,13,7
warburg,91,33,13,39,2,1,3
entscheidung,90,13,24,17,9,11,16
maaßen,90,2,35,12,5,36,0
linke,90,14,8,46,11,1,10
verhindern,89,8,24,22,18,7,10
handeln,89,14,24,23,12,8,8
deutsch,89,6,10,18,43,4,8
völlig,89,7,22,15,24,9,12
leute,88,14,13,30,14,12,5
geld,88,11,31,21,6,13,6
schaffen,88,6,38,22,7,11,4
altmaier,87,6,26,26,7,8,14
mann,87,8,24,29,11,9,6
weiß,87,12,21,18,9,17,10
einzig,86,14,18,22,15,11,6
maut,86,0,36,6,1,1,42
finanzminister,85,17,23,24,3,8,10
monat,85,2,25,23,16,7,12
amt,84,5,32,16,15,8,8
lindner,84,1,8,48,2,4,21
recht,84,3,20,24,14,10,13
planen,84,6,25,12,14,18,9
hier,83,15,21,11,25,7,4
setzen,83,10,23,20,10,11,9
kritik,83,9,16,16,11,9,22
folge,82,2,10,11,52,2,5
wort,82,14,21,15,11,10,11
sogar,82,8,24,15,10,13,12
auf,82,6,18,13,25,9,11
groß,82,7,23,15,13,16,8
nein,81,4,14,16,26,11,10
uhr,81,12,9,2,49,5,4
herrn,81,8,21,25,9,12,6
bitte,80,3,18,11,33,9,6
cducsu,79,3,52,6,3,13,2
wo,79,8,15,16,17,12,11
kohleausstieg,78,3,64,7,2,2,0
oder,78,0,18,20,14,22,4
teilen,78,5,17,25,13,12,6
freiheit,78,1,8,3,49,1,16
diese,78,7,27,16,15,5,8
2020,78,8,30,13,18,2,7
versuchen,78,7,26,18,5,13,9
falsch,78,14,13,23,9,11,8
echt,77,8,18,29,8,9,5
sichern,77,8,13,17,12,18,9
man,77,13,15,18,12,12,7
bund,76,8,30,11,10,5,12
vorschlag,76,6,33,15,3,11,8
viel,76,7,20,7,28,9,5
ändern,76,1,32,17,9,9,8
danken,74,13,13,16,19,7,6
klimakrise,74,0,53,14,1,5,1
bürgern,74,8,1,6,43,6,10
soeder,74,6,4,9,4,38,13
anfrage,74,0,4,8,62,0,0
mpk,73,6,16,13,5,6,27
erst,73,8,6,10,24,21,4
