hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#antisemitismus,39,3,10,12,3,7,4
#kirche,19,6,2,3,4,1,3
#afd,14,0,0,0,14,0,0
#christen,14,6,0,1,7,0,0
#ostern,10,5,1,0,3,1,0
#niewieder,10,0,4,2,1,2,1
#weremember,10,3,0,3,1,0,3
#cdu,10,3,2,1,3,0,1
#hagen,10,0,0,0,3,2,5
#bundestag,9,0,3,3,3,0,0
#israel,9,1,1,1,1,1,4
#religionsfreiheit,9,7,0,0,2,0,0
#gelsenkirchen,9,1,4,0,1,2,1
#irak,9,7,1,0,1,0,0
#jomkippur,9,1,2,1,0,2,3
#eidmubarak,8,1,3,1,0,2,1
#pessach,7,3,0,2,1,1,0
#kirchen,7,3,1,2,1,0,0
#papst,7,4,0,3,0,0,0
#rassismus,7,0,1,4,0,2,0
#deutschland,7,0,0,0,6,0,1
#synagoge,7,2,2,0,1,2,0
#zuckerfest,6,0,4,2,0,0,0
#cdurausausderregierung,6,0,0,6,0,0,0
#fürsieda,6,6,0,0,0,0,0
#papstfranziskus,6,6,0,0,0,0,0
#juden,6,1,0,0,3,0,2
#roshhashanah,6,1,1,1,0,2,1
#woelki,6,0,2,1,3,0,0
#ramadan,6,1,1,1,0,3,0
#hoffnung,5,5,0,0,0,0,0
#religionen,5,5,0,0,0,0,0
#bonn,5,0,3,1,0,1,0
#christenverfolgung,5,0,0,0,5,0,0
#ulm,5,1,3,0,0,1,0
#holocaustgedenktag,5,0,1,1,1,1,1
#laschet,5,1,3,0,1,0,0
#steineke,5,5,0,0,0,0,0
#fdp,5,0,0,1,2,0,2
#klimaschutz,5,0,3,2,0,0,0
#csu,4,0,2,0,1,0,1
#bpt21,4,0,0,0,0,0,4
#köln,4,0,2,0,2,0,0
#demokratie,4,0,0,0,2,2,0
#shanatova,4,1,0,0,0,2,1
#synagogen,4,0,3,1,0,0,0
#menschenrechte,4,1,0,0,3,0,0
#keinplatzfürhass,4,0,1,2,0,1,0
#insm,4,0,0,3,1,0,0
#spd,4,3,0,0,1,0,0
#yomkippur,4,1,0,0,2,0,1
#islam,4,0,0,1,3,0,0
#forb,3,3,0,0,0,0,0
#ramazan,3,0,2,1,0,0,0
#liminski,3,3,0,0,0,0,0
#merkel,3,0,0,0,1,0,2
#liebegewinnt,3,1,1,0,0,0,1
#eu,3,2,0,0,0,1,0
#christihimmelfahrt,3,0,2,0,0,0,1
#rechtsextremismus,3,0,0,0,1,2,0
#osterfest,3,3,0,0,0,0,0
#altenpflege,3,0,0,1,0,2,0
#ramadankareem,3,2,0,1,0,0,0
#corona,3,0,0,1,1,1,0
#shoa,3,0,0,1,0,0,2
#ekd,3,0,0,0,2,0,1
#gerechtigkeit,3,1,1,0,0,1,0
#münster,3,0,2,0,0,1,0
#opferfest,3,0,0,0,0,3,0
#btw21,3,1,0,1,0,0,1
#prignitz,3,3,0,0,0,0,0
#pfingsten,3,2,0,0,0,1,0
#pessachfest,3,0,0,2,0,1,0
#syrien,3,0,0,0,3,0,0
#glaube,2,2,0,0,0,0,0
#freiheit,2,1,0,0,0,0,1
#gegenjedenantisemitismus,2,0,0,2,0,0,0
#geflüchtete,2,0,2,0,0,0,0
#maaßen,2,0,0,0,2,0,0
#sowjetunion,2,0,1,1,0,0,0
#frauen,2,0,1,1,0,0,0
#solidarität,2,0,0,0,0,1,1
#stehauf,2,2,0,0,0,0,0
#1700jlid,2,0,0,0,0,2,0
#schawuot,2,1,0,0,0,1,0
#gruene,2,0,0,0,1,0,1
#marx,2,1,0,0,0,1,0
#medien,2,0,0,0,2,0,0
#linker,2,0,0,2,0,0,0
#liebeisthalal,2,1,1,0,0,0,0
#lgbti,2,0,1,0,1,0,0
#muslim,2,0,0,2,0,0,0
#kohleausstieg,2,0,2,0,0,0,0
#muslime,2,1,0,0,1,0,0
#noafd,2,0,0,1,0,0,1
#nrw,2,0,2,0,0,0,0
#orthodoxeaster,2,2,0,0,0,0,0
#istanbulkonvention,2,0,0,1,0,1,0
#israelunderattack,2,0,0,0,2,0,0
#pandemie,2,1,1,0,0,0,0
#ingolstadt,2,0,0,2,0,0,0
#patentfreigabe,2,0,0,2,0,0,0
#holocaust,2,2,0,0,0,0,0
#heimat,2,1,0,0,1,0,0
#ramadanmubarak,2,0,0,1,0,1,0
#hass,2,0,0,0,2,0,0
#hamburg,2,0,0,0,0,2,0
#grüne,2,0,0,0,2,0,0
#gruenenparteitag,2,0,0,0,1,0,1
#erdogan,2,0,2,0,0,0,0
#lübeck,2,0,2,0,0,0,0
#bildung,2,1,1,0,0,0,0
#düsseldorf,2,0,1,0,0,1,0
#christentum,2,1,0,0,1,0,0
#apostolischereise,2,2,0,0,0,0,0
#antifa,2,0,0,0,1,0,1
#versöhnung,2,2,0,0,0,0,0
#ua1bt,2,0,0,1,0,0,1
#chagsameach,2,0,0,2,0,0,0
#denkmalschutz,2,1,0,0,0,0,1
#alternative,2,0,0,0,2,0,0
#chagpessachsameach,2,1,0,1,0,0,0
#vielzutun,2,0,0,0,0,0,2
#diskriminierung,2,0,1,1,0,0,0
#bätzing,2,0,0,0,1,1,0
#alledörferbleiben,2,0,2,0,0,0,0
#bundesregierung,2,0,0,0,2,0,0
#verbotspolitik,2,0,0,2,0,0,0
#wuerzburg,2,0,0,1,1,0,0
#tabubruch,2,2,0,0,0,0,0
#baerbock,2,0,0,1,1,0,0
#berlin,2,1,0,0,1,0,0
#afdimbundestag,2,0,0,0,2,0,0
#bdk2021,2,0,0,0,0,0,2
#washington,2,0,0,0,2,0,0
#pakistan,1,0,0,1,0,0,0
#nonazis,1,0,1,0,0,0,0
#osterruhe,1,0,0,0,0,0,1
#wunderblutkirche,1,1,0,0,0,0,0
#wohnen,1,0,1,0,0,0,0
#nomoreemptypromises,1,0,1,0,0,0,0
#zentralrat,1,1,0,0,0,0,0
#wittstock,1,1,0,0,0,0,0
#ninewa,1,1,0,0,0,0,0
#nigeria,1,0,0,0,1,0,0
#niewiederkrieg,1,0,0,1,0,0,0
#nordhausen,1,0,0,0,0,1,0
#wondratschek,1,0,1,0,0,0,0
#zentralarchiv,1,0,1,0,0,0,0
#würzburg,1,0,0,0,0,0,1
#nächstenliebe,1,1,0,0,0,0,0
#oberpfalz,1,0,1,0,0,0,0
#obertshausen,1,1,0,0,0,0,0
#osterlockdown,1,0,0,0,1,0,0
#niewiederfaschismus,1,0,0,1,0,0,0
#ontheroth,1,0,0,0,0,1,0
#zeiten,1,0,1,0,0,0,0
#orthodox,1,1,0,0,0,0,0
#ossnerbewegt,1,1,0,0,0,0,0
#zdm,1,0,1,0,0,0,0
#osnabrück,1,0,1,0,0,0,0
#olympia,1,1,0,0,0,0,0
#syrer,1,0,0,0,1,0,0
#zisterzienser,1,0,0,0,0,1,0
#пасха2021,1,0,0,1,0,0,0
#militärseelsorge,1,0,0,0,0,0,1
#mil,1,0,0,0,0,1,0
#ärmelhoch,1,0,0,0,1,0,0
#mietendeckel,1,0,0,1,0,0,0
#merkelland,1,0,0,0,1,0,0
#ökozid,1,0,0,0,0,1,0
#беларусь,1,0,0,1,0,0,0
#пасха,1,0,0,1,0,0,0
