hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
ich,236,57,40,30,30,48,31
kirche,177,41,26,37,25,32,16
jude,155,25,24,25,14,35,32
deutschland,82,8,13,13,14,19,15
jüdin,78,10,18,19,0,21,10
muslim,77,5,17,26,10,14,5
antisemitismus,74,9,11,21,6,11,16
synagoge,69,10,21,10,6,15,7
christ,67,26,7,6,16,10,2
jahr,62,10,11,13,4,15,9
wünsche,52,16,9,7,2,15,3
innen,52,0,21,15,0,14,2
mein,43,11,7,3,4,15,3
leben,41,9,10,5,1,12,4
religion,40,12,4,7,3,9,5
mensch,38,6,13,5,1,10,3
israel,35,7,7,2,4,5,10
und,34,0,4,7,9,11,3
jüdisch,34,3,9,4,3,10,5
hass,33,5,5,14,4,1,4
heute,33,12,7,2,1,5,6
land,29,3,5,5,3,11,2
papst,27,8,2,9,4,2,2
in,27,9,5,3,2,6,2
rassismus,27,0,3,19,2,3,0
angriff,25,2,12,4,2,4,1
gesegnet,24,12,1,2,0,8,1
ein,23,3,4,4,5,5,2
afd,23,0,1,0,19,2,1
tagen,23,11,2,1,0,6,3
stehen,23,6,2,5,2,4,4
beginnen,23,10,1,2,3,5,2
katholisch,22,2,7,6,0,6,1
feiern,21,5,4,2,3,5,2
alle,21,2,5,7,0,5,2
gesellschaft,21,2,4,8,2,4,1
schön,20,2,8,1,0,6,3
bundestag,20,0,4,7,4,2,3
wichtig,20,6,6,0,0,6,2
reden,19,7,1,7,1,2,1
finden,19,3,4,2,4,1,5
sein,19,3,2,7,3,4,0
ramadan,19,3,2,2,2,10,0
bleiben,19,3,3,3,6,3,1
enden,19,3,4,3,1,8,0
solidarität,18,2,6,2,0,4,4
wer,18,3,1,5,4,4,1
ostern,18,7,2,0,4,5,0
aber,18,2,3,3,1,4,5
brauchen,18,4,5,2,3,2,2
jüdische,17,1,7,2,0,3,4
am,17,4,1,4,4,3,1
friedlich,17,2,5,6,0,2,2
fest,17,11,2,1,1,1,1
gemeinde,16,1,8,2,1,2,2
antisemitisch,16,1,2,4,0,3,6
für,16,7,1,4,0,3,1
fordern,16,2,5,8,0,1,0
welt,16,6,2,1,3,1,3
zeit,16,6,2,4,1,3,0
mal,16,3,1,3,4,4,1
opfern,16,1,5,4,3,2,1
moschee,16,1,4,5,2,3,1
staat,15,1,1,5,0,2,6
million,15,1,1,6,2,3,2
cdu,15,3,4,2,4,0,2
pessach,15,3,1,3,1,7,0
