,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.03333333333333333,0.03333333333333333,0.1,0.0,0.2,0.0,0.000392156862745098,0.00021645021645021648,0.0005600570580050745,0.0,0.0015809823963653844,0.0
2021-01-31,0.03333333333333333,0.03333333333333333,0.1,0.0,0.16666666666666666,0.0,0.000392156862745098,0.00021645021645021648,0.0005600570580050745,0.0,0.0011423859051373144,0.0
2021-02-01,0.03333333333333333,0.03333333333333333,0.1,0.0,0.16666666666666666,0.0,0.000392156862745098,0.00021645021645021648,0.0005600570580050745,0.0,0.0011423859051373144,0.0
2021-02-02,0.03333333333333333,0.0,0.2,0.0,0.2,0.0,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.0013616841507513495,0.0
2021-02-03,0.03333333333333333,0.0,0.2,0.0,0.2,0.0,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.0013616841507513495,0.0
2021-02-04,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.0013616841507513495,0.0001984126984126984
2021-02-05,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.0013616841507513495,0.0001984126984126984
2021-02-06,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.0013616841507513495,0.0001984126984126984
2021-02-07,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.0013616841507513495,0.0001984126984126984
2021-02-08,0.03333333333333333,0.0,0.2,0.0,0.23333333333333334,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.0016515392232151174,0.0001984126984126984
2021-02-09,0.03333333333333333,0.0,0.2,0.0,0.23333333333333334,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.0016515392232151174,0.0001984126984126984
2021-02-10,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.001386988958664853,0.0001984126984126984
2021-02-11,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.001386988958664853,0.0001984126984126984
2021-02-12,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.001386988958664853,0.0001984126984126984
2021-02-13,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.001386988958664853,0.0001984126984126984
2021-02-14,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.001386988958664853,0.0001984126984126984
2021-02-15,0.03333333333333333,0.0,0.2,0.0,0.2,0.03333333333333333,0.0004694835680751174,0.0,0.001209407707355724,0.0,0.001386988958664853,0.0001984126984126984
2021-02-16,0.03333333333333333,0.0,0.23333333333333334,0.0,0.2,0.06666666666666667,0.0004694835680751174,0.0,0.0014392927648269882,0.0,0.001386988958664853,0.0005189255189255189
2021-02-17,0.03333333333333333,0.0,0.26666666666666666,0.0,0.2,0.06666666666666667,0.0004694835680751174,0.0,0.0016276166819644648,0.0,0.001386988958664853,0.0005189255189255189
2021-02-18,0.03333333333333333,0.0,0.3,0.0,0.2,0.06666666666666667,0.0004694835680751174,0.0,0.001842670445405325,0.0,0.001386988958664853,0.0005189255189255189
2021-02-19,0.03333333333333333,0.0,0.3333333333333333,0.0,0.2,0.06666666666666667,0.0004694835680751174,0.0,0.002115894489121172,0.0,0.001386988958664853,0.0005189255189255189
2021-02-20,0.03333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0.06666666666666667,0.0004694835680751174,0.0,0.00224509345552944,0.0,0.0011382327397593804,0.0005189255189255189
2021-02-21,0.03333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0.06666666666666667,0.0004694835680751174,0.0,0.00224509345552944,0.0,0.0011382327397593804,0.0005189255189255189
2021-02-22,0.03333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0.06666666666666667,0.0004694835680751174,0.0,0.00224509345552944,0.0,0.0011382327397593804,0.0005189255189255189
2021-02-23,0.03333333333333333,0.0,0.3333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0004694835680751174,0.0,0.00224509345552944,0.0,0.000869415535458305,0.0005189255189255189
2021-02-24,0.03333333333333333,0.0,0.4,0.0,0.1,0.06666666666666667,0.0004694835680751174,0.0,0.0026372503182745385,0.0,0.0006649165579531925,0.0005189255189255189
2021-02-25,0.03333333333333333,0.0,0.36666666666666664,0.0,0.13333333333333333,0.06666666666666667,0.0004694835680751174,0.0,0.002633210240705049,0.0,0.0008441280274872428,0.0005189255189255189
2021-02-26,0.03333333333333333,0.0,0.36666666666666664,0.0,0.13333333333333333,0.06666666666666667,0.0004694835680751174,0.0,0.002633210240705049,0.0,0.0008441280274872428,0.0005189255189255189
2021-02-27,0.03333333333333333,0.0,0.36666666666666664,0.0,0.1,0.06666666666666667,0.0004694835680751174,0.0,0.002633210240705049,0.0,0.0006883647876118534,0.0005189255189255189
2021-02-28,0.03333333333333333,0.0,0.36666666666666664,0.0,0.1,0.06666666666666667,0.0004694835680751174,0.0,0.002633210240705049,0.0,0.0006883647876118534,0.0005189255189255189
2021-03-01,0.03333333333333333,0.0,0.36666666666666664,0.0,0.1,0.06666666666666667,0.0004694835680751174,0.0,0.002633210240705049,0.0,0.0006883647876118534,0.0005189255189255189
