,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.6333333333333333,0.6333333333333333,0.43333333333333335,0.7,1.7,0.9,0.008996323485022193,0.005216137546499308,0.0036201884078264127,0.0050022564237971094,0.012262117616564986,0.007769750961638963
2021-01-31,0.6666666666666666,0.6,0.43333333333333335,0.7,1.7666666666666666,0.9,0.0097679284232938,0.0048046149127544515,0.0036201884078264127,0.0050022564237971094,0.013361982663798455,0.007769750961638963
2021-02-01,0.6666666666666666,0.6,0.4666666666666667,0.7,1.8,0.9666666666666667,0.0097679284232938,0.0048046149127544515,0.0037032979846068756,0.0050022564237971094,0.013596724447836014,0.008252842749078577
2021-02-02,0.6333333333333333,0.6,0.4666666666666667,0.7333333333333333,1.7333333333333334,1.0666666666666667,0.009466706485243219,0.0048046149127544515,0.0037032979846068756,0.005284742299503324,0.012909439224468317,0.009059294361981801
2021-02-03,0.6333333333333333,0.6,0.4666666666666667,0.7333333333333333,1.7333333333333334,1.0666666666666667,0.009566279742711212,0.0048046149127544515,0.0037032979846068756,0.005284742299503324,0.012909439224468317,0.009059294361981801
2021-02-04,0.6,0.6,0.4666666666666667,0.7333333333333333,1.7666666666666666,1.0666666666666667,0.0092907976490473,0.0048046149127544515,0.0037032979846068756,0.005284742299503324,0.013124492987909178,0.009059294361981801
2021-02-05,0.6,0.5333333333333333,0.4666666666666667,0.6333333333333333,1.6333333333333333,1.1,0.009474908852214014,0.004448108673895271,0.0037032979846068756,0.005128468669418131,0.012486534455213803,0.009433826197187793
2021-02-06,0.5666666666666667,0.5666666666666667,0.4666666666666667,0.6333333333333333,1.4333333333333333,1.1,0.008909937100801584,0.004768621494408092,0.0037032979846068756,0.005515396773993294,0.011221474214249948,0.009433826197187793
2021-02-07,0.5333333333333333,0.5666666666666667,0.4666666666666667,0.6666666666666666,1.4666666666666666,1.1,0.008440453532726466,0.004768621494408092,0.0037032979846068756,0.005810382024730758,0.01171889023492178,0.009433826197187793
2021-02-08,0.5333333333333333,0.5666666666666667,0.5,0.7333333333333333,1.4666666666666666,1.1666666666666667,0.008719438456810375,0.00491641024015568,0.003893774175083066,0.00651213641069567,0.01171889023492178,0.010081075388126304
2021-02-09,0.5333333333333333,0.5,0.5666666666666667,0.7666666666666667,1.4333333333333333,1.0666666666666667,0.008719438456810375,0.004321172144917585,0.004380392179949246,0.006740446912978775,0.01126843978447133,0.008782374089425005
2021-02-10,0.5666666666666667,0.4666666666666667,0.5,0.8,1.4333333333333333,1.0333333333333334,0.009360464097836018,0.003960760245604083,0.003910908611874129,0.006893352111755533,0.01122995752479304,0.008529848836899752
2021-02-11,0.5666666666666667,0.4666666666666667,0.5,0.8333333333333334,1.3666666666666667,1.0,0.009628480774429227,0.003960760245604083,0.003910908611874129,0.007082746051149473,0.01068795210473884,0.008281968862992381
2021-02-12,0.5666666666666667,0.5666666666666667,0.5333333333333333,0.8666666666666667,1.3666666666666667,1.0333333333333334,0.009628480774429227,0.004645691752453398,0.004175458876424393,0.0072721399905434116,0.01068795210473884,0.008481569661395575
2021-02-13,0.6,0.5,0.5333333333333333,0.8666666666666667,1.3666666666666667,0.8333333333333334,0.010295147441095893,0.0041288958868203225,0.004311508819919778,0.00747478267319942,0.01068795210473884,0.007345206025031939
2021-02-14,0.6333333333333333,0.5,0.5333333333333333,0.8666666666666667,1.3333333333333333,0.7,0.011108155571177196,0.0041288958868203225,0.004417268491641757,0.00747478267319942,0.010479618771405508,0.005863724543550457
2021-02-15,0.6,0.5,0.5,0.9,1.3333333333333333,0.7333333333333333,0.010834931527461348,0.0041288958868203225,0.004124870830823043,0.007810833009249756,0.010627230150900944,0.006251321442775263
2021-02-16,0.6666666666666666,0.5,0.4666666666666667,0.9,1.2666666666666666,0.7,0.012501598194128015,0.0041288958868203225,0.0038797727916073574,0.0077360239691678595,0.009973635379659115,0.005936856033970232
2021-02-17,0.6,0.5666666666666667,0.4666666666666667,0.9,1.2666666666666666,0.8,0.011726404395678403,0.004838115744976351,0.0038797727916073574,0.007740732067096297,0.010042011448035184,0.006763302314961968
2021-02-18,0.6,0.5,0.4666666666666667,0.8666666666666667,1.2666666666666666,0.8666666666666667,0.011726404395678403,0.004479692805908251,0.0038797727916073574,0.007490105500680256,0.010042011448035184,0.007512365985373953
2021-02-19,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.9333333333333333,1.5333333333333334,0.9666666666666667,0.010615293284567291,0.00425788219101264,0.0038797727916073574,0.00802343883401359,0.011856070404951284,0.008359823612492597
2021-02-20,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.9333333333333333,1.5,1.0333333333333334,0.010615293284567291,0.00425788219101264,0.0038797727916073574,0.00802343883401359,0.011771483938785871,0.009076669490628797
2021-02-21,0.6,0.4666666666666667,0.4666666666666667,0.8666666666666667,1.4333333333333333,1.1,0.012635495304769312,0.00425788219101264,0.0038797727916073574,0.007463214744377735,0.011725078570041672,0.009825733161040783
2021-02-22,0.6333333333333333,0.43333333333333335,0.43333333333333335,0.9,1.4,1.1333333333333333,0.013241555910829919,0.004029571688729535,0.003505240956401365,0.007760833791996782,0.011388378233341333,0.010101495750663624
2021-02-23,0.6333333333333333,0.43333333333333335,0.43333333333333335,0.9333333333333333,1.2666666666666666,1.3,0.013241555910829919,0.004029571688729535,0.003505240956401365,0.00818818421934721,0.010313109416137034,0.01139348541474631
2021-02-24,0.6,0.4,0.43333333333333335,0.9333333333333333,1.1333333333333333,1.2666666666666666,0.012871185540459547,0.003561571220729067,0.003505240956401365,0.0081766342077972,0.009484952066240554,0.011084843439437669
