,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,0.7142857142857143,0.6428571428571429,0.2857142857142857,0.42857142857142855,1.5,0.8571428571428571,0.008944380307913441,0.0050080444137974535,0.002130437495505841,0.0021820919301786647,0.011462654919959181,0.006670410204888921
2021-01-15,0.6428571428571429,0.5714285714285714,0.35714285714285715,0.42857142857142855,1.5,1.1428571428571428,0.007621628985162118,0.004167708279343672,0.0025972909035357197,0.0021820919301786647,0.010963722403482803,0.009845013379492095
2021-01-16,0.7142857142857143,0.5714285714285714,0.35714285714285715,0.5,1.5714285714285714,1.1428571428571428,0.008179664699447833,0.004167708279343672,0.002415840697659524,0.002740127644464379,0.011295948317104065,0.009845013379492095
2021-01-17,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5714285714285714,1.5714285714285714,1.2142857142857142,0.0064989924305402695,0.004167708279343672,0.002933439041344824,0.003570692428517535,0.011210156819041523,0.010500321374249633
2021-01-18,0.6428571428571429,0.5714285714285714,0.42857142857142855,0.6428571428571429,1.5714285714285714,1.2142857142857142,0.007472451120947125,0.004167708279343672,0.002933439041344824,0.00416101120065449,0.011336773939878296,0.010500321374249633
2021-01-19,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.7142857142857143,1.5714285714285714,1.2142857142857142,0.006927194850500015,0.004919587978591793,0.002933439041344824,0.004690111729755018,0.011336773939878296,0.010500321374249633
2021-01-20,0.6428571428571429,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.2857142857142858,1.2142857142857142,0.008138929544377565,0.0052763982160217915,0.002933439041344824,0.0035239309717375253,0.009989065044999591,0.010500321374249633
2021-01-21,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.35714285714285715,0.9285714285714286,1.2142857142857142,0.007022858115806137,0.0052763982160217915,0.002933439041344824,0.002965895257451811,0.0074580408238647715,0.010500321374249633
2021-01-22,0.5,0.7142857142857143,0.42857142857142855,0.5,1.0714285714285714,1.2142857142857142,0.0060168218985023145,0.0052763982160217915,0.002933439041344824,0.004117968990170705,0.008193769898103163,0.010500321374249633
2021-01-23,0.42857142857142855,0.7142857142857143,0.5,0.5,1.1428571428571428,1.2857142857142858,0.0054361018055871,0.005258804971827562,0.003727089834995618,0.004117968990170705,0.008908055612388877,0.011371401513622455
2021-01-24,0.42857142857142855,0.6428571428571429,0.5,0.5,1.3571428571428572,1.0714285714285714,0.0054361018055871,0.0046322385557874615,0.003727089834995618,0.004117968990170705,0.0102469521125757,0.008658924117600756
2021-01-25,0.5,0.6428571428571429,0.35714285714285715,0.5714285714285714,1.5714285714285714,1.0714285714285714,0.006204150960733029,0.005331300259633854,0.00269934060580754,0.00458789380220078,0.011432907067154668,0.008771217838917033
2021-01-26,0.5714285714285714,0.7142857142857143,0.35714285714285715,0.7142857142857143,1.5,1.0,0.008485653242235311,0.005845174874227893,0.00269934060580754,0.005638313970268006,0.010601140829631163,0.008479547334480572
2021-01-27,0.6428571428571429,0.7142857142857143,0.35714285714285715,0.7857142857142857,1.6428571428571428,1.1428571428571428,0.009696306995261946,0.005845174874227893,0.00269934060580754,0.006014253819892067,0.011326303991342547,0.009255944850008522
2021-01-28,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.9285714285714286,1.9285714285714286,0.8571428571428571,0.009696306995261946,0.005334352363405383,0.002756363414931189,0.006947844039196571,0.012661417475988743,0.007807012965966164
2021-01-29,0.6428571428571429,0.6428571428571429,0.35714285714285715,1.0,1.9285714285714286,0.7142857142857143,0.009696306995261946,0.005334352363405383,0.002617164004280079,0.00741469744722645,0.012730704450037622,0.0056244732834264816
2021-01-30,0.5714285714285714,0.6428571428571429,0.5,1.0,2.0,0.7857142857142857,0.009138271280976232,0.005334352363405383,0.004403750646753386,0.007727741872313558,0.013951273567472262,0.006589724248677447
2021-01-31,0.7142857142857143,0.6428571428571429,0.42857142857142855,0.9285714285714286,2.0714285714285716,0.7142857142857143,0.012053723176019963,0.005334352363405383,0.0038861523030680853,0.006897177088260402,0.015811064262214413,0.005934416253919911
2021-02-01,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.8571428571428571,2.0,0.8571428571428571,0.010373050907112399,0.005334352363405383,0.004976664843962306,0.006306858316123447,0.015365268922802055,0.006947587479857094
2021-02-02,0.6428571428571429,0.5,0.5714285714285714,0.8571428571428571,2.0,1.0714285714285714,0.011379087124416223,0.004582472664157262,0.004976664843962306,0.006368076559159872,0.015365268922802055,0.008595939128208743
2021-02-03,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.8571428571428571,2.142857142857143,1.0714285714285714,0.010099325219654318,0.0034576132715813343,0.004976664843962306,0.006368076559159872,0.01619583370685521,0.008595939128208743
2021-02-04,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.8571428571428571,2.0714285714285716,1.0714285714285714,0.010099325219654318,0.0034576132715813343,0.004976664843962306,0.006368076559159872,0.015590565118919314,0.008595939128208743
2021-02-05,0.6428571428571429,0.35714285714285715,0.5714285714285714,0.7857142857142857,1.8571428571428572,1.1428571428571428,0.011499885443743954,0.0034576132715813343,0.004976664843962306,0.00605633896089476,0.014259597949442827,0.009380868484566669
2021-02-06,0.6428571428571429,0.35714285714285715,0.5,0.8571428571428571,1.8571428571428572,1.0714285714285714,0.011499885443743954,0.0036518156209560974,0.0041830140503115116,0.007429965334521134,0.014405897433091707,0.008509788345193846
2021-02-07,0.6428571428571429,0.35714285714285715,0.5,0.9285714285714286,1.7142857142857142,1.0714285714285714,0.011499885443743954,0.0036518156209560974,0.0041830140503115116,0.008040465945021743,0.013762879535760233,0.008509788345193846
2021-02-08,0.6428571428571429,0.2857142857142857,0.5714285714285714,1.0,1.4285714285714286,1.1428571428571428,0.011963363382194085,0.0026026811568889527,0.004600724994338245,0.009028267080513535,0.012010031157144984,0.009247400247854294
2021-02-09,0.5,0.21428571428571427,0.7142857142857143,0.9285714285714286,1.3571428571428572,1.0714285714285714,0.008716610135440837,0.0020888065422949137,0.005691237535232465,0.008450883809324265,0.011689723661949595,0.008525899526353572
2021-02-10,0.5,0.2857142857142857,0.7142857142857143,0.9285714285714286,1.2857142857142858,0.9285714285714286,0.008853665277292911,0.0025466820001703717,0.005691237535232465,0.008392404277160521,0.011460592246269956,0.007749502010825622
