hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
polizei,623,54,91,243,123,65,47
ich,281,31,42,80,24,80,24
datenschutz,275,37,31,38,1,138,30
kriminalität,84,9,22,16,14,14,9
mein,77,13,11,20,9,19,5
und,59,7,9,12,3,23,5
mensch,53,2,10,19,5,13,4
was,50,1,8,15,8,13,5
innen,49,0,13,29,0,6,1
jahr,45,3,7,13,9,8,5
in,43,5,3,12,8,9,6
sicherheit,42,11,12,5,2,7,5
schützen,42,7,9,13,2,9,2
corona,40,3,4,11,9,7,6
mal,38,2,8,11,5,11,1
datum,36,5,3,5,0,16,7
brauchen,36,7,7,7,2,8,5
wenn,35,5,4,11,4,8,3
einsatz,35,6,3,9,7,5,5
berlin,33,3,3,9,14,2,2
ein,33,5,5,7,3,11,2
zeigen,32,6,5,10,5,4,2
polizist,31,8,2,7,5,3,6
gewalt,31,4,9,8,4,1,5
demo,31,1,0,21,5,4,0
stehen,31,4,4,10,3,8,2
heute,30,5,3,13,2,6,1
aber,29,1,5,9,0,11,3
thema,29,6,5,2,1,11,4
deutschland,29,5,3,3,12,3,3
problem,29,2,8,8,2,4,5
gut,29,5,7,3,4,8,2
sehen,28,3,1,6,7,7,4
lassen,28,4,3,7,4,8,2
danken,28,11,8,1,0,5,3
wer,27,3,0,9,7,5,3
finden,26,1,1,8,6,9,1
so,26,4,1,9,3,7,2
cdu,26,1,5,9,3,3,5
opfern,24,2,1,12,6,1,2
auch,23,0,3,10,2,6,2
angriff,22,3,4,8,2,3,2
polizeiproblem,22,1,0,21,0,0,0
dank,22,4,5,2,4,5,2
afd,22,0,0,0,21,1,0
bundestag,22,4,2,5,5,5,1
recht,22,2,3,12,1,2,2
wie,22,1,2,9,5,3,2
bleiben,21,2,4,5,2,2,6
gesetz,21,3,2,4,2,9,1
rassismus,21,0,2,14,2,3,0
sprechen,21,2,3,6,0,7,3
organisieren,21,3,3,7,1,4,3
nehmen,21,2,2,6,4,5,2
meine,21,5,3,6,2,3,2
eine,21,1,5,7,3,2,3
täter,20,4,0,7,5,1,3
verhindern,20,4,4,3,1,7,1
stellen,20,1,1,6,2,5,5
sein,20,0,1,9,6,3,1
staat,20,0,1,7,5,7,0
gestern,20,1,2,10,1,3,3
einfach,20,1,4,7,1,7,0
arbeit,19,5,5,1,2,5,1
halten,19,1,1,9,6,0,2
digitalisierung,19,2,4,0,0,13,0
bei,19,2,2,7,3,2,3
app,19,0,1,5,0,8,5
vertrauen,19,4,3,3,0,6,3
sich,19,0,0,8,2,5,4
tagen,18,6,2,6,2,2,0
politisch,18,2,7,2,3,1,3
fordern,18,0,6,6,0,4,2
fragen,18,3,4,7,0,2,2
bringen,18,1,1,5,3,5,3
journalist,18,3,6,6,0,1,2
schutz,18,2,6,1,1,6,2
weg,18,5,0,3,3,4,3
letzt,18,1,4,5,1,4,3
spd,18,3,1,2,4,4,4
hanau,18,0,3,12,0,3,0
cannabis,17,0,4,9,0,0,4
wichtig,17,1,5,5,0,5,1
frage,17,1,0,5,3,4,4
grundrechte,17,0,0,1,6,6,4
eu,17,2,3,5,1,3,3
da,17,2,1,5,0,8,1
bild,17,1,4,4,2,4,2
feuerwehr,17,4,6,1,1,4,1
bürgern,16,0,2,1,8,2,3
bundeswehr,16,1,3,8,0,2,2
laschet,16,0,7,5,1,2,1
justiz,16,1,5,5,2,2,1
genau,16,2,0,4,1,8,1
setzen,16,2,3,2,4,5,0
für,16,2,5,3,1,4,1
kind,16,4,0,4,6,1,1
warum,16,1,0,5,4,6,0
medium,16,0,3,3,4,4,2
video,16,2,2,7,0,3,2
gelten,16,3,2,4,1,5,1
fall,15,1,3,3,1,3,4
schuld,15,0,0,2,1,9,3
querdenker,15,1,0,4,1,8,1
woche,15,3,1,5,1,5,0
viel,15,3,5,1,0,3,3
maske,15,0,2,9,2,1,1
falsch,15,3,0,6,0,5,1
verstehen,15,0,2,7,0,6,0
angehörige,15,2,2,8,0,2,1
pandemie,15,3,3,4,0,4,1
bundesregierung,15,2,7,2,1,1,2
fdp,15,1,0,1,1,0,12
verletzen,15,2,2,6,2,1,2
bekommen,15,0,3,6,2,2,2
nrw,15,2,4,7,1,1,0
geben,15,2,1,4,1,6,1
gedanke,15,5,2,3,0,2,3
politik,14,1,4,2,3,0,4
teilen,14,2,1,7,0,4,0
erklären,14,1,3,7,1,2,0
leben,14,4,0,1,2,5,2
lösung,14,5,1,0,1,4,3
digital,14,1,2,0,0,9,2
land,14,2,1,2,5,4,0
laut,14,0,1,7,3,0,3
reden,14,1,2,7,2,2,0
rassistisch,14,0,1,10,0,3,0
bürger,13,1,1,1,8,1,1
berliner,13,0,2,6,2,3,0
im,13,1,0,7,4,0,1
scholz,13,2,9,2,0,0,0
gesellschaft,13,3,2,3,0,3,2
gefahr,13,0,2,7,0,3,1
mit,13,4,1,4,3,1,0
person,13,3,0,8,1,0,1
demonstrieren,13,1,0,10,0,1,1
handeln,13,2,0,5,3,0,3
tag,13,0,2,5,2,4,0
wissen,13,1,1,5,1,5,0
nicht,13,1,2,4,1,3,2
organisiert,13,0,6,2,0,5,0
vorgehen,13,2,0,9,1,1,0
ermitteln,13,2,2,7,1,0,1
hier,13,0,2,5,1,3,2
clan,13,1,1,5,2,4,0
fehlen,12,0,3,0,0,7,2
familie,12,2,1,3,3,2,1
rechtsstaat,12,3,1,4,0,1,3
sachsen,12,3,0,3,5,0,1
vor,12,1,2,7,0,2,0
sogar,12,0,1,3,2,6,0
deutlich,12,3,0,4,4,1,0
regierung,12,0,1,6,3,1,1
freiheit,12,1,0,1,8,1,1
demonstrant,12,0,0,12,0,0,0
völlig,12,1,0,4,4,3,0
schreiben,12,0,0,5,1,6,0
merkel,12,0,0,1,10,0,1
nazi,12,0,0,11,1,0,0
jung,12,0,1,3,2,2,4
unterstützen,12,1,4,4,1,2,0
kampf,12,3,2,3,2,1,1
antifa,12,1,0,6,5,0,0
eigentlich,12,0,0,7,1,3,1
bitten,12,0,3,2,2,4,1
gericht,12,1,4,4,0,2,1
kassel,12,0,1,7,0,3,1
uhr,12,0,4,5,1,1,1
ja,12,2,1,6,2,1,0
geldwäsche,12,3,5,3,0,1,0
gehen,11,1,0,4,1,5,0
rechtswidrig,11,0,1,8,1,1,0
ort,11,1,0,4,1,4,1
lage,11,1,4,4,0,1,1
malen,11,0,1,5,1,4,0
schwer,11,0,0,5,3,2,1
sichern,11,1,2,6,0,0,2
nennen,11,0,0,3,4,3,1
mann,11,0,1,5,5,0,0
klaren,11,1,2,4,1,1,2
frei,11,1,3,3,2,1,1
münchen,11,0,1,9,0,1,0
jed,11,1,3,1,1,4,1
hören,11,3,0,2,3,2,1
hass,11,2,6,2,1,0,0
innenminister,11,0,4,5,0,2,0
laufen,11,3,3,3,1,0,1
parlament,11,3,1,4,0,0,3
link,11,2,0,6,3,0,0
all,11,3,0,2,2,3,1
straße,11,1,1,5,1,1,2
denken,11,2,2,3,0,2,2
frau,11,1,4,1,3,2,0
it,11,1,3,4,0,1,2
jetzt,11,2,3,2,0,2,2
als,11,0,3,4,3,1,0
kontrolle,11,2,1,6,0,2,0
grund,10,0,0,4,2,3,1
hoffen,10,1,0,3,0,4,2
gespräch,10,2,0,2,3,3,0
gesundheit,10,3,0,3,0,4,0
regel,10,1,2,1,2,0,4
grün,10,0,4,0,3,1,2
haben,10,0,1,4,0,4,1
apps,10,0,0,2,0,6,2
massiv,10,1,3,6,0,0,0
aufklärung,10,0,2,8,0,0,0
enden,10,0,0,6,1,3,0
ermittlung,10,0,2,6,1,1,0
bekämpfen,10,2,1,3,0,4,0
wirecard,10,0,2,5,0,3,0
union,10,0,3,3,1,1,2
beispiel,10,1,3,2,0,4,0
europa,10,3,1,0,1,2,3
fahren,10,2,0,5,1,1,1
kontrollieren,10,0,4,3,1,1,1
nach,10,1,1,2,2,3,1
während,10,2,1,3,3,1,0
opfer,10,4,1,0,1,2,2
straftat,10,3,0,4,3,0,0
insbesondere,10,0,2,5,1,2,0
staatsanwaltschaft,10,2,2,6,0,0,0
zum,10,0,5,2,0,3,0
offensichtlich,10,0,1,2,1,2,4
behaupten,10,0,2,3,1,4,0
digitale,10,2,2,1,0,4,1
bitte,10,0,0,4,2,3,1
2020,10,1,3,3,2,1,0
am,9,0,1,5,2,1,0
greifen,9,1,2,2,1,2,1
demonstration,9,1,1,1,4,1,1
können,9,0,1,3,2,3,0
führen,9,1,3,2,0,3,0
groß,9,3,1,0,1,4,0
wo,9,1,1,1,2,4,0
mehrer,9,0,2,2,2,3,0
rechtsextrem,9,0,4,4,0,1,0
presse,9,0,4,4,0,0,1
helfen,9,1,3,3,1,1,0
lucaapp,9,0,0,8,0,1,0
zeit,9,1,1,2,4,1,0
berichten,9,0,1,2,1,4,1
leerdenker,9,0,0,9,0,0,0
legen,9,1,3,1,2,0,2
linke,9,0,0,3,4,0,2
wochenend,9,0,2,0,6,0,1
anschlag,9,1,0,5,0,2,1
hoch,9,1,1,3,1,2,1
tod,9,1,1,6,1,0,0
stuttgart,9,1,3,3,0,2,0
solidarität,9,0,1,6,0,1,1
gefährden,9,0,1,6,0,0,2
online,9,0,0,4,2,2,1
sicherheitsbehörden,9,2,2,2,0,3,0
passieren,9,1,1,4,1,1,1
schlagen,9,0,1,6,2,0,0
sicher,9,1,1,1,3,3,0
sorgen,9,1,1,0,1,2,4
pandemiebekämpfung,9,0,1,4,0,4,0
einschränken,9,0,0,4,0,4,1
gemeinsam,9,0,3,4,0,1,1
einhalten,9,0,1,1,3,2,2
durchsetzen,9,3,3,1,1,0,1
angreifen,9,3,1,2,1,2,0
kriminell,9,0,2,3,4,0,0
liegen,8,0,2,4,0,2,0
lesen,8,0,0,1,1,5,1
kritisch,8,0,1,5,0,1,1
herr,8,0,0,3,3,2,0
lockdown,8,3,1,0,4,0,0
aus,8,0,2,4,0,2,0
nutzen,8,2,0,3,0,2,1
nsu,8,0,0,5,0,1,2
maßnahme,8,2,4,1,1,0,0
job,8,1,1,3,1,2,0
kolumbien,8,0,2,6,0,0,0
aufliegen,8,1,2,3,0,2,0
militär,8,0,2,6,0,0,0
leute,8,0,2,4,1,0,1
de,8,1,1,4,0,2,0
über,8,1,0,1,3,2,1
2021,8,0,1,1,3,1,2
tragen,8,1,1,2,1,2,1
trotzen,8,1,0,4,1,1,1
erfolgen,8,2,1,1,0,3,1
friedlich,8,3,1,1,2,1,0
seite,8,2,0,3,1,2,0
berichterstattung,8,2,1,1,2,2,0
aktuell,8,0,3,0,1,0,4
schnellen,8,2,0,0,1,3,2
bka,8,0,1,5,0,1,1
scheitern,8,2,3,1,0,2,0
egal,8,1,2,2,2,1,0
geheimdienst,8,0,1,7,0,0,0
verantwortung,8,1,2,2,1,2,0
csu,8,0,3,4,0,0,1
gerne,8,0,1,2,0,5,0
verbindung,8,1,1,5,0,1,0
dienst,8,2,1,4,0,1,0
dieser,8,2,1,4,1,0,0
diskussion,8,1,2,0,0,3,2
diskutieren,8,0,3,4,0,1,0
versuchen,8,0,2,3,0,3,0
morgen,7,0,3,2,1,1,0
kritik,7,0,1,4,0,2,0
auf,7,0,1,1,2,1,2
these,7,1,0,2,0,4,0
thread,7,0,1,3,0,3,0
thw,7,1,3,0,0,3,0
verletzte,7,3,1,1,0,0,2
niedersachsen,7,1,1,1,0,4,0
antwort,7,0,2,2,0,1,2
belegen,7,1,1,2,1,2,0
neu,7,2,1,2,0,0,2
abgeordnete,7,1,2,3,0,1,0
erheben,7,0,2,3,0,2,0
diese,7,1,1,2,0,2,1
gute,7,1,0,1,0,5,0
verbieten,7,0,0,3,3,1,0
entscheiden,7,0,1,2,1,1,2
auflösen,7,0,2,1,4,0,0
dsgvo,7,0,1,0,0,6,0
kein,7,0,1,5,1,0,0
umgehen,7,0,0,4,1,0,2
beenden,7,0,2,2,2,0,1
klar,7,3,1,2,0,0,1
000,7,0,0,3,3,1,0
dass,7,1,1,4,0,1,0
konsequent,7,2,1,3,0,0,1
verurteilen,7,0,1,3,2,0,1
abstehen,7,0,0,5,1,1,0
twitter,7,1,0,2,1,1,2
fast,7,1,1,3,1,1,0
denn,7,3,1,1,1,0,1
gg,7,0,3,2,1,1,0
ander,7,0,0,1,3,2,1
