hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
sozial,1605,104,305,752,41,229,174
ich,1074,77,217,502,17,166,95
soziale,944,71,178,474,13,141,67
klimaschutz,357,20,149,142,1,39,6
mensch,319,17,73,132,7,52,38
armut,308,8,83,167,12,24,14
brauchen,307,18,75,144,3,37,30
gerechtigkeit,283,6,72,167,0,35,3
mein,243,16,46,106,7,44,24
corona,222,7,46,100,10,36,23
kind,219,7,76,69,4,23,40
politik,219,13,40,125,4,29,8
gerecht,215,1,58,129,2,22,3
und,180,6,41,81,4,27,21
hartz,175,7,26,94,1,20,27
jahr,171,9,32,77,4,37,12
frage,165,9,40,73,2,19,22
spd,164,12,29,55,1,55,12
für,157,7,35,81,2,24,8
innen,156,0,40,81,0,34,1
grundsicherung,155,12,49,24,3,58,9
linke,155,5,4,138,3,1,4
stehen,147,11,28,84,3,15,6
iv,147,7,21,86,1,8,24
cdu,142,13,34,69,3,20,3
btw21,141,2,41,88,0,8,2
union,137,12,9,100,1,12,3
klimagerechtigkeit,134,0,1,132,0,1,0
land,134,7,18,65,6,24,14
grün,134,6,62,52,3,5,6
stark,133,12,33,50,1,26,11
ökologisch,133,9,38,55,1,20,10
mit,131,10,24,53,6,18,20
fdp,125,1,6,64,1,14,39
marktwirtschaft,123,34,12,8,3,9,57
leben,120,5,21,64,3,16,11
krise,117,2,17,74,0,18,6
gesellschaft,115,4,21,66,5,15,4
deutschland,111,12,15,50,3,19,12
partei,108,6,12,78,2,8,2
aber,105,4,15,60,0,13,13
arbeit,103,6,13,51,1,25,7
bundestag,101,7,24,53,4,9,4
pandemie,101,5,13,49,0,25,9
wer,97,6,17,50,2,19,3
gut,96,11,21,34,1,19,10
euro,95,4,16,39,0,25,11
zeit,94,6,24,44,1,13,6
wählen,94,2,20,57,1,12,2
spaltung,94,0,2,77,0,14,1
grüne,94,10,30,32,5,13,4
hoch,93,1,24,38,3,22,5
zeigen,92,11,29,37,1,9,5
sich,92,6,19,47,0,15,5
co2,91,3,29,45,3,8,3
wichtig,91,10,16,34,1,22,8
schaffen,91,6,18,34,2,18,13
klaren,88,10,13,42,1,16,6
deshalb,88,4,16,50,0,15,3
ein,88,5,18,45,0,11,9
klimakrise,85,0,36,44,0,5,0
zusammenhalt,85,5,29,39,1,10,1
wenn,81,5,8,51,0,8,9
demokratie,81,0,9,58,0,12,2
hartziv,79,0,17,46,0,2,14
in,79,6,17,39,3,10,4
heute,79,6,22,36,0,11,4
fordern,76,1,14,45,3,5,8
bleiben,75,3,14,41,2,8,7
thema,75,3,12,41,0,13,6
zukunft,75,4,24,13,0,27,7
gemeinsam,75,6,15,37,0,12,5
starke,74,10,11,38,0,10,5
wie,74,5,16,33,2,9,9
familie,74,8,16,18,4,17,11
mal,72,2,9,38,0,18,5
finden,72,3,11,39,2,10,7
was,72,1,16,39,2,10,4
problem,71,3,8,43,2,4,11
ökologische,71,0,27,37,0,7,0
friede,70,0,5,57,0,7,1
weg,70,8,12,26,0,15,9
sicherheit,69,11,14,30,0,12,2
so,69,4,11,31,3,12,8
ungleichheit,68,0,17,37,0,13,1
links,67,1,1,60,2,2,1
