hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
ich,2233,442,361,462,199,400,369
bund,1217,261,284,190,53,189,240
usa,1142,228,184,341,49,169,171
öffentlich,1138,98,214,374,100,171,181
bürgern,993,189,49,83,351,117,204
nrw,923,114,237,131,98,201,142
stadt,912,154,287,190,46,145,90
land,702,135,145,108,73,108,133
bevölkerung,561,54,60,184,57,136,70
mein,469,93,76,97,59,85,59
brauchen,404,53,107,97,21,47,79
deutschland,393,40,42,98,57,71,85
jahr,388,46,91,82,42,60,67
in,364,51,70,78,28,64,73
corona,364,43,59,80,58,39,85
und,363,49,88,80,25,70,51
mensch,325,36,79,98,21,53,38
impfen,302,123,31,33,16,36,63
bundestag,291,23,59,61,63,51,34
afd,282,9,7,6,246,10,4
cdu,260,50,62,55,21,48,24
spd,254,27,37,29,16,120,25
stehen,248,46,53,58,31,32,28
innen,248,1,83,98,2,57,7
berlin,243,76,23,50,45,19,30
aber,235,26,36,69,19,50,35
bürgerin,228,91,13,25,1,44,54
laschet,228,13,97,59,14,36,9
mal,228,34,41,63,18,30,42
eu,228,54,38,44,23,21,48
wichtig,227,52,53,45,6,47,24
zeigen,226,34,38,40,18,44,52
politik,207,25,42,48,35,30,27
wenn,206,22,28,57,18,28,53
ein,205,30,32,37,23,43,40
mio,201,169,4,3,2,17,6
gemeinsam,200,73,39,29,6,37,16
bundesregierung,196,6,40,61,42,4,43
mit,194,47,42,24,15,36,30
gut,185,41,29,36,8,42,29
klimaschutz,182,19,100,18,2,33,10
wer,180,24,22,55,36,16,27
zeit,180,18,41,35,13,29,44
bleiben,177,33,32,34,24,27,27
fdp,174,10,39,24,14,4,83
million,173,54,20,40,9,15,35
sehen,173,29,26,38,14,31,35
für,172,26,39,41,20,26,20
was,172,19,39,34,27,26,27
stellen,170,20,31,39,22,36,22
heute,168,29,38,30,17,31,23
leben,166,26,27,27,32,26,28
frage,161,17,31,30,17,32,34
pandemie,156,39,27,31,5,24,30
steuern,156,9,26,45,10,25,41
demokratie,156,36,31,22,15,25,27
euro,154,47,29,31,5,23,19
geben,153,23,23,29,15,30,33
fordern,151,6,25,55,17,15,33
so,151,16,36,26,24,24,25
klaren,150,31,33,27,5,30,24
stark,149,38,28,16,8,27,32
eine,149,18,25,34,16,24,32
impfstoff,148,17,15,63,3,22,28
finden,145,16,30,37,6,29,27
sein,144,19,27,26,12,28,32
grün,143,22,65,12,19,11,14
sprechen,143,21,37,27,10,24,24
lassen,136,23,23,27,18,23,22
auch,135,16,23,39,20,28,9
regierung,134,11,26,26,31,17,23
weg,131,20,32,23,12,18,26
staat,130,16,11,23,22,12,46
gelten,129,32,21,22,10,28,16
grüne,128,24,34,11,16,16,27
wie,128,17,29,32,16,17,17
jetzt,126,19,35,29,6,22,15
im,126,23,19,41,6,21,16
hoch,122,18,19,35,13,20,17
europa,121,31,25,19,3,25,18
partei,120,19,10,31,30,10,20
sich,119,16,24,19,10,26,24
da,118,12,17,37,9,30,13
kommune,118,19,42,12,1,32,12
tagen,116,20,26,18,8,22,22
biden,114,13,16,44,8,14,19
voll,114,73,8,9,6,11,7
viel,114,17,19,19,14,29,16
geld,113,9,18,37,14,11,24
recht,112,9,16,28,12,20,27
freiheit,110,12,6,5,54,8,25
hand,110,12,12,56,12,8,10
woche,110,18,20,17,5,24,26
unterstützen,110,32,15,31,2,22,8
enden,108,13,10,27,19,17,22
teilen,107,14,18,21,10,25,19
liegen,107,15,25,18,6,32,11
wählen,106,16,14,22,24,11,19
sichern,106,19,15,36,8,19,9
danken,106,24,26,17,4,26,9
neu,104,17,32,25,5,8,17
hier,104,27,24,18,10,17,8
kind,103,7,25,23,13,26,9
deutlich,103,18,18,16,8,29,14
setzen,103,18,17,15,10,24,19
mindestens,102,79,6,4,4,4,5
wahl,102,14,13,25,16,13,21
halten,102,14,17,26,7,16,22
bringen,102,15,12,33,10,18,14
btw21,102,9,28,31,18,1,15
mehrheit,101,9,11,51,11,10,9
bekommen,101,13,10,27,6,24,21
helfen,101,25,18,21,3,20,14
schützen,101,19,19,23,9,19,12
nehmen,100,17,18,20,12,11,22
verantwortung,99,17,19,23,5,18,17
thema,99,14,25,10,8,21,21
china,97,27,21,18,3,12,16
maßnahme,97,19,20,12,13,12,21
milliarde,97,11,30,26,9,6,15
dank,97,21,22,13,13,18,10
unternehmen,96,15,8,24,5,15,29
