hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
herzliche glückwunsch,1148,241,302,120,31,294,160
ich brauchen,1070,141,320,220,34,132,223
ich freuen,741,139,195,121,31,136,119
cdu csu,720,44,291,157,44,115,69
viel dank,626,118,101,81,55,104,167
ich finden,557,88,89,179,26,110,65
olaf scholz,420,134,97,57,10,81,41
ich mal,415,82,51,85,51,70,76
letzt jahr,302,38,77,62,32,43,50
ich glauben,300,30,38,91,32,52,57
armin laschet,281,56,87,32,13,68,25
ich wünsche,277,73,48,57,22,55,22
heute abend,273,38,74,60,15,31,55
ich mein,270,51,38,45,46,40,50
baden württemberg,263,24,46,33,11,34,115
ich denken,256,49,42,72,16,43,34
zum beispiel,247,45,57,35,21,51,38
alle gute,240,33,93,27,4,61,22
ich stehen,235,50,44,33,24,57,27
ich hoffen,231,41,34,51,17,47,41
wenn ich,223,29,27,47,46,35,39
corona pandemie,223,41,49,49,5,35,44
corona krise,222,16,28,108,7,20,43
ich ich,218,45,20,33,34,44,42
ich weiß,213,37,31,59,23,41,22
ich sehen,213,43,25,50,16,52,27
ich fordern,205,12,51,61,14,15,52
ich hab,203,36,44,67,7,32,17
danken ich,203,20,36,13,9,18,107
ich bleiben,202,37,22,39,20,52,32
sachsen anhalt,198,30,25,26,36,40,41
einfach mal,197,44,23,42,21,36,31
viel erfolgen,197,41,46,43,5,36,26
00 uhr,196,23,25,38,27,25,58
20 jahr,196,22,47,58,26,27,16
30 uhr,193,34,54,40,8,30,27
guten morgen,186,33,50,21,20,44,18
ich wissen,186,31,31,32,25,32,35
danken sich,185,18,38,18,0,28,83
ich kennen,180,38,20,47,17,34,24
ich einfach,180,29,29,35,20,33,34
of the,179,27,24,37,2,68,21
danken mein,178,42,44,27,6,38,21
die linke,177,1,0,174,2,0,0
haben ich,175,29,19,32,23,32,40
deutsche bundestag,175,50,28,17,24,30,26
herzliche dank,174,61,38,17,3,24,31
million euro,172,28,40,48,20,16,20
16 jahr,172,11,84,33,17,11,16
ich verstehen,168,19,23,44,14,35,33
angela merkel,167,48,26,27,12,16,38
csu spd,162,2,118,18,7,0,17
ich gerne,156,33,29,20,16,18,40
10 jahr,150,11,44,24,8,42,21
annalena baerbock,146,19,85,10,9,4,19
kind jugendliche,141,14,48,10,2,33,34
gute nachricht,140,41,21,25,5,26,22
afd thüringen,137,0,1,0,135,1,0
ich sprechen,136,26,19,23,11,33,24
bund land,136,29,27,14,13,18,35
19 uhr,134,9,43,40,6,12,24
ich zeit,133,11,36,35,10,17,24
rheinland pfalz,133,33,11,8,7,37,37
nächst woche,133,27,20,22,9,34,21
ich fragen,131,21,15,27,20,30,18
milliarde euro,131,11,31,45,13,14,17
impfen lassen,131,25,23,24,13,12,34
mieter innen,127,0,27,68,0,32,0
us amerikanischen,126,20,4,39,1,56,6
robert habeck,124,5,82,8,4,10,15
ich sagen,124,15,17,31,20,20,21
herzlich glückwunsch,124,25,39,12,6,19,23
union spd,124,5,53,22,3,12,29
30 jahr,119,20,10,36,15,27,11
christian jung,119,0,0,0,0,0,119
letzt woche,118,16,23,21,8,22,28
ich sich,117,10,20,36,16,21,14
ich halte,117,20,17,38,6,14,22
bürgerin bürgern,116,60,3,8,1,20,24
sein spannen,116,14,35,30,7,22,8
was ich,115,30,8,25,21,14,17
rot rot,113,27,7,17,10,7,45
mein land,112,31,15,4,10,24,28
wissen ich,112,21,11,28,17,14,21
ich sichern,111,15,11,27,13,27,18
glückwunsch lieb,110,16,52,19,0,21,2
rot grün,109,21,9,23,17,14,25
million mensch,108,14,16,42,2,20,14
ich unterstützen,108,20,26,31,3,18,10
reden bundestag,107,11,18,30,5,33,10
ich bitte,106,12,10,23,14,25,22
so sehen,105,11,24,11,10,20,29
finden ich,105,18,17,17,4,21,28
ich fehlen,104,13,26,17,11,20,17
jahr alt,104,7,18,24,22,29,4
gute besserung,103,23,26,10,4,26,14
covid 19,103,32,18,19,6,16,12
lassen ich,102,30,11,14,11,13,23
18 uhr,102,11,20,19,12,27,13
ich zeigen,102,23,16,11,5,28,19
frage stellen,101,17,11,20,19,12,22
meine gedanke,100,14,27,20,3,23,13
mein antrag,100,0,41,37,3,1,18
cdu spd,99,4,49,15,19,2,10
so genannt,99,31,13,18,26,9,2
da ich,99,19,10,12,7,15,36
jens spahn,98,5,14,33,8,14,24
seit jahr,98,6,28,15,6,16,27
und ich,97,17,15,14,13,19,19
spd grün,97,16,1,49,7,7,17
sehen ich,97,15,9,24,14,18,17
ich leben,96,14,13,22,16,15,16
ich mensch,96,21,18,15,10,12,20
000 euro,95,20,7,33,12,17,6
freie demokrat,95,0,0,0,0,0,95
buongiorno franke,95,0,0,0,0,95,0
15 uhr,95,15,24,19,6,21,10
ich recht,94,9,13,13,12,8,39
ich wichtig,94,21,17,14,6,24,12
ich schreiben,94,16,12,27,9,23,7
ich kämpfen,93,20,15,17,8,16,17
vor jahr,93,12,19,21,18,11,12
de masi,93,0,0,92,0,1,0
ich erinnern,93,12,13,27,11,20,10
ich setzen,92,18,23,6,4,15,26
corona politik,92,7,7,16,16,1,45
in deutschland,90,9,11,25,14,12,19
ich empfehlen,90,10,10,38,7,15,10
ernst nehmen,90,15,23,17,6,11,18
danken hinweis,90,14,20,30,2,9,15
aber ich,89,16,13,20,2,15,23
ich hören,88,11,12,19,11,16,19
hartz iv,88,4,13,53,1,5,12
ich geben,88,20,17,12,3,17,19
ich reden,88,9,11,22,2,20,24
sein ich,87,14,12,20,14,14,13
meine reden,87,4,18,26,18,13,8
nein ich,87,17,8,16,9,14,23
können ich,87,18,11,20,6,18,14
ich frage,86,15,13,17,9,17,15
wie ich,86,15,9,17,10,7,28
herzlich willkommen,86,24,9,13,4,17,19
danken meinung,85,1,0,0,0,0,84
happy birthday,85,16,23,17,0,25,4
ich nehmen,85,16,16,21,7,19,6
brauchen dringen,84,7,33,10,3,15,16
frei demokrat,84,0,0,0,1,1,82
gera greiz,83,0,0,0,83,0,0
delta variante,83,2,8,8,1,60,4
thüringen deutschlandabernormal,83,0,0,0,83,0,0
ich klaren,82,16,11,14,6,18,17
ich froh,82,13,15,23,4,21,6
untersuchungsausschuss wirecard,82,67,1,12,1,0,1
in berlin,81,12,13,25,12,6,13
gute frage,81,3,20,10,13,11,24
wichtig thema,80,19,16,15,2,16,12
diese woche,80,18,9,25,8,10,10
to the,80,17,11,13,1,32,6
markus söder,80,14,32,4,2,5,23
meinung tb,80,0,0,0,0,0,80
ich freu,80,9,36,17,7,8,3
friedrich merz,79,9,15,28,1,16,10
soziale gerechtigkeit,78,0,15,58,0,5,0
ich tb,77,0,0,0,0,0,77
gestern abend,77,19,17,20,8,6,7
mindestens impfen,77,76,0,0,0,1,0
schwarz grün,76,2,6,26,5,13,24
am enden,76,15,16,15,8,14,8
gerne mal,76,13,5,14,4,13,27
ich sage,76,13,7,24,2,17,13
dank mein,76,18,15,10,4,14,15
cdu fdp,75,4,19,26,11,12,3
was eigentlich,75,9,19,18,9,13,7
eu kommission,75,6,23,13,6,11,16
ich scheinen,74,12,14,17,10,8,13
ich erwarten,73,10,15,17,7,13,11
18 30,73,6,20,23,3,7,14
for the,73,27,9,12,2,19,4
ich meinen,72,13,2,24,5,19,9
herzlich dank,72,23,15,5,1,15,13
frau merkel,72,4,12,20,18,5,13
und so,72,6,4,29,18,7,8
on the,72,15,5,11,0,33,8
ich liegen,71,15,14,18,5,7,12
haben foto,71,46,4,13,8,0,0
stimmen ich,71,5,4,16,10,8,28
hass hetze,71,8,31,9,10,8,5
foto gepostet,71,46,4,13,8,0,0
so weiter,70,6,4,29,17,6,8
bundestag ich,70,10,12,21,4,11,12
ich jahr,70,12,11,10,12,18,7
danken lieb,70,13,33,7,0,12,5
volle solidarität,69,7,31,13,2,15,1
berlin bundestag,69,7,1,0,57,4,0
ich arbeiten,69,14,13,8,8,13,13
mein kind,69,11,21,5,15,10,7
bürger innen,69,0,35,13,1,17,3
danken feedback,69,1,2,0,0,1,65
co2 preis,68,2,19,35,2,5,5
im bundestag,68,17,11,24,4,6,6
ich halten,68,5,13,13,6,8,23
glückwunsch wahl,68,15,5,13,2,11,22
jed jahr,68,9,10,17,7,9,16
sagen ich,68,11,14,14,12,7,10
ich gedenken,68,15,14,16,7,7,9
mein einsatz,68,23,14,5,1,15,10
danken tb,67,0,0,0,0,0,67
26 september,67,9,17,22,8,8,3
ich halt,67,13,7,15,10,13,9
frage ich,66,12,11,13,6,11,13
bleiben ich,66,12,9,10,5,15,15
ich gehen,66,12,11,17,6,13,7
christian lindner,66,4,10,8,0,2,42
wünsche sich,66,16,7,9,4,28,2
viel mensch,66,8,17,8,2,18,13
corona maßnahmen,66,8,7,8,22,2,19
heute tagen,65,20,15,14,0,8,8
mein kommentar,65,6,3,28,2,3,23
na klaren,65,2,5,12,5,10,31
12 jahr,65,11,29,10,3,7,5
lesen ich,65,12,7,17,8,11,10
geben ich,65,11,10,13,3,12,16
schüler innen,64,1,25,18,0,17,3
grün wählen,64,2,36,13,4,7,2
herr laschet,64,0,32,2,4,25,1
kennen ich,64,12,5,12,10,7,18
nach jahr,64,3,19,7,7,11,17
in tat,64,6,8,23,8,9,10
ländlich raum,63,23,14,11,2,2,11
steineke fürsieda,63,63,0,0,0,0,0
sozial gerecht,63,0,18,41,1,3,0
