hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#corona,1590,211,224,503,210,157,285
#cdu,1453,222,327,401,190,225,88
#bundestag,1300,242,269,330,178,162,119
#wirecard,1216,254,150,561,31,103,117
#afd,1096,46,27,25,908,56,34
#laschet,999,58,389,238,68,198,48
#spd,894,199,158,101,85,281,70
#afghanistan,744,82,243,232,51,77,59
#klimaschutz,681,52,413,90,7,91,28
#csu,628,28,243,136,55,93,73
#berlin,584,105,89,80,152,63,95
#btw21,584,87,200,141,28,67,61
#bundesregierung,582,20,101,179,153,9,120
#merkel,552,40,79,108,204,41,80
#scholz,551,175,175,105,17,39,40
#fdp,514,24,88,84,66,43,209
#triell,472,82,169,32,13,105,71
#noafd,455,61,96,193,0,52,53
#eu,412,92,72,91,31,56,70
#baerbock,370,61,91,45,109,32,32
#covid19,363,39,122,73,44,36,49
#linke,347,20,11,268,23,10,15
#deutschland,337,58,35,34,116,26,68
#spahn,336,10,56,162,40,35,33
#lockdown,327,26,26,59,102,24,90
#mietendeckel,321,35,14,166,10,7,89
#bonn,312,2,270,3,1,14,22
#pandemie,290,69,54,71,9,53,34
#groko,276,5,111,62,11,30,57
#grünen,267,79,19,21,65,32,51
#thüringen,256,16,8,10,196,8,18
#cumex,255,48,62,121,5,14,5
#usa,250,62,56,72,11,15,34
#trump,243,30,58,65,21,42,27
#wegenmorgen,239,169,20,27,6,16,1
#merz,238,7,44,144,9,29,5
#impfstoff,236,27,36,89,18,12,54
#union,229,36,51,58,6,62,16
#bundeswehr,225,75,13,74,19,14,30
#söder,223,9,97,26,39,24,28
#bafin,222,51,59,63,3,14,32
#scheuer,221,0,113,82,1,6,19
#gera,220,1,0,0,218,1,0
#klimakrise,212,1,152,29,3,24,3
#demokratie,209,40,33,36,41,35,24
#grüne,199,27,55,31,36,30,20
#allesistdrin,197,1,194,1,0,0,1
#cdurausausderregierung,191,1,0,189,1,0,0
#infektionsschutzgesetz,183,19,6,39,36,11,72
#lieferkettengesetz,180,20,43,61,3,48,5
#nrw,180,14,49,32,26,37,22
#digitalisierung,178,21,71,10,4,19,53
#mpk,171,12,30,22,14,4,89
#korruption,168,1,15,61,64,26,1
#hanau,167,32,30,69,4,19,13
#astrazeneca,165,31,34,27,10,21,42
#vielzutun,165,0,2,1,0,0,162
#belarus,161,28,54,12,0,42,25
