,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.6333333333333333,0.7666666666666667,1.0333333333333334,0.5666666666666667,0.8,0.6,0.008209807596013644,0.00541885816816952,0.005845465097371336,0.004082011246898102,0.006055705410715628,0.004431076581014366
2021-01-31,0.7,0.8333333333333334,1.0333333333333334,0.6333333333333333,0.8,0.6333333333333333,0.00957035181370072,0.006589201305424423,0.005845465097371336,0.004716931881818737,0.006055705410715628,0.004842599214759222
2021-02-01,0.7666666666666667,0.8666666666666667,1.0333333333333334,0.6666666666666666,0.7666666666666667,0.6666666666666666,0.010852403095752002,0.007145726840125427,0.005845465097371336,0.004975329814635275,0.0056337644824455855,0.005079005834144565
2021-02-02,0.8,0.8333333333333334,1.0666666666666667,0.7,0.8666666666666667,0.7,0.011399213369157139,0.00692927662367521,0.006061915313821552,0.005250811908299186,0.006291659219287691,0.005335416090554821
2021-02-03,0.8333333333333334,0.8666666666666667,1.0,0.7333333333333333,0.8666666666666667,0.7,0.011843657813601582,0.007283886552753224,0.005694851095875649,0.0055112285749658535,0.006291659219287691,0.005335416090554821
2021-02-04,0.9,0.8666666666666667,0.9333333333333333,0.7333333333333333,0.9,0.6666666666666666,0.012838682689223472,0.007283886552753224,0.0055503971790432155,0.0055112285749658535,0.006506712982728551,0.0050529302148486065
2021-02-05,0.9,0.8666666666666667,0.8,0.7333333333333333,0.9,0.6666666666666666,0.012838682689223472,0.007283886552753224,0.005217063845709882,0.0055112285749658535,0.006506712982728551,0.005220817882736274
2021-02-06,1.0,1.0,0.8333333333333334,0.7333333333333333,0.8666666666666667,0.7,0.014478026951518555,0.008565937834804506,0.005661508290154327,0.005891837549324828,0.006266904829251333,0.005749918411836803
2021-02-07,1.0,1.0333333333333334,0.8666666666666667,0.7666666666666667,0.8666666666666667,0.7,0.014478026951518555,0.008883398152264825,0.0060016443445760955,0.0061767378342251125,0.006266904829251333,0.005749918411836803
2021-02-08,0.9666666666666667,1.0333333333333334,0.9,0.8333333333333334,1.0666666666666667,0.7,0.014510734175142514,0.008883398152264825,0.006196576118455238,0.00685700994306865,0.00800603526403394,0.005722665814323602
2021-02-09,0.9333333333333333,1.0333333333333334,0.9,0.8333333333333334,1.0666666666666667,0.6666666666666666,0.014183936789521599,0.008883398152264825,0.006196576118455238,0.00685700994306865,0.007855885113883791,0.005300724886053559
2021-02-10,0.9333333333333333,1.0,0.8333333333333334,0.8333333333333334,1.0333333333333334,0.7333333333333333,0.014183936789521599,0.008607916058600914,0.005532294709357917,0.00685700994306865,0.007591334849333526,0.0056291321110125084
2021-02-11,0.9,1.0333333333333334,0.8,0.8333333333333334,1.0,0.6666666666666666,0.013733486339071148,0.00884946195232072,0.005302409651886652,0.00685700994306865,0.007322517645032451,0.005156318872241823
2021-02-12,0.9,1.0333333333333334,0.8,0.8333333333333334,1.0333333333333334,0.6,0.013733486339071148,0.00884946195232072,0.0054183736022238305,0.00685700994306865,0.007564063538752258,0.004726211345360102
2021-02-13,0.8666666666666667,1.0666666666666667,0.7666666666666667,0.8333333333333334,1.0,0.4666666666666667,0.013168514587658718,0.009109878618987386,0.0052783175798148665,0.00685700994306865,0.007553116631253627,0.003977147674948117
2021-02-14,0.8333333333333334,1.0,0.8,0.8,0.9666666666666667,0.43333333333333335,0.012724070143214274,0.008883121249372874,0.005592782988619898,0.006634787720846428,0.007347355314381199,0.0036067773045777465
2021-02-15,0.8,0.8333333333333334,0.7,0.7666666666666667,0.9333333333333333,0.3333333333333333,0.012897681254325385,0.008809109972745635,0.004723217771228594,0.006411573435132142,0.007192316554691277,0.0029025519524650705
2021-02-16,0.8,0.8333333333333334,0.7,0.8,0.9,0.3333333333333333,0.013294506651150782,0.008809109972745635,0.004711556934980052,0.0066650021769329775,0.006856593843503544,0.0029025519524650705
2021-02-17,0.7666666666666667,0.8333333333333334,0.7,0.8,0.9666666666666667,0.36666666666666664,0.012902349788405683,0.008809109972745635,0.004725360782309501,0.0066650021769329775,0.007365499695920847,0.0031735546624921712
2021-02-18,0.7,0.8333333333333334,0.6666666666666666,0.7666666666666667,1.0333333333333334,0.36666666666666664,0.01194996883602473,0.009040175441295057,0.004523340580289298,0.006418088596686064,0.007863012133731792,0.0031735546624921712
2021-02-19,0.7,0.8,0.7,0.7666666666666667,1.0333333333333334,0.3333333333333333,0.01194996883602473,0.008777708249694007,0.004796564624005145,0.006418088596686064,0.007863012133731792,0.0029542564168781363
2021-02-20,0.6666666666666666,0.9,0.6666666666666666,0.8666666666666667,1.0333333333333334,0.4666666666666667,0.011354730740786636,0.009703634175619933,0.004538166691188607,0.0073440145226119895,0.007863012133731792,0.004387948173150537
2021-02-21,0.6666666666666666,1.0333333333333334,0.6333333333333333,0.8333333333333334,1.0,0.5,0.011354730740786636,0.010883575178569785,0.0045806492154229555,0.00720798653971265,0.007655972796257671,0.004750267013730247
2021-02-22,0.6333333333333333,1.0,0.6333333333333333,0.7666666666666667,1.0,0.5,0.010674458631943098,0.01065369012109852,0.0045806492154229555,0.007094808525143991,0.0076065900802082895,0.004750267013730247
2021-02-23,0.6666666666666666,1.0,0.6333333333333333,0.6333333333333333,0.9333333333333333,0.5,0.011600384557869024,0.01065369012109852,0.0045806492154229555,0.006269026120414218,0.007068955671606138,0.004750267013730247
2021-02-24,0.7,0.9666666666666667,0.6333333333333333,0.6333333333333333,0.8333333333333334,0.5,0.012300162677001982,0.01021509362987045,0.0045806492154229555,0.006269026120414218,0.006455458739090801,0.004750267013730247
