,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,0.7857142857142857,0.8571428571428571,1.7857142857142858,0.21428571428571427,0.7142857142857143,1.3571428571428572,0.008891047098143338,0.006672117547255559,0.010146899998713153,0.0015710304822565968,0.00563226008210689,0.010341508618923054
2021-01-15,0.8571428571428571,0.9285714285714286,1.7857142857142858,0.2857142857142857,0.8571428571428571,1.3571428571428572,0.009843428050524291,0.006317690061975733,0.010146899998713153,0.002047220958447073,0.006514094297274438,0.010069061331550394
2021-01-16,1.0,1.4285714285714286,2.0714285714285716,0.5714285714285714,0.8571428571428571,1.7857142857142858,0.010959499479095719,0.0072936495553687095,0.012631372048402593,0.00427936381558993,0.005942161078888467,0.013087169983461863
2021-01-17,1.0714285714285714,1.2857142857142858,2.142857142857143,0.6428571428571429,1.0,1.8571428571428572,0.0126701837528052,0.006366005770582067,0.013148970392087895,0.005109928599643087,0.007329123630899563,0.013742477978219399
2021-01-18,1.0714285714285714,1.2142857142857142,2.0,0.6428571428571429,1.0714285714285714,1.8571428571428572,0.012803306308758275,0.005621958151534448,0.012284296222931687,0.005109928599643087,0.00780531410709004,0.013742477978219399
2021-01-19,1.0714285714285714,1.4285714285714286,1.8571428571428572,0.6428571428571429,0.9285714285714286,1.7857142857142858,0.013753610094394669,0.006530479454792593,0.011940799140304171,0.005184070075058447,0.006969892219036573,0.013137151101706082
2021-01-20,1.0714285714285714,1.5,1.5,0.6428571428571429,0.9285714285714286,1.7857142857142858,0.013753610094394669,0.0070929091510805575,0.011047941997447028,0.005184070075058447,0.006969892219036573,0.013181905845708945
2021-01-21,1.1428571428571428,1.5,1.5,0.5,0.8571428571428571,1.7857142857142858,0.015029120298476301,0.007527691759776209,0.011171359254515168,0.004067998646487019,0.006456017604442534,0.013360018895109124
2021-01-22,1.2857142857142858,1.6428571428571428,1.6428571428571428,0.7142857142857143,1.0714285714285714,1.6428571428571428,0.016598979011192155,0.008689131945606639,0.012214112122085554,0.0057961092455653595,0.007786984773919021,0.012149365142082489
2021-01-23,1.2142857142857142,1.7857142857142858,1.5714285714285714,1.0,1.2857142857142858,1.5714285714285714,0.016895264772883594,0.009656760376289259,0.01124886115683459,0.006962290003582852,0.009929841916776164,0.011397485442834367
2021-01-24,1.1428571428571428,1.7857142857142858,1.5,1.4285714285714286,1.4285714285714286,1.5,0.016194984660838775,0.009656760376289259,0.010256797664771097,0.010184631571789083,0.010692701550603539,0.010493326310827134
2021-01-25,1.2857142857142858,1.7857142857142858,1.2142857142857142,1.4285714285714286,1.5714285714285714,1.5,0.017559282502216417,0.010006291228212455,0.008084249988626299,0.010184631571789083,0.011311763081146228,0.010493326310827134
2021-01-26,1.2142857142857142,1.7857142857142858,1.3571428571428572,1.5,1.7142857142857142,1.2857142857142858,0.01659403153696545,0.010006291228212455,0.008391853135986038,0.010709841655822696,0.011696648700372944,0.008973569471921359
2021-01-27,1.2142857142857142,1.7142857142857142,1.2857142857142858,1.5714285714285714,1.7142857142857142,1.1428571428571428,0.016529175085910456,0.009791395487307397,0.00809203950662051,0.011085781505446755,0.011696648700372944,0.008051910485746243
2021-01-28,1.1428571428571428,1.8571428571428572,1.2142857142857142,1.5714285714285714,1.6428571428571428,0.7142857142857143,0.01531852133288382,0.01093425263016454,0.007791919458601302,0.011085781505446755,0.011326697303765317,0.005644205830850576
2021-01-29,1.2142857142857142,2.0,1.2142857142857142,1.5,1.5714285714285714,0.7142857142857143,0.015935999093218724,0.013169432416364734,0.007791919458601302,0.01060959102925628,0.010955067170230422,0.005346586783231529
2021-01-30,1.2142857142857142,1.6428571428571428,0.9285714285714286,1.2142857142857142,1.6428571428571428,0.2857142857142857,0.016675215234220577,0.015545963344427696,0.005307447408911862,0.008377448172113422,0.01217563628766506,0.00232847813132006
2021-01-31,1.2142857142857142,1.8571428571428572,0.8571428571428571,1.3571428571428572,1.5,0.35714285714285715,0.01703964672110105,0.018894177630141982,0.004789849065226561,0.00958769971459088,0.010788673735653965,0.0034368385668976206
2021-02-01,1.3571428571428572,2.0,0.7857142857142857,1.4285714285714286,1.4285714285714286,0.5,0.020320189707526387,0.02070249589415645,0.004415877487066501,0.010141409570626318,0.01031248325946349,0.004450009792834804
2021-02-02,1.3571428571428572,1.7142857142857142,0.7857142857142857,1.4285714285714286,1.7857142857142858,0.6428571428571429,0.02029144581560342,0.01919873649566021,0.004446798946559389,0.010202627813662742,0.012662107319613865,0.005548910891735904
2021-02-03,1.4285714285714286,1.7857142857142858,0.8571428571428571,1.5714285714285714,1.8571428571428572,0.5714285714285714,0.02124382676798437,0.02015606363827802,0.0048988785125630065,0.01131869924223417,0.013077389711640445,0.0050789860797058285
2021-02-04,1.6428571428571428,1.7142857142857142,0.8571428571428571,1.7142857142857142,2.0,0.7142857142857143,0.024232708887996557,0.019203682685897068,0.004812022064557448,0.012519179434311,0.013999048697815559,0.005647282705286754
2021-02-05,1.5,1.5714285714285714,0.7142857142857143,1.5714285714285714,1.8571428571428572,0.7857142857142857,0.0226628501752807,0.01804224250006664,0.003769269196987062,0.01163140496968644,0.013209207069464613,0.006432212061644682
2021-02-06,1.7857142857142858,1.6428571428571428,0.7857142857142857,1.3571428571428572,1.6428571428571428,1.0,0.027059925164526984,0.019311662735004117,0.0047216501493680145,0.011838850585295322,0.011066349926607471,0.00983357260586237
2021-02-07,1.7857142857142858,1.7142857142857142,0.9285714285714286,1.0,1.4285714285714286,1.0714285714285714,0.027059925164526984,0.019991934843847654,0.00617937609688988,0.009227009627589702,0.009338239327529129,0.010477073249363011
2021-02-08,1.6428571428571428,1.7142857142857142,1.0,1.1428571428571428,1.6428571428571428,1.1428571428571428,0.025987304792685257,0.019882650003840662,0.006617972588117951,0.010684735575111569,0.011933217035870402,0.011170554525368559
2021-02-09,1.6428571428571428,1.7142857142857142,0.7142857142857143,1.0714285714285714,1.5,1.2142857142857142,0.025987304792685257,0.019882650003840662,0.005325147765881363,0.010159525491077955,0.01161579519378488,0.01178105513586917
2021-02-10,1.5714285714285714,1.5714285714285714,0.7857142857142857,1.0,1.5,1.5,0.02477665103965862,0.018766578575269234,0.005774196565001899,0.009783585641453896,0.01161579519378488,0.013188514671407523
