hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#btw21,1890,216,601,571,121,146,235
#bundestagswahl,301,47,70,78,55,29,22
#allesistdrin,230,1,229,0,0,0,0
#afd,209,2,3,0,198,2,4
#cdu,204,47,61,39,14,23,20
#wahlkampf,179,20,32,22,42,33,30
#spd,168,26,23,22,11,66,20
#fdp,154,2,7,18,5,8,114
#laschet,149,16,58,29,7,22,17
#bundestag,146,11,30,28,49,13,15
#btw2021,142,17,33,50,18,12,12
#vielzutun,122,0,0,1,0,0,121
#machtdaslandgerecht,118,0,0,118,0,0,0
#klimaschutz,115,2,91,14,0,5,3
#bereitweilihresseid,86,0,85,0,0,1,0
#linke,86,3,2,76,0,1,4
#wahlprogramm,83,12,28,10,4,14,15
#csu,83,6,38,9,4,8,18
#scholz,80,14,19,28,3,3,13
#triell,79,5,34,8,4,9,19
#dielinke,76,0,0,75,0,0,1
#cdurausausderregierung,75,0,1,74,0,0,0
#baerbock,70,2,27,14,11,2,14
#berlin,61,2,4,8,36,4,7
#deutschlandabernormal,52,0,0,0,52,0,0
#grünen,52,10,6,8,12,4,12
#bundestagswahl2021,52,3,21,14,9,2,3
#union,51,16,13,8,0,8,6
#corona,50,6,8,10,15,4,7
#noafd,48,0,16,17,0,2,13
#mietendeckel,47,0,2,40,1,2,2
#grüne,44,4,22,5,4,1,8
#wegenmorgen,41,34,4,3,0,0,0
#jetzt,39,0,0,39,0,0,0
#bpt21,36,0,0,0,0,0,36
#klimakrise,36,0,24,9,0,3,0
#linksrutsch,35,0,0,32,0,1,2
#nahdran,35,0,0,35,0,0,0
#afghanistan,35,2,7,13,7,2,4
#brandner,34,0,0,0,34,0,0
#deutschland,34,3,2,2,15,0,12
#wk194,33,0,0,0,33,0,0
#thüringen,32,1,0,0,30,1,0
#altenburgerland,31,0,0,0,31,0,0
#greiz,30,0,0,0,30,0,0
#nrw,30,1,5,3,16,1,4
#wirholendasdirektmandat,30,0,0,0,30,0,0
#merkel,30,4,2,4,11,3,6
#habeck,30,0,23,3,1,1,2
#dbdk21,28,0,27,0,0,0,1
#niegabesmehrzutun,27,0,1,0,0,0,26
#ltwbw21,27,1,8,3,5,1,9
#gera,27,0,0,0,27,0,0
#steineke,27,27,0,0,0,0,0
#r2g,26,2,2,12,0,3,7
#gruene,25,2,6,1,6,2,8
#btw,25,2,2,14,5,0,2
#ltwsa21,25,3,2,3,3,1,13
#groko,25,1,13,2,0,5,4
#cducsu,25,1,11,6,1,3,3
#sachsenanhalt,25,3,1,8,7,1,5
#fürsieda,25,25,0,0,0,0,0
#klimagerechtigkeit,24,0,0,24,0,0,0
#briefwahl,24,3,8,5,2,2,4
#zweistellig,24,0,0,24,0,0,0
#linkebpt,23,0,0,23,0,0,0
#köln,23,0,22,0,0,0,1
#leipzig,21,4,3,14,0,0,0
#altenburg,21,0,0,0,21,0,0
#söder,21,2,7,3,1,2,6
#demokratie,20,3,4,4,4,3,2
#bundestagswahl21,20,3,3,7,6,1,0
#btwahl2021,19,1,3,6,6,2,1
#sachsen,19,9,0,3,2,0,5
#bundesregierung,19,0,3,4,4,1,7
#cumex,19,2,3,10,1,2,1
#abernormal,18,0,0,0,18,0,0
#maaßen,18,1,6,5,1,4,1
#lobbyland,17,0,0,1,0,16,0
#wahlarena,17,1,3,4,7,0,2
#brandnerunterwegs,17,0,0,0,17,0,0
#kanzlerkandidatin,17,0,13,1,0,1,2
#guterplan,17,17,0,0,0,0,0
#bildung,17,2,1,12,1,0,1
#kiel,16,0,0,15,0,1,0
#scholzpacktdasan,16,0,0,0,0,16,0
#landesliste,16,2,3,0,6,2,3
#bonn,16,0,6,0,0,0,10
#btw21le,15,0,0,15,0,0,0
#maassen,15,1,6,2,1,5,0
#wk180,15,15,0,0,0,0,0
#amthor,15,0,6,5,0,4,0
#ltwrlp21,15,1,3,1,0,3,7
#ichwaehlelinks,14,0,0,14,0,0,0
#lanz,14,4,1,5,0,1,3
#wk83,14,0,13,1,0,0,0
#rente,14,0,2,9,0,1,2
#freiheit,14,1,1,0,3,0,9
#aachen,14,0,13,1,0,0,0
#kanzlerkandidat,13,5,1,2,1,2,2
#sommerinterview,13,0,1,2,0,1,9
#ldk21nrw,13,0,13,0,0,0,0
#stuttgart,13,1,10,2,0,0,0
#digitalisierung,13,0,8,2,0,3,0
#eu,13,4,3,1,0,0,5
#sozialepolitikfürdich,12,0,0,0,0,12,0
#erststimmebayram,12,0,12,0,0,0,0
