,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,3.6,8.833333333333334,12.1,10.566666666666666,15.766666666666667,7.1,0.0489523275939229,0.06637564267586106,0.07348829365046214,0.08059907454140743,0.10707741141134779,0.06512130927542997
2021-01-31,3.7666666666666666,8.8,12.4,10.9,15.8,6.866666666666666,0.052424549816145125,0.06655200951889456,0.07561389751519644,0.08264342658575947,0.10818402409690785,0.06116297594209664
2021-02-01,3.6666666666666665,8.466666666666667,12.333333333333334,11.166666666666666,16.1,6.933333333333334,0.05142746437359259,0.06418180221748197,0.07324527457695325,0.08371555134209477,0.10917350528785098,0.06023820023471224
2021-02-02,3.6,8.466666666666667,12.766666666666667,11.3,16.5,7.066666666666666,0.05091595542218594,0.06505221277997067,0.0756612266662414,0.08417780095688675,0.11078166286932571,0.06091510138771133
2021-02-03,3.5,8.566666666666666,12.833333333333334,11.566666666666666,16.6,7.4,0.050162043615642554,0.06612350803939583,0.07637881925883398,0.08569055844752345,0.11136305821816292,0.06259985700947483
2021-02-04,3.3333333333333335,8.633333333333333,12.866666666666667,11.7,16.9,7.866666666666666,0.0494966484047928,0.06757770674015272,0.07759430612265486,0.08717240992937494,0.11351988397430955,0.06498055501517283
2021-02-05,3.3666666666666667,8.566666666666666,12.833333333333334,11.366666666666667,16.3,7.7,0.05088668798870148,0.06831089881629707,0.07950705874373028,0.08708839184868399,0.11167246239004587,0.0643154772714434
2021-02-06,3.3,8.566666666666666,12.766666666666667,10.9,16.033333333333335,7.566666666666666,0.04973822082189589,0.06846172837889133,0.07934685283974877,0.08451584282907613,0.1107487676109294,0.06361854377881099
2021-02-07,3.2,8.366666666666667,12.633333333333333,10.7,15.833333333333334,7.333333333333333,0.04832977011767054,0.06749769173182446,0.07872344317053756,0.08308071617271053,0.10952137743005085,0.061603370711006335
2021-02-08,2.966666666666667,8.333333333333334,12.866666666666667,10.666666666666666,15.9,7.366666666666666,0.04618909733479592,0.06755346106984243,0.07927685372394812,0.08250009796051337,0.11003693723764604,0.061798967993982254
2021-02-09,2.8666666666666667,8.5,13.1,11.133333333333333,16.033333333333335,7.533333333333333,0.046064658661420385,0.06946916988210297,0.08054070881992,0.08487808527000754,0.11003693723764606,0.06294466138105495
2021-02-10,2.9,8.7,13.066666666666666,11.4,16.533333333333335,7.7,0.047295427892189615,0.07036161839468877,0.07956160448753537,0.08389578520513867,0.11328868818046141,0.06352041895681253
2021-02-11,2.7333333333333334,8.433333333333334,12.933333333333334,11.233333333333333,17.033333333333335,8.133333333333333,0.04501232286935856,0.06892590422092974,0.07792283391541546,0.0820418586152966,0.11304232208043677,0.06636125392093516
2021-02-12,2.7,8.6,12.8,11.166666666666666,16.8,8.366666666666667,0.04431221579415882,0.07028016838043512,0.07841779892650952,0.08131882640641533,0.11265677460301883,0.06752209014322742
2021-02-13,2.6,7.866666666666666,12.2,10.6,16.133333333333333,8.0,0.042645549127492154,0.06461195132617156,0.07721309862039714,0.07860396964425677,0.11065069164178153,0.0654387568098941
2021-02-14,2.6333333333333333,7.5,12.0,10.333333333333334,16.2,7.866666666666666,0.04456424831448402,0.06447611015584763,0.0767519864516893,0.07712691119045413,0.11353112642439021,0.06392506920924998
2021-02-15,2.6666666666666665,7.366666666666666,12.1,10.2,16.333333333333332,7.866666666666666,0.04584141186766741,0.0657845881217072,0.07723331798565243,0.07621171027525321,0.11653703087957006,0.06438363455481172
2021-02-16,2.6666666666666665,7.633333333333334,12.6,10.533333333333333,16.566666666666666,7.866666666666666,0.04648956001581555,0.06892115852263812,0.08033789314905113,0.07933006605129857,0.11857043683454463,0.06446147252728822
2021-02-17,2.6666666666666665,7.866666666666666,12.8,10.366666666666667,16.933333333333334,7.9,0.046825477328477055,0.07175297209913255,0.08153726141363679,0.07797413384790873,0.12183539409950189,0.06458300874508112
2021-02-18,2.7333333333333334,7.866666666666666,13.1,10.433333333333334,16.866666666666667,7.733333333333333,0.048980865799655,0.07341515847906085,0.08347231821234123,0.07934474788299645,0.12209685020891123,0.0630886645541077
2021-02-19,2.6,8.033333333333333,13.2,10.333333333333334,16.866666666666667,7.6,0.046883360130720766,0.07503643400443187,0.08484111709801573,0.07916959995400236,0.12219466711345081,0.06227465920174375
2021-02-20,2.533333333333333,8.266666666666667,13.133333333333333,10.466666666666667,16.6,7.666666666666667,0.04589851164587228,0.0770163838791186,0.08487478713168577,0.08045290079870672,0.12068777488287437,0.06311695310855378
2021-02-21,2.5,8.366666666666667,12.733333333333333,10.3,16.166666666666668,7.6,0.04680760255496318,0.0780183585737723,0.08392846976745796,0.0796598124790415,0.12020230333293506,0.06267333287656222
2021-02-22,2.6,8.266666666666667,12.9,10.1,16.1,7.566666666666666,0.048419465868954153,0.0780921559078436,0.0834925392707428,0.07915765688429331,0.11937785951783703,0.062058170176634335
2021-02-23,2.566666666666667,8.4,13.166666666666666,10.1,16.3,7.733333333333333,0.048306961850953505,0.07911743292980818,0.08427297086512789,0.08035423808087452,0.12070990894810504,0.062359044481968655
2021-02-24,2.6,8.433333333333334,13.133333333333333,10.366666666666667,16.233333333333334,7.9,0.04920556537250785,0.07944503325740851,0.08408570494752489,0.0819365896632261,0.12001350390387391,0.06288311441319742
2021-02-25,2.6333333333333333,8.0,11.833333333333334,10.133333333333333,16.1,8.066666666666666,0.04954570142692962,0.07715703575746431,0.08025783466703011,0.08041039154910147,0.12004812548197376,0.06246069756960224
2021-02-26,2.6333333333333333,7.9,11.633333333333333,10.566666666666666,16.166666666666668,8.4,0.04942676000557964,0.07677431429093415,0.08038474861118797,0.08357036219668906,0.11955106020981349,0.06658157669048136
