hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#wirecard,1664,373,256,642,44,188,161
#cumex,389,82,95,173,10,23,6
#corona,305,53,33,94,38,35,52
#bafin,299,76,93,64,3,20,43
#scholz,275,94,80,52,10,11,28
#cdu,220,35,38,70,18,40,19
#klimaschutz,206,11,139,27,0,21,8
#bundestag,194,22,33,42,48,22,27
#spd,175,42,32,18,13,54,16
#untersuchungsausschuss,170,142,7,5,0,7,9
#laschet,157,9,80,40,3,17,8
#btw21,148,13,38,63,7,9,18
#warburg,146,44,10,86,1,2,3
#wirtschaft,141,39,20,12,10,19,41
#schuldenbremse,140,22,18,44,6,12,38
#lobbyregister,139,1,36,39,2,54,7
#afd,134,2,2,4,123,0,3
#csu,131,11,52,31,4,23,10
#bundesregierung,127,3,18,55,24,1,26
#kohleausstieg,127,4,84,21,1,10,7
#triell,122,30,39,10,1,28,14
#marsalek,112,10,12,76,0,9,5
#fdp,101,5,16,22,5,8,45
#mittelstand,94,49,3,0,13,0,29
#lieferkettengesetz,88,6,15,34,6,23,4
#lockdown,88,7,5,26,29,2,19
#ey,85,13,11,24,0,22,15
#berlin,78,13,9,7,29,2,18
#merkel,74,1,11,19,29,7,7
#eu,66,11,16,12,8,5,14
#scheuer,65,0,45,17,0,1,2
#baerbock,61,10,19,6,15,3,8
#afghanistan,60,5,17,24,3,7,4
#groko,56,0,14,19,3,6,14
#union,55,5,19,16,1,12,2
#vielzutun,53,0,0,1,0,0,52
#spahn,50,0,9,28,2,8,3
#linke,48,3,0,41,1,0,3
#covid19,47,4,9,14,7,3,10
#coronakrise,47,1,8,28,5,2,3
#deutschland,47,9,4,3,15,8,8
#leerverkaufsverbot,46,29,10,0,0,5,2
#pandemie,43,8,10,14,1,5,5
#guttenberg,41,2,10,10,0,18,1
#digitalisierung,40,6,9,4,0,8,13
#transparenz,40,4,13,9,0,10,4
#altmaier,38,2,11,10,1,4,10
#klimakrise,38,0,33,5,0,0,0
#mindestlohn,38,0,3,23,0,12,0
#bmf,37,18,8,1,2,2,6
#allesistdrin,37,1,35,1,0,0,0
#korruption,37,1,4,23,4,5,0
#impfstoff,37,1,7,15,1,3,10
#industrie,36,8,13,0,1,8,6
#grünen,36,8,4,3,12,1,8
#unternehmen,35,5,3,1,0,5,21
#mietendeckel,35,3,2,20,1,2,7
#homeoffice,35,2,15,11,0,3,4
#geldwäsche,34,5,23,5,0,0,1
#energiewende,33,0,9,5,8,5,6
#commerzbank,33,8,9,12,1,3,0
#söder,32,0,12,5,6,6,3
#fiu,32,10,8,5,1,0,8
#klima,31,4,16,5,1,1,4
#vermögensabgabe,30,0,0,30,0,0,0
#pua,30,2,1,0,1,2,24
#scholzpacktdasan,30,1,0,1,0,28,0
#bitcoin,30,0,0,23,0,0,7
#usa,29,12,5,5,2,1,4
#merz,29,1,5,20,0,0,3
#bpt21,29,0,0,0,0,0,29
#amthor,29,0,7,9,0,12,1
