hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
ich,3771,589,627,1144,174,612,625
wirecard,2188,456,305,954,56,214,203
euro,1428,181,276,450,109,242,170
unternehmen,1236,195,240,310,44,183,264
geld,1231,96,226,369,118,212,210
staat,1210,156,146,286,129,143,350
wirtschaft,1036,207,238,190,63,97,241
kosten,845,97,186,204,82,143,133
mein,810,173,124,209,52,128,124
gewinnen,804,149,139,236,39,151,90
leisten,790,154,147,162,41,169,117
brauchen,700,72,199,146,24,100,159
jahr,681,67,167,172,37,118,120
und,641,78,141,156,50,128,88
bafin,632,170,128,197,8,30,99
corona,605,92,71,190,61,80,111
mensch,551,47,102,162,23,112,105
scholz,533,150,143,121,18,41,60
million,479,69,110,148,40,58,54
deutschland,472,67,66,130,46,59,104
cdu,467,48,110,149,33,87,40
aber,455,42,77,195,27,47,67
cumex,442,94,102,195,13,30,8
bundestag,420,50,86,130,53,52,49
wenn,418,38,61,133,27,61,98
milliarde,412,32,119,145,25,41,50
wichtig,404,82,86,100,7,82,47
spd,398,73,93,64,20,112,36
mal,398,66,81,111,23,63,54
klimaschutz,397,30,223,61,1,54,28
was,394,52,73,118,22,62,67
in,383,52,72,121,16,67,55
ein,376,60,69,95,19,63,70
politik,375,48,99,102,37,38,51
frage,375,74,82,90,14,52,63
land,371,57,55,83,27,71,78
bundesregierung,369,16,91,151,42,17,52
stehen,367,77,62,91,21,61,55
mit,366,70,76,82,22,61,55
schuldenbremse,354,28,57,129,8,17,115
innen,341,4,114,107,3,107,6
gut,319,64,67,54,5,76,53
für,314,37,71,87,22,63,34
wer,313,33,57,105,28,28,62
sein,309,41,67,93,17,47,44
000,307,61,33,86,34,61,32
bleiben,303,59,54,84,18,42,46
union,288,37,68,95,5,59,24
zeit,288,32,64,82,15,56,39
zeigen,283,41,71,59,8,40,64
untersuchungsausschuss,280,146,36,58,3,24,13
hoch,278,35,45,86,18,53,41
heute,271,82,54,65,5,31,34
csu,271,8,124,73,6,43,17
so,270,33,68,72,16,35,46
löhne,266,8,25,142,7,78,6
wie,263,32,64,81,20,35,31
fordern,261,13,53,100,18,22,55
lassen,256,43,47,89,10,26,41
