,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.13333333333333333,0.2,0.36666666666666664,0.6666666666666666,0.7,1.2,0.0015227416144847337,0.0017419958897888289,0.0025231033355469826,0.004933329636873197,0.00475629023878058,0.010720160508271655
2021-01-31,0.13333333333333333,0.2,0.4,0.6666666666666666,0.7,1.3,0.0015227416144847337,0.0017419958897888289,0.0028854221761266926,0.004933329636873197,0.00475629023878058,0.011970160508271654
2021-02-01,0.2,0.2,0.4,0.6666666666666666,0.6666666666666666,1.3,0.0027806032497048596,0.0017419958897888289,0.0028854221761266926,0.004933329636873197,0.004334349310510538,0.011970160508271654
2021-02-02,0.3,0.2,0.4,0.6666666666666666,0.7333333333333333,1.4,0.0042298786120237,0.0017419958897888289,0.0028854221761266926,0.004933329636873197,0.004770079158005092,0.012776612121174879
2021-02-03,0.3,0.2,0.4666666666666667,0.7333333333333333,0.8,1.4666666666666666,0.0042298786120237,0.0017419958897888289,0.003302088842793359,0.00545416297020653,0.005157676057229898,0.013301546504376979
2021-02-04,0.3,0.2,0.4666666666666667,0.7333333333333333,0.8,1.5333333333333334,0.0042298786120237,0.0018164937740489156,0.003302088842793359,0.00545416297020653,0.005157676057229898,0.013718213171043646
2021-02-05,0.3,0.2,0.4666666666666667,0.7,0.8,1.4666666666666666,0.0042298786120237,0.0018164937740489156,0.003302088842793359,0.005314692956259528,0.005157676057229898,0.01348668440018903
2021-02-06,0.3,0.2,0.4666666666666667,0.6666666666666666,0.8,1.4666666666666666,0.0042298786120237,0.0018164937740489156,0.003302088842793359,0.005048026289592862,0.005157676057229898,0.014068126056899503
2021-02-07,0.3,0.16666666666666666,0.5,0.6666666666666666,0.8,1.4666666666666666,0.0042298786120237,0.0015817519900113571,0.003635422176126692,0.005048026289592862,0.005157676057229898,0.014083931335862675
2021-02-08,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.7,0.8,1.5333333333333334,0.003924068214470183,0.0013419438365341388,0.0038258983666028825,0.005352955278732378,0.005157676057229898,0.014731180526801188
2021-02-09,0.3,0.13333333333333333,0.5333333333333333,0.7666666666666667,0.8666666666666667,1.4333333333333333,0.004470516301901877,0.0013419438365341388,0.0038258983666028825,0.005809576283298588,0.005758276657830499,0.013286935117038537
2021-02-10,0.36666666666666664,0.13333333333333333,0.5666666666666667,0.9,0.7666666666666667,1.5333333333333334,0.005752567583953159,0.0013419438365341388,0.003998609938278185,0.006237401940482043,0.004938604526682958,0.01370107653117995
2021-02-11,0.36666666666666664,0.13333333333333333,0.6333333333333333,0.8666666666666667,0.7333333333333333,1.6,0.005752567583953159,0.0013419438365341388,0.0043145657044709185,0.006002660156444485,0.004462296733301994,0.014157697535746161
2021-02-12,0.43333333333333335,0.13333333333333333,0.6666666666666666,0.8,0.6666666666666666,1.6333333333333333,0.006691534720103393,0.0013419438365341388,0.004579115969021183,0.005583372944704443,0.004087764898096002,0.01431790343972767
2021-02-13,0.43333333333333335,0.13333333333333333,0.6666666666666666,0.7666666666666667,0.7,1.6666666666666667,0.006691534720103393,0.0013419438365341388,0.004579115969021183,0.005364074699090408,0.004414562283716917,0.014894793025237945
2021-02-14,0.43333333333333335,0.1,0.6333333333333333,0.7666666666666667,0.7,1.6333333333333333,0.006691534720103393,0.0012270013077985067,0.004361251045273906,0.005364074699090408,0.004414562283716917,0.014524422654867575
2021-02-15,0.4666666666666667,0.1,0.6333333333333333,0.7333333333333333,0.6,1.6333333333333333,0.007466728518553007,0.0012270013077985067,0.004361251045273906,0.005099524434540144,0.00407908187577274,0.014677277770054823
2021-02-16,0.4666666666666667,0.1,0.7333333333333333,0.7333333333333333,0.5666666666666667,1.7333333333333334,0.007466728518553007,0.0012270013077985067,0.005014845816515736,0.005099524434540144,0.0037522844901518248,0.015667376779955815
2021-02-17,0.4666666666666667,0.13333333333333333,0.8,0.8,0.6,1.7333333333333334,0.007466728518553007,0.001581611236876521,0.005377164657095446,0.005664496185952573,0.004008694746562081,0.015564746196041809
2021-02-18,0.43333333333333335,0.13333333333333333,0.8,0.8333333333333334,0.6333333333333333,1.7333333333333334,0.00699053804236253,0.001581611236876521,0.00538898540724025,0.006011718408174795,0.004304186562521734,0.015602577694547464
2021-02-19,0.43333333333333335,0.13333333333333333,0.9,0.8666666666666667,0.7333333333333333,1.7666666666666666,0.00699053804236253,0.001581611236876521,0.00620865753838779,0.006278385074841462,0.0049844586713652704,0.01588506357025368
2021-02-20,0.43333333333333335,0.2,0.8666666666666667,0.8666666666666667,0.7333333333333333,1.6666666666666667,0.00699053804236253,0.002216531871797156,0.005961743958140877,0.006278385074841462,0.0049844586713652704,0.014935242781723212
2021-02-21,0.36666666666666664,0.23333333333333334,0.9,0.8333333333333334,0.7333333333333333,1.7,0.006249797301621789,0.002511517122534619,0.006459256395951822,0.005998273030023535,0.0049844586713652704,0.015360681856665942
2021-02-22,0.36666666666666664,0.3,0.9,0.8333333333333334,0.7666666666666667,1.7,0.006249797301621789,0.0031849177959352927,0.006459256395951822,0.006158717866394297,0.00529598515111605,0.015360681856665942
2021-02-23,0.36666666666666664,0.26666666666666666,0.8666666666666667,0.8,0.7666666666666667,1.7,0.006249797301621789,0.0027629768676652507,0.0060088059455013715,0.005902307609984041,0.00529598515111605,0.01516245878491627
2021-02-24,0.36666666666666664,0.23333333333333334,0.7666666666666667,0.7666666666666667,0.8333333333333334,1.6,0.006249797301621789,0.0023125264172148,0.005447008192692382,0.005677082384758816,0.0056571276318237475,0.01415160453021414
