,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.2,0.4666666666666667,0.8666666666666667,0.5333333333333333,1.5,0.5666666666666667,0.0031807760248853695,0.0036567489471000746,0.005461627873884154,0.003615926433658076,0.010457014160690756,0.004402189369404944
2021-01-31,0.2,0.5,0.8666666666666667,0.5333333333333333,1.5,0.5666666666666667,0.0031807760248853695,0.004185849476200603,0.005461627873884154,0.003615926433658076,0.010457014160690756,0.004402189369404944
2021-02-01,0.2,0.5,0.9666666666666667,0.5333333333333333,1.6,0.6,0.0031807760248853695,0.004185849476200603,0.0062192036314599125,0.003615926433658076,0.011161239512803433,0.0046437352631247516
2021-02-02,0.2,0.5333333333333333,1.0333333333333334,0.5666666666666667,1.4,0.6333333333333333,0.0031807760248853695,0.004529492087884452,0.006314480615262824,0.0038984123093642907,0.009099383842700341,0.004912552467425826
2021-02-03,0.2,0.4666666666666667,1.0666666666666667,0.6,1.5,0.6333333333333333,0.0031807760248853695,0.00382773770191954,0.006522813948596158,0.004158828976030957,0.009680779191537548,0.004912552467425826
2021-02-04,0.2,0.4666666666666667,1.3333333333333333,0.5666666666666667,1.3666666666666667,0.6333333333333333,0.0031807760248853695,0.00382773770191954,0.008199962795556326,0.004010828828030809,0.0089211740855827,0.004912552467425826
2021-02-05,0.2,0.5,1.3666666666666667,0.6,1.2666666666666666,0.6333333333333333,0.0031807760248853695,0.004278415400100014,0.00848244867126254,0.004412435253733621,0.008442705186061166,0.004912552467425826
2021-02-06,0.1,0.4666666666666667,1.3,0.6333333333333333,1.2333333333333334,0.6333333333333333,0.0014858607706480815,0.0040333173608843274,0.00832224276728103,0.0050660300249754505,0.008204609947965928,0.005203273295781063
2021-02-07,0.1,0.43333333333333335,1.1666666666666667,0.6666666666666666,1.2666666666666666,0.6,0.0014858607706480815,0.0037985755768467685,0.007383311469571104,0.005391450261900113,0.008592206847190734,0.004918778274443937
2021-02-08,0.16666666666666666,0.43333333333333335,1.1666666666666667,0.7,1.3,0.7,0.002655451413922935,0.0037985755768467685,0.007383311469571104,0.0057423274548825684,0.00888187704836536,0.005889652060851704
2021-02-09,0.16666666666666666,0.43333333333333335,1.1666666666666667,0.8,1.3333333333333333,0.7333333333333333,0.002655451413922935,0.0037985755768467685,0.007383311469571104,0.006427258961731883,0.009182177348665662,0.006177008382690784
2021-02-10,0.2,0.43333333333333335,1.2,0.9,1.5333333333333334,0.6666666666666666,0.0032964770549485764,0.0037985755768467685,0.007556023041246406,0.0068859745580621586,0.010552145793212725,0.005671957877640279
2021-02-11,0.16666666666666666,0.5666666666666667,1.1333333333333333,0.9,1.5666666666666667,0.6666666666666666,0.0028398560503823662,0.004757808190755641,0.007134082112976363,0.0068859745580621586,0.010617843419885963,0.005662173141828145
2021-02-12,0.13333333333333333,0.6666666666666666,1.1,0.9,1.5666666666666667,0.6333333333333333,0.0022550607287449395,0.005442739697604957,0.006980472281947177,0.006845475225109995,0.01067567554149865,0.005442874896214111
2021-02-13,0.26666666666666666,0.7333333333333333,1.3,0.8333333333333334,1.5,0.6,0.004921727395411606,0.005976073030938289,0.009014638372595939,0.006609521416537933,0.01034564253819832,0.005253480956820171
2021-02-14,0.26666666666666666,0.7,1.4333333333333333,0.8,1.4666666666666666,0.5666666666666667,0.005290291081048462,0.005861130502202657,0.01030913675447296,0.006384296191312707,0.010137309204864988,0.0048831105864498014
2021-02-15,0.3333333333333333,0.7666666666666667,1.5666666666666667,0.8333333333333334,1.5333333333333334,0.5333333333333333,0.006840678677947687,0.006886771527843683,0.011334777780113986,0.0066845964916130065,0.010902204534977708,0.004648368802412243
2021-02-16,0.4,0.8,1.7,0.9333333333333333,1.7333333333333334,0.5666666666666667,0.008507345344614354,0.007249090368423392,0.012206237475103094,0.0076649886484757524,0.012735900976517287,0.004978401805712573
2021-02-17,0.4,0.9,1.6666666666666667,0.9,1.8333333333333333,0.6,0.008507345344614354,0.008312920155657435,0.01205573580286229,0.007387210870697975,0.013505131745748055,0.005253883899376486
2021-02-18,0.4,0.9,1.7666666666666666,0.9333333333333333,1.8333333333333333,0.5333333333333333,0.008507345344614354,0.008312920155657435,0.012669232735377628,0.0077344330929201965,0.013549996995291668,0.0045804832259758125
2021-02-19,0.43333333333333335,1.1333333333333333,1.7666666666666666,0.9666666666666667,1.8666666666666667,0.5333333333333333,0.009187617453457891,0.010377816910819676,0.012779058086283018,0.008001099759586863,0.013794539256640653,0.0045804832259758125
2021-02-20,0.43333333333333335,1.1333333333333333,1.7333333333333334,0.9666666666666667,1.8666666666666667,0.5666666666666667,0.009187617453457891,0.010377816910819676,0.012532144506036104,0.008017344074076792,0.01396057935689128,0.004938906165043912
2021-02-21,0.43333333333333335,1.0666666666666667,1.7666666666666666,0.9666666666666667,1.8666666666666667,0.5666666666666667,0.009187617453457891,0.009826852723491852,0.01302965694384705,0.008138838454961677,0.015431272581707444,0.004938906165043912
2021-02-22,0.43333333333333335,1.1,2.033333333333333,1.0,1.8666666666666667,0.6333333333333333,0.009187617453457891,0.01027194289460942,0.0144868518436649,0.008596902338951488,0.015355751010858768,0.00562619138841161
2021-02-23,0.43333333333333335,1.4,2.7,1.0333333333333334,2.066666666666667,0.7666666666666667,0.009187617453457891,0.01307568121236643,0.018362820835912962,0.009024252766301916,0.0168081663535004,0.00665978311967776
2021-02-24,0.4666666666666667,1.4333333333333333,2.8333333333333335,1.1333333333333333,2.1333333333333333,0.8,0.009734065540889587,0.013508581645266863,0.01911188450632495,0.009653728395777546,0.017169308834208096,0.006883496766210198
