,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.43333333333333335,2.1666666666666665,0.8666666666666667,1.5666666666666667,0.6,1.2,0.0051948162191192745,0.014803167395580378,0.006273712412984207,0.012141770512828668,0.0038825057858210784,0.010450870731517365
2021-01-31,0.4666666666666667,2.1666666666666665,0.8333333333333334,1.6333333333333333,0.6,1.2,0.005966421157390879,0.014803167395580378,0.005532971672243466,0.012782796153854309,0.0038825057858210784,0.010450870731517365
2021-02-01,0.4666666666666667,2.1666666666666665,0.8666666666666667,1.8,0.6,1.2,0.005966421157390879,0.014935253251386652,0.005785496924768718,0.014105547476605633,0.0038825057858210784,0.010450870731517365
2021-02-02,0.4666666666666667,2.1333333333333333,0.7666666666666667,1.7333333333333334,0.6333333333333333,1.1666666666666667,0.005966421157390879,0.014715955005772616,0.004172593698962266,0.013095446466504623,0.004100370709568355,0.010049264305814553
2021-02-03,0.4666666666666667,2.1333333333333333,0.8333333333333334,1.7,0.6666666666666666,1.1666666666666667,0.005966421157390879,0.014719687741868177,0.004589260365628933,0.01272091463129863,0.004294169159180758,0.009861281046965154
2021-02-04,0.43333333333333335,1.9666666666666666,0.9333333333333333,1.7666666666666666,0.6666666666666666,1.2,0.005690939063726968,0.013319127517778539,0.005218191183238996,0.01335916526954927,0.004294169159180758,0.009916480477164584
2021-02-05,0.43333333333333335,2.0,0.9333333333333333,1.8,0.6666666666666666,1.2333333333333334,0.005690939063726968,0.013769805215959012,0.005816892591452167,0.01376077169525208,0.004387204778532166,0.010291012312370578
2021-02-06,0.43333333333333335,1.9666666666666666,0.9666666666666667,1.7333333333333334,0.6666666666666666,1.2333333333333334,0.005690939063726968,0.013600121958040461,0.006255489082680238,0.013614366466493909,0.004387204778532166,0.010581733140725812
2021-02-07,0.43333333333333335,1.8666666666666667,0.9333333333333333,1.7,0.6666666666666666,1.3666666666666667,0.0058624811366774915,0.012895896605927786,0.006001036156471586,0.013349816201943643,0.004387204778532166,0.011782934341927015
2021-02-08,0.43333333333333335,2.0,0.9666666666666667,1.7666666666666666,0.7333333333333333,1.4333333333333333,0.0058624811366774915,0.014446284202827009,0.005931538086973516,0.014051570587908556,0.0049771752800070925,0.012430183532865525
2021-02-09,0.4,1.9666666666666666,0.9666666666666667,1.8333333333333333,0.7666666666666667,1.4666666666666666,0.0055324481333771615,0.01414866515520796,0.005931538086973516,0.014508191592474766,0.005277475580307393,0.012571995743643254
2021-02-10,0.4,1.9333333333333333,0.9666666666666667,1.8666666666666667,0.7333333333333333,1.6,0.0055324481333771615,0.013576582775345262,0.00586950787461126,0.014477301653327945,0.004965769276913257,0.013152803824451335
2021-02-11,0.4,1.9666666666666666,0.9666666666666667,1.7,0.8,1.5666666666666667,0.0055324481333771615,0.013838334158552424,0.00586950787461126,0.013303592733140152,0.005302469613613595,0.012904923850543964
2021-02-12,0.4,1.9333333333333333,0.9666666666666667,1.6333333333333333,0.8333333333333334,1.5333333333333334,0.0055324481333771615,0.013652565985887289,0.006091388741653418,0.012864055854924028,0.005605399774441971,0.012646230710508246
2021-02-13,0.4666666666666667,1.8,0.9333333333333333,1.5666666666666667,0.8666666666666667,1.4666666666666666,0.0068657814667104945,0.012618974254621138,0.005956435975121703,0.012628102046351964,0.005932197160062886,0.012461190654778536
2021-02-14,0.4666666666666667,1.5666666666666667,0.9666666666666667,1.5333333333333334,0.8,1.4333333333333333,0.0068657814667104945,0.012002464327766384,0.006280060570590959,0.012565248495126321,0.0056695160006425965,0.012090820284408164
2021-02-15,0.3,1.1666666666666667,0.9666666666666667,1.5,0.7333333333333333,1.4666666666666666,0.00549966124813126,0.01088825819963268,0.006244073166182502,0.012336448266326093,0.005347454809016188,0.01247841718363297
2021-02-16,0.3333333333333333,1.2,1.0,1.4666666666666666,0.7333333333333333,1.5333333333333334,0.006332994581464593,0.01125057704021239,0.0064619380899297784,0.011934841840623283,0.005329299398703915,0.013138483190233632
2021-02-17,0.3,1.1666666666666667,1.0333333333333334,1.3333333333333333,0.7,1.6666666666666667,0.005945397682239787,0.011128996493099928,0.006643097510219634,0.010828438827440607,0.005107077176481694,0.014189096272932276
2021-02-18,0.3,1.1666666666666667,1.0666666666666667,1.3666666666666667,0.6666666666666666,1.6,0.005945397682239787,0.011128996493099928,0.006847596487724746,0.011368852361275193,0.0049013158596092656,0.013515695599531603
2021-02-19,0.3,1.1666666666666667,1.0333333333333334,1.4,0.6666666666666666,1.5666666666666667,0.005945397682239787,0.011165583811020853,0.006684197794914288,0.011843803051610499,0.004910208305476502,0.013359584984009746
2021-02-20,0.3,1.2666666666666666,1.0333333333333334,1.3333333333333333,0.6,1.5333333333333334,0.005945397682239787,0.011996828589634054,0.006684197794914288,0.011275252044462999,0.004408955172644421,0.013076430862145945
2021-02-21,0.3,1.2666666666666666,1.0333333333333334,1.3333333333333333,0.6333333333333333,1.5666666666666667,0.005945397682239787,0.011996828589634054,0.006948609999625,0.011275252044462999,0.004983667816322582,0.013501869937088675
2021-02-22,0.3333333333333333,1.2333333333333334,1.0333333333333334,1.3666666666666667,0.6666666666666666,1.5333333333333334,0.0065514582883003936,0.012093687590602645,0.006948609999625,0.011572871092082047,0.005295194296073362,0.01309034730334382
2021-02-23,0.3333333333333333,1.2333333333333334,1.1,1.3666666666666667,0.7,1.6,0.0065514582883003936,0.011983273142083382,0.007336206898849806,0.011743811263022218,0.005543950514978834,0.013607143168976895
2021-02-24,0.3,1.2666666666666666,1.1,1.3666666666666667,0.7666666666666667,1.6333333333333333,0.006181087917930024,0.012363523522333764,0.007336206898849804,0.011743811263022218,0.005905092995686532,0.013830856815509333
