hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#zukunft,151,64,37,4,9,22,15
#klimaschutz,56,3,41,4,0,8,0
#btw21,50,5,28,4,2,4,7
#laschet,37,4,18,8,2,4,1
#allesistdrin,37,0,37,0,0,0,0
#wegenmorgen,32,27,0,4,1,0,0
#triell,32,2,21,0,0,8,1
#europa,31,9,11,1,0,9,1
#spd,30,2,6,1,1,19,1
#corona,30,7,6,2,4,7,4
#cdu,29,14,8,4,1,0,2
#eu,28,16,1,0,0,5,6
#bundestag,25,3,9,2,3,3,5
#fdp,22,0,4,1,0,1,16
#wasserstoff,19,14,1,1,0,1,2
#baerbock,19,1,16,1,0,0,1
#berlin,18,2,3,0,3,4,6
#klimakrise,17,0,16,0,0,1,0
#afd,16,0,0,0,14,0,2
#deutschland,16,5,0,1,2,2,6
#vielzutun,16,0,0,0,0,0,16
#bildung,15,6,3,0,1,0,5
#cdupt21,15,14,0,0,1,0,0
#mobilität,14,8,2,0,0,1,3
#digitalisierung,14,4,3,0,0,0,7
#afghanistan,13,2,4,1,0,6,0
#usa,12,11,0,1,0,0,0
#freiheit,12,0,2,0,5,1,4
#energiewende,12,2,6,1,0,0,3
#klima,12,1,7,1,0,3,0
#bonn,10,0,9,0,0,0,1
#demokratie,10,0,3,3,1,2,1
#cducsu,10,1,7,0,1,0,1
#thewsdirekt,10,0,0,0,0,10,0
#bereitweilihresseid,9,0,9,0,0,0,0
#ausrespekt,9,0,0,1,0,8,0
#wohnen,9,1,5,1,0,2,0
#linke,9,0,1,8,0,0,0
#scholz,9,2,4,1,1,1,0
#dbdk21,9,0,9,0,0,0,0
#union,9,3,2,0,0,1,3
#scholzpacktdasan,8,0,0,0,0,8,0
#ltwbw21,8,2,6,0,0,0,0
#weremember,8,0,2,1,0,1,4
#groko,8,0,6,0,0,1,1
#respekt,8,0,0,0,0,8,0
#innovation,8,2,3,0,0,0,3
#coronakrise,8,0,2,5,0,0,1
#tourismus,8,4,4,0,0,0,0
#cofoe,8,4,0,0,0,1,3
#forschung,7,5,1,0,0,1,0
#merkel,7,1,2,1,2,0,1
#pflege,7,1,4,0,0,2,0
#kinder,7,1,2,1,2,0,1
#habeck,7,0,6,0,0,1,0
#csu,7,1,4,0,1,0,1
#solidarität,7,0,2,0,0,5,0
#cduvorsitz,7,6,1,0,0,0,0
#stuttgart,7,1,5,0,0,0,1
#bundestagswahl,7,1,2,1,1,2,0
#lockdown,7,0,0,3,2,1,1
#btw2021,7,1,3,0,0,1,2
#europatag,6,3,0,0,0,1,2
#h2,6,4,1,0,0,0,1
#merz,6,0,1,5,0,0,0
#verkehrswende,6,0,5,0,0,1,0
#bundesregierung,6,0,0,4,0,1,1
#sachsenanhalt,6,1,1,0,2,0,2
#werte,6,0,1,0,5,0,0
#landwirtschaft,6,1,5,0,0,0,0
#aufbruch,6,2,3,1,0,0,0
#grüne,6,0,4,0,1,1,0
#sozialepolitikfürdich,6,0,0,0,0,6,0
#covid19,6,3,1,0,1,0,1
#bpt21,6,0,0,0,0,0,6
#kretschmann,6,0,5,0,0,0,1
#lausitz,6,3,0,0,0,1,2
#niegabesmehrzutun,6,0,0,0,0,0,6
#wirtschaft,6,2,2,0,0,1,1
#mittelstand,5,4,0,0,0,0,1
#fukushima,5,0,2,0,0,3,0
#verantwortung,5,4,0,0,1,0,0
#digital,5,2,0,0,0,2,1
#tschernobyl,5,0,1,1,0,3,0
#spdbpt21,5,0,0,0,0,5,0
#co2,5,0,1,1,1,0,2
#cdurausausderregierung,5,0,0,5,0,0,0
#söder,5,1,3,0,1,0,0
#eisenmann,5,2,3,0,0,0,0
#wahlprogramm,5,1,1,0,0,2,1
#kinderrechte,5,0,5,0,0,0,0
#gruene,5,0,4,0,0,0,1
#politik,5,1,3,0,0,1,0
#gerechtigkeit,5,0,2,0,0,3,0
#aufbruchsklima,5,0,0,5,0,0,0
#lieferkettengesetz,5,0,2,2,0,1,0
#lkr,5,0,0,0,5,0,0
#1mai,5,0,0,2,0,3,0
#ltwrlp21,5,3,0,0,0,1,1
#wohlstand,5,0,2,0,0,2,1
#wirecard,5,0,3,2,0,0,0
#arbeit,5,0,1,1,0,3,0
#klimaneutral,4,0,1,0,0,3,0
#industrie,4,1,3,0,0,0,0
#inaugurationday,4,0,2,1,0,0,1
#menschbleiben,4,4,0,0,0,0,0
#teamcdu,4,4,0,0,0,0,0
#teammerz,4,4,0,0,0,0,0
#klimakatastrophe,4,0,0,4,0,0,0
#klimaneutralität,4,0,4,0,0,0,0
#dielinke,4,1,0,3,0,0,0
#cduparteitag,4,2,1,0,1,0,0
#ltwlsa21,4,1,0,0,1,0,2
#prignitz,4,3,0,0,0,1,0
#atomkraft,4,0,2,1,0,1,0
#olafscholz,4,1,1,0,0,2,0
#familien,4,1,1,0,1,1,0
#jetztzukunft,4,4,0,0,0,0,0
#steineke,4,4,0,0,0,0,0
#veränderung,4,1,3,0,0,0,0
#gesundheit,4,0,2,1,0,1,0
#erneuerbare,4,0,1,0,0,1,2
#brennstoffzellen,4,2,1,0,0,0,1
#nachhaltigkeit,4,4,0,0,0,0,0
#altmaier,4,0,2,0,1,0,1
#ausbildung,4,1,1,0,0,2,0
#klimagerechtigkeit,4,0,0,4,0,0,0
#redhandday,4,0,1,2,0,1,0
#testen,4,4,0,0,0,0,0
#gaswende,4,0,4,0,0,0,0
#thueringen,4,2,0,0,1,0,1
#bawü,4,1,2,0,0,0,1
#schule,4,0,2,0,0,0,2
#nrw,4,2,1,0,0,1,0
#fürsieda,4,4,0,0,0,0,0
#zusammenhalt,4,0,1,0,1,2,0
#diezukunftgehörtdir,4,3,0,0,0,1,0
#stillstand,3,0,3,0,0,0,0
#hochschule,3,0,0,2,0,1,0
#bundeswehr,3,2,0,0,0,1,0
#rostock,3,3,0,0,0,0,0
#gesundheitsschutz,3,0,3,0,0,0,0
#antikriegstag,3,0,1,1,0,1,0
#kinderarbeit,3,0,2,0,0,1,0
#hanau,3,0,3,0,0,0,0
#güterverkehr,3,1,1,0,0,0,1
#r2g,3,1,0,1,0,0,1
#brigittelive,3,0,3,0,0,0,0
#transformation,3,0,3,0,0,0,0
#ki,3,0,1,0,0,1,1
#brennstoffzelle,3,3,0,0,0,0,0
#stadtlandstein,3,3,0,0,0,0,0
#energie,3,1,0,0,0,1,1
#grünenwasserstoff,3,3,0,0,0,0,0
#annalenabaerbock,3,0,3,0,0,0,0
#digitalebildung,3,0,2,0,0,1,0
#zukunftsteam,3,0,1,1,0,1,0
#agrarpolitik,3,0,3,0,0,0,0
#tesla,3,0,2,1,0,0,0
#kindersoldaten,3,0,1,2,0,0,0
#ltwsa21,3,0,0,0,0,0,3
#grünen,3,1,0,0,2,0,0
#tvduell,3,1,0,0,0,2,0
#aktienrente,3,0,0,0,0,0,3
#kanzlerkandidatin,3,0,3,0,0,0,0
#neustaat,3,3,0,0,0,0,0
#darumgruen,3,0,3,0,0,0,0
#klimaschutzgesetz,3,0,0,3,0,0,0
#kernenergie,3,0,0,0,0,0,3
#ltwlsa,3,0,0,0,2,1,0
#noafd,3,0,1,2,0,0,0
#nextgeneration,3,0,0,0,0,0,3
#gruenen,3,1,0,1,1,0,0
#jugend,3,0,1,1,0,0,1
#stadtentwicklung,3,0,3,0,0,0,0
#windenergie,3,0,3,0,0,0,0
#nawalny,3,0,1,1,0,1,0
#europas,3,1,1,0,0,0,1
#auschwitz,3,0,1,1,0,0,1
#landtagswahl,3,0,1,0,1,0,1
#woraufesjetztankommt,3,3,0,0,0,0,0
#linkebpt,3,0,0,3,0,0,0
#atomkraftneindanke,3,0,1,0,0,2,0
#machtdaslandgerecht,3,0,0,3,0,0,0
#gema1nsam,3,0,0,0,0,3,0
#ldknds,3,0,3,0,0,0,0
#wahlkampf,3,1,0,0,0,1,1
#spahn,3,0,0,2,1,0,0
#armut,3,0,2,0,0,1,0
#missionzuversicht,3,0,0,0,0,3,0
#mietendeckel,3,0,0,2,0,1,0
#sofortprogramm,3,0,0,3,0,0,0
#bahn,3,1,1,0,0,0,1
#futureofeurope,3,0,0,0,0,2,1
#badenwuerttemberg,3,1,1,0,0,1,0
#mindestlohn,3,0,1,1,0,1,0
#schuldenbremse,3,2,0,0,1,0,0
#pandemie,3,1,1,1,0,0,0
#technologie,2,2,0,0,0,0,0
#dresden,2,0,1,1,0,0,0
#dreyer,2,1,0,0,0,1,0
#regierungserklärung,2,0,1,0,0,0,1
#scheuer,2,0,2,0,0,0,0
#selbstbestimmung,2,0,1,0,0,0,1
#selm,2,0,0,0,0,2,0
#grünerh2,2,2,0,0,0,0,0
#impfpflicht,2,0,0,0,2,0,0
#sektorkopplung,2,1,0,0,0,0,1
#helmholtzgymnasiumpotsdam,2,0,0,0,0,2,0
#teamroettgen,2,2,0,0,0,0,0
#plastikmüll,2,0,2,0,0,0,0
#plattenbau,2,0,0,0,2,0,0
#homeoffice,2,0,2,0,0,0,0
#kernfusion,2,0,0,0,1,0,1
#impfstoff,2,1,1,0,0,0,0
#polen,2,0,0,0,0,2,0
#karlsruhe,2,1,0,0,0,0,1
#guterplan,2,2,0,0,0,0,0
#schulen,2,0,2,0,0,0,0
#friedrichshain,2,0,2,0,0,0,0
#hartziv,2,0,1,1,0,0,0
#putin,2,0,1,1,0,0,0
#frieden,2,0,1,0,0,1,0
#gap,2,0,2,0,0,0,0
#schwarzenull,2,2,0,0,0,0,0
#illner,2,1,1,0,0,0,0
#sana,2,0,0,2,0,0,0
#thefutureisyours,2,0,0,0,0,0,2
#impfen,2,0,1,1,0,0,0
#tarifvertrag,2,0,0,0,0,2,0
#frauen,2,0,1,0,0,1,0
#digitalministerium,2,0,1,0,0,0,1
#teilhabe,2,0,1,0,0,1,0
#grundgesetz,2,0,2,0,0,0,0
#seehofer,2,0,0,2,0,0,0
#technologieoffenheit,2,0,0,0,0,0,2
#frauentag,2,0,0,0,0,2,0
#essen,2,0,2,0,0,0,0
#kanzlerkandidatur,2,0,0,1,0,1,0
#hydrogen,2,2,0,0,0,0,0
#journalismus,2,0,1,0,0,0,1
#politiker,2,0,0,0,1,0,1
#jetztvoran,2,2,0,0,0,0,0
#generationengerechtigkeit,2,2,0,0,0,0,0
#jetzt,2,0,0,1,0,1,0
#instalive,2,2,0,0,0,0,0
#optimismus,2,1,0,0,0,0,1
#standwithbelarus,2,0,2,0,0,0,0
#panikmache,2,0,0,2,0,0,0
#rtltriell,2,0,0,0,0,2,0
#stahl,2,0,1,0,0,1,0
#energieversorgung,2,0,0,0,0,0,2
#russland,2,0,1,1,0,0,0
#ostsee,2,2,0,0,0,0,0
#internet,2,1,1,0,0,0,0
#pam21,2,0,0,0,0,2,0
#porsche,2,1,1,0,0,0,0
#germany,2,0,0,0,0,0,2
#erneuerbaren,2,0,2,0,0,0,0
#investitionen,2,1,1,0,0,0,0
#erneuerung,2,0,2,0,0,0,0
#ernährungswende,2,0,2,0,0,0,0
