,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,1.6333333333333333,7.9,7.7,5.6,6.3,5.8,0.02026214975439118,0.05403490179794366,0.046425387982297665,0.04217889244225163,0.04264810885539005,0.050548820785044205
2021-01-31,1.6,7.866666666666666,7.666666666666667,5.7,6.333333333333333,5.966666666666667,0.0196448658037739,0.0537714214057868,0.04562616770939318,0.04138095164431083,0.043286067388085415,0.0524344543456363
2021-02-01,1.5666666666666667,7.9,7.833333333333333,5.9,6.4,5.966666666666667,0.01948267859339392,0.054731700759780684,0.046778353431439094,0.04257094212438698,0.04301674339131731,0.05196830044825675
2021-02-02,1.6666666666666667,8.1,7.9,5.966666666666667,6.4,6.066666666666666,0.020968456002949293,0.05704794122035104,0.045605332903579855,0.04267784562342074,0.04227067719489842,0.052281690761647064
2021-02-03,1.7333333333333334,8.066666666666666,8.166666666666666,6.033333333333333,6.466666666666667,6.366666666666666,0.0219717563329823,0.056737657532407774,0.04738455780053359,0.04288102785785297,0.0426649954276358,0.05409796372752633
2021-02-04,1.5666666666666667,8.066666666666666,7.8,5.9,6.5,6.466666666666667,0.020942551213541338,0.05715432419907444,0.04673569922328626,0.04216736659717035,0.04300078112844696,0.054272835936296844
2021-02-05,1.5333333333333334,8.3,7.6,5.866666666666666,6.333333333333333,6.266666666666667,0.020643765032402218,0.06003185175706457,0.048683975085355234,0.04382402926223638,0.04259578779892533,0.05375391041737133
2021-02-06,1.5333333333333334,8.2,7.5,5.9,6.433333333333334,6.233333333333333,0.02069499454059894,0.059544114856284185,0.04929977160476621,0.045606881826338944,0.04460959843716173,0.05407137073483164
2021-02-07,1.5666666666666667,8.133333333333333,7.233333333333333,5.7,6.333333333333333,6.266666666666667,0.02148337260774395,0.059246634558803885,0.047375877046943085,0.04421087043032755,0.04432536071106354,0.054407299884320116
2021-02-08,1.5,8.1,7.5,5.833333333333333,6.2,6.166666666666667,0.02154878705499187,0.05945704430409736,0.048679812561404905,0.045494110999282404,0.043092823826352745,0.05324565791531995
2021-02-09,1.5333333333333334,8.066666666666666,7.6,6.166666666666667,6.4,5.9,0.022069620388325203,0.059682987951093634,0.04902615126652224,0.047701616518046205,0.0444441751777041,0.04959604920242009
2021-02-10,1.5,8.266666666666667,7.466666666666667,6.3,6.5,5.966666666666667,0.021631023897097132,0.060656004833201424,0.04751292334618471,0.047368283184712874,0.045072482056010985,0.049319495749823083
2021-02-11,1.5333333333333334,8.066666666666666,7.7,6.533333333333333,6.6,5.866666666666666,0.022325468341541577,0.05950787759811767,0.04795159290029654,0.048600161703910814,0.045163879905473346,0.04853308189350041
2021-02-12,1.4666666666666666,7.933333333333334,7.5,6.666666666666667,6.666666666666667,5.833333333333333,0.021015944532017765,0.058829789029746046,0.04771714404418007,0.04927917404958983,0.04609785736118994,0.04820985737479589
2021-02-13,1.5333333333333334,7.9,7.1,6.733333333333333,6.366666666666666,5.866666666666666,0.022228065744138978,0.05862461226206928,0.04628969306378792,0.0507478530499144,0.045233051668798034,0.04954625505950818
2021-02-14,1.5333333333333334,7.366666666666666,6.966666666666667,6.866666666666666,6.266666666666667,6.0,0.022596629429775836,0.058445012398525044,0.04561143433891432,0.05411736209384206,0.045341347098730896,0.050917413451943165
2021-02-15,1.5,6.266666666666667,7.033333333333333,7.166666666666667,6.233333333333333,5.833333333333333,0.023204268318664723,0.05811263448348999,0.045939487366664006,0.05683313590336587,0.04577827451240249,0.05050798010769162
2021-02-16,1.5,6.1,7.4,7.366666666666666,6.466666666666667,6.0,0.02340268101707742,0.05738799680233056,0.04842157965385375,0.05862204466901881,0.04793476363922099,0.05215465147913363
2021-02-17,1.5,6.033333333333333,7.4,7.3,6.7,6.033333333333333,0.023500720232763693,0.0576244034217159,0.04851820658515989,0.05808715027048805,0.049844856938627266,0.0521099228765078
2021-02-18,1.4333333333333333,6.066666666666666,7.333333333333333,7.166666666666667,6.7,5.9,0.02288515693427357,0.059186234829503664,0.04819236754964343,0.05737916337202496,0.050154657628429786,0.05087173454154527
2021-02-19,1.3666666666666667,6.2,6.866666666666666,6.833333333333333,6.466666666666667,5.766666666666667,0.021843490267606902,0.06040043088108417,0.046120883218205934,0.05552120531911683,0.048691041879099756,0.05011616915749691
2021-02-20,1.4333333333333333,6.233333333333333,6.666666666666667,6.933333333333334,6.633333333333334,5.7,0.023469506527769506,0.05975845557244219,0.04469969458771497,0.056578639564956866,0.05144601700347786,0.04968322263703841
2021-02-21,1.5,6.233333333333333,6.566666666666666,6.966666666666667,6.466666666666667,5.666666666666667,0.025960349018611998,0.05990235081670437,0.0439697675804157,0.05777698131907009,0.05110785275227014,0.04963045775734233
2021-02-22,1.5666666666666667,6.066666666666666,6.833333333333333,6.966666666666667,6.5,5.733333333333333,0.02717247023073321,0.05906327035693426,0.04535378317495761,0.05888949712185139,0.05139180336955409,0.050111625834329224
2021-02-23,1.5333333333333334,6.1,6.9,6.9,6.6,5.7,0.02664336970163268,0.0589187165203973,0.04524183690916519,0.059095139432756856,0.052037767099292496,0.04914925487195825
2021-02-24,1.3666666666666667,6.2,6.966666666666667,6.933333333333334,6.366666666666666,5.8,0.02485125500629218,0.06018324146913277,0.04568846000284711,0.05921636641325157,0.0504856428374419,0.049538865261568636
2021-02-25,1.3333333333333333,6.233333333333333,6.933333333333334,6.966666666666667,6.8,6.0,0.024093679248716422,0.06078600250354848,0.046565156835426294,0.059488064239668965,0.05302353441048462,0.05040376425146763
2021-02-26,1.3,6.166666666666667,6.766666666666667,6.9,7.3,5.733333333333333,0.023528707497303996,0.0605207182356357,0.04666072094896216,0.059684467196747186,0.054678207247348155,0.049426102256019074
