region,time,Average time of first tweet
Hesse,8.881083707025427,8:53
Brandenburg,8.884737011939334,8:53
Saarland,8.909617794486211,8:55
Schleswig-Holstein,8.998796087283672,8:60
Saxony-Anhalt,9.002437349811194,9:00
Hamburg,9.101093613298342,9:06
Rheinland-Pfalz,9.103615729743995,9:06
Berlin,9.123222986529077,9:07
Saxony,9.153738670694866,9:09
Baden-Württemberg,9.158711560598586,9:10
Bavaria,9.19312767257179,9:12
Lower Saxony,9.204763672358338,9:12
Thuringia,9.215135515663487,9:13
Mecklenburg-Vorpommern,9.227598039215694,9:14
North Rhine-Westphalia,9.255222152031983,9:15
Bremen,9.556040268456373,9:33
